#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 10.75 - 11.25
#HM    Stats: 8.636760e+10 (median) + 4.672040e+10  / - 2.301470e+10
#SM    Stats: 1.756910e+08 (median) + 3.229900e+08  / - 1.076189e+08
#ObsSM Stats: 1.745230e+08 (median) + 3.317150e+08  / - 1.091635e+08
#VMP   Stats: 8.105000e+01 (median) + 1.255000e+01  / - 9.940002e+00
#ICL   Stats: 9.591050e+05 (median) + 5.207055e+06  / - 9.458304e+05
#SSFR  Stats: 4.252671e-10 (median) + 4.107352e-10  / - 2.100254e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1173799
sfh 0.060123 0 0 0 #avg: 1.87575e-07; avg_err: 1.4969e-07; sd: 0.000162177; counts: 1173799
sfh 0.062373 0 0 0 #avg: 5.42673e-07; avg_err: 2.21613e-07; sd: 0.0002401; counts: 1173799
sfh 0.064623 0 0 0 #avg: 2.40756e-06; avg_err: 7.91594e-07; sd: 0.000857628; counts: 1173799
sfh 0.066873 0 0 0 #avg: 6.69848e-06; avg_err: 1.99758e-06; sd: 0.00216422; counts: 1173799
sfh 0.069123 0 0 0 #avg: 1.62691e-05; avg_err: 3.00926e-06; sd: 0.0032603; counts: 1173799
sfh 0.071373 0 0 0 #avg: 3.17547e-05; avg_err: 4.63723e-06; sd: 0.00502407; counts: 1173799
sfh 0.073623 0 0 0 #avg: 5.25115e-05; avg_err: 6.49101e-06; sd: 0.00703249; counts: 1173799
sfh 0.075873 0 0 0 #avg: 8.40284e-05; avg_err: 7.46311e-06; sd: 0.00808568; counts: 1173799
sfh 0.078123 0 0 0 #avg: 0.00012487; avg_err: 6.65847e-06; sd: 0.00721392; counts: 1173799
sfh 0.080373 0 0 0 #avg: 0.000199541; avg_err: 8.15753e-06; sd: 0.00883803; counts: 1173799
sfh 0.082623 0 0 0 #avg: 0.000305892; avg_err: 1.02876e-05; sd: 0.0111458; counts: 1173799
sfh 0.085998 0 0 0 #avg: 0.000553748; avg_err: 1.4291e-05; sd: 0.0154831; counts: 1173799
sfh 0.089373 0 0 0 #avg: 0.000921953; avg_err: 1.66957e-05; sd: 0.0180884; counts: 1173799
sfh 0.092748 0 0 0 #avg: 0.00141048; avg_err: 1.75914e-05; sd: 0.0190588; counts: 1173799
sfh 0.096123 0 0 0 #avg: 0.0021058; avg_err: 2.2614e-05; sd: 0.0245005; counts: 1173799
sfh 0.099498 0 0 0 #avg: 0.00297397; avg_err: 3.07738e-05; sd: 0.033341; counts: 1173799
sfh 0.102873 0 0 0 #avg: 0.00402937; avg_err: 3.28949e-05; sd: 0.035639; counts: 1173799
sfh 0.106248 0 0 0 #avg: 0.00524698; avg_err: 3.9126e-05; sd: 0.0423899; counts: 1173799
sfh 0.109623 0 0.00106133 0 #avg: 0.00649241; avg_err: 3.48048e-05; sd: 0.0377082; counts: 1173799
sfh 0.112998 0 0.0046236 0 #avg: 0.00776483; avg_err: 3.71199e-05; sd: 0.0402165; counts: 1173799
sfh 0.116373 0 0.00851227 0 #avg: 0.00888332; avg_err: 3.88484e-05; sd: 0.0420891; counts: 1173799
sfh 0.119748 0 0.011795 0 #avg: 0.00998448; avg_err: 4.07749e-05; sd: 0.0441763; counts: 1173799
sfh 0.123123 0 0.0146469 0 #avg: 0.01113; avg_err: 4.47321e-05; sd: 0.0484637; counts: 1173799
sfh 0.126498 0 0.0173456 0 #avg: 0.0124204; avg_err: 5.5473e-05; sd: 0.0601005; counts: 1173799
sfh 0.129873 0 0.0200597 0 #avg: 0.0136891; avg_err: 5.32853e-05; sd: 0.0577304; counts: 1173799
sfh 0.133248 0.000388809 0.0223794 0.000388809 #avg: 0.0150356; avg_err: 5.87505e-05; sd: 0.0636515; counts: 1173799
sfh 0.136623 0.00120315 0.0241898 0.00120315 #avg: 0.0164547; avg_err: 6.14602e-05; sd: 0.0665872; counts: 1173799
sfh 0.141685 0.00243807 0.0265936 0.00243807 #avg: 0.0182923; avg_err: 6.21735e-05; sd: 0.06736; counts: 1173799
sfh 0.146748 0.00371479 0.0283813 0.00371479 #avg: 0.0199587; avg_err: 6.40605e-05; sd: 0.0694044; counts: 1173799
sfh 0.15181 0.00496989 0.0296453 0.00496989 #avg: 0.021451; avg_err: 6.34496e-05; sd: 0.0687425; counts: 1173799
sfh 0.156873 0.00620979 0.0303577 0.00620979 #avg: 0.0226605; avg_err: 6.3468e-05; sd: 0.0687625; counts: 1173799
sfh 0.161935 0.00727848 0.0304918 0.00727723 #avg: 0.0235896; avg_err: 6.75352e-05; sd: 0.0731689; counts: 1173799
sfh 0.166998 0.00820561 0.0306152 0.00799814 #avg: 0.0243715; avg_err: 6.79923e-05; sd: 0.0736642; counts: 1173799
sfh 0.17206 0.00877818 0.0301956 0.00829075 #avg: 0.0246957; avg_err: 6.52545e-05; sd: 0.070698; counts: 1173799
sfh 0.177123 0.00902742 0.0299908 0.00825568 #avg: 0.0249269; avg_err: 6.54331e-05; sd: 0.0708915; counts: 1173799
sfh 0.182185 0.00922859 0.0299544 0.00820561 #avg: 0.0251194; avg_err: 6.48776e-05; sd: 0.0702897; counts: 1173799
sfh 0.187248 0.00936526 0.029687 0.00814325 #avg: 0.0251721; avg_err: 6.4008e-05; sd: 0.0693475; counts: 1173799
sfh 0.19231 0.00947466 0.0295738 0.00807072 #avg: 0.0252397; avg_err: 6.42374e-05; sd: 0.0695961; counts: 1173799
sfh 0.197373 0.0095807 0.0292417 0.00802565 #avg: 0.0253023; avg_err: 6.5717e-05; sd: 0.0711991; counts: 1173799
sfh 0.202435 0.00967953 0.0291132 0.00798459 #avg: 0.0253124; avg_err: 6.38582e-05; sd: 0.0691853; counts: 1173799
sfh 0.207498 0.00980285 0.0290639 0.00797351 #avg: 0.025377; avg_err: 6.41843e-05; sd: 0.0695386; counts: 1173799
sfh 0.21256 0.00988238 0.0290633 0.00793456 #avg: 0.0253757; avg_err: 6.29373e-05; sd: 0.0681876; counts: 1173799
sfh 0.217623 0.00995717 0.0289901 0.00790432 #avg: 0.0254339; avg_err: 6.20787e-05; sd: 0.0672573; counts: 1173799
sfh 0.222685 0.0099187 0.0290213 0.00785748 #avg: 0.0254124; avg_err: 6.1382e-05; sd: 0.0665025; counts: 1173799
sfh 0.227748 0.00995343 0.0290322 0.00787041 #avg: 0.025429; avg_err: 5.99928e-05; sd: 0.0649973; counts: 1173799
sfh 0.23281 0.0100108 0.0291549 0.00790466 #avg: 0.0255429; avg_err: 6.08719e-05; sd: 0.0659498; counts: 1173799
sfh 0.237873 0.0100726 0.029108 0.00791814 #avg: 0.0256327; avg_err: 6.13383e-05; sd: 0.0664552; counts: 1173799
sfh 0.242935 0.0101644 0.028971 0.00795168 #avg: 0.0256618; avg_err: 5.96996e-05; sd: 0.0646798; counts: 1173799
sfh 0.247998 0.0103706 0.0292056 0.00809287 #avg: 0.0258937; avg_err: 5.94839e-05; sd: 0.0644461; counts: 1173799
sfh 0.25306 0.0104744 0.029233 0.00812329 #avg: 0.0259971; avg_err: 5.94197e-05; sd: 0.0643765; counts: 1173799
sfh 0.258123 0.0105782 0.0296309 0.00816327 #avg: 0.0262648; avg_err: 5.94987e-05; sd: 0.064462; counts: 1173799
sfh 0.263185 0.010739 0.0297397 0.00824765 #avg: 0.0264381; avg_err: 6.04317e-05; sd: 0.0654729; counts: 1173799
sfh 0.268248 0.0108328 0.0299418 0.0082615 #avg: 0.0266993; avg_err: 6.21748e-05; sd: 0.0673614; counts: 1173799
sfh 0.27331 0.010988 0.0302962 0.00833968 #avg: 0.0270274; avg_err: 6.069e-05; sd: 0.0657527; counts: 1173799
sfh 0.278373 0.0111381 0.0306531 0.0084193 #avg: 0.0273588; avg_err: 6.08964e-05; sd: 0.0659763; counts: 1173799
sfh 0.283435 0.0113611 0.0315676 0.00857571 #avg: 0.0278751; avg_err: 6.03708e-05; sd: 0.0654069; counts: 1173799
sfh 0.288498 0.0115321 0.0320089 0.00866815 #avg: 0.0282589; avg_err: 6.11834e-05; sd: 0.0662873; counts: 1173799
sfh 0.29356 0.011752 0.0325087 0.00880518 #avg: 0.028719; avg_err: 6.17486e-05; sd: 0.0668997; counts: 1173799
sfh 0.298623 0.0119818 0.0331883 0.00894603 #avg: 0.0292282; avg_err: 6.45138e-05; sd: 0.0698955; counts: 1173799
sfh 0.303685 0.0121972 0.0337979 0.00908677 #avg: 0.0297191; avg_err: 6.49071e-05; sd: 0.0703216; counts: 1173799
sfh 0.308748 0.0124176 0.0343925 0.00921904 #avg: 0.0302357; avg_err: 6.58157e-05; sd: 0.071306; counts: 1173799
sfh 0.31381 0.0126571 0.0350556 0.00936983 #avg: 0.0307886; avg_err: 6.51393e-05; sd: 0.0705732; counts: 1173799
sfh 0.318873 0.0129342 0.0359251 0.00956522 #avg: 0.0314426; avg_err: 6.89317e-05; sd: 0.0746819; counts: 1173799
sfh 0.323935 0.0131658 0.0367269 0.00971537 #avg: 0.0320499; avg_err: 7.00226e-05; sd: 0.0758638; counts: 1173799
sfh 0.328997 0.0134349 0.0374673 0.00988564 #avg: 0.0327015; avg_err: 7.22611e-05; sd: 0.0782891; counts: 1173799
sfh 0.33406 0.0137675 0.0383563 0.0101251 #avg: 0.0334661; avg_err: 7.47472e-05; sd: 0.0809826; counts: 1173799
sfh 0.339122 0.0140949 0.039166 0.0103508 #avg: 0.0341541; avg_err: 7.72078e-05; sd: 0.0836484; counts: 1173799
