#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 10.75 - 11.25
#HM    Stats: 2.936760e+12 (median) + 5.801480e+12  / - 1.607050e+12
#SM    Stats: 7.759370e+10 (median) + 3.600030e+10  / - 2.166000e+10
#ObsSM Stats: 8.109140e+10 (median) + 3.862460e+10  / - 1.858300e+10
#VMP   Stats: 2.643100e+02 (median) + 1.019200e+02  / - 5.425999e+01
#ICL   Stats: 8.998140e+08 (median) + 6.953746e+09  / - 7.607730e+08
#SSFR  Stats: 1.384409e-12 (median) + 2.216813e-12  / - 8.696809e-13
sfh 0.055623 0 0 0 #avg: 2.57857e-08; avg_err: 2.46922e-08; sd: 2.13812e-06; counts: 7499
sfh 0.060123 0 0 0 #avg: 0.000507137; avg_err: 9.72093e-05; sd: 0.00841745; counts: 7499
sfh 0.062373 0 0 0 #avg: 0.00330651; avg_err: 0.000372631; sd: 0.0322665; counts: 7499
sfh 0.064623 0 0 0 #avg: 0.00897211; avg_err: 0.000817622; sd: 0.0707987; counts: 7499
sfh 0.066873 0 0 0 #avg: 0.0221132; avg_err: 0.00163709; sd: 0.141757; counts: 7499
sfh 0.069123 0 0 0 #avg: 0.0466724; avg_err: 0.00297501; sd: 0.257609; counts: 7499
sfh 0.071373 0 0.0203518 0 #avg: 0.0805855; avg_err: 0.00451125; sd: 0.390634; counts: 7499
sfh 0.073623 0 0.0681223 0 #avg: 0.117093; avg_err: 0.00633993; sd: 0.548981; counts: 7499
sfh 0.075873 0 0.14003 0 #avg: 0.156148; avg_err: 0.00693532; sd: 0.600536; counts: 7499
sfh 0.078123 0 0.236185 0 #avg: 0.211376; avg_err: 0.0095588; sd: 0.827706; counts: 7499
sfh 0.080373 0.00559009 0.33417 0.00559009 #avg: 0.272354; avg_err: 0.0110857; sd: 0.959918; counts: 7499
sfh 0.082623 0.0221538 0.42095 0.0221538 #avg: 0.314397; avg_err: 0.0119468; sd: 1.03449; counts: 7499
sfh 0.085998 0.06055 0.590606 0.06055 #avg: 0.440632; avg_err: 0.0150763; sd: 1.30547; counts: 7499
sfh 0.089373 0.115459 0.763284 0.115459 #avg: 0.558288; avg_err: 0.0173537; sd: 1.50267; counts: 7499
sfh 0.092748 0.177146 0.909344 0.172097 #avg: 0.708253; avg_err: 0.0210445; sd: 1.82226; counts: 7499
sfh 0.096123 0.253342 1.10449 0.23464 #avg: 0.901009; avg_err: 0.0270112; sd: 2.33893; counts: 7499
sfh 0.099498 0.332267 1.29314 0.293259 #avg: 1.12877; avg_err: 0.0379781; sd: 3.28856; counts: 7499
sfh 0.102873 0.415211 1.54969 0.351511 #avg: 1.33181; avg_err: 0.038533; sd: 3.33661; counts: 7499
sfh 0.106248 0.504571 1.8274 0.413811 #avg: 1.60891; avg_err: 0.0524215; sd: 4.53923; counts: 7499
sfh 0.109623 0.60059 2.0942 0.484772 #avg: 1.92902; avg_err: 0.0922011; sd: 7.98378; counts: 7499
sfh 0.112998 0.690022 2.47368 0.545162 #avg: 2.15318; avg_err: 0.0696502; sd: 6.03108; counts: 7499
sfh 0.116373 0.794255 2.80616 0.624754 #avg: 2.49934; avg_err: 0.0869385; sd: 7.52809; counts: 7499
sfh 0.119748 0.903294 3.14101 0.70341 #avg: 2.80519; avg_err: 0.0962233; sd: 8.33207; counts: 7499
sfh 0.123123 1.02564 3.46501 0.795629 #avg: 3.16716; avg_err: 0.0978399; sd: 8.47206; counts: 7499
sfh 0.126498 1.13318 3.85789 0.877285 #avg: 3.50251; avg_err: 0.107104; sd: 9.2742; counts: 7499
sfh 0.129873 1.24056 4.35353 0.955628 #avg: 3.85284; avg_err: 0.110291; sd: 9.55024; counts: 7499
sfh 0.133248 1.36217 4.88275 1.05015 #avg: 4.27601; avg_err: 0.132671; sd: 11.4881; counts: 7499
sfh 0.136623 1.47934 5.22197 1.13772 #avg: 4.666; avg_err: 0.138912; sd: 12.0285; counts: 7499
sfh 0.141685 1.62266 6.13935 1.23955 #avg: 5.49363; avg_err: 0.199302; sd: 17.2578; counts: 7499
sfh 0.146748 1.83198 6.91097 1.3986 #avg: 6.14732; avg_err: 0.191533; sd: 16.5851; counts: 7499
sfh 0.15181 2.06895 7.78183 1.58678 #avg: 6.80104; avg_err: 0.193148; sd: 16.7249; counts: 7499
sfh 0.156873 2.2428 8.9089 1.72149 #avg: 7.52933; avg_err: 0.207883; sd: 18.0008; counts: 7499
sfh 0.161935 2.44483 10.2307 1.87855 #avg: 8.6077; avg_err: 0.244478; sd: 21.1696; counts: 7499
sfh 0.166998 2.64906 11.2226 2.04527 #avg: 9.70152; avg_err: 0.278354; sd: 24.103; counts: 7499
sfh 0.17206 2.95035 12.7923 2.28318 #avg: 10.6191; avg_err: 0.299674; sd: 25.9491; counts: 7499
sfh 0.177123 3.18281 13.8027 2.48807 #avg: 11.7013; avg_err: 0.319103; sd: 27.6315; counts: 7499
sfh 0.182185 3.53511 15.1485 2.78601 #avg: 12.8374; avg_err: 0.357013; sd: 30.9141; counts: 7499
sfh 0.187248 3.72921 16.604 2.92891 #avg: 13.8779; avg_err: 0.373173; sd: 32.3135; counts: 7499
sfh 0.19231 4.08941 18.2145 3.23802 #avg: 15.5157; avg_err: 0.448299; sd: 38.8186; counts: 7499
sfh 0.197373 4.42505 19.7028 3.51513 #avg: 16.5936; avg_err: 0.457874; sd: 39.6478; counts: 7499
sfh 0.202435 4.76851 21.519 3.82437 #avg: 17.4403; avg_err: 0.464687; sd: 40.2377; counts: 7499
sfh 0.207498 5.0325 22.2821 4.01999 #avg: 18.2639; avg_err: 0.456326; sd: 39.5137; counts: 7499
sfh 0.21256 5.48617 24.3715 4.4073 #avg: 19.5557; avg_err: 0.491477; sd: 42.5574; counts: 7499
sfh 0.217623 5.89029 27.0276 4.73303 #avg: 21.0307; avg_err: 0.523859; sd: 45.3615; counts: 7499
sfh 0.222685 6.40471 28.9338 5.17629 #avg: 23.0701; avg_err: 0.586718; sd: 50.8045; counts: 7499
sfh 0.227748 6.6326 33.2873 5.35468 #avg: 24.3669; avg_err: 0.58508; sd: 50.6627; counts: 7499
sfh 0.23281 7.22014 34.0468 5.87038 #avg: 25.7131; avg_err: 0.597979; sd: 51.7796; counts: 7499
sfh 0.237873 7.58887 36.9651 6.21202 #avg: 25.9278; avg_err: 0.570322; sd: 49.3847; counts: 7499
sfh 0.242935 8.06359 39.815 6.58707 #avg: 26.9733; avg_err: 0.583923; sd: 50.5625; counts: 7499
sfh 0.247998 8.32564 41.7289 6.77056 #avg: 27.7933; avg_err: 0.589387; sd: 51.0356; counts: 7499
sfh 0.25306 8.82476 43.0467 7.22659 #avg: 28.6199; avg_err: 0.58371; sd: 50.5441; counts: 7499
sfh 0.258123 9.36423 44.7075 7.69653 #avg: 29.7952; avg_err: 0.609957; sd: 52.8168; counts: 7499
sfh 0.263185 9.9273 49.2329 8.23511 #avg: 31.1519; avg_err: 0.628788; sd: 54.4474; counts: 7499
sfh 0.268248 10.4791 52.3611 8.68509 #avg: 32.5358; avg_err: 0.635041; sd: 54.9888; counts: 7499
sfh 0.27331 10.9836 54.4892 9.12684 #avg: 33.6534; avg_err: 0.652181; sd: 56.473; counts: 7499
sfh 0.278373 11.6409 58.0158 9.74777 #avg: 34.8183; avg_err: 0.670379; sd: 58.0487; counts: 7499
sfh 0.283435 12.6006 58.8 10.7214 #avg: 35.6406; avg_err: 0.651224; sd: 56.3901; counts: 7499
sfh 0.288498 13.6725 58.9585 11.817 #avg: 36.7579; avg_err: 0.663158; sd: 57.4235; counts: 7499
sfh 0.29356 14.453 58.9484 12.5976 #avg: 36.9117; avg_err: 0.633888; sd: 54.889; counts: 7499
sfh 0.298623 15.3546 59.2208 13.412 #avg: 37.9131; avg_err: 0.638581; sd: 55.2954; counts: 7499
sfh 0.303685 16.3507 60.1915 14.471 #avg: 38.3538; avg_err: 0.628808; sd: 54.4491; counts: 7499
sfh 0.308748 17.6919 61.3854 15.7464 #avg: 38.6199; avg_err: 0.613819; sd: 53.1512; counts: 7499
sfh 0.31381 18.5796 60.7735 16.7573 #avg: 39.2846; avg_err: 0.617178; sd: 53.442; counts: 7499
sfh 0.318873 19.6707 60.1425 17.8603 #avg: 39.3869; avg_err: 0.59456; sd: 51.4836; counts: 7499
sfh 0.323935 20.3409 59.4048 18.6342 #avg: 39.5329; avg_err: 0.590307; sd: 51.1153; counts: 7499
sfh 0.328997 21.2815 59.323 19.6515 #avg: 39.9069; avg_err: 0.587085; sd: 50.8363; counts: 7499
sfh 0.33406 21.5996 56.5985 20.2707 #avg: 39.0876; avg_err: 0.565384; sd: 48.9572; counts: 7499
sfh 0.339122 21.9889 56.1849 20.7047 #avg: 39.2685; avg_err: 0.569808; sd: 49.3402; counts: 7499
sfh 0.344185 23.4465 55.0415 22.2523 #avg: 39.1326; avg_err: 0.551301; sd: 47.7377; counts: 7499
sfh 0.349247 24.1471 52.3522 22.9857 #avg: 39.1049; avg_err: 0.536028; sd: 46.4152; counts: 7499
sfh 0.35431 24.8845 51.3051 23.9626 #avg: 38.6321; avg_err: 0.517765; sd: 44.8338; counts: 7499
sfh 0.359372 25.8964 49.8398 25.0034 #avg: 38.5057; avg_err: 0.508947; sd: 44.0703; counts: 7499
sfh 0.364435 25.5513 48.2831 24.8187 #avg: 38.0071; avg_err: 0.506362; sd: 43.8464; counts: 7499
sfh 0.369497 25.3877 46.5513 24.7064 #avg: 37.1361; avg_err: 0.490097; sd: 42.4379; counts: 7499
sfh 0.37456 24.0338 45.905 23.4286 #avg: 36.1125; avg_err: 0.48062; sd: 41.6174; counts: 7499
sfh 0.379622 23.5587 44.3817 23.0547 #avg: 35.1082; avg_err: 0.471942; sd: 40.8659; counts: 7499
sfh 0.384685 23.4958 42.8616 23.0071 #avg: 34.1544; avg_err: 0.456826; sd: 39.557; counts: 7499
sfh 0.389747 22.9691 41.9425 22.5564 #avg: 33.4912; avg_err: 0.449144; sd: 38.8918; counts: 7499
sfh 0.39481 22.9519 39.3761 22.5568 #avg: 32.4119; avg_err: 0.435614; sd: 37.7203; counts: 7499
sfh 0.399872 21.6085 38.6784 21.2396 #avg: 31.0559; avg_err: 0.419694; sd: 36.3417; counts: 7499
sfh 0.404935 21.1668 36.9311 20.8402 #avg: 29.854; avg_err: 0.398387; sd: 34.4967; counts: 7499
sfh 0.409997 20.5757 35.9289 20.2713 #avg: 28.8489; avg_err: 0.387802; sd: 33.5802; counts: 7499
sfh 0.41506 19.2406 34.8032 18.9648 #avg: 27.5755; avg_err: 0.373521; sd: 32.3435; counts: 7499
