#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 8.25 - 8.75
#HM    Stats: 9.480880e+10 (median) + 4.967621e+10  / - 3.692640e+10
#SM    Stats: 3.263220e+08 (median) + 1.741690e+08  / - 1.132870e+08
#ObsSM Stats: 3.231750e+08 (median) + 1.505340e+08  / - 1.077370e+08
#VMP   Stats: 9.588000e+01 (median) + 8.270004e+00  / - 7.129997e+00
#ICL   Stats: 1.603550e+06 (median) + 7.371150e+06  / - 1.603550e+06
#SSFR  Stats: 1.874680e-12 (median) + 2.838489e-12  / - 1.147347e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 13954
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 13954
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 13954
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 13954
sfh 0.066873 0 0 0 #avg: 3.28788e-06; avg_err: 3.28788e-06; sd: 0.000388374; counts: 13954
sfh 0.069123 0 0 0 #avg: 1.9885e-05; avg_err: 1.21966e-05; sd: 0.0014407; counts: 13954
sfh 0.071373 0 0 0 #avg: 4.11895e-05; avg_err: 2.07864e-05; sd: 0.00245534; counts: 13954
sfh 0.073623 0 0 0 #avg: 9.41691e-05; avg_err: 3.35408e-05; sd: 0.00396194; counts: 13954
sfh 0.075873 0 0 0 #avg: 0.000329747; avg_err: 0.000112788; sd: 0.0133228; counts: 13954
sfh 0.078123 0 0 0 #avg: 0.000409809; avg_err: 9.68041e-05; sd: 0.0114348; counts: 13954
sfh 0.080373 0 0 0 #avg: 0.000699996; avg_err: 0.000146477; sd: 0.0173023; counts: 13954
sfh 0.082623 0 0 0 #avg: 0.00112802; avg_err: 0.000178948; sd: 0.0211378; counts: 13954
sfh 0.085998 0 0 0 #avg: 0.00186493; avg_err: 0.000191333; sd: 0.0226007; counts: 13954
sfh 0.089373 0 0 0 #avg: 0.00264184; avg_err: 0.000220461; sd: 0.0260415; counts: 13954
sfh 0.092748 0 0 0 #avg: 0.00423655; avg_err: 0.00029494; sd: 0.0348391; counts: 13954
sfh 0.096123 0 0 0 #avg: 0.00605892; avg_err: 0.000348775; sd: 0.0411983; counts: 13954
sfh 0.099498 0 0.00206365 0 #avg: 0.00784269; avg_err: 0.000315749; sd: 0.0372971; counts: 13954
sfh 0.102873 0 0.00901736 0 #avg: 0.0106284; avg_err: 0.000370673; sd: 0.043785; counts: 13954
sfh 0.106248 0 0.0166177 0 #avg: 0.0137135; avg_err: 0.000410943; sd: 0.0485417; counts: 13954
sfh 0.109623 0 0.0251093 0 #avg: 0.0165295; avg_err: 0.000450584; sd: 0.0532243; counts: 13954
