#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 7.75 - 8.25
#HM    Stats: 6.061760e+10 (median) + 2.598530e+10  / - 1.891170e+10
#SM    Stats: 9.388940e+07 (median) + 4.887559e+07  / - 2.845420e+07
#ObsSM Stats: 9.386710e+07 (median) + 5.305690e+07  / - 3.208410e+07
#VMP   Stats: 7.392000e+01 (median) + 6.290001e+00  / - 5.500000e+00
#ICL   Stats: 2.662430e+05 (median) + 2.428567e+06  / - 2.662430e+05
#SSFR  Stats: 4.033661e-10 (median) + 3.871143e-10  / - 1.995052e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 791829
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 791829
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 791829
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 791829
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 791829
sfh 0.069123 0 0 0 #avg: 2.41247e-07; avg_err: 1.42061e-07; sd: 0.000126413; counts: 791829
sfh 0.071373 0 0 0 #avg: 6.04027e-07; avg_err: 2.37086e-07; sd: 0.00021097; counts: 791829
sfh 0.073623 0 0 0 #avg: 7.05141e-07; avg_err: 2.61127e-07; sd: 0.000232363; counts: 791829
sfh 0.075873 0 0 0 #avg: 1.5917e-06; avg_err: 3.32921e-07; sd: 0.000296249; counts: 791829
sfh 0.078123 0 0 0 #avg: 3.56708e-06; avg_err: 5.64377e-07; sd: 0.000502209; counts: 791829
sfh 0.080373 0 0 0 #avg: 8.07477e-06; avg_err: 9.87758e-07; sd: 0.000878954; counts: 791829
sfh 0.082623 0 0 0 #avg: 1.70737e-05; avg_err: 1.39714e-06; sd: 0.00124325; counts: 791829
sfh 0.085998 0 0 0 #avg: 4.57439e-05; avg_err: 2.67736e-06; sd: 0.00238244; counts: 791829
sfh 0.089373 0 0 0 #avg: 9.94045e-05; avg_err: 3.67773e-06; sd: 0.00327262; counts: 791829
sfh 0.092748 0 0 0 #avg: 0.000197771; avg_err: 5.08829e-06; sd: 0.0045278; counts: 791829
sfh 0.096123 0 0 0 #avg: 0.000355072; avg_err: 6.77526e-06; sd: 0.00602894; counts: 791829
sfh 0.099498 0 0 0 #avg: 0.000602378; avg_err: 8.56548e-06; sd: 0.00762197; counts: 791829
sfh 0.102873 0 0 0 #avg: 0.000957354; avg_err: 1.06848e-05; sd: 0.00950782; counts: 791829
sfh 0.106248 0 0 0 #avg: 0.00143217; avg_err: 1.31701e-05; sd: 0.0117194; counts: 791829
sfh 0.109623 0 0 0 #avg: 0.00199112; avg_err: 1.56415e-05; sd: 0.0139186; counts: 791829
sfh 0.112998 0 0 0 #avg: 0.00256828; avg_err: 1.65269e-05; sd: 0.0147064; counts: 791829
sfh 0.116373 0 0.000396964 0 #avg: 0.00310531; avg_err: 1.72221e-05; sd: 0.015325; counts: 791829
sfh 0.119748 0 0.00255575 0 #avg: 0.00364941; avg_err: 1.76425e-05; sd: 0.0156991; counts: 791829
