#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.61667 - 1.78333
#HM    Stats: 1.686760e+10 (median) + 9.573599e+09  / - 5.929400e+09
#SM    Stats: 6.488180e+06 (median) + 6.308520e+06  / - 4.145250e+06
#ObsSM Stats: 6.314080e+06 (median) + 6.553920e+06  / - 4.097210e+06
#VMP   Stats: 5.531000e+01 (median) + 3.899998e+00  / - 6.290001e+00
#ICL   Stats: 0.000000e+00 (median) + 4.034700e+04  / - 0.000000e+00
#SSFR  Stats: 2.160251e-12 (median) + 3.057040e-12  / - 1.324542e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2635
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2635
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2635
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2635
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2635
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2635
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2635
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2635
sfh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2635
sfh 0.078123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2635
sfh 0.080373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2635
sfh 0.082623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2635
sfh 0.085998 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2635
sfh 0.089373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2635
sfh 0.092748 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2635
sfh 0.096123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2635
sfh 0.099498 0 0 0 #avg: 6.33407e-06; avg_err: 4.38095e-06; sd: 0.000224841; counts: 2635
sfh 0.102873 0 0 0 #avg: 1.96116e-05; avg_err: 8.77043e-06; sd: 0.000450121; counts: 2635
sfh 0.106248 0 0 0 #avg: 4.40323e-05; avg_err: 1.68858e-05; sd: 0.000866622; counts: 2635
sfh 0.109623 0 0 0 #avg: 7.91248e-05; avg_err: 2.79725e-05; sd: 0.00143562; counts: 2635
sfh 0.112998 0 0 0 #avg: 0.000113448; avg_err: 3.26434e-05; sd: 0.00167534; counts: 2635
sfh 0.116373 0 0 0 #avg: 0.000187374; avg_err: 4.18301e-05; sd: 0.00214682; counts: 2635
sfh 0.119748 0 0 0 #avg: 0.000292949; avg_err: 5.96257e-05; sd: 0.00306014; counts: 2635
sfh 0.123123 0 0 0 #avg: 0.000355379; avg_err: 6.05321e-05; sd: 0.00310666; counts: 2635
sfh 0.126498 0 0 0 #avg: 0.000482874; avg_err: 8.06977e-05; sd: 0.00414161; counts: 2635
sfh 0.129873 0 0 0 #avg: 0.000502264; avg_err: 7.49523e-05; sd: 0.00384674; counts: 2635
sfh 0.133248 0 0 0 #avg: 0.000585232; avg_err: 6.84169e-05; sd: 0.00351133; counts: 2635
sfh 0.136623 0 0 0 #avg: 0.000626591; avg_err: 6.16611e-05; sd: 0.0031646; counts: 2635
sfh 0.141685 0 0 0 #avg: 0.000818052; avg_err: 7.77917e-05; sd: 0.00399247; counts: 2635
sfh 0.146748 0 0.000470411 0 #avg: 0.00115979; avg_err: 0.000122941; sd: 0.00630965; counts: 2635
sfh 0.15181 0 0.000982999 0 #avg: 0.00131559; avg_err: 0.00011641; sd: 0.00597445; counts: 2635
sfh 0.156873 0 0.00145838 0 #avg: 0.0014374; avg_err: 0.000120728; sd: 0.00619607; counts: 2635
sfh 0.161935 0 0.00211328 0 #avg: 0.00204037; avg_err: 0.000512744; sd: 0.0263153; counts: 2635
sfh 0.166998 0 0.00256533 0 #avg: 0.00203448; avg_err: 0.000284087; sd: 0.0145801; counts: 2635
sfh 0.17206 0 0.002758 0 #avg: 0.0023604; avg_err: 0.000359179; sd: 0.0184339; counts: 2635
sfh 0.177123 0 0.00311557 0 #avg: 0.00260454; avg_err: 0.000634373; sd: 0.0325576; counts: 2635
sfh 0.182185 3.83563e-05 0.00338135 3.83563e-05 #avg: 0.00328841; avg_err: 0.00131115; sd: 0.0672916; counts: 2635
sfh 0.187248 0.000131616 0.00333575 0.000131616 #avg: 0.00652749; avg_err: 0.00448979; sd: 0.230428; counts: 2635
sfh 0.19231 0.000210246 0.00322851 0.000210246 #avg: 0.00801375; avg_err: 0.00600703; sd: 0.308296; counts: 2635
sfh 0.197373 0.000299275 0.00308094 0.000299275 #avg: 0.00680833; avg_err: 0.00481; sd: 0.246861; counts: 2635
sfh 0.202435 0.00038315 0.00285454 0.00038315 #avg: 0.00315883; avg_err: 0.00124688; sd: 0.0639932; counts: 2635
sfh 0.207498 0.000457492 0.00270058 0.000457492 #avg: 0.00300981; avg_err: 0.000800477; sd: 0.0410825; counts: 2635
sfh 0.21256 0.000491941 0.00277481 0.000491941 #avg: 0.00342948; avg_err: 0.00112259; sd: 0.0576142; counts: 2635
sfh 0.217623 0.000523884 0.00255944 0.000523884 #avg: 0.00381738; avg_err: 0.00168437; sd: 0.0864462; counts: 2635
sfh 0.222685 0.000545713 0.00244148 0.000545713 #avg: 0.00317621; avg_err: 0.0011307; sd: 0.0580305; counts: 2635
sfh 0.227748 0.000593135 0.00222018 0.000593135 #avg: 0.00325687; avg_err: 0.00122551; sd: 0.0628964; counts: 2635
sfh 0.23281 0.000614678 0.00195478 0.000614678 #avg: 0.00337516; avg_err: 0.00149867; sd: 0.0769154; counts: 2635
sfh 0.237873 0.00060869 0.00200811 0.00060869 #avg: 0.00319792; avg_err: 0.0013722; sd: 0.0704247; counts: 2635
sfh 0.242935 0.000629981 0.00184461 0.000620643 #avg: 0.00272654; avg_err: 0.000935521; sd: 0.0480133; counts: 2635
sfh 0.247998 0.000585111 0.00196503 0.00056245 #avg: 0.0020677; avg_err: 0.000513201; sd: 0.0263388; counts: 2635
sfh 0.25306 0.000610808 0.00199288 0.000578209 #avg: 0.00203271; avg_err: 0.000366511; sd: 0.0188103; counts: 2635
sfh 0.258123 0.000614937 0.00182397 0.000570795 #avg: 0.00207638; avg_err: 0.000433583; sd: 0.0222525; counts: 2635
sfh 0.263185 0.000626174 0.00187209 0.000569284 #avg: 0.00210843; avg_err: 0.000512981; sd: 0.0263275; counts: 2635
sfh 0.268248 0.000640735 0.00187571 0.00057067 #avg: 0.00193836; avg_err: 0.00046358; sd: 0.0237921; counts: 2635
sfh 0.27331 0.00064688 0.00196154 0.000568813 #avg: 0.00196984; avg_err: 0.000465368; sd: 0.0238839; counts: 2635
sfh 0.278373 0.000650143 0.0020093 0.000566501 #avg: 0.00193026; avg_err: 0.000420062; sd: 0.0215586; counts: 2635
sfh 0.283435 0.000634219 0.00188156 0.000544302 #avg: 0.00191825; avg_err: 0.000437613; sd: 0.0224594; counts: 2635
sfh 0.288498 0.000631084 0.00192366 0.000530837 #avg: 0.00177857; avg_err: 0.000315165; sd: 0.0161751; counts: 2635
sfh 0.29356 0.000641081 0.00195588 0.000529487 #avg: 0.0016954; avg_err: 0.000284901; sd: 0.0146218; counts: 2635
sfh 0.298623 0.000643267 0.00183289 0.000529463 #avg: 0.00169939; avg_err: 0.000259225; sd: 0.0133041; counts: 2635
sfh 0.303685 0.000667278 0.00183028 0.000546444 #avg: 0.0020324; avg_err: 0.00059199; sd: 0.0303824; counts: 2635
sfh 0.308748 0.000721353 0.0018187 0.000589874 #avg: 0.00195193; avg_err: 0.000514551; sd: 0.0264081; counts: 2635
sfh 0.31381 0.000738615 0.00181128 0.000604176 #avg: 0.00147492; avg_err: 5.02757e-05; sd: 0.00258027; counts: 2635
sfh 0.318873 0.000763043 0.00180462 0.000624698 #avg: 0.00147672; avg_err: 4.62453e-05; sd: 0.00237343; counts: 2635
sfh 0.323935 0.000755492 0.00191819 0.000613205 #avg: 0.00155637; avg_err: 5.89987e-05; sd: 0.00302796; counts: 2635
sfh 0.328997 0.00079191 0.00190839 0.000638443 #avg: 0.00161176; avg_err: 6.58147e-05; sd: 0.00337777; counts: 2635
sfh 0.33406 0.000820683 0.00193066 0.000654285 #avg: 0.00163441; avg_err: 5.61435e-05; sd: 0.00288142; counts: 2635
sfh 0.339122 0.000866271 0.0019113 0.000699183 #avg: 0.00163576; avg_err: 5.53933e-05; sd: 0.00284292; counts: 2635
sfh 0.344185 0.000857777 0.00192681 0.000676984 #avg: 0.00159623; avg_err: 5.26884e-05; sd: 0.0027041; counts: 2635
sfh 0.349247 0.000885619 0.0018991 0.00069711 #avg: 0.00158993; avg_err: 4.65199e-05; sd: 0.00238752; counts: 2635
sfh 0.35431 0.000860002 0.001765 0.000668882 #avg: 0.00157764; avg_err: 4.81548e-05; sd: 0.00247143; counts: 2635
sfh 0.359372 0.000876307 0.00183116 0.00067897 #avg: 0.00162039; avg_err: 5.06962e-05; sd: 0.00260186; counts: 2635
sfh 0.364435 0.000893147 0.00183172 0.000689852 #avg: 0.001611; avg_err: 4.89163e-05; sd: 0.00251051; counts: 2635
sfh 0.369497 0.000907767 0.00194141 0.000705791 #avg: 0.00158826; avg_err: 4.23041e-05; sd: 0.00217115; counts: 2635
sfh 0.37456 0.000909581 0.00193188 0.000692082 #avg: 0.00159611; avg_err: 4.32645e-05; sd: 0.00222044; counts: 2635
sfh 0.379622 0.000946438 0.00181761 0.000724149 #avg: 0.00162047; avg_err: 4.45566e-05; sd: 0.00228675; counts: 2635
sfh 0.384685 0.000937312 0.00200499 0.000702263 #avg: 0.00166878; avg_err: 4.44203e-05; sd: 0.00227976; counts: 2635
sfh 0.389747 0.00100033 0.0019522 0.000756759 #avg: 0.00169373; avg_err: 5.15499e-05; sd: 0.00264567; counts: 2635
sfh 0.39481 0.00101466 0.00198677 0.000762156 #avg: 0.00171721; avg_err: 5.22733e-05; sd: 0.0026828; counts: 2635
sfh 0.399872 0.00103721 0.00202371 0.00078909 #avg: 0.00174751; avg_err: 4.49405e-05; sd: 0.00230646; counts: 2635
sfh 0.404935 0.00102752 0.00197687 0.000776124 #avg: 0.00173504; avg_err: 4.39521e-05; sd: 0.00225573; counts: 2635
sfh 0.409997 0.00104805 0.00196124 0.000786146 #avg: 0.00173945; avg_err: 4.51145e-05; sd: 0.00231539; counts: 2635
sfh 0.41506 0.00109172 0.00192101 0.000824915 #avg: 0.00177386; avg_err: 4.80461e-05; sd: 0.00246584; counts: 2635
sfh 0.420122 0.00110723 0.00188151 0.000834184 #avg: 0.00185146; avg_err: 5.22811e-05; sd: 0.0026832; counts: 2635
sfh 0.425185 0.00114069 0.00193249 0.000858361 #avg: 0.00186757; avg_err: 5.30395e-05; sd: 0.00272212; counts: 2635
sfh 0.430247 0.00118881 0.00197533 0.000892006 #avg: 0.00187339; avg_err: 5.57475e-05; sd: 0.0028611; counts: 2635
sfh 0.43531 0.00117519 0.00203775 0.000857283 #avg: 0.0018614; avg_err: 5.0959e-05; sd: 0.00261534; counts: 2635
sfh 0.440372 0.00118753 0.00194684 0.000853464 #avg: 0.00188353; avg_err: 5.38322e-05; sd: 0.0027628; counts: 2635
sfh 0.445435 0.00120099 0.00207548 0.00086617 #avg: 0.0018871; avg_err: 6.11008e-05; sd: 0.00313585; counts: 2635
sfh 0.450497 0.00121581 0.00207551 0.000881614 #avg: 0.00186958; avg_err: 4.78946e-05; sd: 0.00245807; counts: 2635
sfh 0.45556 0.00122674 0.0020365 0.000884923 #avg: 0.00199292; avg_err: 8.9741e-05; sd: 0.00460573; counts: 2635
sfh 0.460622 0.0012307 0.00204496 0.000870579 #avg: 0.00196141; avg_err: 6.48215e-05; sd: 0.0033268; counts: 2635
sfh 0.465685 0.00125922 0.00205227 0.000899743 #avg: 0.00197031; avg_err: 5.62847e-05; sd: 0.00288867; counts: 2635
sfh 0.470747 0.00126987 0.00205938 0.00088941 #avg: 0.00198168; avg_err: 5.65491e-05; sd: 0.00290224; counts: 2635
sfh 0.47581 0.00128404 0.00202719 0.000885813 #avg: 0.00198427; avg_err: 6.23725e-05; sd: 0.00320112; counts: 2635
sfh 0.480872 0.0013332 0.00198172 0.000918914 #avg: 0.0020093; avg_err: 6.53617e-05; sd: 0.00335453; counts: 2635
sfh 0.485935 0.00133077 0.00196073 0.000917582 #avg: 0.00198203; avg_err: 5.24229e-05; sd: 0.00269048; counts: 2635
sfh 0.490997 0.00133621 0.00199837 0.000921744 #avg: 0.00200638; avg_err: 5.58727e-05; sd: 0.00286752; counts: 2635
sfh 0.49606 0.00133984 0.00202396 0.00091806 #avg: 0.00199518; avg_err: 5.71544e-05; sd: 0.00293331; counts: 2635
sfh 0.501122 0.00132013 0.00204479 0.000893031 #avg: 0.00196578; avg_err: 4.9228e-05; sd: 0.0025265; counts: 2635
sfh 0.506185 0.00132891 0.00201447 0.000884673 #avg: 0.00196699; avg_err: 4.81601e-05; sd: 0.0024717; counts: 2635
sfh 0.511247 0.00133515 0.00198304 0.000886815 #avg: 0.00198238; avg_err: 5.29628e-05; sd: 0.00271818; counts: 2635
sfh 0.51631 0.00129188 0.00203393 0.000850853 #avg: 0.00198827; avg_err: 5.80646e-05; sd: 0.00298002; counts: 2635
sfh 0.521372 0.00132042 0.00197643 0.000883631 #avg: 0.00196714; avg_err: 4.58794e-05; sd: 0.00235464; counts: 2635
sfh 0.526435 0.00133175 0.00201011 0.000897559 #avg: 0.001993; avg_err: 5.24963e-05; sd: 0.00269424; counts: 2635
sfh 0.531497 0.00132643 0.00199882 0.00089919 #avg: 0.00196838; avg_err: 5.01388e-05; sd: 0.00257325; counts: 2635
sfh 0.53656 0.00132932 0.00192013 0.000907083 #avg: 0.00191637; avg_err: 4.44743e-05; sd: 0.00228254; counts: 2635
sfh 0.541622 0.00132074 0.00190018 0.000890142 #avg: 0.00190501; avg_err: 4.50669e-05; sd: 0.00231295; counts: 2635
sfh 0.546685 0.00130995 0.00173756 0.000869755 #avg: 0.00187216; avg_err: 4.45637e-05; sd: 0.00228712; counts: 2635
sfh 0.551747 0.00128233 0.00182407 0.000856207 #avg: 0.00187187; avg_err: 4.44186e-05; sd: 0.00227967; counts: 2635
sfh 0.55681 0.00129067 0.00176703 0.000871033 #avg: 0.00186427; avg_err: 5.80117e-05; sd: 0.00297731; counts: 2635
sfh 0.561872 0.0012587 0.00175259 0.000828974 #avg: 0.00182712; avg_err: 5.50774e-05; sd: 0.00282671; counts: 2635
sfh 0.566935 0.00124658 0.00164873 0.000824018 #avg: 0.00179657; avg_err: 5.55316e-05; sd: 0.00285002; counts: 2635
sfh 0.571997 0.00122557 0.00161308 0.000822522 #avg: 0.00175452; avg_err: 5.40394e-05; sd: 0.00277344; counts: 2635
sfh 0.57706 0.00123133 0.00157964 0.000839964 #avg: 0.00175257; avg_err: 5.18499e-05; sd: 0.00266107; counts: 2635
sfh 0.582123 0.00117835 0.00156478 0.000787797 #avg: 0.00170243; avg_err: 4.73127e-05; sd: 0.00242821; counts: 2635
sfh 0.587185 0.00115694 0.00152201 0.000776087 #avg: 0.00165398; avg_err: 4.22231e-05; sd: 0.002167; counts: 2635
sfh 0.592248 0.00111995 0.00142688 0.000748288 #avg: 0.00156951; avg_err: 3.73761e-05; sd: 0.00191824; counts: 2635
sfh 0.59731 0.00108945 0.00132646 0.000736662 #avg: 0.00159724; avg_err: 0.000111068; sd: 0.0057003; counts: 2635
