#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.11667 - 2.28333
#HM    Stats: 4.775000e+11 (median) + 3.288240e+11  / - 1.926470e+11
#SM    Stats: 1.089150e+10 (median) + 1.377450e+10  / - 5.957100e+09
#ObsSM Stats: 1.081670e+10 (median) + 1.421460e+10  / - 6.089391e+09
#VMP   Stats: 1.496200e+02 (median) + 2.367000e+01  / - 1.389000e+01
#ICL   Stats: 3.740690e+07 (median) + 1.500761e+08  / - 3.194472e+07
#SSFR  Stats: 1.052037e-10 (median) + 3.403882e-10  / - 1.039887e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 68009
sfh 0.060123 0 0 0 #avg: 8.96043e-06; avg_err: 3.23332e-06; sd: 0.000843196; counts: 68009
sfh 0.062373 0 0 0 #avg: 8.37651e-05; avg_err: 1.51682e-05; sd: 0.00395562; counts: 68009
sfh 0.064623 0 0 0 #avg: 0.000347859; avg_err: 5.00461e-05; sd: 0.0130512; counts: 68009
sfh 0.066873 0 0 0 #avg: 0.000887808; avg_err: 0.000102508; sd: 0.0267323; counts: 68009
sfh 0.069123 0 0 0 #avg: 0.00166073; avg_err: 0.000133064; sd: 0.034701; counts: 68009
sfh 0.071373 0 0 0 #avg: 0.00315302; avg_err: 0.000215673; sd: 0.056244; counts: 68009
sfh 0.073623 0 0 0 #avg: 0.00473119; avg_err: 0.000252202; sd: 0.0657702; counts: 68009
sfh 0.075873 0 0 0 #avg: 0.00692534; avg_err: 0.000298992; sd: 0.0779721; counts: 68009
sfh 0.078123 0 0 0 #avg: 0.0104241; avg_err: 0.000422888; sd: 0.110282; counts: 68009
sfh 0.080373 0 0 0 #avg: 0.014055; avg_err: 0.000428394; sd: 0.111718; counts: 68009
sfh 0.082623 0 0 0 #avg: 0.017824; avg_err: 0.000428615; sd: 0.111776; counts: 68009
sfh 0.085998 0 0.0146082 0 #avg: 0.0269844; avg_err: 0.000519485; sd: 0.135473; counts: 68009
sfh 0.089373 0 0.038639 0 #avg: 0.0381453; avg_err: 0.00062558; sd: 0.163141; counts: 68009
sfh 0.092748 0 0.068783 0 #avg: 0.0518522; avg_err: 0.000781332; sd: 0.203758; counts: 68009
sfh 0.096123 0.000742132 0.100582 0.000742132 #avg: 0.0672793; avg_err: 0.000891758; sd: 0.232556; counts: 68009
sfh 0.099498 0.00811627 0.125475 0.00811627 #avg: 0.083978; avg_err: 0.00112083; sd: 0.292295; counts: 68009
sfh 0.102873 0.0186202 0.145519 0.0186202 #avg: 0.101051; avg_err: 0.00123909; sd: 0.323134; counts: 68009
sfh 0.106248 0.0298736 0.167162 0.0298736 #avg: 0.119577; avg_err: 0.00126291; sd: 0.329347; counts: 68009
sfh 0.109623 0.0420302 0.185964 0.0420302 #avg: 0.13822; avg_err: 0.00128815; sd: 0.335928; counts: 68009
sfh 0.112998 0.0531935 0.205212 0.0525403 #avg: 0.15809; avg_err: 0.00143149; sd: 0.373309; counts: 68009
sfh 0.116373 0.0629764 0.224025 0.0596991 #avg: 0.177258; avg_err: 0.00159023; sd: 0.414705; counts: 68009
sfh 0.119748 0.0727906 0.246104 0.066252 #avg: 0.200017; avg_err: 0.00218633; sd: 0.570158; counts: 68009
sfh 0.123123 0.0829602 0.262894 0.0731942 #avg: 0.218621; avg_err: 0.00197405; sd: 0.5148; counts: 68009
sfh 0.126498 0.0930744 0.284831 0.0800081 #avg: 0.238501; avg_err: 0.00208509; sd: 0.543758; counts: 68009
sfh 0.129873 0.104125 0.308379 0.0875188 #avg: 0.258277; avg_err: 0.00219871; sd: 0.573386; counts: 68009
sfh 0.133248 0.114921 0.328211 0.0946798 #avg: 0.280714; avg_err: 0.00258072; sd: 0.67301; counts: 68009
