#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.668185 (z=0.496592) stellar mass
#mpeak range: 10.25 - 10.75
#HM    Stats: 3.805880e+10 (median) + 1.252940e+10  / - 1.322060e+10
#SM    Stats: 7.358560e+07 (median) + 1.577154e+08  / - 5.552210e+07
#ObsSM Stats: 7.260850e+07 (median) + 1.601135e+08  / - 5.500500e+07
#VMP   Stats: 7.796000e+01 (median) + 1.388000e+01  / - 1.434000e+01
#ICL   Stats: 1.548400e+04 (median) + 1.407546e+06  / - 1.548400e+04
#SSFR  Stats: 1.902010e-12 (median) + 2.673939e-12  / - 1.145084e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 11254
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 11254
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 11254
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 11254
sfh 0.066873 0 0 0 #avg: 1.83254e-14; avg_err: 1.31606e-14; sd: 1.39608e-12; counts: 11254
sfh 0.069123 0 0 0 #avg: 2.76273e-14; avg_err: 1.89557e-14; sd: 2.01082e-12; counts: 11254
sfh 0.071373 0 0 0 #avg: 6.9019e-14; avg_err: 3.80335e-14; sd: 4.0346e-12; counts: 11254
sfh 0.073623 0 0 0 #avg: 1.54698e-13; avg_err: 6.42262e-14; sd: 6.81313e-12; counts: 11254
sfh 0.075873 0 0 0 #avg: 6.77173e-13; avg_err: 2.49012e-13; sd: 2.64152e-11; counts: 11254
sfh 0.078123 0 0 0 #avg: 9.19696e-13; avg_err: 2.23639e-13; sd: 2.37236e-11; counts: 11254
sfh 0.080373 0 0 0 #avg: 1.64338e-12; avg_err: 3.4466e-13; sd: 3.65616e-11; counts: 11254
sfh 0.082623 0 0 0 #avg: 2.58516e-12; avg_err: 4.11652e-13; sd: 4.36681e-11; counts: 11254
sfh 0.085998 0 0 0 #avg: 4.29767e-12; avg_err: 5.63971e-13; sd: 5.98262e-11; counts: 11254
sfh 0.089373 0 0 0 #avg: 6.82215e-12; avg_err: 6.96538e-13; sd: 7.38889e-11; counts: 11254
sfh 0.092748 0 0 0 #avg: 1.16421e-11; avg_err: 1.04308e-12; sd: 1.1065e-10; counts: 11254
sfh 0.096123 0 0 0 #avg: 1.7179e-11; avg_err: 1.29644e-12; sd: 1.37527e-10; counts: 11254
sfh 0.099498 0 0 0 #avg: 2.28005e-11; avg_err: 1.30525e-12; sd: 1.38461e-10; counts: 11254
sfh 0.102873 0 0 0 #avg: 3.1032e-11; avg_err: 1.48961e-12; sd: 1.58018e-10; counts: 11254
sfh 0.106248 0 1.28586e-11 0 #avg: 4.13484e-11; avg_err: 1.82623e-12; sd: 1.93727e-10; counts: 11254
sfh 0.109623 0 3.89593e-11 0 #avg: 4.97679e-11; avg_err: 1.8883e-12; sd: 2.00311e-10; counts: 11254
sfh 0.112998 0 7.00625e-11 0 #avg: 6.3095e-11; avg_err: 2.16592e-12; sd: 2.29761e-10; counts: 11254
sfh 0.116373 0 1.00373e-10 0 #avg: 7.56282e-11; avg_err: 2.81706e-12; sd: 2.98834e-10; counts: 11254
sfh 0.119748 0 1.24029e-10 0 #avg: 8.69485e-11; avg_err: 2.58807e-12; sd: 2.74543e-10; counts: 11254
sfh 0.123123 0 1.55074e-10 0 #avg: 9.72311e-11; avg_err: 2.57159e-12; sd: 2.72795e-10; counts: 11254
sfh 0.126498 0 1.87893e-10 0 #avg: 1.09405e-10; avg_err: 2.74679e-12; sd: 2.91379e-10; counts: 11254
sfh 0.129873 0 2.14918e-10 0 #avg: 1.17017e-10; avg_err: 2.65577e-12; sd: 2.81724e-10; counts: 11254
sfh 0.133248 5.27765e-12 2.34022e-10 5.27765e-12 #avg: 1.28893e-10; avg_err: 2.99071e-12; sd: 3.17255e-10; counts: 11254
sfh 0.136623 1.55515e-11 2.44955e-10 1.55515e-11 #avg: 1.43116e-10; avg_err: 3.10608e-12; sd: 3.29494e-10; counts: 11254
sfh 0.141685 2.96502e-11 2.72397e-10 2.96502e-11 #avg: 1.58829e-10; avg_err: 3.24509e-12; sd: 3.4424e-10; counts: 11254
