#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.668185 (z=0.496592) stellar mass
#mpeak range: 10.75 - 11.25
#HM    Stats: 8.636760e+10 (median) + 4.672040e+10  / - 2.301470e+10
#SM    Stats: 1.756110e+08 (median) + 3.227150e+08  / - 1.075614e+08
#ObsSM Stats: 1.744770e+08 (median) + 3.315890e+08  / - 1.091327e+08
#VMP   Stats: 8.104000e+01 (median) + 1.254000e+01  / - 9.930000e+00
#ICL   Stats: 9.585230e+05 (median) + 5.204777e+06  / - 9.452702e+05
#SSFR  Stats: 4.256236e-10 (median) + 4.107229e-10  / - 2.098832e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1172709
sfh 0.060123 0 0 0 #avg: 1.31793e-16; avg_err: 1.14888e-16; sd: 1.24414e-13; counts: 1172709
sfh 0.062373 0 0 0 #avg: 2.04041e-16; avg_err: 1.0148e-16; sd: 1.09894e-13; counts: 1172709
sfh 0.064623 0 0 0 #avg: 9.78413e-16; avg_err: 2.95039e-16; sd: 3.19502e-13; counts: 1172709
sfh 0.066873 0 0 0 #avg: 3.60605e-15; avg_err: 1.27474e-15; sd: 1.38043e-12; counts: 1172709
sfh 0.069123 0 0 0 #avg: 9.47193e-15; avg_err: 2.06445e-15; sd: 2.23563e-12; counts: 1172709
sfh 0.071373 0 0 0 #avg: 2.05371e-14; avg_err: 4.46261e-15; sd: 4.83263e-12; counts: 1172709
sfh 0.073623 0 0 0 #avg: 3.55965e-14; avg_err: 5.31003e-15; sd: 5.75032e-12; counts: 1172709
sfh 0.075873 0 0 0 #avg: 6.74161e-14; avg_err: 6.04982e-15; sd: 6.55145e-12; counts: 1172709
sfh 0.078123 0 0 0 #avg: 1.15559e-13; avg_err: 7.59061e-15; sd: 8.22e-12; counts: 1172709
sfh 0.080373 0 0 0 #avg: 2.09122e-13; avg_err: 9.6782e-15; sd: 1.04807e-11; counts: 1172709
sfh 0.082623 0 0 0 #avg: 3.53729e-13; avg_err: 1.24788e-14; sd: 1.35135e-11; counts: 1172709
sfh 0.085998 0 0 0 #avg: 7.2424e-13; avg_err: 1.74985e-14; sd: 1.89494e-11; counts: 1172709
sfh 0.089373 0 0 0 #avg: 1.34896e-12; avg_err: 2.3896e-14; sd: 2.58774e-11; counts: 1172709
sfh 0.092748 0 0 0 #avg: 2.32267e-12; avg_err: 2.91957e-14; sd: 3.16165e-11; counts: 1172709
sfh 0.096123 0 0 0 #avg: 3.81922e-12; avg_err: 3.8299e-14; sd: 4.14746e-11; counts: 1172709
sfh 0.099498 0 0 0 #avg: 5.90644e-12; avg_err: 4.74755e-14; sd: 5.1412e-11; counts: 1172709
sfh 0.102873 0 0 0 #avg: 8.71675e-12; avg_err: 5.96826e-14; sd: 6.46313e-11; counts: 1172709
sfh 0.106248 0 0 0 #avg: 1.23045e-11; avg_err: 7.25432e-14; sd: 7.85582e-11; counts: 1172709
sfh 0.109623 0 2.48613e-12 0 #avg: 1.62742e-11; avg_err: 8.21032e-14; sd: 8.89109e-11; counts: 1172709
sfh 0.112998 0 1.22871e-11 0 #avg: 2.04017e-11; avg_err: 8.87008e-14; sd: 9.60556e-11; counts: 1172709
sfh 0.116373 0 2.39061e-11 0 #avg: 2.43271e-11; avg_err: 9.42457e-14; sd: 1.0206e-10; counts: 1172709
sfh 0.119748 0 3.56027e-11 0 #avg: 2.80964e-11; avg_err: 9.65639e-14; sd: 1.04571e-10; counts: 1172709
sfh 0.123123 0 4.64227e-11 0 #avg: 3.21963e-11; avg_err: 1.02156e-13; sd: 1.10627e-10; counts: 1172709
sfh 0.126498 0 5.70778e-11 0 #avg: 3.67546e-11; avg_err: 1.08731e-13; sd: 1.17747e-10; counts: 1172709
sfh 0.129873 0 6.78076e-11 0 #avg: 4.1721e-11; avg_err: 1.16507e-13; sd: 1.26168e-10; counts: 1172709
sfh 0.133248 1.54958e-12 7.75183e-11 1.54958e-12 #avg: 4.69609e-11; avg_err: 1.22087e-13; sd: 1.3221e-10; counts: 1172709
sfh 0.136623 5.22116e-12 8.46192e-11 5.22116e-12 #avg: 5.25019e-11; avg_err: 1.29628e-13; sd: 1.40376e-10; counts: 1172709
sfh 0.141685 1.10151e-11 9.4173e-11 1.10151e-11 #avg: 6.05299e-11; avg_err: 1.3939e-13; sd: 1.50948e-10; counts: 1172709
sfh 0.146748 1.71348e-11 1.02488e-10 1.71348e-11 #avg: 6.81867e-11; avg_err: 1.4611e-13; sd: 1.58224e-10; counts: 1172709
sfh 0.15181 2.3302e-11 1.0882e-10 2.3302e-11 #avg: 7.53727e-11; avg_err: 1.5329e-13; sd: 1.66e-10; counts: 1172709
