#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.668185 (z=0.496592) stellar mass
#mpeak range: 11.25 - 11.75
#HM    Stats: 3.188240e+11 (median) + 1.510290e+11  / - 1.039710e+11
#SM    Stats: 3.198750e+09 (median) + 5.794000e+09  / - 2.135290e+09
#ObsSM Stats: 3.176320e+09 (median) + 6.017720e+09  / - 2.138000e+09
#VMP   Stats: 1.279100e+02 (median) + 1.970000e+01  / - 1.702000e+01
#ICL   Stats: 1.644000e+07 (median) + 5.986100e+07  / - 1.330318e+07
#SSFR  Stats: 1.919604e-12 (median) + 2.673430e-12  / - 1.175332e-12
sfh 0.055623 0 0 0 #avg: 6.59853e-22; avg_err: 6.59853e-22; sd: 1.50184e-19; counts: 51804
sfh 0.060123 0 0 0 #avg: 1.05162e-16; avg_err: 8.11646e-17; sd: 1.84733e-14; counts: 51804
sfh 0.062373 0 0 0 #avg: 1.99032e-15; avg_err: 6.49087e-16; sd: 1.47734e-13; counts: 51804
sfh 0.064623 0 0 0 #avg: 1.33026e-14; avg_err: 3.16021e-15; sd: 7.19273e-13; counts: 51804
sfh 0.066873 0 0 0 #avg: 4.0267e-14; avg_err: 8.33477e-15; sd: 1.89702e-12; counts: 51804
sfh 0.069123 0 0 0 #avg: 8.87248e-14; avg_err: 1.46363e-14; sd: 3.33127e-12; counts: 51804
sfh 0.071373 0 0 0 #avg: 1.9462e-13; avg_err: 2.51093e-14; sd: 5.71494e-12; counts: 51804
sfh 0.073623 0 0 0 #avg: 2.64524e-13; avg_err: 2.43971e-14; sd: 5.55285e-12; counts: 51804
sfh 0.075873 0 0 0 #avg: 4.22695e-13; avg_err: 3.26266e-14; sd: 7.4259e-12; counts: 51804
sfh 0.078123 0 0 0 #avg: 7.35007e-13; avg_err: 4.84111e-14; sd: 1.10185e-11; counts: 51804
sfh 0.080373 0 0 0 #avg: 1.06067e-12; avg_err: 5.55471e-14; sd: 1.26427e-11; counts: 51804
sfh 0.082623 0 0 0 #avg: 1.47827e-12; avg_err: 6.25248e-14; sd: 1.42308e-11; counts: 51804
sfh 0.085998 0 0 0 #avg: 2.43441e-12; avg_err: 8.17349e-14; sd: 1.86031e-11; counts: 51804
sfh 0.089373 0 5.73747e-13 0 #avg: 3.66155e-12; avg_err: 1.01374e-13; sd: 2.3073e-11; counts: 51804
sfh 0.092748 0 3.21413e-12 0 #avg: 5.19365e-12; avg_err: 1.32763e-13; sd: 3.02173e-11; counts: 51804
sfh 0.096123 0 6.98863e-12 0 #avg: 6.96318e-12; avg_err: 1.46719e-13; sd: 3.33936e-11; counts: 51804
sfh 0.099498 0 1.14457e-11 0 #avg: 9.04591e-12; avg_err: 1.49952e-13; sd: 3.41294e-11; counts: 51804
sfh 0.102873 2.63185e-17 1.64141e-11 2.63185e-17 #avg: 1.12487e-11; avg_err: 1.60255e-13; sd: 3.64745e-11; counts: 51804
sfh 0.106248 8.98506e-13 2.09095e-11 8.98506e-13 #avg: 1.38454e-11; avg_err: 1.79389e-13; sd: 4.08295e-11; counts: 51804
sfh 0.109623 2.33133e-12 2.45907e-11 2.33133e-12 #avg: 1.66952e-11; avg_err: 2.06243e-13; sd: 4.69415e-11; counts: 51804
sfh 0.112998 4.00777e-12 2.80397e-11 4.00777e-12 #avg: 1.97391e-11; avg_err: 2.41117e-13; sd: 5.48789e-11; counts: 51804
sfh 0.116373 5.72078e-12 3.05515e-11 5.72078e-12 #avg: 2.25103e-11; avg_err: 2.66231e-13; sd: 6.05949e-11; counts: 51804
sfh 0.119748 7.2883e-12 3.34299e-11 7.2883e-12 #avg: 2.52156e-11; avg_err: 2.82799e-13; sd: 6.43658e-11; counts: 51804
sfh 0.123123 8.83281e-12 3.61484e-11 8.72015e-12 #avg: 2.78678e-11; avg_err: 3.11862e-13; sd: 7.09806e-11; counts: 51804
sfh 0.126498 1.05327e-11 3.85877e-11 9.96319e-12 #avg: 3.03416e-11; avg_err: 3.10152e-13; sd: 7.05915e-11; counts: 51804
