#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.668185 (z=0.496592) stellar mass
#mpeak range: 11.25 - 11.75
#HM    Stats: 2.598530e+11 (median) + 1.414710e+11  / - 6.294099e+10
#SM    Stats: 2.968730e+09 (median) + 5.800690e+09  / - 1.883840e+09
#ObsSM Stats: 2.944870e+09 (median) + 5.936670e+09  / - 1.899510e+09
#VMP   Stats: 1.204600e+02 (median) + 1.877000e+01  / - 1.426000e+01
#ICL   Stats: 1.197800e+07 (median) + 4.722730e+07  / - 1.010454e+07
#SSFR  Stats: 3.878745e-10 (median) + 3.801639e-10  / - 2.015994e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 83202
sfh 0.060123 0 0 0 #avg: 1.93334e-16; avg_err: 1.04535e-16; sd: 3.01528e-14; counts: 83202
sfh 0.062373 0 0 0 #avg: 3.23508e-15; avg_err: 1.15902e-15; sd: 3.34313e-13; counts: 83202
sfh 0.064623 0 0 0 #avg: 1.01917e-14; avg_err: 3.77264e-15; sd: 1.0882e-12; counts: 83202
sfh 0.066873 0 0 0 #avg: 2.95111e-14; avg_err: 9.1403e-15; sd: 2.63648e-12; counts: 83202
sfh 0.069123 0 0 0 #avg: 6.54112e-14; avg_err: 1.31707e-14; sd: 3.79904e-12; counts: 83202
sfh 0.071373 0 0 0 #avg: 1.19185e-13; avg_err: 1.53973e-14; sd: 4.4413e-12; counts: 83202
sfh 0.073623 0 0 0 #avg: 2.01237e-13; avg_err: 1.98978e-14; sd: 5.73943e-12; counts: 83202
sfh 0.075873 0 0 0 #avg: 2.75697e-13; avg_err: 2.07947e-14; sd: 5.99814e-12; counts: 83202
sfh 0.078123 0 0 0 #avg: 4.39598e-13; avg_err: 2.55019e-14; sd: 7.35591e-12; counts: 83202
sfh 0.080373 0 0 0 #avg: 6.72828e-13; avg_err: 3.14542e-14; sd: 9.07284e-12; counts: 83202
sfh 0.082623 0 0 0 #avg: 9.32506e-13; avg_err: 3.5456e-14; sd: 1.02271e-11; counts: 83202
sfh 0.085998 0 0 0 #avg: 1.59083e-12; avg_err: 4.90647e-14; sd: 1.41525e-11; counts: 83202
sfh 0.089373 0 0 0 #avg: 2.45933e-12; avg_err: 5.72945e-14; sd: 1.65264e-11; counts: 83202
sfh 0.092748 0 1.28145e-12 0 #avg: 3.69671e-12; avg_err: 7.19196e-14; sd: 2.07449e-11; counts: 83202
sfh 0.096123 0 3.98491e-12 0 #avg: 5.17555e-12; avg_err: 8.77168e-14; sd: 2.53015e-11; counts: 83202
sfh 0.099498 0 7.60636e-12 0 #avg: 6.87569e-12; avg_err: 9.58357e-14; sd: 2.76434e-11; counts: 83202
sfh 0.102873 0 1.17642e-11 0 #avg: 8.7008e-12; avg_err: 1.1137e-13; sd: 3.21244e-11; counts: 83202
sfh 0.106248 5.55207e-14 1.6209e-11 5.55207e-14 #avg: 1.08336e-11; avg_err: 1.27531e-13; sd: 3.67857e-11; counts: 83202
sfh 0.109623 1.02036e-12 1.97876e-11 1.02036e-12 #avg: 1.3025e-11; avg_err: 1.37812e-13; sd: 3.97513e-11; counts: 83202
sfh 0.112998 2.34218e-12 2.25461e-11 2.34218e-12 #avg: 1.50823e-11; avg_err: 1.50345e-13; sd: 4.33665e-11; counts: 83202
sfh 0.116373 3.70981e-12 2.44596e-11 3.70981e-12 #avg: 1.7112e-11; avg_err: 1.58483e-13; sd: 4.57139e-11; counts: 83202
sfh 0.119748 5.09574e-12 2.66309e-11 5.09574e-12 #avg: 1.91304e-11; avg_err: 1.65974e-13; sd: 4.78746e-11; counts: 83202
sfh 0.123123 6.44533e-12 2.88098e-11 6.44533e-12 #avg: 2.10021e-11; avg_err: 1.67674e-13; sd: 4.83648e-11; counts: 83202
sfh 0.126498 7.82181e-12 3.07011e-11 7.8155e-12 #avg: 2.31156e-11; avg_err: 1.81774e-13; sd: 5.24318e-11; counts: 83202
sfh 0.129873 9.32415e-12 3.30449e-11 9.01892e-12 #avg: 2.52809e-11; avg_err: 1.8829e-13; sd: 5.43114e-11; counts: 83202
sfh 0.133248 1.06962e-11 3.52923e-11 9.97165e-12 #avg: 2.73921e-11; avg_err: 1.97048e-13; sd: 5.68376e-11; counts: 83202
sfh 0.136623 1.21187e-11 3.71631e-11 1.08985e-11 #avg: 2.94372e-11; avg_err: 2.01037e-13; sd: 5.79884e-11; counts: 83202
sfh 0.141685 1.41625e-11 4.03172e-11 1.22472e-11 #avg: 3.23427e-11; avg_err: 2.18224e-13; sd: 6.29457e-11; counts: 83202
sfh 0.146748 1.61689e-11 4.2747e-11 1.34485e-11 #avg: 3.50375e-11; avg_err: 2.23927e-13; sd: 6.45909e-11; counts: 83202
sfh 0.15181 1.78785e-11 4.50102e-11 1.44085e-11 #avg: 3.72246e-11; avg_err: 2.25802e-13; sd: 6.51317e-11; counts: 83202
sfh 0.156873 1.93518e-11 4.67868e-11 1.51486e-11 #avg: 3.93185e-11; avg_err: 2.29841e-13; sd: 6.62967e-11; counts: 83202
sfh 0.161935 2.08621e-11 4.8782e-11 1.60382e-11 #avg: 4.14973e-11; avg_err: 2.45128e-13; sd: 7.07061e-11; counts: 83202
sfh 0.166998 2.21737e-11 5.02889e-11 1.67077e-11 #avg: 4.34676e-11; avg_err: 2.54936e-13; sd: 7.35353e-11; counts: 83202
sfh 0.17206 2.31353e-11 5.1595e-11 1.72446e-11 #avg: 4.46002e-11; avg_err: 2.47495e-13; sd: 7.13888e-11; counts: 83202
sfh 0.177123 2.41701e-11 5.28788e-11 1.78599e-11 #avg: 4.60524e-11; avg_err: 2.5677e-13; sd: 7.40643e-11; counts: 83202
