#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.668185 (z=0.496592) stellar mass
#obs_sm range: 9.75 - 10.25
#HM    Stats: 5.230880e+11 (median) + 2.711770e+11  / - 1.508820e+11
#SM    Stats: 9.592280e+09 (median) + 5.391120e+09  / - 3.293920e+09
#ObsSM Stats: 9.557310e+09 (median) + 4.877289e+09  / - 2.956801e+09
#VMP   Stats: 1.378000e+02 (median) + 1.725999e+01  / - 1.179000e+01
#ICL   Stats: 3.019580e+07 (median) + 7.504720e+07  / - 2.117138e+07
#SSFR  Stats: 3.508502e-10 (median) + 3.502437e-10  / - 1.812368e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 79246
sfh 0.060123 0 0 0 #avg: 3.29809e-16; avg_err: 1.71504e-16; sd: 4.82793e-14; counts: 79246
sfh 0.062373 0 0 0 #avg: 1.53116e-15; avg_err: 5.31697e-16; sd: 1.49675e-13; counts: 79246
sfh 0.064623 0 0 0 #avg: 7.02597e-15; avg_err: 1.6704e-15; sd: 4.70226e-13; counts: 79246
sfh 0.066873 0 0 0 #avg: 2.03888e-14; avg_err: 3.78039e-15; sd: 1.0642e-12; counts: 79246
sfh 0.069123 0 0 0 #avg: 4.51196e-14; avg_err: 7.02665e-15; sd: 1.97804e-12; counts: 79246
sfh 0.071373 0 0 0 #avg: 9.22806e-14; avg_err: 1.18071e-14; sd: 3.32375e-12; counts: 79246
sfh 0.073623 0 0 0 #avg: 1.45687e-13; avg_err: 1.41634e-14; sd: 3.98707e-12; counts: 79246
sfh 0.075873 0 0 0 #avg: 2.18648e-13; avg_err: 1.51922e-14; sd: 4.27668e-12; counts: 79246
sfh 0.078123 0 0 0 #avg: 3.12464e-13; avg_err: 1.48466e-14; sd: 4.1794e-12; counts: 79246
sfh 0.080373 0 0 0 #avg: 4.68435e-13; avg_err: 1.72945e-14; sd: 4.86849e-12; counts: 79246
sfh 0.082623 0 0 0 #avg: 6.63689e-13; avg_err: 2.07008e-14; sd: 5.82737e-12; counts: 79246
