#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.668185 (z=0.496592) stellar mass
#obs_sm range: 9.75 - 10.25
#HM    Stats: 5.129410e+11 (median) + 4.054410e+11  / - 2.004410e+11
#SM    Stats: 1.038100e+10 (median) + 5.558400e+09  / - 3.698740e+09
#ObsSM Stats: 1.025660e+10 (median) + 4.752800e+09  / - 3.411620e+09
#VMP   Stats: 1.560000e+02 (median) + 2.867000e+01  / - 1.621001e+01
#ICL   Stats: 4.516120e+07 (median) + 2.134458e+08  / - 3.741193e+07
#SSFR  Stats: 1.684948e-12 (median) + 2.766646e-12  / - 1.053020e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 16231
sfh 0.060123 0 0 0 #avg: 4.19132e-16; avg_err: 2.01901e-16; sd: 2.57216e-14; counts: 16231
sfh 0.062373 0 0 0 #avg: 9.60014e-15; avg_err: 3.3926e-15; sd: 4.32207e-13; counts: 16231
sfh 0.064623 0 0 0 #avg: 4.27114e-14; avg_err: 1.06986e-14; sd: 1.36297e-12; counts: 16231
sfh 0.066873 0 0 0 #avg: 8.60636e-14; avg_err: 1.75368e-14; sd: 2.23414e-12; counts: 16231
sfh 0.069123 0 0 0 #avg: 1.91597e-13; avg_err: 2.66837e-14; sd: 3.39943e-12; counts: 16231
sfh 0.071373 0 0 0 #avg: 3.7461e-13; avg_err: 4.27296e-14; sd: 5.44362e-12; counts: 16231
sfh 0.073623 0 0 0 #avg: 5.75625e-13; avg_err: 4.98223e-14; sd: 6.34721e-12; counts: 16231
sfh 0.075873 0 0 0 #avg: 9.10889e-13; avg_err: 7.11944e-14; sd: 9.06995e-12; counts: 16231
sfh 0.078123 0 0 0 #avg: 1.44383e-12; avg_err: 1.07274e-13; sd: 1.36664e-11; counts: 16231
sfh 0.080373 0 0 0 #avg: 1.86313e-12; avg_err: 1.05253e-13; sd: 1.34089e-11; counts: 16231
sfh 0.082623 0 5.83858e-13 0 #avg: 2.28848e-12; avg_err: 1.1163e-13; sd: 1.42213e-11; counts: 16231
sfh 0.085998 0 2.50104e-12 0 #avg: 3.43766e-12; avg_err: 1.59959e-13; sd: 2.03782e-11; counts: 16231
sfh 0.089373 0 5.28297e-12 0 #avg: 4.75301e-12; avg_err: 1.49821e-13; sd: 1.90868e-11; counts: 16231
sfh 0.092748 0 8.84718e-12 0 #avg: 6.50108e-12; avg_err: 2.59645e-13; sd: 3.3078e-11; counts: 16231
sfh 0.096123 4.38401e-13 1.16202e-11 4.38401e-13 #avg: 8.26406e-12; avg_err: 2.12807e-13; sd: 2.7111e-11; counts: 16231
sfh 0.099498 1.39134e-12 1.45535e-11 1.39134e-12 #avg: 1.02861e-11; avg_err: 2.58886e-13; sd: 3.29813e-11; counts: 16231
sfh 0.102873 2.72028e-12 1.6557e-11 2.72028e-12 #avg: 1.27743e-11; avg_err: 3.03282e-13; sd: 3.86372e-11; counts: 16231
sfh 0.106248 3.97458e-12 1.89194e-11 3.97458e-12 #avg: 1.49413e-11; avg_err: 3.22944e-13; sd: 4.1142e-11; counts: 16231
sfh 0.109623 5.21695e-12 2.19239e-11 5.16922e-12 #avg: 1.72811e-11; avg_err: 3.66467e-13; sd: 4.66868e-11; counts: 16231
sfh 0.112998 6.56456e-12 2.40098e-11 6.22196e-12 #avg: 1.93926e-11; avg_err: 3.73138e-13; sd: 4.75367e-11; counts: 16231
sfh 0.116373 7.65442e-12 2.64324e-11 6.92276e-12 #avg: 2.16477e-11; avg_err: 4.07354e-13; sd: 5.18957e-11; counts: 16231
sfh 0.119748 8.74646e-12 2.92663e-11 7.58613e-12 #avg: 2.44341e-11; avg_err: 4.54402e-13; sd: 5.78894e-11; counts: 16231
sfh 0.123123 9.97591e-12 3.1994e-11 8.43263e-12 #avg: 2.71316e-11; avg_err: 4.88436e-13; sd: 6.22253e-11; counts: 16231
sfh 0.126498 1.11573e-11 3.51002e-11 9.19128e-12 #avg: 2.98185e-11; avg_err: 5.39351e-13; sd: 6.87117e-11; counts: 16231
sfh 0.129873 1.24523e-11 3.84077e-11 1.00619e-11 #avg: 3.24274e-11; avg_err: 5.45378e-13; sd: 6.94795e-11; counts: 16231
sfh 0.133248 1.37919e-11 4.02531e-11 1.09367e-11 #avg: 3.5148e-11; avg_err: 5.85314e-13; sd: 7.45672e-11; counts: 16231
sfh 0.136623 1.50372e-11 4.38983e-11 1.17441e-11 #avg: 3.76857e-11; avg_err: 6.53067e-13; sd: 8.31987e-11; counts: 16231
sfh 0.141685 1.68865e-11 4.818e-11 1.29265e-11 #avg: 4.2525e-11; avg_err: 8.42405e-13; sd: 1.0732e-10; counts: 16231
sfh 0.146748 1.86649e-11 5.17697e-11 1.40419e-11 #avg: 4.53938e-11; avg_err: 8.2914e-13; sd: 1.0563e-10; counts: 16231
sfh 0.15181 2.0488e-11 5.588e-11 1.54019e-11 #avg: 4.91794e-11; avg_err: 9.27501e-13; sd: 1.18161e-10; counts: 16231
sfh 0.156873 2.21675e-11 5.93494e-11 1.64951e-11 #avg: 5.32325e-11; avg_err: 9.47272e-13; sd: 1.2068e-10; counts: 16231
sfh 0.161935 2.37676e-11 6.40233e-11 1.74706e-11 #avg: 5.75517e-11; avg_err: 1.08342e-12; sd: 1.38025e-10; counts: 16231
sfh 0.166998 2.51371e-11 6.68315e-11 1.84972e-11 #avg: 5.94965e-11; avg_err: 9.43495e-13; sd: 1.20199e-10; counts: 16231
sfh 0.17206 2.65081e-11 7.10651e-11 1.9458e-11 #avg: 6.2896e-11; avg_err: 1.04379e-12; sd: 1.32976e-10; counts: 16231
sfh 0.177123 2.82338e-11 7.46471e-11 2.08073e-11 #avg: 6.59243e-11; avg_err: 1.03627e-12; sd: 1.32018e-10; counts: 16231
sfh 0.182185 2.98463e-11 7.71314e-11 2.19176e-11 #avg: 6.9589e-11; avg_err: 1.09964e-12; sd: 1.40091e-10; counts: 16231
sfh 0.187248 3.12176e-11 8.05038e-11 2.29977e-11 #avg: 7.328e-11; avg_err: 1.22925e-12; sd: 1.56603e-10; counts: 16231
sfh 0.19231 3.24594e-11 8.48783e-11 2.38147e-11 #avg: 7.69436e-11; avg_err: 1.27514e-12; sd: 1.62449e-10; counts: 16231
sfh 0.197373 3.4559e-11 8.93857e-11 2.56017e-11 #avg: 7.99442e-11; avg_err: 1.31907e-12; sd: 1.68046e-10; counts: 16231
sfh 0.202435 3.62265e-11 9.41341e-11 2.67398e-11 #avg: 8.37151e-11; avg_err: 1.38087e-12; sd: 1.75919e-10; counts: 16231
sfh 0.207498 3.83539e-11 9.61973e-11 2.83027e-11 #avg: 8.67866e-11; avg_err: 1.39072e-12; sd: 1.77174e-10; counts: 16231
sfh 0.21256 4.03996e-11 1.01936e-10 2.97495e-11 #avg: 8.99735e-11; avg_err: 1.43381e-12; sd: 1.82664e-10; counts: 16231
sfh 0.217623 4.19553e-11 1.06449e-10 3.07611e-11 #avg: 9.35496e-11; avg_err: 1.43259e-12; sd: 1.82507e-10; counts: 16231
sfh 0.222685 4.38456e-11 1.12679e-10 3.22855e-11 #avg: 9.76363e-11; avg_err: 1.4266e-12; sd: 1.81744e-10; counts: 16231
sfh 0.227748 4.54929e-11 1.16371e-10 3.34464e-11 #avg: 1.01849e-10; avg_err: 1.57073e-12; sd: 2.00106e-10; counts: 16231
sfh 0.23281 4.7335e-11 1.20103e-10 3.47565e-11 #avg: 1.06088e-10; avg_err: 1.60281e-12; sd: 2.04193e-10; counts: 16231
sfh 0.237873 5.01681e-11 1.22115e-10 3.70375e-11 #avg: 1.09318e-10; avg_err: 1.64164e-12; sd: 2.0914e-10; counts: 16231
sfh 0.242935 5.2832e-11 1.27307e-10 3.90547e-11 #avg: 1.13546e-10; avg_err: 1.75537e-12; sd: 2.23629e-10; counts: 16231
sfh 0.247998 5.47381e-11 1.29873e-10 4.00347e-11 #avg: 1.16922e-10; avg_err: 1.86321e-12; sd: 2.37368e-10; counts: 16231
sfh 0.25306 5.78052e-11 1.33043e-10 4.27045e-11 #avg: 1.21835e-10; avg_err: 1.96423e-12; sd: 2.50237e-10; counts: 16231
sfh 0.258123 6.00451e-11 1.36372e-10 4.40294e-11 #avg: 1.22975e-10; avg_err: 1.74842e-12; sd: 2.22744e-10; counts: 16231
sfh 0.263185 6.24065e-11 1.41543e-10 4.56326e-11 #avg: 1.27266e-10; avg_err: 1.79603e-12; sd: 2.28809e-10; counts: 16231
sfh 0.268248 6.43482e-11 1.46257e-10 4.69644e-11 #avg: 1.3138e-10; avg_err: 1.83623e-12; sd: 2.33931e-10; counts: 16231
sfh 0.27331 6.75229e-11 1.49555e-10 4.94398e-11 #avg: 1.35825e-10; avg_err: 1.84407e-12; sd: 2.34929e-10; counts: 16231
sfh 0.278373 7.00798e-11 1.5547e-10 5.10948e-11 #avg: 1.40033e-10; avg_err: 1.84298e-12; sd: 2.3479e-10; counts: 16231
sfh 0.283435 7.29094e-11 1.61403e-10 5.33099e-11 #avg: 1.45983e-10; avg_err: 2.09203e-12; sd: 2.66519e-10; counts: 16231
sfh 0.288498 7.62943e-11 1.66062e-10 5.53395e-11 #avg: 1.53136e-10; avg_err: 2.312e-12; sd: 2.94543e-10; counts: 16231
sfh 0.29356 7.91775e-11 1.70306e-10 5.72611e-11 #avg: 1.57595e-10; avg_err: 2.2436e-12; sd: 2.85828e-10; counts: 16231
sfh 0.298623 8.23091e-11 1.72109e-10 5.96232e-11 #avg: 1.59638e-10; avg_err: 2.06392e-12; sd: 2.62937e-10; counts: 16231
sfh 0.303685 8.53095e-11 1.80442e-10 6.21568e-11 #avg: 1.64968e-10; avg_err: 2.2745e-12; sd: 2.89765e-10; counts: 16231
sfh 0.308748 8.95607e-11 1.84659e-10 6.57382e-11 #avg: 1.70642e-10; avg_err: 2.23713e-12; sd: 2.85004e-10; counts: 16231
sfh 0.31381 9.31253e-11 1.87863e-10 6.81198e-11 #avg: 1.75501e-10; avg_err: 2.27539e-12; sd: 2.89878e-10; counts: 16231
sfh 0.318873 9.64074e-11 1.9588e-10 7.09727e-11 #avg: 1.81333e-10; avg_err: 2.28021e-12; sd: 2.90492e-10; counts: 16231
sfh 0.323935 9.80132e-11 2.01866e-10 7.20241e-11 #avg: 1.87379e-10; avg_err: 2.40032e-12; sd: 3.05793e-10; counts: 16231
sfh 0.328997 1.03626e-10 2.12411e-10 7.67229e-11 #avg: 1.92032e-10; avg_err: 2.36298e-12; sd: 3.01037e-10; counts: 16231
sfh 0.33406 1.0823e-10 2.17202e-10 8.05838e-11 #avg: 1.9781e-10; avg_err: 2.45356e-12; sd: 3.12576e-10; counts: 16231
sfh 0.339122 1.12268e-10 2.24689e-10 8.38078e-11 #avg: 2.05242e-10; avg_err: 2.54957e-12; sd: 3.24808e-10; counts: 16231
