#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.668185 (z=0.496592) stellar mass
#obs_sm range: 11.25 - 11.75
#HM    Stats: 2.083820e+13 (median) + 4.119120e+13  / - 1.399555e+13
#SM    Stats: 2.075270e+11 (median) + 8.943100e+10  / - 5.430600e+10
#ObsSM Stats: 2.279320e+11 (median) + 9.666601e+10  / - 3.759199e+10
#VMP   Stats: 4.486800e+02 (median) + 1.845000e+02  / - 1.323700e+02
#ICL   Stats: 1.515430e+10 (median) + 5.842720e+10  / - 1.302525e+10
#SSFR  Stats: 1.612401e-12 (median) + 2.548847e-12  / - 9.758039e-13
sfh 0.055623 0 0 0 #avg: 2.81137e-19; avg_err: 1.27529e-19; sd: 7.54043e-18; counts: 3497
sfh 0.060123 0 0 0 #avg: 9.50698e-15; avg_err: 9.98987e-16; sd: 5.90671e-14; counts: 3497
sfh 0.062373 0 0 0 #avg: 6.40691e-14; avg_err: 4.93889e-15; sd: 2.92022e-13; counts: 3497
sfh 0.064623 0 1.35327e-13 0 #avg: 1.8192e-13; avg_err: 1.03288e-14; sd: 6.1071e-13; counts: 3497
sfh 0.066873 0 5.83742e-13 0 #avg: 4.45246e-13; avg_err: 2.26926e-14; sd: 1.34175e-12; counts: 3497
sfh 0.069123 0 1.39545e-12 0 #avg: 9.04131e-13; avg_err: 4.21163e-14; sd: 2.49021e-12; counts: 3497
sfh 0.071373 6.88167e-14 2.42825e-12 6.88167e-14 #avg: 1.5319e-12; avg_err: 6.89572e-14; sd: 4.07723e-12; counts: 3497
sfh 0.073623 2.6729e-13 3.86204e-12 2.6729e-13 #avg: 2.20941e-12; avg_err: 8.32685e-14; sd: 4.92341e-12; counts: 3497
sfh 0.075873 6.29074e-13 5.11461e-12 6.29074e-13 #avg: 3.14414e-12; avg_err: 1.16174e-13; sd: 6.86902e-12; counts: 3497
sfh 0.078123 1.15282e-12 6.45352e-12 1.15282e-12 #avg: 4.24086e-12; avg_err: 1.55208e-13; sd: 9.177e-12; counts: 3497
sfh 0.080373 1.76356e-12 7.53376e-12 1.71743e-12 #avg: 5.27523e-12; avg_err: 1.70364e-13; sd: 1.00731e-11; counts: 3497
sfh 0.082623 2.38296e-12 7.97074e-12 2.22276e-12 #avg: 6.14217e-12; avg_err: 1.91753e-13; sd: 1.13378e-11; counts: 3497
sfh 0.085998 3.79256e-12 1.06128e-11 3.34694e-12 #avg: 8.86194e-12; avg_err: 2.84891e-13; sd: 1.68447e-11; counts: 3497
sfh 0.089373 5.30854e-12 1.27365e-11 4.4547e-12 #avg: 1.14706e-11; avg_err: 3.48238e-13; sd: 2.05903e-11; counts: 3497
sfh 0.092748 6.74265e-12 1.66119e-11 5.41233e-12 #avg: 1.46525e-11; avg_err: 4.57015e-13; sd: 2.70219e-11; counts: 3497
sfh 0.096123 8.87294e-12 1.94574e-11 6.85969e-12 #avg: 1.79075e-11; avg_err: 5.15373e-13; sd: 3.04725e-11; counts: 3497
sfh 0.099498 1.11319e-11 2.49537e-11 8.43117e-12 #avg: 2.23324e-11; avg_err: 6.69989e-13; sd: 3.96144e-11; counts: 3497
sfh 0.102873 1.33953e-11 3.11428e-11 9.94908e-12 #avg: 2.71206e-11; avg_err: 7.89775e-13; sd: 4.6697e-11; counts: 3497
sfh 0.106248 1.64997e-11 3.37217e-11 1.22545e-11 #avg: 3.23155e-11; avg_err: 9.58107e-13; sd: 5.665e-11; counts: 3497
sfh 0.109623 1.89447e-11 4.16504e-11 1.39504e-11 #avg: 3.84723e-11; avg_err: 1.15528e-12; sd: 6.83085e-11; counts: 3497
sfh 0.112998 2.20305e-11 4.76381e-11 1.60627e-11 #avg: 4.47988e-11; avg_err: 1.39689e-12; sd: 8.25937e-11; counts: 3497
sfh 0.116373 2.53007e-11 5.62024e-11 1.83111e-11 #avg: 5.09752e-11; avg_err: 1.4989e-12; sd: 8.86255e-11; counts: 3497
sfh 0.119748 2.81156e-11 6.58642e-11 2.04536e-11 #avg: 5.78156e-11; avg_err: 1.67424e-12; sd: 9.89931e-11; counts: 3497
sfh 0.123123 3.18392e-11 7.55142e-11 2.30164e-11 #avg: 6.62041e-11; avg_err: 2.00494e-12; sd: 1.18546e-10; counts: 3497
sfh 0.126498 3.56748e-11 8.25069e-11 2.59943e-11 #avg: 7.4791e-11; avg_err: 2.22218e-12; sd: 1.31391e-10; counts: 3497
sfh 0.129873 3.98119e-11 9.31505e-11 2.89722e-11 #avg: 8.41974e-11; avg_err: 2.5291e-12; sd: 1.49538e-10; counts: 3497
sfh 0.133248 4.37533e-11 1.04704e-10 3.18937e-11 #avg: 9.28505e-11; avg_err: 2.65104e-12; sd: 1.56748e-10; counts: 3497
sfh 0.136623 4.85782e-11 1.15416e-10 3.56536e-11 #avg: 1.02179e-10; avg_err: 2.82947e-12; sd: 1.67298e-10; counts: 3497
sfh 0.141685 5.4304e-11 1.38008e-10 3.98748e-11 #avg: 1.17201e-10; avg_err: 3.19402e-12; sd: 1.88853e-10; counts: 3497
sfh 0.146748 6.2581e-11 1.60459e-10 4.62505e-11 #avg: 1.36006e-10; avg_err: 3.88496e-12; sd: 2.29706e-10; counts: 3497
sfh 0.15181 6.73431e-11 1.94019e-10 4.94495e-11 #avg: 1.52979e-10; avg_err: 4.22851e-12; sd: 2.50019e-10; counts: 3497
sfh 0.156873 7.50404e-11 2.11478e-10 5.54106e-11 #avg: 1.70517e-10; avg_err: 4.66525e-12; sd: 2.75842e-10; counts: 3497
sfh 0.161935 8.5497e-11 2.40163e-10 6.36366e-11 #avg: 1.89401e-10; avg_err: 5.52846e-12; sd: 3.26881e-10; counts: 3497
sfh 0.166998 9.54432e-11 2.77882e-10 7.17106e-11 #avg: 2.05078e-10; avg_err: 5.04021e-12; sd: 2.98013e-10; counts: 3497
