#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.668185 (z=0.496592) stellar mass
#obs_sm range: 11.25 - 11.75
#HM    Stats: 1.003090e+13 (median) + 2.176320e+13  / - 6.864720e+12
#SM    Stats: 1.808120e+11 (median) + 6.673500e+10  / - 4.104200e+10
#ObsSM Stats: 2.145120e+11 (median) + 7.711000e+10  / - 2.755999e+10
#VMP   Stats: 3.747300e+02 (median) + 1.651200e+02  / - 1.014800e+02
#ICL   Stats: 6.116540e+09 (median) + 3.378166e+10  / - 5.391877e+09
#SSFR  Stats: 1.293148e-12 (median) + 3.769330e-12  / - 8.655500e-13
sfh 0.055623 0 0 0 #avg: 1.66801e-19; avg_err: 1.57056e-19; sd: 3.67994e-18; counts: 550
sfh 0.060123 0 0 0 #avg: 5.3147e-15; avg_err: 1.64467e-15; sd: 3.85358e-14; counts: 550
sfh 0.062373 0 0 0 #avg: 4.22884e-14; avg_err: 1.08081e-14; sd: 2.53242e-13; counts: 550
sfh 0.064623 0 3.53125e-15 0 #avg: 1.23478e-13; avg_err: 2.41916e-14; sd: 5.66828e-13; counts: 550
sfh 0.066873 0 2.52285e-13 0 #avg: 3.4705e-13; avg_err: 6.81305e-14; sd: 1.59635e-12; counts: 550
sfh 0.069123 0 9.41834e-13 0 #avg: 7.63151e-13; avg_err: 9.68143e-14; sd: 2.26843e-12; counts: 550
sfh 0.071373 0 1.62988e-12 0 #avg: 1.21948e-12; avg_err: 1.48264e-13; sd: 3.47395e-12; counts: 550
sfh 0.073623 1.1304e-13 2.87807e-12 1.1304e-13 #avg: 1.77453e-12; avg_err: 1.75136e-13; sd: 4.10358e-12; counts: 550
sfh 0.075873 3.43835e-13 4.03386e-12 3.43835e-13 #avg: 2.35728e-12; avg_err: 2.2791e-13; sd: 5.3401e-12; counts: 550
sfh 0.078123 6.25799e-13 5.24132e-12 6.25799e-13 #avg: 3.18979e-12; avg_err: 3.03549e-13; sd: 7.11238e-12; counts: 550
sfh 0.080373 9.67196e-13 5.95876e-12 9.67196e-13 #avg: 4.09976e-12; avg_err: 3.57981e-13; sd: 8.38777e-12; counts: 550
sfh 0.082623 1.58548e-12 6.78228e-12 1.56847e-12 #avg: 4.63991e-12; avg_err: 3.65187e-13; sd: 8.55661e-12; counts: 550
sfh 0.085998 2.48552e-12 8.55027e-12 2.34036e-12 #avg: 6.51083e-12; avg_err: 5.04848e-13; sd: 1.1829e-11; counts: 550
sfh 0.089373 3.42259e-12 1.07023e-11 3.08616e-12 #avg: 9.05738e-12; avg_err: 7.96114e-13; sd: 1.86535e-11; counts: 550
sfh 0.092748 5.0378e-12 1.23587e-11 4.39452e-12 #avg: 1.14153e-11; avg_err: 9.46875e-13; sd: 2.2186e-11; counts: 550
sfh 0.096123 6.24448e-12 1.48774e-11 5.19499e-12 #avg: 1.30579e-11; avg_err: 9.39995e-13; sd: 2.20248e-11; counts: 550
sfh 0.099498 7.60939e-12 2.01965e-11 6.08072e-12 #avg: 1.59179e-11; avg_err: 1.05774e-12; sd: 2.47836e-11; counts: 550
sfh 0.102873 9.35799e-12 2.24673e-11 7.16201e-12 #avg: 1.88709e-11; avg_err: 1.27595e-12; sd: 2.98964e-11; counts: 550
sfh 0.106248 1.17889e-11 2.65616e-11 9.13006e-12 #avg: 2.46106e-11; avg_err: 1.80233e-12; sd: 4.22298e-11; counts: 550
sfh 0.109623 1.33313e-11 3.52372e-11 1.03279e-11 #avg: 3.01256e-11; avg_err: 2.5538e-12; sd: 5.98375e-11; counts: 550
sfh 0.112998 1.64394e-11 3.53445e-11 1.27781e-11 #avg: 3.38465e-11; avg_err: 2.75909e-12; sd: 6.46475e-11; counts: 550
sfh 0.116373 1.86176e-11 4.26877e-11 1.43455e-11 #avg: 3.76595e-11; avg_err: 2.90207e-12; sd: 6.79976e-11; counts: 550
sfh 0.119748 2.03284e-11 4.82183e-11 1.58621e-11 #avg: 4.11322e-11; avg_err: 2.97005e-12; sd: 6.95905e-11; counts: 550
