#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.668185 (z=0.496592) stellar mass
#obs_sm range: 8.75 - 9.25
#HM    Stats: 1.419710e+11 (median) + 6.744100e+10  / - 5.172099e+10
#SM    Stats: 9.176890e+08 (median) + 5.266410e+08  / - 3.095780e+08
#ObsSM Stats: 9.231320e+08 (median) + 4.880079e+08  / - 2.740241e+08
#VMP   Stats: 1.041300e+02 (median) + 9.139999e+00  / - 7.959999e+00
#ICL   Stats: 3.794570e+06 (median) + 1.376113e+07  / - 3.633223e+06
#SSFR  Stats: 3.494394e-10 (median) + 3.594744e-10  / - 2.785975e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 100476
sfh 0.060123 0 0 0 #avg: 1.51046e-15; avg_err: 1.34064e-15; sd: 4.24952e-13; counts: 100476
sfh 0.062373 0 0 0 #avg: 1.70138e-15; avg_err: 1.11774e-15; sd: 3.543e-13; counts: 100476
sfh 0.064623 0 0 0 #avg: 6.55147e-15; avg_err: 2.92772e-15; sd: 9.28021e-13; counts: 100476
sfh 0.066873 0 0 0 #avg: 3.15347e-14; avg_err: 1.43787e-14; sd: 4.55774e-12; counts: 100476
sfh 0.069123 0 0 0 #avg: 7.03137e-14; avg_err: 1.81219e-14; sd: 5.74423e-12; counts: 100476
sfh 0.071373 0 0 0 #avg: 1.51681e-13; avg_err: 4.41194e-14; sd: 1.39849e-11; counts: 100476
sfh 0.073623 0 0 0 #avg: 2.0832e-13; avg_err: 2.63749e-14; sd: 8.36027e-12; counts: 100476
sfh 0.075873 0 0 0 #avg: 3.71221e-13; avg_err: 3.56824e-14; sd: 1.13105e-11; counts: 100476
sfh 0.078123 0 0 0 #avg: 6.58397e-13; avg_err: 5.0404e-14; sd: 1.5977e-11; counts: 100476
sfh 0.080373 0 0 0 #avg: 1.13009e-12; avg_err: 7.58993e-14; sd: 2.40584e-11; counts: 100476
sfh 0.082623 0 0 0 #avg: 1.6331e-12; avg_err: 8.72082e-14; sd: 2.76431e-11; counts: 100476
sfh 0.085998 0 0 0 #avg: 3.00364e-12; avg_err: 1.32381e-13; sd: 4.1962e-11; counts: 100476
sfh 0.089373 0 0 0 #avg: 4.83329e-12; avg_err: 1.2872e-13; sd: 4.08014e-11; counts: 100476
sfh 0.092748 0 0 0 #avg: 7.14281e-12; avg_err: 1.40991e-13; sd: 4.46912e-11; counts: 100476
sfh 0.096123 0 2.54047e-12 0 #avg: 1.02013e-11; avg_err: 1.75587e-13; sd: 5.56573e-11; counts: 100476
sfh 0.099498 0 1.07878e-11 0 #avg: 1.3774e-11; avg_err: 1.95142e-13; sd: 6.18557e-11; counts: 100476
sfh 0.102873 0 2.13169e-11 0 #avg: 1.78187e-11; avg_err: 2.26063e-13; sd: 7.1657e-11; counts: 100476
sfh 0.106248 0 3.23286e-11 0 #avg: 2.18321e-11; avg_err: 2.38787e-13; sd: 7.56903e-11; counts: 100476
sfh 0.109623 0 4.23489e-11 0 #avg: 2.62169e-11; avg_err: 2.54542e-13; sd: 8.06841e-11; counts: 100476
sfh 0.112998 1.49051e-12 4.98271e-11 1.49051e-12 #avg: 3.06096e-11; avg_err: 2.77666e-13; sd: 8.80139e-11; counts: 100476
sfh 0.116373 4.61021e-12 5.35307e-11 4.61021e-12 #avg: 3.44252e-11; avg_err: 2.86478e-13; sd: 9.08071e-11; counts: 100476
sfh 0.119748 7.86347e-12 5.72606e-11 7.86347e-12 #avg: 3.83187e-11; avg_err: 3.02776e-13; sd: 9.59733e-11; counts: 100476
sfh 0.123123 1.08303e-11 6.07715e-11 1.08303e-11 #avg: 4.21965e-11; avg_err: 3.18503e-13; sd: 1.00958e-10; counts: 100476
sfh 0.126498 1.36608e-11 6.52567e-11 1.36608e-11 #avg: 4.63201e-11; avg_err: 3.34887e-13; sd: 1.06152e-10; counts: 100476
sfh 0.129873 1.67398e-11 6.88735e-11 1.67398e-11 #avg: 5.01469e-11; avg_err: 3.43075e-13; sd: 1.08747e-10; counts: 100476
sfh 0.133248 1.96867e-11 7.30519e-11 1.95043e-11 #avg: 5.4116e-11; avg_err: 3.5926e-13; sd: 1.13877e-10; counts: 100476
sfh 0.136623 2.27974e-11 7.633e-11 2.17921e-11 #avg: 5.81239e-11; avg_err: 3.71968e-13; sd: 1.17906e-10; counts: 100476
sfh 0.141685 2.67104e-11 8.07546e-11 2.43632e-11 #avg: 6.33033e-11; avg_err: 3.90026e-13; sd: 1.2363e-10; counts: 100476
sfh 0.146748 3.0357e-11 8.49388e-11 2.64878e-11 #avg: 6.79807e-11; avg_err: 3.96435e-13; sd: 1.25661e-10; counts: 100476
sfh 0.15181 3.35981e-11 8.7837e-11 2.82163e-11 #avg: 7.17769e-11; avg_err: 3.93719e-13; sd: 1.248e-10; counts: 100476
sfh 0.156873 3.63109e-11 9.06431e-11 2.9436e-11 #avg: 7.48896e-11; avg_err: 4.00058e-13; sd: 1.2681e-10; counts: 100476
sfh 0.161935 3.87547e-11 9.31247e-11 3.04393e-11 #avg: 7.74286e-11; avg_err: 3.99552e-13; sd: 1.26649e-10; counts: 100476
sfh 0.166998 4.10351e-11 9.58763e-11 3.15197e-11 #avg: 7.99224e-11; avg_err: 4.03274e-13; sd: 1.27829e-10; counts: 100476
sfh 0.17206 4.27658e-11 9.54843e-11 3.23129e-11 #avg: 8.09979e-11; avg_err: 3.92626e-13; sd: 1.24454e-10; counts: 100476
sfh 0.177123 4.41611e-11 9.74804e-11 3.30378e-11 #avg: 8.25755e-11; avg_err: 3.89203e-13; sd: 1.23369e-10; counts: 100476
sfh 0.182185 4.5341e-11 9.91315e-11 3.35044e-11 #avg: 8.41263e-11; avg_err: 3.94059e-13; sd: 1.24908e-10; counts: 100476
sfh 0.187248 4.62195e-11 9.97792e-11 3.39365e-11 #avg: 8.49299e-11; avg_err: 3.99468e-13; sd: 1.26623e-10; counts: 100476
sfh 0.19231 4.73621e-11 9.88818e-11 3.44526e-11 #avg: 8.54568e-11; avg_err: 3.84659e-13; sd: 1.21928e-10; counts: 100476
sfh 0.197373 4.84543e-11 9.98319e-11 3.5074e-11 #avg: 8.61995e-11; avg_err: 3.83511e-13; sd: 1.21564e-10; counts: 100476
sfh 0.202435 4.95957e-11 9.99781e-11 3.57362e-11 #avg: 8.68101e-11; avg_err: 3.78286e-13; sd: 1.19908e-10; counts: 100476
sfh 0.207498 5.0486e-11 1.0007e-10 3.61672e-11 #avg: 8.72917e-11; avg_err: 3.72951e-13; sd: 1.18217e-10; counts: 100476
sfh 0.21256 5.14158e-11 1.00178e-10 3.66067e-11 #avg: 8.76444e-11; avg_err: 3.63897e-13; sd: 1.15347e-10; counts: 100476
sfh 0.217623 5.24101e-11 9.88028e-11 3.69743e-11 #avg: 8.80262e-11; avg_err: 3.60267e-13; sd: 1.14197e-10; counts: 100476
