#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.668185 (z=0.496592) stellar mass
#sm range: 9.75 - 10.25
#HM    Stats: 4.936760e+11 (median) + 2.450000e+11  / - 1.486760e+11
#SM    Stats: 9.484640e+09 (median) + 4.901259e+09  / - 2.898580e+09
#ObsSM Stats: 9.447380e+09 (median) + 5.308920e+09  / - 3.251190e+09
#VMP   Stats: 1.384700e+02 (median) + 1.588000e+01  / - 1.099000e+01
#ICL   Stats: 2.924600e+07 (median) + 7.840700e+07  / - 2.120283e+07
#SSFR  Stats: 3.439776e-10 (median) + 3.584284e-10  / - 1.806948e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 107069
sfh 0.060123 0 0 0 #avg: 3.85305e-16; avg_err: 1.55096e-16; sd: 5.07495e-14; counts: 107069
sfh 0.062373 0 0 0 #avg: 3.14615e-15; avg_err: 8.27181e-16; sd: 2.70664e-13; counts: 107069
sfh 0.064623 0 0 0 #avg: 9.045e-15; avg_err: 1.65999e-15; sd: 5.4317e-13; counts: 107069
sfh 0.066873 0 0 0 #avg: 2.43434e-14; avg_err: 3.41969e-15; sd: 1.11897e-12; counts: 107069
sfh 0.069123 0 0 0 #avg: 5.51374e-14; avg_err: 6.25768e-15; sd: 2.04759e-12; counts: 107069
sfh 0.071373 0 0 0 #avg: 1.1161e-13; avg_err: 1.0481e-14; sd: 3.4295e-12; counts: 107069
sfh 0.073623 0 0 0 #avg: 1.96002e-13; avg_err: 1.46692e-14; sd: 4.79995e-12; counts: 107069
sfh 0.075873 0 0 0 #avg: 2.94626e-13; avg_err: 1.64306e-14; sd: 5.37631e-12; counts: 107069
sfh 0.078123 0 0 0 #avg: 4.09023e-13; avg_err: 1.63811e-14; sd: 5.36011e-12; counts: 107069
sfh 0.080373 0 0 0 #avg: 5.87516e-13; avg_err: 1.80629e-14; sd: 5.91039e-12; counts: 107069
sfh 0.082623 0 0 0 #avg: 8.10261e-13; avg_err: 2.17589e-14; sd: 7.11978e-12; counts: 107069
