#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.668185 (z=0.496592) stellar mass
#sm range: 11.25 - 11.75
#HM    Stats: 1.507350e+13 (median) + 2.601470e+13  / - 1.012938e+13
#SM    Stats: 2.109830e+11 (median) + 6.581502e+10  / - 2.474800e+10
#ObsSM Stats: 2.205960e+11 (median) + 9.516802e+10  / - 5.396899e+10
#VMP   Stats: 4.228500e+02 (median) + 1.519700e+02  / - 1.115600e+02
#ICL   Stats: 1.248820e+10 (median) + 4.315770e+10  / - 1.018459e+10
#SSFR  Stats: 1.344473e-12 (median) + 2.476005e-12  / - 8.837518e-13
sfh 0.055623 0 0 0 #avg: 1.49324e-20; avg_err: 1.48865e-20; sd: 2.74494e-19; counts: 341
sfh 0.060123 0 0 0 #avg: 6.51984e-15; avg_err: 2.36467e-15; sd: 4.36024e-14; counts: 341
sfh 0.062373 0 0 0 #avg: 5.20209e-14; avg_err: 1.59279e-14; sd: 2.93697e-13; counts: 341
sfh 0.064623 0 7.6026e-14 0 #avg: 1.74359e-13; avg_err: 3.79239e-14; sd: 6.99282e-13; counts: 341
sfh 0.066873 0 4.50359e-13 0 #avg: 3.7038e-13; avg_err: 5.85851e-14; sd: 1.08026e-12; counts: 341
sfh 0.069123 0 1.24391e-12 0 #avg: 8.68987e-13; avg_err: 1.21793e-13; sd: 2.24575e-12; counts: 341
sfh 0.071373 1.03784e-13 2.49364e-12 1.03784e-13 #avg: 1.43324e-12; avg_err: 1.74345e-13; sd: 3.21477e-12; counts: 341
sfh 0.073623 3.58514e-13 3.64434e-12 3.58514e-13 #avg: 2.14673e-12; avg_err: 2.3462e-13; sd: 4.32618e-12; counts: 341
sfh 0.075873 7.38238e-13 4.52689e-12 7.38238e-13 #avg: 2.80416e-12; avg_err: 2.74831e-13; sd: 5.06763e-12; counts: 341
sfh 0.078123 1.07442e-12 5.50678e-12 1.07442e-12 #avg: 3.63537e-12; avg_err: 3.50695e-13; sd: 6.4665e-12; counts: 341
sfh 0.080373 1.6499e-12 6.415e-12 1.62303e-12 #avg: 4.67072e-12; avg_err: 4.51538e-13; sd: 8.32595e-12; counts: 341
