#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.668185 (z=0.496592) stellar mass
#sm range: 8.75 - 9.25
#HM    Stats: 1.882350e+11 (median) + 9.044101e+10  / - 7.064701e+10
#SM    Stats: 1.010650e+09 (median) + 4.774500e+08  / - 3.314970e+08
#ObsSM Stats: 9.987050e+08 (median) + 5.401750e+08  / - 3.554500e+08
#VMP   Stats: 1.104700e+02 (median) + 9.139999e+00  / - 7.590004e+00
#ICL   Stats: 6.265300e+06 (median) + 2.047650e+07  / - 5.608259e+06
#SSFR  Stats: 1.968197e-12 (median) + 2.996044e-12  / - 1.220247e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 24297
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 24297
sfh 0.062373 0 0 0 #avg: 2.37354e-17; avg_err: 2.37354e-17; sd: 3.69967e-15; counts: 24297
sfh 0.064623 0 0 0 #avg: 2.31948e-15; avg_err: 1.64582e-15; sd: 2.56536e-13; counts: 24297
sfh 0.066873 0 0 0 #avg: 1.37406e-14; avg_err: 8.54331e-15; sd: 1.33166e-12; counts: 24297
sfh 0.069123 0 0 0 #avg: 6.20658e-14; avg_err: 2.39813e-14; sd: 3.738e-12; counts: 24297
sfh 0.071373 0 0 0 #avg: 1.23866e-13; avg_err: 3.82887e-14; sd: 5.96813e-12; counts: 24297
sfh 0.073623 0 0 0 #avg: 2.28786e-13; avg_err: 4.62361e-14; sd: 7.2069e-12; counts: 24297
sfh 0.075873 0 0 0 #avg: 6.32639e-13; avg_err: 1.18923e-13; sd: 1.85367e-11; counts: 24297
sfh 0.078123 0 0 0 #avg: 9.15908e-13; avg_err: 1.15699e-13; sd: 1.80342e-11; counts: 24297
sfh 0.080373 0 0 0 #avg: 1.47421e-12; avg_err: 1.52111e-13; sd: 2.37098e-11; counts: 24297
sfh 0.082623 0 0 0 #avg: 2.15835e-12; avg_err: 1.87523e-13; sd: 2.92296e-11; counts: 24297
sfh 0.085998 0 0 0 #avg: 3.58852e-12; avg_err: 3.50753e-13; sd: 5.46725e-11; counts: 24297
sfh 0.089373 0 0 0 #avg: 5.44083e-12; avg_err: 2.38709e-13; sd: 3.72079e-11; counts: 24297
sfh 0.092748 0 0 0 #avg: 8.23806e-12; avg_err: 2.82242e-13; sd: 4.39935e-11; counts: 24297
sfh 0.096123 0 5.58336e-12 0 #avg: 1.16444e-11; avg_err: 3.60643e-13; sd: 5.6214e-11; counts: 24297
sfh 0.099498 0 1.50908e-11 0 #avg: 1.57754e-11; avg_err: 4.1398e-13; sd: 6.45277e-11; counts: 24297
sfh 0.102873 0 2.69391e-11 0 #avg: 1.97251e-11; avg_err: 4.37833e-13; sd: 6.82458e-11; counts: 24297
sfh 0.106248 0 3.8554e-11 0 #avg: 2.43085e-11; avg_err: 4.79607e-13; sd: 7.47572e-11; counts: 24297
sfh 0.109623 3.34702e-13 4.93176e-11 3.34702e-13 #avg: 2.91322e-11; avg_err: 5.28024e-13; sd: 8.2304e-11; counts: 24297
sfh 0.112998 3.27975e-12 5.51189e-11 3.27975e-12 #avg: 3.4353e-11; avg_err: 5.89058e-13; sd: 9.18175e-11; counts: 24297
sfh 0.116373 6.88144e-12 5.86713e-11 6.88144e-12 #avg: 3.93219e-11; avg_err: 6.4941e-13; sd: 1.01225e-10; counts: 24297
sfh 0.119748 1.04836e-11 6.31435e-11 1.04836e-11 #avg: 4.3999e-11; avg_err: 7.43073e-13; sd: 1.15824e-10; counts: 24297
sfh 0.123123 1.34042e-11 6.75803e-11 1.34042e-11 #avg: 4.7916e-11; avg_err: 7.17573e-13; sd: 1.11849e-10; counts: 24297
sfh 0.126498 1.65203e-11 7.24146e-11 1.65203e-11 #avg: 5.28763e-11; avg_err: 7.5951e-13; sd: 1.18386e-10; counts: 24297
sfh 0.129873 2.00387e-11 7.58352e-11 1.96926e-11 #avg: 5.71587e-11; avg_err: 7.78764e-13; sd: 1.21387e-10; counts: 24297
sfh 0.133248 2.35828e-11 8.03997e-11 2.22953e-11 #avg: 6.20937e-11; avg_err: 8.67296e-13; sd: 1.35187e-10; counts: 24297
sfh 0.136623 2.70191e-11 8.45456e-11 2.46208e-11 #avg: 6.69285e-11; avg_err: 9.31127e-13; sd: 1.45136e-10; counts: 24297
sfh 0.141685 3.1346e-11 8.89118e-11 2.7286e-11 #avg: 7.16203e-11; avg_err: 8.94079e-13; sd: 1.39362e-10; counts: 24297
sfh 0.146748 3.52e-11 9.30569e-11 2.93448e-11 #avg: 7.69797e-11; avg_err: 8.98392e-13; sd: 1.40034e-10; counts: 24297
sfh 0.15181 3.85106e-11 9.73804e-11 3.0877e-11 #avg: 8.09079e-11; avg_err: 8.78292e-13; sd: 1.36901e-10; counts: 24297
sfh 0.156873 4.18591e-11 1.00314e-10 3.24749e-11 #avg: 8.43785e-11; avg_err: 8.824e-13; sd: 1.37541e-10; counts: 24297
sfh 0.161935 4.4671e-11 1.01418e-10 3.36498e-11 #avg: 8.7077e-11; avg_err: 8.77959e-13; sd: 1.36849e-10; counts: 24297
sfh 0.166998 4.7694e-11 1.05354e-10 3.53519e-11 #avg: 9.06498e-11; avg_err: 9.01307e-13; sd: 1.40488e-10; counts: 24297
sfh 0.17206 4.94066e-11 1.07932e-10 3.60063e-11 #avg: 9.31258e-11; avg_err: 9.13474e-13; sd: 1.42385e-10; counts: 24297
sfh 0.177123 5.14556e-11 1.10434e-10 3.71547e-11 #avg: 9.5632e-11; avg_err: 9.17665e-13; sd: 1.43038e-10; counts: 24297
sfh 0.182185 5.2769e-11 1.12408e-10 3.77896e-11 #avg: 9.70707e-11; avg_err: 9.00384e-13; sd: 1.40344e-10; counts: 24297
sfh 0.187248 5.4543e-11 1.13911e-10 3.90262e-11 #avg: 9.82686e-11; avg_err: 8.91002e-13; sd: 1.38882e-10; counts: 24297
sfh 0.19231 5.54393e-11 1.14093e-10 3.9426e-11 #avg: 9.87953e-11; avg_err: 8.79021e-13; sd: 1.37015e-10; counts: 24297
sfh 0.197373 5.60445e-11 1.1676e-10 3.95404e-11 #avg: 1.00294e-10; avg_err: 8.91395e-13; sd: 1.38943e-10; counts: 24297
sfh 0.202435 5.73026e-11 1.19566e-10 4.02309e-11 #avg: 1.01628e-10; avg_err: 8.88332e-13; sd: 1.38466e-10; counts: 24297
sfh 0.207498 5.87351e-11 1.20085e-10 4.10063e-11 #avg: 1.03123e-10; avg_err: 8.73904e-13; sd: 1.36217e-10; counts: 24297
sfh 0.21256 6.03491e-11 1.21451e-10 4.20501e-11 #avg: 1.04723e-10; avg_err: 8.85392e-13; sd: 1.38008e-10; counts: 24297
sfh 0.217623 6.14078e-11 1.21216e-10 4.23778e-11 #avg: 1.05193e-10; avg_err: 8.65282e-13; sd: 1.34873e-10; counts: 24297
sfh 0.222685 6.31876e-11 1.20404e-10 4.36235e-11 #avg: 1.05835e-10; avg_err: 8.59246e-13; sd: 1.33932e-10; counts: 24297
sfh 0.227748 6.43121e-11 1.2117e-10 4.42479e-11 #avg: 1.08231e-10; avg_err: 9.09816e-13; sd: 1.41815e-10; counts: 24297
sfh 0.23281 6.52698e-11 1.22982e-10 4.49308e-11 #avg: 1.09053e-10; avg_err: 8.98684e-13; sd: 1.40079e-10; counts: 24297
sfh 0.237873 6.61011e-11 1.22667e-10 4.50246e-11 #avg: 1.10069e-10; avg_err: 9.08314e-13; sd: 1.41581e-10; counts: 24297
sfh 0.242935 6.74918e-11 1.20173e-10 4.57797e-11 #avg: 1.10688e-10; avg_err: 8.95553e-13; sd: 1.39591e-10; counts: 24297
sfh 0.247998 6.92227e-11 1.24588e-10 4.72212e-11 #avg: 1.1299e-10; avg_err: 9.03134e-13; sd: 1.40773e-10; counts: 24297
sfh 0.25306 7.12635e-11 1.23692e-10 4.84859e-11 #avg: 1.14496e-10; avg_err: 9.10848e-13; sd: 1.41975e-10; counts: 24297
sfh 0.258123 7.31561e-11 1.2634e-10 4.93567e-11 #avg: 1.16013e-10; avg_err: 8.92789e-13; sd: 1.39161e-10; counts: 24297
sfh 0.263185 7.52375e-11 1.25497e-10 5.04071e-11 #avg: 1.17773e-10; avg_err: 8.98221e-13; sd: 1.40007e-10; counts: 24297
sfh 0.268248 7.74287e-11 1.31241e-10 5.17541e-11 #avg: 1.20804e-10; avg_err: 9.15661e-13; sd: 1.42726e-10; counts: 24297
sfh 0.27331 7.91128e-11 1.29038e-10 5.25036e-11 #avg: 1.23029e-10; avg_err: 9.20836e-13; sd: 1.43532e-10; counts: 24297
sfh 0.278373 8.1164e-11 1.31598e-10 5.36567e-11 #avg: 1.24496e-10; avg_err: 9.15911e-13; sd: 1.42765e-10; counts: 24297
sfh 0.283435 8.46187e-11 1.32161e-10 5.58299e-11 #avg: 1.27969e-10; avg_err: 9.48157e-13; sd: 1.47791e-10; counts: 24297
sfh 0.288498 8.70673e-11 1.36201e-10 5.7285e-11 #avg: 1.31184e-10; avg_err: 9.66915e-13; sd: 1.50715e-10; counts: 24297
sfh 0.29356 9.00025e-11 1.35174e-10 5.89017e-11 #avg: 1.34389e-10; avg_err: 9.81867e-13; sd: 1.53045e-10; counts: 24297
sfh 0.298623 9.28431e-11 1.37563e-10 6.09929e-11 #avg: 1.36798e-10; avg_err: 9.72083e-13; sd: 1.5152e-10; counts: 24297
sfh 0.303685 9.57137e-11 1.3851e-10 6.23584e-11 #avg: 1.40325e-10; avg_err: 9.92872e-13; sd: 1.54761e-10; counts: 24297
sfh 0.308748 9.84945e-11 1.42518e-10 6.39941e-11 #avg: 1.43259e-10; avg_err: 9.99641e-13; sd: 1.55816e-10; counts: 24297
