#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.668185 (z=0.496592) stellar mass
#vmpeak range: 2.61667 - 2.78333
#HM    Stats: 1.848530e+13 (median) + 1.086760e+13  / - 6.635300e+12
#SM    Stats: 9.776340e+10 (median) + 7.052159e+10  / - 5.133630e+10
#ObsSM Stats: 9.498660e+10 (median) + 8.280239e+10  / - 4.865360e+10
#VMP   Stats: 4.631100e+02 (median) + 6.926001e+01  / - 3.671997e+01
#ICL   Stats: 9.427050e+09 (median) + 3.377435e+10  / - 7.921880e+09
#SSFR  Stats: 1.150861e-12 (median) + 1.935157e-12  / - 7.330510e-13
sfh 0.055623 0 0 0 #avg: 2.9883e-18; avg_err: 2.82443e-18; sd: 8.95837e-17; counts: 1007
sfh 0.060123 0 0 0 #avg: 1.87938e-14; avg_err: 4.97383e-15; sd: 1.57758e-13; counts: 1007
sfh 0.062373 0 0 0 #avg: 1.15687e-13; avg_err: 1.93709e-14; sd: 6.14397e-13; counts: 1007
sfh 0.064623 0 4.0384e-14 0 #avg: 3.4634e-13; avg_err: 5.13883e-14; sd: 1.62991e-12; counts: 1007
sfh 0.066873 0 7.53343e-13 0 #avg: 9.08124e-13; avg_err: 1.2089e-13; sd: 3.83433e-12; counts: 1007
sfh 0.069123 0 2.38505e-12 0 #avg: 1.80872e-12; avg_err: 1.88163e-13; sd: 5.96805e-12; counts: 1007
sfh 0.071373 3.99383e-14 4.62361e-12 3.99383e-14 #avg: 3.33013e-12; avg_err: 3.38052e-13; sd: 1.07222e-11; counts: 1007
sfh 0.073623 3.4871e-13 6.43936e-12 3.4871e-13 #avg: 4.69395e-12; avg_err: 4.17195e-13; sd: 1.32324e-11; counts: 1007
sfh 0.075873 8.93398e-13 7.74109e-12 8.93398e-13 #avg: 5.87289e-12; avg_err: 4.93154e-13; sd: 1.56416e-11; counts: 1007
sfh 0.078123 1.67078e-12 1.1017e-11 1.67078e-12 #avg: 8.1463e-12; avg_err: 6.97662e-13; sd: 2.21281e-11; counts: 1007
sfh 0.080373 2.74949e-12 1.24842e-11 2.66457e-12 #avg: 9.88748e-12; avg_err: 7.05486e-13; sd: 2.23763e-11; counts: 1007
sfh 0.082623 3.84877e-12 1.40005e-11 3.57014e-12 #avg: 1.15246e-11; avg_err: 7.54069e-13; sd: 2.39172e-11; counts: 1007
sfh 0.085998 5.97494e-12 1.83205e-11 5.0279e-12 #avg: 1.57294e-11; avg_err: 9.49199e-13; sd: 3.01062e-11; counts: 1007
sfh 0.089373 8.66061e-12 2.04767e-11 6.71833e-12 #avg: 2.16634e-11; avg_err: 1.55348e-12; sd: 4.92725e-11; counts: 1007
sfh 0.092748 1.18825e-11 2.49739e-11 8.98594e-12 #avg: 2.48997e-11; avg_err: 1.51804e-12; sd: 4.81485e-11; counts: 1007
sfh 0.096123 1.61824e-11 3.03759e-11 1.19236e-11 #avg: 3.23651e-11; avg_err: 2.0351e-12; sd: 6.45482e-11; counts: 1007
sfh 0.099498 1.95012e-11 4.00064e-11 1.37375e-11 #avg: 4.05538e-11; avg_err: 2.52046e-12; sd: 7.99427e-11; counts: 1007
sfh 0.102873 2.34257e-11 4.79444e-11 1.63182e-11 #avg: 4.73629e-11; avg_err: 2.82148e-12; sd: 8.94904e-11; counts: 1007
sfh 0.106248 2.8666e-11 6.07891e-11 1.98111e-11 #avg: 5.839e-11; avg_err: 3.59737e-12; sd: 1.14099e-10; counts: 1007
sfh 0.109623 3.42597e-11 6.30484e-11 2.35217e-11 #avg: 6.82334e-11; avg_err: 4.16984e-12; sd: 1.32257e-10; counts: 1007
sfh 0.112998 4.10023e-11 6.5326e-11 2.69201e-11 #avg: 7.86414e-11; avg_err: 5.19178e-12; sd: 1.6467e-10; counts: 1007
sfh 0.116373 4.63224e-11 8.6389e-11 3.02783e-11 #avg: 9.07968e-11; avg_err: 5.29486e-12; sd: 1.6794e-10; counts: 1007
sfh 0.119748 5.19248e-11 1.01948e-10 3.41875e-11 #avg: 1.02277e-10; avg_err: 5.83412e-12; sd: 1.85044e-10; counts: 1007
sfh 0.123123 5.83955e-11 1.2865e-10 3.93277e-11 #avg: 1.19572e-10; avg_err: 6.68578e-12; sd: 2.12056e-10; counts: 1007
sfh 0.126498 6.70163e-11 1.31811e-10 4.58601e-11 #avg: 1.30406e-10; avg_err: 6.59583e-12; sd: 2.09203e-10; counts: 1007
sfh 0.129873 7.41e-11 1.52397e-10 5.12448e-11 #avg: 1.45897e-10; avg_err: 7.72189e-12; sd: 2.44919e-10; counts: 1007
sfh 0.133248 8.41336e-11 1.60169e-10 5.71652e-11 #avg: 1.60737e-10; avg_err: 7.80857e-12; sd: 2.47668e-10; counts: 1007
sfh 0.136623 9.31645e-11 1.86663e-10 6.42786e-11 #avg: 1.77717e-10; avg_err: 8.19965e-12; sd: 2.60073e-10; counts: 1007
sfh 0.141685 1.04479e-10 2.34667e-10 7.07659e-11 #avg: 2.06479e-10; avg_err: 1.09282e-11; sd: 3.46616e-10; counts: 1007
sfh 0.146748 1.22512e-10 2.79263e-10 8.38136e-11 #avg: 2.40967e-10; avg_err: 1.17329e-11; sd: 3.7214e-10; counts: 1007
sfh 0.15181 1.41715e-10 3.26809e-10 9.93025e-11 #avg: 2.73502e-10; avg_err: 1.37556e-11; sd: 4.36294e-10; counts: 1007
sfh 0.156873 1.53182e-10 3.83055e-10 1.04932e-10 #avg: 3.07808e-10; avg_err: 1.45481e-11; sd: 4.6143e-10; counts: 1007
sfh 0.161935 1.71966e-10 4.01714e-10 1.1901e-10 #avg: 3.30505e-10; avg_err: 1.43452e-11; sd: 4.54995e-10; counts: 1007
sfh 0.166998 1.88867e-10 4.58327e-10 1.3024e-10 #avg: 3.84529e-10; avg_err: 1.8692e-11; sd: 5.92864e-10; counts: 1007
sfh 0.17206 2.11608e-10 4.68239e-10 1.47331e-10 #avg: 4.16368e-10; avg_err: 1.90831e-11; sd: 6.05269e-10; counts: 1007
sfh 0.177123 2.37981e-10 5.56629e-10 1.65861e-10 #avg: 4.55841e-10; avg_err: 1.96495e-11; sd: 6.23234e-10; counts: 1007
sfh 0.182185 2.69203e-10 5.84894e-10 1.90393e-10 #avg: 4.95363e-10; avg_err: 2.116e-11; sd: 6.71144e-10; counts: 1007
sfh 0.187248 2.93534e-10 6.43631e-10 2.06221e-10 #avg: 5.24248e-10; avg_err: 2.15494e-11; sd: 6.83494e-10; counts: 1007
sfh 0.19231 3.20346e-10 7.12953e-10 2.29915e-10 #avg: 5.68858e-10; avg_err: 2.23707e-11; sd: 7.09543e-10; counts: 1007
sfh 0.197373 3.52743e-10 7.98845e-10 2.62242e-10 #avg: 6.12924e-10; avg_err: 2.31897e-11; sd: 7.35518e-10; counts: 1007
sfh 0.202435 3.66068e-10 8.42706e-10 2.6615e-10 #avg: 6.46061e-10; avg_err: 2.50547e-11; sd: 7.94674e-10; counts: 1007
sfh 0.207498 3.8524e-10 8.96876e-10 2.79753e-10 #avg: 6.68271e-10; avg_err: 2.5362e-11; sd: 8.04418e-10; counts: 1007
sfh 0.21256 4.07216e-10 7.8176e-10 3.00853e-10 #avg: 6.70333e-10; avg_err: 2.43705e-11; sd: 7.72972e-10; counts: 1007
sfh 0.217623 4.17411e-10 9.16973e-10 3.04326e-10 #avg: 6.99055e-10; avg_err: 2.4443e-11; sd: 7.75271e-10; counts: 1007
sfh 0.222685 4.51088e-10 9.34347e-10 3.38048e-10 #avg: 7.3034e-10; avg_err: 2.50545e-11; sd: 7.94665e-10; counts: 1007
sfh 0.227748 4.64175e-10 9.73048e-10 3.5474e-10 #avg: 7.49299e-10; avg_err: 2.54012e-11; sd: 8.05661e-10; counts: 1007
sfh 0.23281 4.86936e-10 9.47324e-10 3.82396e-10 #avg: 7.65115e-10; avg_err: 2.56934e-11; sd: 8.14931e-10; counts: 1007
sfh 0.237873 4.9002e-10 9.54822e-10 3.89655e-10 #avg: 7.4776e-10; avg_err: 2.49479e-11; sd: 7.91284e-10; counts: 1007
sfh 0.242935 4.48765e-10 1.02564e-09 3.59623e-10 #avg: 7.52967e-10; avg_err: 2.6454e-11; sd: 8.39056e-10; counts: 1007
sfh 0.247998 4.70509e-10 8.58645e-10 3.80581e-10 #avg: 7.12785e-10; avg_err: 2.42867e-11; sd: 7.70313e-10; counts: 1007
sfh 0.25306 4.62018e-10 8.30061e-10 3.73568e-10 #avg: 6.8266e-10; avg_err: 2.323e-11; sd: 7.36796e-10; counts: 1007
sfh 0.258123 4.76824e-10 7.81772e-10 4.05547e-10 #avg: 6.80777e-10; avg_err: 2.37396e-11; sd: 7.52961e-10; counts: 1007
sfh 0.263185 4.5706e-10 7.90337e-10 3.95783e-10 #avg: 6.66533e-10; avg_err: 2.30659e-11; sd: 7.31593e-10; counts: 1007
sfh 0.268248 4.65209e-10 7.49998e-10 4.07789e-10 #avg: 6.49407e-10; avg_err: 2.2396e-11; sd: 7.10346e-10; counts: 1007
sfh 0.27331 4.3214e-10 7.99859e-10 3.87158e-10 #avg: 6.48752e-10; avg_err: 2.26466e-11; sd: 7.18295e-10; counts: 1007
sfh 0.278373 3.96878e-10 8.00339e-10 3.5947e-10 #avg: 6.17452e-10; avg_err: 2.12798e-11; sd: 6.74943e-10; counts: 1007
sfh 0.283435 3.72619e-10 8.08331e-10 3.40627e-10 #avg: 5.9765e-10; avg_err: 2.26994e-11; sd: 7.19967e-10; counts: 1007
sfh 0.288498 3.72133e-10 7.46381e-10 3.42141e-10 #avg: 5.96728e-10; avg_err: 2.57609e-11; sd: 8.1707e-10; counts: 1007
sfh 0.29356 3.30049e-10 8.20475e-10 3.09985e-10 #avg: 5.5761e-10; avg_err: 2.13826e-11; sd: 6.78202e-10; counts: 1007
sfh 0.298623 3.19983e-10 7.44543e-10 3.00455e-10 #avg: 5.16786e-10; avg_err: 1.88134e-11; sd: 5.96715e-10; counts: 1007
sfh 0.303685 2.78491e-10 7.08677e-10 2.62035e-10 #avg: 4.75985e-10; avg_err: 1.76776e-11; sd: 5.60691e-10; counts: 1007
sfh 0.308748 2.3021e-10 6.88487e-10 2.19157e-10 #avg: 4.33026e-10; avg_err: 1.68802e-11; sd: 5.35399e-10; counts: 1007
sfh 0.31381 2.21345e-10 6.10377e-10 2.11151e-10 #avg: 4.05881e-10; avg_err: 1.61344e-11; sd: 5.11743e-10; counts: 1007
sfh 0.318873 1.90378e-10 5.76112e-10 1.8231e-10 #avg: 3.68491e-10; avg_err: 1.4844e-11; sd: 4.70815e-10; counts: 1007
sfh 0.323935 1.72227e-10 5.63233e-10 1.65389e-10 #avg: 3.56653e-10; avg_err: 1.47008e-11; sd: 4.66271e-10; counts: 1007
sfh 0.328997 1.72309e-10 5.49358e-10 1.66224e-10 #avg: 3.49916e-10; avg_err: 1.44734e-11; sd: 4.59059e-10; counts: 1007
sfh 0.33406 1.27789e-10 5.4717e-10 1.22921e-10 #avg: 3.19365e-10; avg_err: 1.41554e-11; sd: 4.48974e-10; counts: 1007
sfh 0.339122 1.13012e-10 5.40842e-10 1.08985e-10 #avg: 2.95904e-10; avg_err: 1.31077e-11; sd: 4.15745e-10; counts: 1007
sfh 0.344185 1.01037e-10 5.18721e-10 9.68042e-11 #avg: 2.79008e-10; avg_err: 1.22655e-11; sd: 3.8903e-10; counts: 1007
sfh 0.349247 8.38158e-11 4.77546e-10 8.04586e-11 #avg: 2.57818e-10; avg_err: 1.19814e-11; sd: 3.80021e-10; counts: 1007
sfh 0.35431 7.26217e-11 4.72285e-10 6.95514e-11 #avg: 2.47179e-10; avg_err: 1.15954e-11; sd: 3.67778e-10; counts: 1007
sfh 0.359372 6.69236e-11 4.43856e-10 6.39092e-11 #avg: 2.30714e-10; avg_err: 1.07344e-11; sd: 3.4047e-10; counts: 1007
sfh 0.364435 6.3275e-11 3.90312e-10 6.04586e-11 #avg: 2.16269e-10; avg_err: 1.12997e-11; sd: 3.58399e-10; counts: 1007
sfh 0.369497 5.77845e-11 3.86858e-10 5.51986e-11 #avg: 2.10857e-10; avg_err: 1.12686e-11; sd: 3.57411e-10; counts: 1007
sfh 0.37456 5.23629e-11 3.44027e-10 5.00893e-11 #avg: 1.9338e-10; avg_err: 1.00137e-11; sd: 3.1761e-10; counts: 1007
sfh 0.379622 4.71575e-11 3.20203e-10 4.49262e-11 #avg: 1.76516e-10; avg_err: 8.93778e-12; sd: 2.83484e-10; counts: 1007
sfh 0.384685 3.94369e-11 3.09174e-10 3.71392e-11 #avg: 1.59627e-10; avg_err: 7.81189e-12; sd: 2.47774e-10; counts: 1007
sfh 0.389747 3.19447e-11 3.02762e-10 2.9982e-11 #avg: 1.60264e-10; avg_err: 9.15432e-12; sd: 2.90352e-10; counts: 1007
sfh 0.39481 2.71959e-11 2.85479e-10 2.52278e-11 #avg: 1.46215e-10; avg_err: 8.07137e-12; sd: 2.56004e-10; counts: 1007
sfh 0.399872 2.60379e-11 2.44004e-10 2.42486e-11 #avg: 1.37177e-10; avg_err: 7.82709e-12; sd: 2.48256e-10; counts: 1007
sfh 0.404935 2.25556e-11 2.59906e-10 2.0948e-11 #avg: 1.32251e-10; avg_err: 7.77519e-12; sd: 2.4661e-10; counts: 1007
sfh 0.409997 2.06223e-11 2.23604e-10 1.89322e-11 #avg: 1.17617e-10; avg_err: 6.55889e-12; sd: 2.08031e-10; counts: 1007
sfh 0.41506 1.64079e-11 2.32249e-10 1.48049e-11 #avg: 1.13056e-10; avg_err: 6.4472e-12; sd: 2.04489e-10; counts: 1007
sfh 0.420122 1.26595e-11 1.74389e-10 1.12218e-11 #avg: 9.61111e-11; avg_err: 5.80926e-12; sd: 1.84255e-10; counts: 1007
sfh 0.425185 1.14645e-11 1.68085e-10 1.00777e-11 #avg: 9.25906e-11; avg_err: 6.01555e-12; sd: 1.90798e-10; counts: 1007
sfh 0.430247 1.01281e-11 1.57227e-10 8.80324e-12 #avg: 8.32265e-11; avg_err: 5.45824e-12; sd: 1.73122e-10; counts: 1007
sfh 0.43531 8.77858e-12 1.4496e-10 7.4856e-12 #avg: 7.95302e-11; avg_err: 5.76924e-12; sd: 1.82986e-10; counts: 1007
