#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.668185 (z=0.496592) stellar mass
#vmpeak range: 3.11667 - 3.28333
#HM    Stats: 8.907350e+14 (median) + 1.872050e+14  / - 3.001470e+14
#SM    Stats: 7.649970e+11 (median) + 2.455430e+11  / - 1.495310e+11
#ObsSM Stats: 1.151900e+12 (median) + 1.702800e+11  / - 3.952960e+11
#VMP   Stats: 1.540690e+03 (median) + 1.593501e+02  / - 2.042999e+02
#ICL   Stats: 6.215890e+11 (median) + 2.209181e+11  / - 1.857820e+11
#SSFR  Stats: 1.194844e-12 (median) + 2.496514e-12  / - 9.952559e-13
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 3
sfh 0.060123 0 1.15848e-13 0 #avg: 3.86161e-14; avg_err: 3.86161e-14; sd: 5.46114e-14; counts: 3
sfh 0.062373 0 1.5035e-13 0 #avg: 5.01165e-14; avg_err: 5.01165e-14; sd: 7.08755e-14; counts: 3
sfh 0.064623 2.52001e-13 5.03422e-13 2.52001e-13 #avg: 3.35808e-13; avg_err: 2.22061e-13; sd: 3.14042e-13; counts: 3
sfh 0.066873 6.64506e-13 8.46367e-14 4.27367e-13 #avg: 5.50263e-13; avg_err: 1.58457e-13; sd: 2.24092e-13; counts: 3
sfh 0.069123 1.03853e-12 1.14983e-12 2.20536e-13 #avg: 1.3483e-12; avg_err: 4.24829e-13; sd: 6.00799e-13; counts: 3
sfh 0.071373 2.99401e-12 1.14501e-13 1.17038e-12 #avg: 2.64205e-12; avg_err: 4.10543e-13; sd: 5.80595e-13; counts: 3
sfh 0.073623 5.3471e-12 3.35835e-13 3.62451e-13 #avg: 5.33823e-12; avg_err: 2.01627e-13; sd: 2.85143e-13; counts: 3
sfh 0.075873 1.17271e-11 6.76287e-12 7.38614e-12 #avg: 1.15194e-11; avg_err: 4.08579e-12; sd: 5.77817e-12; counts: 3
sfh 0.078123 5.9286e-12 1.45223e-11 9.27414e-13 #avg: 1.04602e-11; avg_err: 5.00249e-12; sd: 7.07459e-12; counts: 3
sfh 0.080373 6.25599e-12 7.00108e-12 4.88151e-13 #avg: 8.42697e-12; avg_err: 2.41916e-12; sd: 3.42121e-12; counts: 3
sfh 0.082623 9.36559e-12 1.54125e-12 1.65335e-12 #avg: 9.32822e-12; avg_err: 9.22392e-13; sd: 1.30446e-12; counts: 3
sfh 0.085998 1.86953e-11 1.30813e-12 9.40103e-12 #avg: 1.59976e-11; avg_err: 3.3729e-12; sd: 4.77001e-12; counts: 3
sfh 0.089373 2.67562e-11 4.88293e-12 1.07525e-11 #avg: 2.47997e-11; avg_err: 4.61835e-12; sd: 6.53133e-12; counts: 3
sfh 0.092748 5.7331e-11 6.98428e-12 4.04606e-11 #avg: 4.61722e-11; avg_err: 1.4789e-11; sd: 2.09148e-11; counts: 3
sfh 0.096123 9.07686e-11 1.17616e-10 6.92505e-11 #avg: 1.0689e-10; avg_err: 5.45427e-11; sd: 7.7135e-11; counts: 3
sfh 0.099498 6.70378e-11 1.68128e-10 4.12267e-11 #avg: 1.09338e-10; avg_err: 6.40294e-11; sd: 9.05512e-11; counts: 3
sfh 0.102873 9.24776e-11 1.98771e-10 6.16786e-11 #avg: 1.38175e-10; avg_err: 7.85804e-11; sd: 1.11129e-10; counts: 3
sfh 0.106248 8.82874e-11 7.29561e-11 4.80706e-11 #avg: 9.65825e-11; avg_err: 3.51827e-11; sd: 4.97559e-11; counts: 3
sfh 0.109623 1.10861e-10 7.61647e-11 6.28712e-11 #avg: 1.15292e-10; avg_err: 4.01973e-11; sd: 5.68476e-11; counts: 3
sfh 0.112998 1.1334e-10 8.13033e-12 3.7159e-11 #avg: 1.03664e-10; avg_err: 1.39404e-11; sd: 1.97147e-11; counts: 3
sfh 0.116373 1.17481e-10 4.00836e-11 1.66776e-11 #avg: 1.25283e-10; avg_err: 1.68435e-11; sd: 2.38203e-11; counts: 3
sfh 0.119748 1.53656e-10 6.42993e-12 2.80753e-11 #avg: 1.46441e-10; avg_err: 1.0594e-11; sd: 1.49821e-11; counts: 3
sfh 0.123123 1.86689e-10 1.02681e-10 5.57608e-11 #avg: 2.02329e-10; avg_err: 4.64018e-11; sd: 6.5622e-11; counts: 3
sfh 0.126498 1.84527e-10 2.39571e-10 2.07955e-11 #avg: 2.57452e-10; avg_err: 8.35389e-11; sd: 1.18142e-10; counts: 3
sfh 0.129873 1.76822e-10 4.88214e-10 1.31574e-11 #avg: 3.35174e-10; avg_err: 1.64975e-10; sd: 2.3331e-10; counts: 3
sfh 0.133248 2.34965e-10 2.77045e-10 6.61422e-11 #avg: 3.05266e-10; avg_err: 1.05121e-10; sd: 1.48663e-10; counts: 3
sfh 0.136623 2.49421e-10 3.23693e-10 8.74293e-11 #avg: 3.28175e-10; avg_err: 1.25043e-10; sd: 1.76837e-10; counts: 3
sfh 0.141685 2.28257e-10 1.02656e-10 5.35797e-11 #avg: 2.44616e-10; avg_err: 4.58371e-11; sd: 6.48234e-11; counts: 3
sfh 0.146748 3.10242e-10 9.28535e-13 9.66621e-11 #avg: 2.78331e-10; avg_err: 3.23766e-11; sd: 4.57874e-11; counts: 3
sfh 0.15181 2.93959e-10 1.32437e-10 5.89662e-11 #avg: 3.1845e-10; avg_err: 5.6594e-11; sd: 8.0036e-11; counts: 3
sfh 0.156873 3.38633e-10 1.72011e-10 1.73072e-11 #avg: 3.90201e-10; avg_err: 6.04284e-11; sd: 8.54587e-11; counts: 3
sfh 0.161935 3.56459e-10 1.78009e-10 1.55993e-10 #avg: 3.63797e-10; avg_err: 9.64877e-11; sd: 1.36454e-10; counts: 3
sfh 0.166998 4.38329e-10 2.79323e-10 6.66529e-11 #avg: 5.09219e-10; avg_err: 1.05978e-10; sd: 1.49875e-10; counts: 3
sfh 0.17206 5.55061e-10 2.27036e-10 6.93947e-11 #avg: 6.07608e-10; avg_err: 8.95149e-11; sd: 1.26593e-10; counts: 3
sfh 0.177123 7.51745e-10 4.31758e-10 1.68148e-10 #avg: 8.39615e-10; avg_err: 1.78664e-10; sd: 2.52669e-10; counts: 3
sfh 0.182185 6.94241e-10 7.82497e-10 7.80621e-11 #avg: 9.29052e-10; avg_err: 2.74768e-10; sd: 3.88581e-10; counts: 3
sfh 0.187248 8.36111e-10 1.33301e-09 2.66827e-10 #avg: 1.1915e-09; avg_err: 4.94839e-10; sd: 6.99808e-10; counts: 3
sfh 0.19231 1.2237e-09 7.89234e-10 7.05596e-10 #avg: 1.25158e-09; avg_err: 4.31745e-10; sd: 6.1058e-10; counts: 3
sfh 0.197373 9.77555e-10 1.45391e-09 4.49272e-10 #avg: 1.31243e-09; avg_err: 5.74349e-10; sd: 8.12251e-10; counts: 3
sfh 0.202435 8.6326e-10 4.82889e-10 3.47234e-10 #avg: 9.08478e-10; avg_err: 2.407e-10; sd: 3.40401e-10; counts: 3
sfh 0.207498 9.37787e-10 2.99151e-10 1.83779e-10 #avg: 9.76244e-10; avg_err: 1.4073e-10; sd: 1.99022e-10; counts: 3
sfh 0.21256 9.72117e-10 1.20101e-10 3.161e-10 #avg: 9.06784e-10; avg_err: 1.30089e-10; sd: 1.83973e-10; counts: 3
sfh 0.217623 9.47934e-10 1.30262e-10 3.19991e-10 #avg: 8.84691e-10; avg_err: 1.33768e-10; sd: 1.89177e-10; counts: 3
sfh 0.222685 8.04693e-10 3.74293e-11 1.97706e-10 #avg: 7.51268e-10; avg_err: 7.29447e-11; sd: 1.03159e-10; counts: 3
sfh 0.227748 7.21396e-10 1.32368e-10 1.17369e-10 #avg: 7.26396e-10; avg_err: 7.21363e-11; sd: 1.02016e-10; counts: 3
sfh 0.23281 5.10802e-10 1.16507e-11 1.04167e-10 #avg: 4.79963e-10; avg_err: 3.68182e-11; sd: 5.20687e-11; counts: 3
sfh 0.237873 4.99144e-10 7.54086e-12 2.70778e-11 #avg: 4.92631e-10; avg_err: 1.05107e-11; sd: 1.48643e-11; counts: 3
sfh 0.242935 3.60556e-10 1.41416e-10 1.34713e-11 #avg: 4.03204e-10; avg_err: 4.95367e-11; sd: 7.00555e-11; counts: 3
sfh 0.247998 3.82846e-10 1.18207e-11 1.96986e-11 #avg: 3.80221e-10; avg_err: 9.1931e-12; sd: 1.3001e-11; counts: 3
sfh 0.25306 3.5179e-10 1.07811e-10 8.80096e-11 #avg: 3.58391e-10; avg_err: 5.66249e-11; sd: 8.00797e-11; counts: 3
sfh 0.258123 2.929e-10 2.56176e-11 6.00394e-11 #avg: 2.81426e-10; avg_err: 2.53838e-11; sd: 3.58981e-11; counts: 3
sfh 0.263185 2.59908e-10 1.43117e-10 1.03656e-11 #avg: 3.04159e-10; avg_err: 4.95237e-11; sd: 7.00371e-11; counts: 3
sfh 0.268248 2.50791e-10 6.95372e-11 1.11251e-10 #avg: 2.36886e-10; avg_err: 5.26501e-11; sd: 7.44584e-11; counts: 3
sfh 0.27331 1.95874e-10 1.08962e-10 4.38084e-11 #avg: 2.17592e-10; avg_err: 4.54181e-11; sd: 6.42309e-11; counts: 3
sfh 0.278373 2.48106e-10 4.11191e-11 1.04657e-10 #avg: 2.26926e-10; avg_err: 4.33937e-11; sd: 6.1368e-11; counts: 3
sfh 0.283435 2.38141e-10 2.97367e-11 6.60371e-11 #avg: 2.26041e-10; avg_err: 2.83017e-11; sd: 4.00247e-11; counts: 3
sfh 0.288498 2.69395e-10 7.31556e-11 8.41926e-11 #avg: 2.65716e-10; avg_err: 4.54597e-11; sd: 6.42898e-11; counts: 3
sfh 0.29356 2.81408e-10 1.91297e-10 7.07012e-11 #avg: 3.21607e-10; avg_err: 7.82576e-11; sd: 1.10673e-10; counts: 3
sfh 0.298623 2.99202e-10 3.2006e-10 1.89266e-11 #avg: 3.9958e-10; avg_err: 1.09977e-10; sd: 1.55531e-10; counts: 3
sfh 0.303685 2.67806e-10 3.13886e-10 5.26332e-11 #avg: 3.54891e-10; avg_err: 1.14414e-10; sd: 1.61806e-10; counts: 3
sfh 0.308748 2.82968e-10 1.93393e-10 3.64389e-11 #avg: 3.35286e-10; avg_err: 7.13174e-11; sd: 1.00858e-10; counts: 3
sfh 0.31381 2.63449e-10 2.27977e-10 5.52759e-11 #avg: 3.21016e-10; avg_err: 8.66862e-11; sd: 1.22593e-10; counts: 3
sfh 0.318873 2.90968e-10 1.95411e-10 1.26684e-10 #avg: 3.13877e-10; avg_err: 9.36838e-11; sd: 1.32489e-10; counts: 3
sfh 0.323935 2.34479e-10 3.35637e-10 6.28125e-11 #avg: 3.2542e-10; avg_err: 1.23684e-10; sd: 1.74916e-10; counts: 3
sfh 0.328997 2.78145e-10 2.40289e-10 1.14639e-10 #avg: 3.20029e-10; avg_err: 1.04577e-10; sd: 1.47895e-10; counts: 3
sfh 0.33406 2.99742e-10 2.38891e-10 1.23277e-10 #avg: 3.3828e-10; avg_err: 1.0631e-10; sd: 1.50345e-10; counts: 3
sfh 0.339122 3.16758e-10 7.21976e-11 9.87202e-11 #avg: 3.07917e-10; avg_err: 4.95373e-11; sd: 7.00564e-11; counts: 3
sfh 0.344185 3.79801e-10 2.77328e-10 1.98119e-10 #avg: 4.06204e-10; avg_err: 1.37883e-10; sd: 1.94997e-10; counts: 3
sfh 0.349247 3.31508e-10 5.11783e-11 1.62131e-10 #avg: 2.94524e-10; avg_err: 6.42938e-11; sd: 9.09252e-11; counts: 3
sfh 0.35431 1.43965e-10 9.24637e-11 2.81737e-11 #avg: 1.65395e-10; avg_err: 3.64362e-11; sd: 5.15285e-11; counts: 3
sfh 0.359372 1.32883e-10 6.95047e-11 2.88891e-11 #avg: 1.46422e-10; avg_err: 2.91993e-11; sd: 4.12941e-11; counts: 3
sfh 0.364435 9.64801e-11 8.84042e-11 7.23231e-12 #avg: 1.23537e-10; avg_err: 3.07444e-11; sd: 4.34792e-11; counts: 3
sfh 0.369497 1.18344e-10 6.96573e-12 6.27821e-11 #avg: 9.9738e-11; avg_err: 2.21797e-11; sd: 3.13668e-11; counts: 3
