#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.25 - 12.75
#HM    Stats: 2.573530e+12 (median) + 1.422060e+12  / - 6.029400e+11
#SM    Stats: 5.193140e+10 (median) + 3.330170e+10  / - 2.210060e+10
#ObsSM Stats: 5.219430e+10 (median) + 3.503310e+10  / - 2.288190e+10
#VMP   Stats: 2.102700e+02 (median) + 3.151999e+01  / - 2.143001e+01
#ICL   Stats: 4.392470e+08 (median) + 1.312473e+09  / - 3.002490e+08
#SSFR  Stats: 5.897990e-11 (median) + 8.904878e-11  / - 3.695592e-11
sfh 0.055623 0 0 0 #avg: 3.46089e-08; avg_err: 3.45216e-08; sd: 4.97795e-06; counts: 20794
sfh 0.060123 0 0 0 #avg: 4.44542e-05; avg_err: 1.35157e-05; sd: 0.00194894; counts: 20794
sfh 0.062373 0 0 0 #avg: 0.000244856; avg_err: 4.55299e-05; sd: 0.00656532; counts: 20794
sfh 0.064623 0 0 0 #avg: 0.00101917; avg_err: 0.000133165; sd: 0.0192022; counts: 20794
sfh 0.066873 0 0 0 #avg: 0.00289192; avg_err: 0.000313471; sd: 0.0452019; counts: 20794
sfh 0.069123 0 0 0 #avg: 0.00600755; avg_err: 0.000509839; sd: 0.0735177; counts: 20794
sfh 0.071373 0 0 0 #avg: 0.0110498; avg_err: 0.000820347; sd: 0.118292; counts: 20794
sfh 0.073623 0 0 0 #avg: 0.0164154; avg_err: 0.000989476; sd: 0.14268; counts: 20794
sfh 0.075873 0 0 0 #avg: 0.0252123; avg_err: 0.00137028; sd: 0.197592; counts: 20794
sfh 0.078123 0 0.00702698 0 #avg: 0.0363269; avg_err: 0.00207185; sd: 0.298756; counts: 20794
sfh 0.080373 0 0.0257132 0 #avg: 0.0464193; avg_err: 0.00178588; sd: 0.257521; counts: 20794
sfh 0.082623 0 0.0525785 0 #avg: 0.0568368; avg_err: 0.0018098; sd: 0.260969; counts: 20794
sfh 0.085998 0 0.10802 0 #avg: 0.0844271; avg_err: 0.00228561; sd: 0.32958; counts: 20794
sfh 0.089373 0.00753945 0.170382 0.00753945 #avg: 0.117396; avg_err: 0.00311902; sd: 0.449755; counts: 20794
sfh 0.092748 0.0261267 0.217332 0.0261267 #avg: 0.154152; avg_err: 0.00394252; sd: 0.568502; counts: 20794
sfh 0.096123 0.0513833 0.272677 0.0513833 #avg: 0.198204; avg_err: 0.00479762; sd: 0.691806; counts: 20794
sfh 0.099498 0.0832267 0.320981 0.0813496 #avg: 0.243379; avg_err: 0.00397493; sd: 0.573176; counts: 20794
sfh 0.102873 0.116919 0.376105 0.107461 #avg: 0.296551; avg_err: 0.00440241; sd: 0.634818; counts: 20794
sfh 0.106248 0.151571 0.432329 0.130897 #avg: 0.350752; avg_err: 0.00479409; sd: 0.691298; counts: 20794
sfh 0.109623 0.186867 0.482395 0.152403 #avg: 0.413449; avg_err: 0.00576713; sd: 0.831608; counts: 20794
sfh 0.112998 0.225371 0.542511 0.178352 #avg: 0.479822; avg_err: 0.00716862; sd: 1.0337; counts: 20794
sfh 0.116373 0.256479 0.59914 0.195629 #avg: 0.542863; avg_err: 0.00900607; sd: 1.29866; counts: 20794
sfh 0.119748 0.287392 0.67284 0.213027 #avg: 0.613618; avg_err: 0.00971989; sd: 1.40159; counts: 20794
sfh 0.123123 0.320581 0.755729 0.233631 #avg: 0.676625; avg_err: 0.00917832; sd: 1.32349; counts: 20794
sfh 0.126498 0.359533 0.815577 0.258419 #avg: 0.74046; avg_err: 0.0103916; sd: 1.49845; counts: 20794
sfh 0.129873 0.395958 0.870672 0.281308 #avg: 0.807669; avg_err: 0.0111864; sd: 1.61305; counts: 20794
sfh 0.133248 0.42994 0.93634 0.2988 #avg: 0.868806; avg_err: 0.0123612; sd: 1.78246; counts: 20794
sfh 0.136623 0.47047 1.00727 0.324947 #avg: 0.937525; avg_err: 0.0144864; sd: 2.0889; counts: 20794
sfh 0.141685 0.521902 1.09133 0.355877 #avg: 1.02475; avg_err: 0.0131825; sd: 1.90088; counts: 20794
sfh 0.146748 0.578454 1.16469 0.390869 #avg: 1.12506; avg_err: 0.016005; sd: 2.30789; counts: 20794
sfh 0.15181 0.628244 1.30316 0.423531 #avg: 1.22778; avg_err: 0.0155052; sd: 2.23582; counts: 20794
sfh 0.156873 0.675937 1.41175 0.453108 #avg: 1.32309; avg_err: 0.0163438; sd: 2.35674; counts: 20794
sfh 0.161935 0.725791 1.49024 0.485577 #avg: 1.43581; avg_err: 0.0180755; sd: 2.60645; counts: 20794
sfh 0.166998 0.774457 1.64876 0.518456 #avg: 1.55164; avg_err: 0.0196473; sd: 2.8331; counts: 20794
sfh 0.17206 0.813082 1.76189 0.545973 #avg: 1.67874; avg_err: 0.022434; sd: 3.23493; counts: 20794
sfh 0.177123 0.856825 1.88567 0.579935 #avg: 1.80103; avg_err: 0.0282756; sd: 4.07729; counts: 20794
sfh 0.182185 0.901577 2.04823 0.608194 #avg: 1.93002; avg_err: 0.0295317; sd: 4.2584; counts: 20794
sfh 0.187248 0.948495 2.1387 0.648052 #avg: 2.02723; avg_err: 0.0278571; sd: 4.01693; counts: 20794
sfh 0.19231 0.989131 2.29298 0.677075 #avg: 2.14276; avg_err: 0.0299782; sd: 4.32279; counts: 20794
sfh 0.197373 1.04818 2.48051 0.719438 #avg: 2.27524; avg_err: 0.0314639; sd: 4.53703; counts: 20794
sfh 0.202435 1.10118 2.67161 0.757014 #avg: 2.42189; avg_err: 0.03482; sd: 5.02096; counts: 20794
sfh 0.207498 1.16522 2.8013 0.808613 #avg: 2.56414; avg_err: 0.0399845; sd: 5.76568; counts: 20794
sfh 0.21256 1.22622 3.01574 0.862697 #avg: 2.76671; avg_err: 0.0456884; sd: 6.58817; counts: 20794
sfh 0.217623 1.28517 3.20026 0.906393 #avg: 2.94311; avg_err: 0.0509964; sd: 7.35357; counts: 20794
sfh 0.222685 1.33917 3.39249 0.94121 #avg: 3.10036; avg_err: 0.0516808; sd: 7.45225; counts: 20794
sfh 0.227748 1.41058 3.54181 0.99662 #avg: 3.26223; avg_err: 0.0504792; sd: 7.27899; counts: 20794
sfh 0.23281 1.48588 3.74723 1.05846 #avg: 3.44372; avg_err: 0.0506666; sd: 7.30602; counts: 20794
sfh 0.237873 1.56795 4.00069 1.12315 #avg: 3.62888; avg_err: 0.050468; sd: 7.27738; counts: 20794
sfh 0.242935 1.65489 4.29409 1.18602 #avg: 3.84591; avg_err: 0.0544515; sd: 7.85178; counts: 20794
sfh 0.247998 1.75271 4.6382 1.26789 #avg: 4.10395; avg_err: 0.0591313; sd: 8.52661; counts: 20794
sfh 0.25306 1.86321 4.80378 1.35381 #avg: 4.43329; avg_err: 0.0658501; sd: 9.49544; counts: 20794
sfh 0.258123 1.95655 5.18873 1.42198 #avg: 4.73369; avg_err: 0.0738749; sd: 10.6526; counts: 20794
sfh 0.263185 2.06128 5.46056 1.50799 #avg: 5.0057; avg_err: 0.0768245; sd: 11.0779; counts: 20794
sfh 0.268248 2.16582 5.93594 1.5884 #avg: 5.33712; avg_err: 0.0808126; sd: 11.653; counts: 20794
sfh 0.27331 2.28329 6.39144 1.68614 #avg: 5.71289; avg_err: 0.0890648; sd: 12.843; counts: 20794
sfh 0.278373 2.3781 6.76731 1.75501 #avg: 6.11984; avg_err: 0.099201; sd: 14.3046; counts: 20794
sfh 0.283435 2.51559 7.29122 1.8615 #avg: 6.55145; avg_err: 0.107488; sd: 15.4995; counts: 20794
sfh 0.288498 2.61611 7.83739 1.93488 #avg: 7.00876; avg_err: 0.114255; sd: 16.4754; counts: 20794
sfh 0.29356 2.76484 8.40546 2.04765 #avg: 7.40248; avg_err: 0.1161; sd: 16.7413; counts: 20794
sfh 0.298623 2.91377 9.08273 2.16819 #avg: 7.90932; avg_err: 0.124614; sd: 17.9691; counts: 20794
sfh 0.303685 3.07528 9.86792 2.308 #avg: 8.40717; avg_err: 0.124903; sd: 18.0108; counts: 20794
sfh 0.308748 3.26114 10.7282 2.46981 #avg: 9.04993; avg_err: 0.13479; sd: 19.4365; counts: 20794
sfh 0.31381 3.48196 11.8872 2.6552 #avg: 9.66006; avg_err: 0.135404; sd: 19.5249; counts: 20794
sfh 0.318873 3.65878 12.8082 2.81223 #avg: 10.3601; avg_err: 0.144768; sd: 20.8752; counts: 20794
sfh 0.323935 3.87743 14.3435 3.00163 #avg: 11.0229; avg_err: 0.151888; sd: 21.9019; counts: 20794
sfh 0.328997 4.20719 15.7178 3.30357 #avg: 11.8431; avg_err: 0.162376; sd: 23.4143; counts: 20794
sfh 0.33406 4.43665 17.0379 3.51787 #avg: 12.5852; avg_err: 0.16386; sd: 23.6283; counts: 20794
sfh 0.339122 4.73078 18.8494 3.79283 #avg: 13.3821; avg_err: 0.170609; sd: 24.6015; counts: 20794
sfh 0.344185 5.03483 20.1072 4.07218 #avg: 14.1585; avg_err: 0.177307; sd: 25.5673; counts: 20794
sfh 0.349247 5.51706 21.6962 4.52537 #avg: 14.8675; avg_err: 0.179712; sd: 25.9141; counts: 20794
sfh 0.35431 5.80261 22.8479 4.80755 #avg: 15.5327; avg_err: 0.182944; sd: 26.3802; counts: 20794
sfh 0.359372 6.24901 24.0554 5.22738 #avg: 16.1719; avg_err: 0.186397; sd: 26.878; counts: 20794
sfh 0.364435 6.68886 25.3111 5.66973 #avg: 16.834; avg_err: 0.188208; sd: 27.1392; counts: 20794
sfh 0.369497 7.18325 26.0088 6.1282 #avg: 17.5272; avg_err: 0.193388; sd: 27.8861; counts: 20794
sfh 0.37456 7.69339 26.6514 6.61935 #avg: 17.9787; avg_err: 0.188977; sd: 27.25; counts: 20794
sfh 0.379622 8.32919 27.2409 7.23521 #avg: 18.44; avg_err: 0.188349; sd: 27.1594; counts: 20794
sfh 0.384685 8.78792 28.0172 7.65478 #avg: 18.8616; avg_err: 0.188187; sd: 27.1361; counts: 20794
sfh 0.389747 9.38254 28.359 8.27446 #avg: 19.3825; avg_err: 0.190399; sd: 27.4551; counts: 20794
sfh 0.39481 9.82881 28.6101 8.72013 #avg: 19.7059; avg_err: 0.191645; sd: 27.6347; counts: 20794
