#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.25 - 12.75
#HM    Stats: 2.497060e+12 (median) + 1.316180e+12  / - 5.514700e+11
#SM    Stats: 5.071530e+10 (median) + 3.366080e+10  / - 2.482490e+10
#ObsSM Stats: 5.090490e+10 (median) + 3.690980e+10  / - 2.535670e+10
#VMP   Stats: 2.173900e+02 (median) + 3.284000e+01  / - 2.298000e+01
#ICL   Stats: 4.812620e+08 (median) + 2.260838e+09  / - 3.807010e+08
#SSFR  Stats: 6.380943e-11 (median) + 1.199865e-10  / - 4.187865e-11
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2541
sfh 0.060123 0 0 0 #avg: 4.79036e-05; avg_err: 3.97482e-05; sd: 0.00200325; counts: 2541
sfh 0.062373 0 0 0 #avg: 0.000166188; avg_err: 9.88161e-05; sd: 0.00498018; counts: 2541
sfh 0.064623 0 0 0 #avg: 0.000731156; avg_err: 0.000301611; sd: 0.0152007; counts: 2541
sfh 0.066873 0 0 0 #avg: 0.00273784; avg_err: 0.000731523; sd: 0.0368676; counts: 2541
sfh 0.069123 0 0 0 #avg: 0.00684764; avg_err: 0.00150309; sd: 0.0757532; counts: 2541
sfh 0.071373 0 0 0 #avg: 0.0120596; avg_err: 0.00196593; sd: 0.0990797; counts: 2541
sfh 0.073623 0 0 0 #avg: 0.0206379; avg_err: 0.00353097; sd: 0.177955; counts: 2541
sfh 0.075873 0 0.000152419 0 #avg: 0.0308335; avg_err: 0.00487291; sd: 0.245587; counts: 2541
sfh 0.078123 0 0.0153767 0 #avg: 0.0435419; avg_err: 0.00537992; sd: 0.271139; counts: 2541
sfh 0.080373 0 0.0392924 0 #avg: 0.0529059; avg_err: 0.00428884; sd: 0.216151; counts: 2541
sfh 0.082623 0 0.0760884 0 #avg: 0.0659214; avg_err: 0.00476107; sd: 0.23995; counts: 2541
sfh 0.085998 0 0.150119 0 #avg: 0.105231; avg_err: 0.00735715; sd: 0.370788; counts: 2541
sfh 0.089373 0.00981459 0.213026 0.00981459 #avg: 0.139858; avg_err: 0.00944812; sd: 0.47617; counts: 2541
sfh 0.092748 0.0304312 0.273575 0.0304312 #avg: 0.17769; avg_err: 0.00967135; sd: 0.487421; counts: 2541
sfh 0.096123 0.0599944 0.341972 0.0599944 #avg: 0.239131; avg_err: 0.0130708; sd: 0.658748; counts: 2541
sfh 0.099498 0.0967176 0.403854 0.0967176 #avg: 0.30085; avg_err: 0.0151389; sd: 0.762978; counts: 2541
sfh 0.102873 0.136926 0.467049 0.134082 #avg: 0.373091; avg_err: 0.0166117; sd: 0.837204; counts: 2541
sfh 0.106248 0.175277 0.513115 0.164041 #avg: 0.437185; avg_err: 0.0182635; sd: 0.920454; counts: 2541
sfh 0.109623 0.214153 0.578402 0.193415 #avg: 0.51808; avg_err: 0.0232581; sd: 1.17217; counts: 2541
sfh 0.112998 0.25642 0.673924 0.22651 #avg: 0.593695; avg_err: 0.0277022; sd: 1.39615; counts: 2541
sfh 0.116373 0.286929 0.760471 0.2486 #avg: 0.668798; avg_err: 0.0329551; sd: 1.66088; counts: 2541
sfh 0.119748 0.309165 0.892775 0.261066 #avg: 0.76062; avg_err: 0.0309122; sd: 1.55793; counts: 2541
sfh 0.123123 0.351455 0.993115 0.294214 #avg: 0.811682; avg_err: 0.0312165; sd: 1.57326; counts: 2541
sfh 0.126498 0.385486 1.03324 0.319915 #avg: 0.900843; avg_err: 0.0380827; sd: 1.91931; counts: 2541
sfh 0.129873 0.419022 1.09525 0.344169 #avg: 0.967263; avg_err: 0.0417493; sd: 2.1041; counts: 2541
sfh 0.133248 0.461721 1.17289 0.377678 #avg: 1.06149; avg_err: 0.0536971; sd: 2.70625; counts: 2541
sfh 0.136623 0.499239 1.3029 0.399403 #avg: 1.15341; avg_err: 0.0633797; sd: 3.19424; counts: 2541
sfh 0.141685 0.550841 1.40947 0.438455 #avg: 1.26868; avg_err: 0.055012; sd: 2.77252; counts: 2541
sfh 0.146748 0.612957 1.47647 0.47966 #avg: 1.42397; avg_err: 0.0652327; sd: 3.28762; counts: 2541
sfh 0.15181 0.685703 1.66374 0.540478 #avg: 1.56585; avg_err: 0.0671131; sd: 3.38239; counts: 2541
sfh 0.156873 0.768092 1.78829 0.609102 #avg: 1.69097; avg_err: 0.0747185; sd: 3.7657; counts: 2541
sfh 0.161935 0.797232 1.91936 0.628824 #avg: 1.77498; avg_err: 0.0702585; sd: 3.54092; counts: 2541
sfh 0.166998 0.865478 2.16229 0.685755 #avg: 1.92971; avg_err: 0.0796565; sd: 4.01456; counts: 2541
sfh 0.17206 0.898957 2.40693 0.706899 #avg: 2.08225; avg_err: 0.0799356; sd: 4.02863; counts: 2541
sfh 0.177123 0.940343 2.66677 0.743247 #avg: 2.2934; avg_err: 0.113722; sd: 5.73143; counts: 2541
sfh 0.182185 1.01124 2.96547 0.803699 #avg: 2.43789; avg_err: 0.0987527; sd: 4.97698; counts: 2541
sfh 0.187248 1.04659 3.17332 0.828858 #avg: 2.62291; avg_err: 0.11397; sd: 5.74393; counts: 2541
sfh 0.19231 1.11674 3.29254 0.897643 #avg: 2.84936; avg_err: 0.139225; sd: 7.01673; counts: 2541
sfh 0.197373 1.1995 3.63081 0.968514 #avg: 3.14602; avg_err: 0.15472; sd: 7.79762; counts: 2541
sfh 0.202435 1.27571 3.70054 1.0326 #avg: 3.35707; avg_err: 0.173788; sd: 8.75864; counts: 2541
sfh 0.207498 1.34791 4.01241 1.10311 #avg: 3.6648; avg_err: 0.231816; sd: 11.6831; counts: 2541
sfh 0.21256 1.38036 4.3831 1.12087 #avg: 3.95173; avg_err: 0.262289; sd: 13.219; counts: 2541
sfh 0.217623 1.43143 4.43096 1.16965 #avg: 4.26386; avg_err: 0.297575; sd: 14.9973; counts: 2541
sfh 0.222685 1.47929 4.42659 1.19455 #avg: 4.32951; avg_err: 0.273829; sd: 13.8006; counts: 2541
sfh 0.227748 1.60803 4.67304 1.31884 #avg: 4.53626; avg_err: 0.261949; sd: 13.2018; counts: 2541
sfh 0.23281 1.69189 4.99682 1.38498 #avg: 4.7503; avg_err: 0.248617; sd: 12.5299; counts: 2541
sfh 0.237873 1.84421 5.42368 1.52272 #avg: 4.86389; avg_err: 0.22473; sd: 11.326; counts: 2541
sfh 0.242935 1.93445 5.70064 1.59763 #avg: 5.00758; avg_err: 0.220615; sd: 11.1187; counts: 2541
sfh 0.247998 2.00543 6.04814 1.67601 #avg: 5.33075; avg_err: 0.239797; sd: 12.0854; counts: 2541
sfh 0.25306 2.1614 6.5748 1.82906 #avg: 5.80503; avg_err: 0.254914; sd: 12.8473; counts: 2541
sfh 0.258123 2.22695 7.402 1.88214 #avg: 6.25101; avg_err: 0.293997; sd: 14.817; counts: 2541
sfh 0.263185 2.30621 7.93919 1.95531 #avg: 6.68194; avg_err: 0.316811; sd: 15.9668; counts: 2541
sfh 0.268248 2.42359 8.36291 2.06578 #avg: 7.09228; avg_err: 0.330405; sd: 16.6519; counts: 2541
sfh 0.27331 2.68482 8.51758 2.32398 #avg: 7.85199; avg_err: 0.396986; sd: 20.0075; counts: 2541
sfh 0.278373 2.75616 9.19774 2.38519 #avg: 8.46829; avg_err: 0.436295; sd: 21.9886; counts: 2541
sfh 0.283435 2.91695 10.1293 2.52273 #avg: 9.13438; avg_err: 0.477866; sd: 24.0837; counts: 2541
sfh 0.288498 3.12745 10.9824 2.69844 #avg: 10.0573; avg_err: 0.524282; sd: 26.423; counts: 2541
sfh 0.29356 3.27626 12.4138 2.84058 #avg: 10.295; avg_err: 0.459544; sd: 23.1603; counts: 2541
sfh 0.298623 3.49706 13.2786 3.0561 #avg: 11.063; avg_err: 0.519548; sd: 26.1844; counts: 2541
sfh 0.303685 3.67691 14.1144 3.24466 #avg: 11.4224; avg_err: 0.493874; sd: 24.8905; counts: 2541
sfh 0.308748 3.8158 15.5451 3.38142 #avg: 12.212; avg_err: 0.524465; sd: 26.4322; counts: 2541
sfh 0.31381 4.03646 17.7605 3.58393 #avg: 12.9731; avg_err: 0.533038; sd: 26.8643; counts: 2541
sfh 0.318873 4.30723 19.0276 3.86477 #avg: 13.6765; avg_err: 0.541552; sd: 27.2933; counts: 2541
sfh 0.323935 4.44994 21.8313 4.01578 #avg: 14.5639; avg_err: 0.567461; sd: 28.5991; counts: 2541
sfh 0.328997 4.62411 23.1624 4.14763 #avg: 15.5701; avg_err: 0.602442; sd: 30.3621; counts: 2541
sfh 0.33406 5.04794 24.0633 4.60079 #avg: 16.2204; avg_err: 0.595695; sd: 30.0221; counts: 2541
sfh 0.339122 5.36025 26.1554 4.92922 #avg: 16.7396; avg_err: 0.593569; sd: 29.915; counts: 2541
sfh 0.344185 5.87086 26.9456 5.431 #avg: 17.1044; avg_err: 0.576135; sd: 29.0363; counts: 2541
sfh 0.349247 6.10023 27.3124 5.69256 #avg: 17.3859; avg_err: 0.574515; sd: 28.9547; counts: 2541
sfh 0.35431 6.31194 28.0031 5.90012 #avg: 17.6754; avg_err: 0.585327; sd: 29.4995; counts: 2541
sfh 0.359372 6.87973 29.1503 6.48788 #avg: 18.2698; avg_err: 0.57465; sd: 28.9614; counts: 2541
sfh 0.364435 6.90071 30.8385 6.50536 #avg: 18.7107; avg_err: 0.57791; sd: 29.1258; counts: 2541
sfh 0.369497 7.39718 30.955 7.04277 #avg: 19.5384; avg_err: 0.618636; sd: 31.1783; counts: 2541
sfh 0.37456 8.05524 32.3462 7.70455 #avg: 19.8285; avg_err: 0.612609; sd: 30.8745; counts: 2541
sfh 0.379622 8.69676 32.1749 8.35906 #avg: 20.6078; avg_err: 0.651999; sd: 32.8597; counts: 2541
sfh 0.384685 8.64019 31.2849 8.32835 #avg: 20.6373; avg_err: 0.640417; sd: 32.276; counts: 2541
sfh 0.389747 9.34289 31.3653 9.03995 #avg: 20.6928; avg_err: 0.635752; sd: 32.0409; counts: 2541
sfh 0.39481 9.80888 30.5719 9.51237 #avg: 20.9791; avg_err: 0.653033; sd: 32.9118; counts: 2541
sfh 0.399872 9.98195 29.477 9.7133 #avg: 20.6959; avg_err: 0.626707; sd: 31.5851; counts: 2541
