#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.75 - 13.25
#HM    Stats: 8.564710e+12 (median) + 4.689690e+12  / - 2.255890e+12
#SM    Stats: 8.668460e+10 (median) + 5.744740e+10  / - 4.041150e+10
#ObsSM Stats: 8.682430e+10 (median) + 6.037370e+10  / - 4.117030e+10
#VMP   Stats: 3.327600e+02 (median) + 5.289999e+01  / - 4.138000e+01
#ICL   Stats: 4.676010e+09 (median) + 1.938179e+10  / - 3.599320e+09
#SSFR  Stats: 1.030910e-12 (median) + 2.314277e-12  / - 6.980831e-13
sfh 0.055623 0 0 0 #avg: 5.28591e-08; avg_err: 5.27492e-08; sd: 3.12336e-06; counts: 3507
sfh 0.060123 0 0 0 #avg: 0.000426584; avg_err: 0.000107485; sd: 0.00636435; counts: 3507
sfh 0.062373 0 0 0 #avg: 0.00254494; avg_err: 0.000395125; sd: 0.0233959; counts: 3507
sfh 0.064623 0 0 0 #avg: 0.00936599; avg_err: 0.00111711; sd: 0.0661459; counts: 3507
sfh 0.066873 0 0 0 #avg: 0.0265649; avg_err: 0.00261531; sd: 0.154856; counts: 3507
sfh 0.069123 0 0.00859258 0 #avg: 0.055273; avg_err: 0.00485875; sd: 0.287694; counts: 3507
sfh 0.071373 0 0.0543125 0 #avg: 0.0907544; avg_err: 0.00629088; sd: 0.372492; counts: 3507
sfh 0.073623 0 0.129881 0 #avg: 0.135; avg_err: 0.00867794; sd: 0.513834; counts: 3507
sfh 0.075873 5.4734e-08 0.24243 5.4734e-08 #avg: 0.190026; avg_err: 0.0115775; sd: 0.685523; counts: 3507
sfh 0.078123 0.012761 0.357547 0.012761 #avg: 0.250791; avg_err: 0.0135519; sd: 0.802429; counts: 3507
sfh 0.080373 0.0402846 0.464804 0.0402846 #avg: 0.305064; avg_err: 0.013306; sd: 0.787866; counts: 3507
sfh 0.082623 0.0809814 0.524124 0.0809814 #avg: 0.358617; avg_err: 0.0154216; sd: 0.913135; counts: 3507
