#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 14.25 - 14.75
#HM    Stats: 2.457350e+14 (median) + 2.032360e+14  / - 5.176399e+13
#SM    Stats: 5.879010e+11 (median) + 3.301990e+11  / - 2.113330e+11
#ObsSM Stats: 5.773660e+11 (median) + 3.872900e+11  / - 1.655870e+11
#VMP   Stats: 8.801600e+02 (median) + 2.208400e+02  / - 6.821997e+01
#ICL   Stats: 1.648270e+11 (median) + 2.508380e+11  / - 5.194301e+10
#SSFR  Stats: 1.700721e-11 (median) + 2.849955e-11  / - 6.412385e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 17
sfh 0.060123 0 0.000695556 0 #avg: 0.00246625; avg_err: 0.00229956; sd: 0.00919824; counts: 17
sfh 0.062373 0 0.0172517 0 #avg: 0.0247408; avg_err: 0.0184929; sd: 0.0739717; counts: 17
sfh 0.064623 0 0.11813 0 #avg: 0.0845118; avg_err: 0.0499263; sd: 0.199705; counts: 17
sfh 0.066873 0.0418195 0.247713 0.0418195 #avg: 0.242534; avg_err: 0.116912; sd: 0.467648; counts: 17
sfh 0.069123 0.15284 0.625114 0.142429 #avg: 0.447769; avg_err: 0.19479; sd: 0.77916; counts: 17
sfh 0.071373 0.511356 1.04793 0.468226 #avg: 1.13354; avg_err: 0.525413; sd: 2.10165; counts: 17
sfh 0.073623 0.745108 2.63209 0.666229 #avg: 1.51195; avg_err: 0.509888; sd: 2.03955; counts: 17
sfh 0.075873 0.919422 3.55866 0.580962 #avg: 2.02854; avg_err: 0.556483; sd: 2.22593; counts: 17
sfh 0.078123 1.41327 2.90522 0.967496 #avg: 2.27399; avg_err: 0.521294; sd: 2.08518; counts: 17
sfh 0.080373 2.43692 2.91523 1.86384 #avg: 3.18221; avg_err: 0.664976; sd: 2.6599; counts: 17
sfh 0.082623 3.24513 2.29728 2.24849 #avg: 4.65341; avg_err: 1.33206; sd: 5.32823; counts: 17
sfh 0.085998 5.04069 4.92505 3.71044 #avg: 6.31117; avg_err: 1.36174; sd: 5.44694; counts: 17
sfh 0.089373 6.91301 5.30929 4.2658 #avg: 8.61372; avg_err: 1.5281; sd: 6.11239; counts: 17
sfh 0.092748 9.50091 4.56689 7.1301 #avg: 9.92718; avg_err: 1.61898; sd: 6.47593; counts: 17
sfh 0.096123 12.6064 3.8999 8.97801 #avg: 13.326; avg_err: 2.40094; sd: 9.60375; counts: 17
sfh 0.099498 14.3663 5.5572 10.7395 #avg: 16.1961; avg_err: 2.67438; sd: 10.6975; counts: 17
sfh 0.102873 19.8779 9.5228 15.1759 #avg: 21.327; avg_err: 4.12884; sd: 16.5154; counts: 17
sfh 0.106248 22.3824 23.1831 15.1246 #avg: 24.4119; avg_err: 3.93121; sd: 15.7249; counts: 17
sfh 0.109623 31.1069 23.3943 20.8182 #avg: 32.745; avg_err: 4.50878; sd: 18.0351; counts: 17
sfh 0.112998 34.8832 23.4938 19.6739 #avg: 36.6424; avg_err: 5.18047; sd: 20.7219; counts: 17
sfh 0.116373 37.9367 34.4638 26.1644 #avg: 42.7634; avg_err: 6.32257; sd: 25.2903; counts: 17
sfh 0.119748 43.8877 30.7465 33.3323 #avg: 45.5802; avg_err: 6.81639; sd: 27.2656; counts: 17
sfh 0.123123 55.8936 28.2748 40.8764 #avg: 52.9124; avg_err: 7.42811; sd: 29.7124; counts: 17
sfh 0.126498 55.5173 30.8097 35.9612 #avg: 57.2251; avg_err: 7.84715; sd: 31.3886; counts: 17
sfh 0.129873 62.9349 61.0341 40.9109 #avg: 69.6051; avg_err: 11.2449; sd: 44.9797; counts: 17
sfh 0.133248 65.1795 50.0125 46.0913 #avg: 69.8207; avg_err: 12.0305; sd: 48.1221; counts: 17
sfh 0.136623 68.5266 55.9924 40.6306 #avg: 82.6193; avg_err: 13.7118; sd: 54.8473; counts: 17
sfh 0.141685 77.6655 73.3405 48.4522 #avg: 97.6875; avg_err: 18.7167; sd: 74.8668; counts: 17
sfh 0.146748 84.1022 126.106 54.0323 #avg: 110.339; avg_err: 20.6456; sd: 82.5825; counts: 17
sfh 0.15181 108.251 81.164 81.674 #avg: 118.312; avg_err: 20.8159; sd: 83.2634; counts: 17
sfh 0.156873 94.3992 167.424 65.8502 #avg: 138.726; avg_err: 25.3097; sd: 101.239; counts: 17
sfh 0.161935 137.219 113.522 81.0561 #avg: 176.827; avg_err: 38.0928; sd: 152.371; counts: 17
sfh 0.166998 149.545 200.477 98.4443 #avg: 203.022; avg_err: 46.5333; sd: 186.133; counts: 17
sfh 0.17206 147.759 284.045 76.7173 #avg: 226.29; avg_err: 45.4153; sd: 181.661; counts: 17
sfh 0.177123 193.654 175.696 134.886 #avg: 241.87; avg_err: 50.0561; sd: 200.224; counts: 17
sfh 0.182185 220.566 193.639 134.205 #avg: 282.07; avg_err: 61.1192; sd: 244.477; counts: 17
sfh 0.187248 256.115 240.905 145.394 #avg: 297.801; avg_err: 48.8339; sd: 195.336; counts: 17
sfh 0.19231 309.146 316.652 227.412 #avg: 334.439; avg_err: 58.1307; sd: 232.523; counts: 17
sfh 0.197373 282.168 470.9 180.768 #avg: 345.84; avg_err: 60.6608; sd: 242.643; counts: 17
sfh 0.202435 276.86 536.724 133.221 #avg: 375.571; avg_err: 68.1333; sd: 272.533; counts: 17
sfh 0.207498 276.843 404.65 169.803 #avg: 375.479; avg_err: 71.7614; sd: 287.046; counts: 17
sfh 0.21256 310.907 276.225 195.218 #avg: 343.328; avg_err: 50.4933; sd: 201.973; counts: 17
sfh 0.217623 283.738 238.905 150.889 #avg: 321.824; avg_err: 43.1427; sd: 172.571; counts: 17
sfh 0.222685 279.319 240.058 120.912 #avg: 353.723; avg_err: 74.7349; sd: 298.94; counts: 17
sfh 0.227748 281.038 183.975 143.472 #avg: 328.521; avg_err: 47.1699; sd: 188.68; counts: 17
sfh 0.23281 264.793 341.332 143.557 #avg: 340.665; avg_err: 53.563; sd: 214.252; counts: 17
sfh 0.237873 268.886 388.627 136.674 #avg: 326.406; avg_err: 50.4915; sd: 201.966; counts: 17
sfh 0.242935 309.196 341.869 179.72 #avg: 347.374; avg_err: 55.8121; sd: 223.249; counts: 17
sfh 0.247998 413.611 331.953 335.698 #avg: 398.435; avg_err: 66.6083; sd: 266.433; counts: 17
sfh 0.25306 388.551 247.025 313.279 #avg: 380.113; avg_err: 53.6302; sd: 214.521; counts: 17
sfh 0.258123 365.268 237.865 217.287 #avg: 378.72; avg_err: 47.3947; sd: 189.579; counts: 17
