#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 10.75 - 11.25
#HM    Stats: 2.002940e+12 (median) + 2.554410e+12  / - 9.391199e+11
#SM    Stats: 7.170330e+10 (median) + 2.922370e+10  / - 1.597860e+10
#ObsSM Stats: 7.410030e+10 (median) + 3.068570e+10  / - 1.379790e+10
#VMP   Stats: 2.111900e+02 (median) + 5.353000e+01  / - 3.188000e+01
#ICL   Stats: 4.257120e+08 (median) + 2.595868e+09  / - 3.472699e+08
#SSFR  Stats: 3.626354e-11 (median) + 4.899326e-11  / - 2.019270e-11
sfh 0.055623 0 0 0 #avg: 1.40764e-14; avg_err: 1.40764e-14; sd: 6.87586e-13; counts: 2387
sfh 0.060123 0 0 0 #avg: 0.000104556; avg_err: 5.37559e-05; sd: 0.0026258; counts: 2387
sfh 0.062373 0 0 0 #avg: 0.000702883; avg_err: 0.000263513; sd: 0.0128718; counts: 2387
sfh 0.064623 0 0 0 #avg: 0.00193619; avg_err: 0.000626447; sd: 0.0305999; counts: 2387
sfh 0.066873 0 0 0 #avg: 0.00514177; avg_err: 0.00113186; sd: 0.0552879; counts: 2387
sfh 0.069123 0 0 0 #avg: 0.0120867; avg_err: 0.00212932; sd: 0.10401; counts: 2387
sfh 0.071373 0 0 0 #avg: 0.0225522; avg_err: 0.0033108; sd: 0.161721; counts: 2387
sfh 0.073623 0 0 0 #avg: 0.034991; avg_err: 0.00478201; sd: 0.233585; counts: 2387
sfh 0.075873 0 0.0125677 0 #avg: 0.0536586; avg_err: 0.00675931; sd: 0.33017; counts: 2387
sfh 0.078123 0 0.0376003 0 #avg: 0.0730389; avg_err: 0.00813395; sd: 0.397317; counts: 2387
sfh 0.080373 0 0.0790575 0 #avg: 0.0943891; avg_err: 0.00853345; sd: 0.416831; counts: 2387
sfh 0.082623 0 0.127386 0 #avg: 0.118439; avg_err: 0.0129367; sd: 0.631913; counts: 2387
sfh 0.085998 0.0042869 0.213595 0.0042869 #avg: 0.167582; avg_err: 0.0134092; sd: 0.654995; counts: 2387
sfh 0.089373 0.0228838 0.279548 0.0228838 #avg: 0.211821; avg_err: 0.0160162; sd: 0.782337; counts: 2387
sfh 0.092748 0.0520039 0.342722 0.0520039 #avg: 0.263472; avg_err: 0.0186577; sd: 0.911369; counts: 2387
sfh 0.096123 0.0842046 0.424087 0.0842046 #avg: 0.325468; avg_err: 0.019106; sd: 0.933266; counts: 2387
sfh 0.099498 0.118814 0.503339 0.117314 #avg: 0.384801; avg_err: 0.0183862; sd: 0.898105; counts: 2387
sfh 0.102873 0.164815 0.572172 0.155496 #avg: 0.483628; avg_err: 0.0247406; sd: 1.2085; counts: 2387
sfh 0.106248 0.204076 0.645023 0.183632 #avg: 0.564072; avg_err: 0.0259013; sd: 1.26519; counts: 2387
sfh 0.109623 0.245606 0.72381 0.21102 #avg: 0.676806; avg_err: 0.0321879; sd: 1.57227; counts: 2387
sfh 0.112998 0.285113 0.861057 0.237555 #avg: 0.783777; avg_err: 0.0386622; sd: 1.88852; counts: 2387
sfh 0.116373 0.328045 0.975705 0.264624 #avg: 0.883499; avg_err: 0.0436877; sd: 2.134; counts: 2387
sfh 0.119748 0.376601 1.08852 0.304637 #avg: 0.989511; avg_err: 0.0440551; sd: 2.15195; counts: 2387
sfh 0.123123 0.408026 1.22054 0.326587 #avg: 1.08097; avg_err: 0.0489566; sd: 2.39137; counts: 2387
sfh 0.126498 0.475019 1.25318 0.378141 #avg: 1.18521; avg_err: 0.060969; sd: 2.97813; counts: 2387
sfh 0.129873 0.513772 1.32843 0.405536 #avg: 1.28162; avg_err: 0.0658567; sd: 3.21688; counts: 2387
sfh 0.133248 0.564027 1.48956 0.438256 #avg: 1.43292; avg_err: 0.0800669; sd: 3.91101; counts: 2387
sfh 0.136623 0.604255 1.60814 0.46435 #avg: 1.56242; avg_err: 0.0905418; sd: 4.42267; counts: 2387
sfh 0.141685 0.664313 1.84289 0.502327 #avg: 1.69567; avg_err: 0.0772901; sd: 3.77536; counts: 2387
sfh 0.146748 0.720967 1.87119 0.542438 #avg: 1.8914; avg_err: 0.0885271; sd: 4.32426; counts: 2387
sfh 0.15181 0.805081 2.23011 0.613268 #avg: 2.08719; avg_err: 0.0972767; sd: 4.75165; counts: 2387
sfh 0.156873 0.872631 2.46786 0.65806 #avg: 2.35945; avg_err: 0.131796; sd: 6.43778; counts: 2387
sfh 0.161935 0.906472 2.62815 0.68188 #avg: 2.58719; avg_err: 0.155068; sd: 7.57456; counts: 2387
sfh 0.166998 0.954299 2.77992 0.714035 #avg: 2.79074; avg_err: 0.153061; sd: 7.47653; counts: 2387
sfh 0.17206 1.03486 3.12673 0.774241 #avg: 2.98914; avg_err: 0.159745; sd: 7.80303; counts: 2387
sfh 0.177123 1.10839 3.41993 0.831269 #avg: 3.27835; avg_err: 0.182333; sd: 8.90635; counts: 2387
sfh 0.182185 1.17099 3.80327 0.876116 #avg: 3.53095; avg_err: 0.21146; sd: 10.3291; counts: 2387
sfh 0.187248 1.2721 4.06536 0.967786 #avg: 3.71563; avg_err: 0.211418; sd: 10.327; counts: 2387
sfh 0.19231 1.38348 4.31132 1.06022 #avg: 3.82871; avg_err: 0.176631; sd: 8.62782; counts: 2387
sfh 0.197373 1.4475 4.52962 1.10958 #avg: 4.15832; avg_err: 0.207836; sd: 10.1521; counts: 2387
sfh 0.202435 1.54422 4.65564 1.20413 #avg: 4.42176; avg_err: 0.213955; sd: 10.451; counts: 2387
sfh 0.207498 1.60955 5.08871 1.24037 #avg: 5.03979; avg_err: 0.307855; sd: 15.0377; counts: 2387
sfh 0.21256 1.70124 5.50814 1.31841 #avg: 5.43479; avg_err: 0.333715; sd: 16.3009; counts: 2387
sfh 0.217623 1.79073 6.15955 1.40336 #avg: 5.94313; avg_err: 0.38234; sd: 18.676; counts: 2387
sfh 0.222685 1.92237 6.30735 1.52057 #avg: 6.35752; avg_err: 0.409407; sd: 19.9982; counts: 2387
sfh 0.227748 1.96965 6.77412 1.52868 #avg: 6.80864; avg_err: 0.424197; sd: 20.7206; counts: 2387
sfh 0.23281 2.0811 7.32827 1.60354 #avg: 6.97062; avg_err: 0.394431; sd: 19.2666; counts: 2387
sfh 0.237873 2.2351 8.2378 1.73834 #avg: 7.30358; avg_err: 0.375267; sd: 18.3305; counts: 2387
sfh 0.242935 2.2956 8.5865 1.76923 #avg: 7.50466; avg_err: 0.371845; sd: 18.1634; counts: 2387
sfh 0.247998 2.43999 8.85431 1.88586 #avg: 8.10906; avg_err: 0.401245; sd: 19.5995; counts: 2387
sfh 0.25306 2.53273 9.56397 1.93414 #avg: 8.7737; avg_err: 0.434551; sd: 21.2264; counts: 2387
sfh 0.258123 2.7513 10.3132 2.16716 #avg: 9.50933; avg_err: 0.475188; sd: 23.2114; counts: 2387
sfh 0.263185 2.92335 10.9266 2.31648 #avg: 10.3559; avg_err: 0.536769; sd: 26.2194; counts: 2387
sfh 0.268248 3.15309 11.3354 2.51732 #avg: 10.8102; avg_err: 0.531496; sd: 25.9618; counts: 2387
sfh 0.27331 3.40318 12.0452 2.73033 #avg: 11.0898; avg_err: 0.526821; sd: 25.7335; counts: 2387
sfh 0.278373 3.52775 13.7981 2.80415 #avg: 12.0451; avg_err: 0.562339; sd: 27.4684; counts: 2387
sfh 0.283435 3.75622 15.1184 2.98153 #avg: 12.5269; avg_err: 0.56067; sd: 27.3869; counts: 2387
sfh 0.288498 3.97765 16.6959 3.17043 #avg: 13.5034; avg_err: 0.58869; sd: 28.7556; counts: 2387
sfh 0.29356 4.16322 18.4168 3.30715 #avg: 14.197; avg_err: 0.585479; sd: 28.5987; counts: 2387
sfh 0.298623 4.31687 19.0132 3.4225 #avg: 14.9901; avg_err: 0.645789; sd: 31.5447; counts: 2387
sfh 0.303685 4.60584 21.5781 3.66686 #avg: 15.8804; avg_err: 0.654699; sd: 31.9799; counts: 2387
sfh 0.308748 5.04058 23.8452 4.04628 #avg: 16.4883; avg_err: 0.639065; sd: 31.2162; counts: 2387
sfh 0.31381 5.41152 26.6999 4.40737 #avg: 17.2423; avg_err: 0.633362; sd: 30.9377; counts: 2387
sfh 0.318873 5.96518 28.8266 4.89452 #avg: 18.5707; avg_err: 0.659624; sd: 32.2204; counts: 2387
sfh 0.323935 6.42501 29.7634 5.30746 #avg: 19.2985; avg_err: 0.64744; sd: 31.6253; counts: 2387
sfh 0.328997 6.98658 32.1571 5.83885 #avg: 20.4274; avg_err: 0.684279; sd: 33.4248; counts: 2387
sfh 0.33406 7.5577 33.5982 6.28213 #avg: 20.9443; avg_err: 0.661014; sd: 32.2884; counts: 2387
sfh 0.339122 8.3539 35.888 7.03362 #avg: 21.9741; avg_err: 0.677291; sd: 33.0834; counts: 2387
sfh 0.344185 9.2229 36.4308 7.84784 #avg: 22.2924; avg_err: 0.672891; sd: 32.8685; counts: 2387
sfh 0.349247 9.83903 35.2513 8.38892 #avg: 22.9988; avg_err: 0.678658; sd: 33.1502; counts: 2387
sfh 0.35431 10.5782 35.861 9.25148 #avg: 23.4139; avg_err: 0.670678; sd: 32.7604; counts: 2387
sfh 0.359372 11.6035 35.9133 9.91843 #avg: 24.1123; avg_err: 0.658989; sd: 32.1894; counts: 2387
sfh 0.364435 12.3968 37.1936 10.855 #avg: 24.8497; avg_err: 0.668978; sd: 32.6774; counts: 2387
sfh 0.369497 13.8603 37.6723 12.168 #avg: 25.7521; avg_err: 0.693756; sd: 33.8877; counts: 2387
sfh 0.37456 14.4533 37.4983 12.6833 #avg: 26.4001; avg_err: 0.690934; sd: 33.7498; counts: 2387
sfh 0.379622 15.5853 37.3691 13.6878 #avg: 27.5679; avg_err: 0.727757; sd: 35.5485; counts: 2387
sfh 0.384685 17.0848 36.5908 15.196 #avg: 28.185; avg_err: 0.716493; sd: 34.9983; counts: 2387
sfh 0.389747 17.8793 35.6048 16.0544 #avg: 28.4471; avg_err: 0.693886; sd: 33.894; counts: 2387
sfh 0.39481 18.6633 33.734 16.4823 #avg: 28.9474; avg_err: 0.695688; sd: 33.9821; counts: 2387
sfh 0.399872 19.5761 32.5745 17.1305 #avg: 29.0421; avg_err: 0.69397; sd: 33.8982; counts: 2387
sfh 0.404935 20.6568 30.6325 18.193 #avg: 28.5475; avg_err: 0.632471; sd: 30.8941; counts: 2387
sfh 0.409997 20.2398 31.5916 17.7737 #avg: 28.0967; avg_err: 0.611229; sd: 29.8565; counts: 2387
sfh 0.41506 20.3677 30.6646 18.4158 #avg: 27.8192; avg_err: 0.609523; sd: 29.7732; counts: 2387
sfh 0.420122 19.6463 30.6021 17.8481 #avg: 27.4226; avg_err: 0.58281; sd: 28.4684; counts: 2387
sfh 0.425185 20.4674 29.2446 18.9158 #avg: 27.2481; avg_err: 0.569163; sd: 27.8017; counts: 2387
sfh 0.430247 20.7992 28.0347 19.0971 #avg: 26.9314; avg_err: 0.558615; sd: 27.2865; counts: 2387
sfh 0.43531 20.7762 27.9447 18.992 #avg: 26.9802; avg_err: 0.549697; sd: 26.8509; counts: 2387
sfh 0.440372 20.3866 28.3036 18.2161 #avg: 26.7991; avg_err: 0.542523; sd: 26.5004; counts: 2387
sfh 0.445435 20.7437 26.8087 18.8509 #avg: 26.2134; avg_err: 0.516299; sd: 25.2195; counts: 2387
sfh 0.450497 19.3781 25.953 17.9609 #avg: 25.2713; avg_err: 0.505526; sd: 24.6933; counts: 2387
sfh 0.45556 19.4074 25.9134 18.3886 #avg: 24.9303; avg_err: 0.496489; sd: 24.2519; counts: 2387
sfh 0.460622 18.8375 25.0319 17.6699 #avg: 24.2813; avg_err: 0.481965; sd: 23.5424; counts: 2387
sfh 0.465685 18.2916 24.2029 17.1937 #avg: 23.7597; avg_err: 0.480681; sd: 23.4797; counts: 2387
sfh 0.470747 18.4126 23.507 17.4508 #avg: 23.1239; avg_err: 0.456675; sd: 22.3071; counts: 2387
sfh 0.47581 17.6632 22.4835 16.9573 #avg: 22.374; avg_err: 0.445125; sd: 21.7429; counts: 2387
sfh 0.480872 16.6036 22.3195 15.7751 #avg: 21.7232; avg_err: 0.444489; sd: 21.7118; counts: 2387
sfh 0.485935 16.5169 20.6945 15.8162 #avg: 20.9624; avg_err: 0.428903; sd: 20.9505; counts: 2387
sfh 0.490997 15.8835 20.406 15.2062 #avg: 20.2008; avg_err: 0.412921; sd: 20.1698; counts: 2387
sfh 0.49606 15.3183 20.9422 14.7396 #avg: 19.6214; avg_err: 0.401717; sd: 19.6225; counts: 2387
sfh 0.501122 15.0232 19.3684 14.4047 #avg: 18.9987; avg_err: 0.392221; sd: 19.1587; counts: 2387
sfh 0.506185 14.1001 18.7172 13.4935 #avg: 18.1471; avg_err: 0.375559; sd: 18.3448; counts: 2387
sfh 0.511247 13.5538 17.519 13.0366 #avg: 17.5465; avg_err: 0.366947; sd: 17.9242; counts: 2387
sfh 0.51631 13.3396 16.4709 12.8694 #avg: 16.7992; avg_err: 0.354012; sd: 17.2923; counts: 2387
sfh 0.521372 12.341 15.9911 11.8711 #avg: 15.9173; avg_err: 0.332271; sd: 16.2304; counts: 2387
sfh 0.526435 11.5285 16.5214 10.9916 #avg: 15.4812; avg_err: 0.328117; sd: 16.0274; counts: 2387
sfh 0.531497 11.1565 16.143 10.6881 #avg: 14.8049; avg_err: 0.316335; sd: 15.4519; counts: 2387
sfh 0.53656 10.5585 15.5487 10.1925 #avg: 13.9677; avg_err: 0.307354; sd: 15.0132; counts: 2387
sfh 0.541622 10.2332 15.0229 9.87023 #avg: 13.4828; avg_err: 0.28956; sd: 14.1441; counts: 2387
sfh 0.546685 9.94882 14.1924 9.59655 #avg: 13.0924; avg_err: 0.281603; sd: 13.7554; counts: 2387
