#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 7.75 - 8.25
#HM    Stats: 4.785290e+10 (median) + 2.210300e+10  / - 1.572050e+10
#SM    Stats: 9.052710e+07 (median) + 4.842690e+07  / - 2.800170e+07
#ObsSM Stats: 9.232140e+07 (median) + 4.842060e+07  / - 2.729720e+07
#VMP   Stats: 6.374000e+01 (median) + 5.380001e+00  / - 4.900002e+00
#ICL   Stats: 3.758920e+04 (median) + 1.267511e+06  / - 3.758920e+04
#SSFR  Stats: 1.614520e-10 (median) + 1.946847e-10  / - 9.199342e-11
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 759819
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 759819
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 759819
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 759819
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 759819
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 759819
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 759819
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 759819
sfh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 759819
sfh 0.078123 0 0 0 #avg: 3.17113e-08; avg_err: 1.12313e-08; sd: 9.79001e-06; counts: 759819
sfh 0.080373 0 0 0 #avg: 2.52279e-07; avg_err: 8.06328e-08; sd: 7.02857e-05; counts: 759819
sfh 0.082623 0 0 0 #avg: 6.6302e-07; avg_err: 2.30728e-07; sd: 0.00020112; counts: 759819
sfh 0.085998 0 0 0 #avg: 2.19337e-06; avg_err: 4.44498e-07; sd: 0.000387458; counts: 759819
sfh 0.089373 0 0 0 #avg: 6.28986e-06; avg_err: 6.26973e-07; sd: 0.000546517; counts: 759819
sfh 0.092748 0 0 0 #avg: 1.78237e-05; avg_err: 1.24659e-06; sd: 0.00108662; counts: 759819
sfh 0.096123 0 0 0 #avg: 3.50771e-05; avg_err: 1.72216e-06; sd: 0.00150117; counts: 759819
sfh 0.099498 0 0 0 #avg: 7.18382e-05; avg_err: 2.69769e-06; sd: 0.00235151; counts: 759819
sfh 0.102873 0 0 0 #avg: 0.000132998; avg_err: 3.55985e-06; sd: 0.00310303; counts: 759819
sfh 0.106248 0 0 0 #avg: 0.000229209; avg_err: 4.64744e-06; sd: 0.00405106; counts: 759819
sfh 0.109623 0 0 0 #avg: 0.00035082; avg_err: 5.90084e-06; sd: 0.00514362; counts: 759819
sfh 0.112998 0 0 0 #avg: 0.0005017; avg_err: 6.59138e-06; sd: 0.00574554; counts: 759819
