#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 8.25 - 8.75
#HM    Stats: 6.995590e+10 (median) + 3.419110e+10  / - 2.392651e+10
#SM    Stats: 3.031400e+08 (median) + 1.524680e+08  / - 9.823501e+07
#ObsSM Stats: 3.073560e+08 (median) + 1.525720e+08  / - 9.692899e+07
#VMP   Stats: 7.957000e+01 (median) + 6.650002e+00  / - 6.699997e+00
#ICL   Stats: 5.639240e+05 (median) + 3.675686e+06  / - 5.639240e+05
#SSFR  Stats: 1.400064e-10 (median) + 1.980279e-10  / - 1.335575e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 187184
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 187184
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 187184
sfh 0.064623 0 0 0 #avg: 3.95068e-07; avg_err: 3.95068e-07; sd: 0.000170925; counts: 187184
sfh 0.066873 0 0 0 #avg: 2.31157e-07; avg_err: 2.31157e-07; sd: 0.000100009; counts: 187184
sfh 0.069123 0 0 0 #avg: 6.07398e-07; avg_err: 3.69857e-07; sd: 0.000160017; counts: 187184
sfh 0.071373 0 0 0 #avg: 1.89323e-06; avg_err: 7.00024e-07; sd: 0.000302863; counts: 187184
sfh 0.073623 0 0 0 #avg: 5.31728e-06; avg_err: 1.41809e-06; sd: 0.000613533; counts: 187184
sfh 0.075873 0 0 0 #avg: 1.49078e-05; avg_err: 3.15494e-06; sd: 0.00136497; counts: 187184
sfh 0.078123 0 0 0 #avg: 3.36143e-05; avg_err: 7.29081e-06; sd: 0.00315434; counts: 187184
sfh 0.080373 0 0 0 #avg: 5.56213e-05; avg_err: 8.2911e-06; sd: 0.00358712; counts: 187184
sfh 0.082623 0 0 0 #avg: 8.39322e-05; avg_err: 7.54632e-06; sd: 0.00326489; counts: 187184
sfh 0.085998 0 0 0 #avg: 0.000198807; avg_err: 1.28808e-05; sd: 0.00557282; counts: 187184
sfh 0.089373 0 0 0 #avg: 0.000395284; avg_err: 1.83864e-05; sd: 0.00795481; counts: 187184
sfh 0.092748 0 0 0 #avg: 0.000671141; avg_err: 2.29219e-05; sd: 0.0099171; counts: 187184
sfh 0.096123 0 0 0 #avg: 0.00109776; avg_err: 2.94576e-05; sd: 0.0127447; counts: 187184
sfh 0.099498 0 0 0 #avg: 0.00168017; avg_err: 3.53614e-05; sd: 0.015299; counts: 187184
sfh 0.102873 0 0 0 #avg: 0.0024295; avg_err: 4.05615e-05; sd: 0.0175488; counts: 187184
sfh 0.106248 0 0 0 #avg: 0.00337334; avg_err: 5.19185e-05; sd: 0.0224623; counts: 187184
sfh 0.109623 0 5.73197e-06 0 #avg: 0.00440271; avg_err: 5.43824e-05; sd: 0.0235283; counts: 187184
sfh 0.112998 0 0.00300267 0 #avg: 0.00540259; avg_err: 5.60528e-05; sd: 0.0242511; counts: 187184
sfh 0.116373 0 0.00644988 0 #avg: 0.00630312; avg_err: 5.82025e-05; sd: 0.0251811; counts: 187184
sfh 0.119748 0 0.00947852 0 #avg: 0.00727006; avg_err: 6.24599e-05; sd: 0.027023; counts: 187184
sfh 0.123123 0 0.0122211 0 #avg: 0.00824304; avg_err: 6.55789e-05; sd: 0.0283725; counts: 187184
sfh 0.126498 0 0.0145592 0 #avg: 0.00932216; avg_err: 6.96288e-05; sd: 0.0301247; counts: 187184
