#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 8.75 - 9.25
#HM    Stats: 1.476470e+11 (median) + 6.882399e+10  / - 4.920581e+10
#SM    Stats: 9.078620e+08 (median) + 4.893480e+08  / - 2.821430e+08
#ObsSM Stats: 9.245200e+08 (median) + 4.908500e+08  / - 2.741830e+08
#VMP   Stats: 9.145000e+01 (median) + 8.090004e+00  / - 6.930000e+00
#ICL   Stats: 2.952560e+06 (median) + 9.779140e+06  / - 2.690618e+06
#SSFR  Stats: 1.101385e-10 (median) + 1.497167e-10  / - 8.477372e-11
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 370541
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 370541
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 370541
sfh 0.064623 0 0 0 #avg: 7.14427e-07; avg_err: 4.56226e-07; sd: 0.000277714; counts: 370541
sfh 0.066873 0 0 0 #avg: 5.43472e-07; avg_err: 2.52508e-07; sd: 0.000153707; counts: 370541
sfh 0.069123 0 0 0 #avg: 5.73257e-06; avg_err: 2.155e-06; sd: 0.00131179; counts: 370541
sfh 0.071373 0 0 0 #avg: 2.0276e-05; avg_err: 8.02734e-06; sd: 0.0048864; counts: 370541
sfh 0.073623 0 0 0 #avg: 2.46061e-05; avg_err: 3.94495e-06; sd: 0.00240137; counts: 370541
sfh 0.075873 0 0 0 #avg: 5.44826e-05; avg_err: 6.08346e-06; sd: 0.00370312; counts: 370541
sfh 0.078123 0 0 0 #avg: 9.95774e-05; avg_err: 8.41855e-06; sd: 0.00512454; counts: 370541
sfh 0.080373 0 0 0 #avg: 0.000199348; avg_err: 1.47403e-05; sd: 0.00897272; counts: 370541
sfh 0.082623 0 0 0 #avg: 0.0003487; avg_err: 2.11377e-05; sd: 0.0128669; counts: 370541
sfh 0.085998 0 0 0 #avg: 0.000674509; avg_err: 3.63317e-05; sd: 0.0221159; counts: 370541
sfh 0.089373 0 0 0 #avg: 0.00114716; avg_err: 2.87413e-05; sd: 0.0174954; counts: 370541
sfh 0.092748 0 0 0 #avg: 0.00192382; avg_err: 3.13676e-05; sd: 0.0190941; counts: 370541
sfh 0.096123 0 0 0 #avg: 0.00293905; avg_err: 3.90895e-05; sd: 0.0237946; counts: 370541
sfh 0.099498 0 0 0 #avg: 0.00420987; avg_err: 4.42179e-05; sd: 0.0269163; counts: 370541
sfh 0.102873 0 0 0 #avg: 0.00583678; avg_err: 5.27359e-05; sd: 0.0321014; counts: 370541
sfh 0.106248 0 0.00434678 0 #avg: 0.00770119; avg_err: 5.98819e-05; sd: 0.0364513; counts: 370541
sfh 0.109623 0 0.0100181 0 #avg: 0.00957098; avg_err: 6.24032e-05; sd: 0.0379861; counts: 370541
sfh 0.112998 0 0.0156779 0 #avg: 0.0114986; avg_err: 6.79587e-05; sd: 0.0413678; counts: 370541
sfh 0.116373 0 0.0202845 0 #avg: 0.013166; avg_err: 6.99335e-05; sd: 0.0425699; counts: 370541
sfh 0.119748 0 0.0240774 0 #avg: 0.0147436; avg_err: 7.40031e-05; sd: 0.0450472; counts: 370541
