#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 8.75 - 9.25
#HM    Stats: 1.476470e+11 (median) + 6.750000e+10  / - 4.829410e+10
#SM    Stats: 8.989570e+08 (median) + 4.866530e+08  / - 2.764450e+08
#ObsSM Stats: 9.155080e+08 (median) + 4.886920e+08  / - 2.677120e+08
#VMP   Stats: 9.071000e+01 (median) + 7.590004e+00  / - 6.639999e+00
#ICL   Stats: 2.872870e+06 (median) + 9.451730e+06  / - 2.610064e+06
#SSFR  Stats: 1.286601e-10 (median) + 1.526594e-10  / - 7.022519e-11
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 320057
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 320057
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 320057
sfh 0.064623 0 0 0 #avg: 4.2951e-07; avg_err: 4.2472e-07; sd: 0.000240279; counts: 320057
sfh 0.066873 0 0 0 #avg: 4.19892e-07; avg_err: 2.62713e-07; sd: 0.000148626; counts: 320057
sfh 0.069123 0 0 0 #avg: 3.88935e-06; avg_err: 2.13379e-06; sd: 0.00120716; counts: 320057
sfh 0.071373 0 0 0 #avg: 1.81837e-05; avg_err: 9.1472e-06; sd: 0.00517489; counts: 320057
sfh 0.073623 0 0 0 #avg: 1.84665e-05; avg_err: 3.79602e-06; sd: 0.00214754; counts: 320057
sfh 0.075873 0 0 0 #avg: 4.0954e-05; avg_err: 5.53623e-06; sd: 0.00313204; counts: 320057
sfh 0.078123 0 0 0 #avg: 7.71961e-05; avg_err: 7.36418e-06; sd: 0.00416617; counts: 320057
sfh 0.080373 0 0 0 #avg: 0.000154349; avg_err: 1.14759e-05; sd: 0.00649231; counts: 320057
sfh 0.082623 0 0 0 #avg: 0.000276237; avg_err: 1.73899e-05; sd: 0.00983806; counts: 320057
sfh 0.085998 0 0 0 #avg: 0.000526584; avg_err: 1.95477e-05; sd: 0.0110588; counts: 320057
sfh 0.089373 0 0 0 #avg: 0.000960375; avg_err: 2.7415e-05; sd: 0.0155096; counts: 320057
sfh 0.092748 0 0 0 #avg: 0.00165447; avg_err: 3.04643e-05; sd: 0.0172347; counts: 320057
sfh 0.096123 0 0 0 #avg: 0.00257906; avg_err: 3.88075e-05; sd: 0.0219548; counts: 320057
sfh 0.099498 0 0 0 #avg: 0.00375894; avg_err: 4.43275e-05; sd: 0.0250776; counts: 320057
sfh 0.102873 0 0 0 #avg: 0.00526027; avg_err: 5.24968e-05; sd: 0.0296993; counts: 320057
sfh 0.106248 0 0.00318807 0 #avg: 0.00701506; avg_err: 6.02769e-05; sd: 0.0341008; counts: 320057
sfh 0.109623 0 0.00844473 0 #avg: 0.0087394; avg_err: 6.29666e-05; sd: 0.0356224; counts: 320057
sfh 0.112998 0 0.0140274 0 #avg: 0.0105246; avg_err: 6.66701e-05; sd: 0.0377176; counts: 320057
sfh 0.116373 0 0.0185075 0 #avg: 0.0120679; avg_err: 6.90865e-05; sd: 0.0390846; counts: 320057
sfh 0.119748 0 0.0221642 0 #avg: 0.013569; avg_err: 7.23819e-05; sd: 0.040949; counts: 320057
sfh 0.123123 0.00057532 0.02493 0.00057532 #avg: 0.0152061; avg_err: 7.6166e-05; sd: 0.0430898; counts: 320057
sfh 0.126498 0.0019204 0.0271659 0.0019204 #avg: 0.0168578; avg_err: 7.919e-05; sd: 0.0448006; counts: 320057
sfh 0.129873 0.00336759 0.0290895 0.00336759 #avg: 0.0185772; avg_err: 8.11903e-05; sd: 0.0459322; counts: 320057
sfh 0.133248 0.0049027 0.0310734 0.0049027 #avg: 0.0203779; avg_err: 8.44492e-05; sd: 0.0477759; counts: 320057
sfh 0.136623 0.0064537 0.032576 0.0064537 #avg: 0.0222097; avg_err: 8.86227e-05; sd: 0.0501369; counts: 320057
sfh 0.141685 0.00858792 0.0347356 0.00858792 #avg: 0.0246878; avg_err: 9.12068e-05; sd: 0.0515989; counts: 320057
sfh 0.146748 0.010749 0.0364471 0.0104957 #avg: 0.0270541; avg_err: 9.52184e-05; sd: 0.0538684; counts: 320057
sfh 0.15181 0.0126645 0.0374156 0.0117581 #avg: 0.0290034; avg_err: 9.63341e-05; sd: 0.0544996; counts: 320057
sfh 0.156873 0.0143678 0.0381326 0.0127141 #avg: 0.030494; avg_err: 9.69652e-05; sd: 0.0548566; counts: 320057
sfh 0.161935 0.0157321 0.0382593 0.0132902 #avg: 0.0315965; avg_err: 9.47839e-05; sd: 0.0536226; counts: 320057
sfh 0.166998 0.0169366 0.0383469 0.0137059 #avg: 0.0325932; avg_err: 9.71171e-05; sd: 0.0549425; counts: 320057
sfh 0.17206 0.0176214 0.0376505 0.0137164 #avg: 0.0329766; avg_err: 9.45898e-05; sd: 0.0535127; counts: 320057
sfh 0.177123 0.0179324 0.0376751 0.0135297 #avg: 0.0331981; avg_err: 9.28674e-05; sd: 0.0525383; counts: 320057
sfh 0.182185 0.0182774 0.0375752 0.0135014 #avg: 0.0333457; avg_err: 9.10488e-05; sd: 0.0515095; counts: 320057
sfh 0.187248 0.0184993 0.0372303 0.0134131 #avg: 0.0333486; avg_err: 8.94254e-05; sd: 0.0505911; counts: 320057
sfh 0.19231 0.0187537 0.0370144 0.0134015 #avg: 0.0334303; avg_err: 8.79069e-05; sd: 0.049732; counts: 320057
sfh 0.197373 0.0188358 0.0370014 0.0132181 #avg: 0.0335203; avg_err: 8.73127e-05; sd: 0.0493959; counts: 320057
sfh 0.202435 0.0190178 0.0366542 0.01318 #avg: 0.0335085; avg_err: 8.62476e-05; sd: 0.0487933; counts: 320057
sfh 0.207498 0.0192563 0.0365281 0.0131973 #avg: 0.0336471; avg_err: 8.66066e-05; sd: 0.0489964; counts: 320057
sfh 0.21256 0.0194592 0.036369 0.0132068 #avg: 0.0337287; avg_err: 8.55031e-05; sd: 0.0483721; counts: 320057
sfh 0.217623 0.019662 0.0362043 0.0132279 #avg: 0.0337569; avg_err: 8.51174e-05; sd: 0.0481539; counts: 320057
sfh 0.222685 0.0197838 0.0361014 0.0132949 #avg: 0.0337657; avg_err: 8.42174e-05; sd: 0.0476447; counts: 320057
sfh 0.227748 0.0199326 0.035952 0.0133326 #avg: 0.0338343; avg_err: 8.35585e-05; sd: 0.047272; counts: 320057
sfh 0.23281 0.0200901 0.0360945 0.0133904 #avg: 0.034003; avg_err: 8.35158e-05; sd: 0.0472478; counts: 320057
sfh 0.237873 0.0202846 0.0358564 0.0134355 #avg: 0.0340778; avg_err: 8.29024e-05; sd: 0.0469008; counts: 320057
sfh 0.242935 0.0204305 0.0357004 0.0134519 #avg: 0.0341695; avg_err: 8.34426e-05; sd: 0.0472064; counts: 320057
sfh 0.247998 0.0207846 0.0360447 0.0135925 #avg: 0.0345411; avg_err: 8.33993e-05; sd: 0.0471819; counts: 320057
sfh 0.25306 0.0209732 0.0359112 0.0136218 #avg: 0.0346849; avg_err: 8.33432e-05; sd: 0.0471502; counts: 320057
sfh 0.258123 0.0212469 0.0364556 0.0137446 #avg: 0.0350711; avg_err: 8.29003e-05; sd: 0.0468996; counts: 320057
sfh 0.263185 0.0215178 0.036533 0.0138209 #avg: 0.0352535; avg_err: 8.22152e-05; sd: 0.046512; counts: 320057
sfh 0.268248 0.0217014 0.0366861 0.0138436 #avg: 0.0356054; avg_err: 8.28093e-05; sd: 0.0468481; counts: 320057
sfh 0.27331 0.0220749 0.0371736 0.0140295 #avg: 0.0361577; avg_err: 8.42385e-05; sd: 0.0476567; counts: 320057
sfh 0.278373 0.0223834 0.0377272 0.0141783 #avg: 0.0366512; avg_err: 8.5677e-05; sd: 0.0484705; counts: 320057
sfh 0.283435 0.0230047 0.0388576 0.0145978 #avg: 0.0376483; avg_err: 8.71175e-05; sd: 0.0492854; counts: 320057
sfh 0.288498 0.0233997 0.0395919 0.0147965 #avg: 0.0383458; avg_err: 8.90149e-05; sd: 0.0503588; counts: 320057
sfh 0.29356 0.0238682 0.0401603 0.015024 #avg: 0.0390478; avg_err: 9.01605e-05; sd: 0.051007; counts: 320057
sfh 0.298623 0.0244252 0.0408416 0.0153369 #avg: 0.0398089; avg_err: 9.15355e-05; sd: 0.0517848; counts: 320057
sfh 0.303685 0.0249345 0.0417008 0.0156197 #avg: 0.0406598; avg_err: 9.27962e-05; sd: 0.0524981; counts: 320057
sfh 0.308748 0.0254869 0.0427857 0.0159452 #avg: 0.0415293; avg_err: 9.45737e-05; sd: 0.0535036; counts: 320057
sfh 0.31381 0.0261164 0.0438007 0.0162883 #avg: 0.042434; avg_err: 9.62541e-05; sd: 0.0544543; counts: 320057
