#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 8.75 - 9.25
#HM    Stats: 1.194120e+11 (median) + 5.808800e+10  / - 4.125020e+10
#SM    Stats: 8.903090e+08 (median) + 4.842211e+08  / - 2.693970e+08
#ObsSM Stats: 9.081210e+08 (median) + 4.870490e+08  / - 2.613370e+08
#VMP   Stats: 9.220000e+01 (median) + 7.810005e+00  / - 6.579994e+00
#ICL   Stats: 2.236950e+06 (median) + 8.538450e+06  / - 2.160388e+06
#SSFR  Stats: 1.417251e-10 (median) + 1.697406e-10  / - 7.784479e-11
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 93948
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 93948
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 93948
sfh 0.064623 0 0 0 #avg: 1.64086e-08; avg_err: 1.62826e-08; sd: 4.99074e-06; counts: 93948
sfh 0.066873 0 0 0 #avg: 6.94455e-07; avg_err: 5.09228e-07; sd: 0.000156082; counts: 93948
sfh 0.069123 0 0 0 #avg: 1.04009e-05; avg_err: 6.93851e-06; sd: 0.00212671; counts: 93948
sfh 0.071373 0 0 0 #avg: 5.63603e-05; avg_err: 3.10532e-05; sd: 0.00951804; counts: 93948
sfh 0.073623 0 0 0 #avg: 4.96934e-05; avg_err: 1.25044e-05; sd: 0.00383269; counts: 93948
sfh 0.075873 0 0 0 #avg: 8.87595e-05; avg_err: 1.67366e-05; sd: 0.0051299; counts: 93948
sfh 0.078123 0 0 0 #avg: 0.000147956; avg_err: 1.99923e-05; sd: 0.00612778; counts: 93948
sfh 0.080373 0 0 0 #avg: 0.000289047; avg_err: 3.32059e-05; sd: 0.0101779; counts: 93948
sfh 0.082623 0 0 0 #avg: 0.000497799; avg_err: 4.97659e-05; sd: 0.0152536; counts: 93948
sfh 0.085998 0 0 0 #avg: 0.000931626; avg_err: 5.14152e-05; sd: 0.0157591; counts: 93948
sfh 0.089373 0 0 0 #avg: 0.00164426; avg_err: 6.72226e-05; sd: 0.0206043; counts: 93948
sfh 0.092748 0 0 0 #avg: 0.00265818; avg_err: 7.26505e-05; sd: 0.0222679; counts: 93948
sfh 0.096123 0 0 0 #avg: 0.00399368; avg_err: 9.63525e-05; sd: 0.0295328; counts: 93948
sfh 0.099498 0 0 0 #avg: 0.0056288; avg_err: 0.000108578; sd: 0.03328; counts: 93948
sfh 0.102873 0 0.00246936 0 #avg: 0.00744057; avg_err: 0.000118287; sd: 0.036256; counts: 93948
sfh 0.106248 0 0.00857564 0 #avg: 0.00976726; avg_err: 0.000142521; sd: 0.0436839; counts: 93948
sfh 0.109623 0 0.0151626 0 #avg: 0.0118643; avg_err: 0.0001448; sd: 0.0443822; counts: 93948
sfh 0.112998 0 0.021329 0 #avg: 0.0140983; avg_err: 0.000150432; sd: 0.0461086; counts: 93948
sfh 0.116373 0 0.0259703 0 #avg: 0.0158917; avg_err: 0.000152713; sd: 0.0468077; counts: 93948
sfh 0.119748 0.000446014 0.0294451 0.000446014 #avg: 0.0177336; avg_err: 0.00016471; sd: 0.0504848; counts: 93948
sfh 0.123123 0.00206879 0.031268 0.00206879 #avg: 0.0196471; avg_err: 0.000171632; sd: 0.0526065; counts: 93948
sfh 0.126498 0.00371385 0.033453 0.00371385 #avg: 0.0216252; avg_err: 0.000180456; sd: 0.0553111; counts: 93948
sfh 0.129873 0.00546504 0.0355738 0.00546504 #avg: 0.0236144; avg_err: 0.000180975; sd: 0.0554703; counts: 93948
sfh 0.133248 0.00711206 0.0382571 0.00711206 #avg: 0.0256794; avg_err: 0.000186548; sd: 0.0571785; counts: 93948
sfh 0.136623 0.00887148 0.0396294 0.00887148 #avg: 0.0276899; avg_err: 0.000190877; sd: 0.0585053; counts: 93948
sfh 0.141685 0.0113042 0.0418659 0.0113042 #avg: 0.0304614; avg_err: 0.000200159; sd: 0.0613504; counts: 93948
sfh 0.146748 0.013581 0.0438314 0.0130924 #avg: 0.0331829; avg_err: 0.000213819; sd: 0.0655371; counts: 93948
sfh 0.15181 0.0155339 0.0453364 0.0143217 #avg: 0.0352345; avg_err: 0.000214655; sd: 0.0657935; counts: 93948
sfh 0.156873 0.0173161 0.0460403 0.0153354 #avg: 0.0366532; avg_err: 0.000214153; sd: 0.0656394; counts: 93948
sfh 0.161935 0.0186513 0.0461517 0.0158273 #avg: 0.0379217; avg_err: 0.000210457; sd: 0.0645066; counts: 93948
sfh 0.166998 0.0198867 0.0464108 0.0162826 #avg: 0.0392332; avg_err: 0.000220621; sd: 0.0676221; counts: 93948
sfh 0.17206 0.0206495 0.0465799 0.0163431 #avg: 0.0396671; avg_err: 0.000213491; sd: 0.0654366; counts: 93948
sfh 0.177123 0.0211436 0.0462318 0.0163687 #avg: 0.0399254; avg_err: 0.000203351; sd: 0.0623288; counts: 93948
sfh 0.182185 0.021486 0.04718 0.0163357 #avg: 0.040354; avg_err: 0.000204696; sd: 0.0627409; counts: 93948
sfh 0.187248 0.0218037 0.0469208 0.0163422 #avg: 0.0405525; avg_err: 0.000203914; sd: 0.0625013; counts: 93948
sfh 0.19231 0.0221377 0.0469151 0.0164538 #avg: 0.0406187; avg_err: 0.000197025; sd: 0.0603896; counts: 93948
sfh 0.197373 0.0224493 0.0470525 0.0164869 #avg: 0.0409082; avg_err: 0.000200004; sd: 0.0613028; counts: 93948
sfh 0.202435 0.022605 0.0465114 0.0164098 #avg: 0.0409044; avg_err: 0.000195784; sd: 0.0600094; counts: 93948
sfh 0.207498 0.0229692 0.0466012 0.016537 #avg: 0.041294; avg_err: 0.000201648; sd: 0.0618068; counts: 93948
sfh 0.21256 0.0232606 0.0465799 0.0166187 #avg: 0.0414833; avg_err: 0.000198243; sd: 0.0607629; counts: 93948
sfh 0.217623 0.0234725 0.0460666 0.0166414 #avg: 0.0413866; avg_err: 0.000198216; sd: 0.0607548; counts: 93948
sfh 0.222685 0.023752 0.0454952 0.0167831 #avg: 0.041377; avg_err: 0.000195251; sd: 0.059846; counts: 93948
sfh 0.227748 0.0240168 0.0455416 0.0168796 #avg: 0.041447; avg_err: 0.000191733; sd: 0.0587678; counts: 93948
sfh 0.23281 0.0243057 0.0452191 0.0170611 #avg: 0.041657; avg_err: 0.000190325; sd: 0.0583359; counts: 93948
sfh 0.237873 0.0244011 0.0454203 0.0169772 #avg: 0.0417337; avg_err: 0.000189276; sd: 0.0580144; counts: 93948
sfh 0.242935 0.0246347 0.044976 0.0170363 #avg: 0.0417154; avg_err: 0.000191562; sd: 0.0587151; counts: 93948
sfh 0.247998 0.0248977 0.0455466 0.0169941 #avg: 0.0420835; avg_err: 0.000191654; sd: 0.0587435; counts: 93948
sfh 0.25306 0.0251543 0.0452549 0.0170596 #avg: 0.0423348; avg_err: 0.00019339; sd: 0.0592754; counts: 93948
sfh 0.258123 0.0255906 0.0454037 0.0173018 #avg: 0.0426579; avg_err: 0.00018788; sd: 0.0575865; counts: 93948
sfh 0.263185 0.025942 0.0455438 0.0174627 #avg: 0.0427493; avg_err: 0.00018494; sd: 0.0566856; counts: 93948
sfh 0.268248 0.0261818 0.0458747 0.0175657 #avg: 0.0431552; avg_err: 0.00018434; sd: 0.0565018; counts: 93948
sfh 0.27331 0.0266918 0.0465367 0.0178543 #avg: 0.0438667; avg_err: 0.000188819; sd: 0.0578745; counts: 93948
sfh 0.278373 0.027012 0.0469383 0.0180191 #avg: 0.0443842; avg_err: 0.000193542; sd: 0.0593222; counts: 93948
sfh 0.283435 0.0278017 0.0483152 0.0185108 #avg: 0.0455621; avg_err: 0.000195278; sd: 0.0598543; counts: 93948
sfh 0.288498 0.0283102 0.0490298 0.0187458 #avg: 0.0464284; avg_err: 0.000200537; sd: 0.0614662; counts: 93948
sfh 0.29356 0.0289482 0.0496732 0.0191193 #avg: 0.0471535; avg_err: 0.000200391; sd: 0.0614214; counts: 93948
sfh 0.298623 0.0295357 0.0505772 0.0194897 #avg: 0.0479691; avg_err: 0.000201946; sd: 0.0618979; counts: 93948
sfh 0.303685 0.0300356 0.051701 0.0197031 #avg: 0.0489672; avg_err: 0.000206272; sd: 0.0632239; counts: 93948
sfh 0.308748 0.0306717 0.0524675 0.0200719 #avg: 0.0497714; avg_err: 0.000207461; sd: 0.0635884; counts: 93948
sfh 0.31381 0.0313524 0.0534356 0.0204222 #avg: 0.0506473; avg_err: 0.000208498; sd: 0.0639062; counts: 93948
sfh 0.318873 0.032174 0.0541264 0.0208701 #avg: 0.0519147; avg_err: 0.000215314; sd: 0.0659953; counts: 93948
sfh 0.323935 0.0332114 0.054902 0.0215966 #avg: 0.0530184; avg_err: 0.000218103; sd: 0.0668503; counts: 93948
sfh 0.328997 0.0340756 0.0562557 0.022162 #avg: 0.0542276; avg_err: 0.000222688; sd: 0.0682557; counts: 93948
sfh 0.33406 0.0349962 0.05792 0.0227043 #avg: 0.0555557; avg_err: 0.000224837; sd: 0.0689144; counts: 93948
sfh 0.339122 0.0357271 0.0592077 0.0229907 #avg: 0.0565879; avg_err: 0.000224687; sd: 0.0688682; counts: 93948
sfh 0.344185 0.0368628 0.0602703 0.0237393 #avg: 0.0580488; avg_err: 0.000233267; sd: 0.0714982; counts: 93948
sfh 0.349247 0.0379526 0.0613535 0.0243198 #avg: 0.0595142; avg_err: 0.00024087; sd: 0.0738284; counts: 93948
sfh 0.35431 0.0392185 0.0632355 0.0250987 #avg: 0.0611921; avg_err: 0.000243241; sd: 0.0745553; counts: 93948
sfh 0.359372 0.0399833 0.0650377 0.025409 #avg: 0.0627128; avg_err: 0.000247835; sd: 0.0759633; counts: 93948
sfh 0.364435 0.041442 0.065832 0.0264355 #avg: 0.0642951; avg_err: 0.000250949; sd: 0.0769177; counts: 93948
sfh 0.369497 0.0427395 0.0673715 0.0272183 #avg: 0.0660158; avg_err: 0.00025616; sd: 0.0785149; counts: 93948
sfh 0.37456 0.0437537 0.0685313 0.0277628 #avg: 0.0673101; avg_err: 0.000263479; sd: 0.0807583; counts: 93948
sfh 0.379622 0.0451935 0.0701085 0.0286766 #avg: 0.0692063; avg_err: 0.000266511; sd: 0.0816877; counts: 93948
sfh 0.384685 0.0465038 0.0722022 0.0293396 #avg: 0.0709035; avg_err: 0.00026948; sd: 0.0825976; counts: 93948
sfh 0.389747 0.0479421 0.0726379 0.0301411 #avg: 0.0726887; avg_err: 0.000276483; sd: 0.0847441; counts: 93948
sfh 0.39481 0.0493907 0.0742723 0.0308448 #avg: 0.0745912; avg_err: 0.000285176; sd: 0.0874088; counts: 93948
sfh 0.399872 0.0509625 0.0765725 0.0318492 #avg: 0.0768587; avg_err: 0.000292363; sd: 0.0896117; counts: 93948
sfh 0.404935 0.0525336 0.0777804 0.032803 #avg: 0.0789013; avg_err: 0.000299629; sd: 0.0918385; counts: 93948
sfh 0.409997 0.0540989 0.0795491 0.03363 #avg: 0.0809339; avg_err: 0.000301263; sd: 0.0923395; counts: 93948
sfh 0.41506 0.055578 0.081676 0.0342642 #avg: 0.0830157; avg_err: 0.000308321; sd: 0.0945029; counts: 93948
sfh 0.420122 0.0572614 0.0830486 0.0351771 #avg: 0.0853103; avg_err: 0.000319367; sd: 0.0978885; counts: 93948
sfh 0.425185 0.0588284 0.0849706 0.0360856 #avg: 0.0874958; avg_err: 0.000331352; sd: 0.101562; counts: 93948
sfh 0.430247 0.0607921 0.0864449 0.0373638 #avg: 0.0897819; avg_err: 0.000334616; sd: 0.102563; counts: 93948
sfh 0.43531 0.06221 0.088529 0.0380142 #avg: 0.0917383; avg_err: 0.000335668; sd: 0.102885; counts: 93948
sfh 0.440372 0.0639729 0.0904071 0.0389629 #avg: 0.0940562; avg_err: 0.000345421; sd: 0.105874; counts: 93948
sfh 0.445435 0.065743 0.092218 0.0398676 #avg: 0.0963408; avg_err: 0.000351525; sd: 0.107745; counts: 93948
sfh 0.450497 0.0675426 0.0946214 0.0408172 #avg: 0.0985849; avg_err: 0.000355289; sd: 0.108899; counts: 93948
sfh 0.45556 0.0692116 0.0953154 0.0416614 #avg: 0.100548; avg_err: 0.000365063; sd: 0.111895; counts: 93948
sfh 0.460622 0.0709359 0.0978171 0.0424924 #avg: 0.102747; avg_err: 0.000368812; sd: 0.113044; counts: 93948
sfh 0.465685 0.073034 0.099279 0.0439293 #avg: 0.105082; avg_err: 0.000376214; sd: 0.115312; counts: 93948
sfh 0.470747 0.0749098 0.101044 0.0449165 #avg: 0.107102; avg_err: 0.00037456; sd: 0.114805; counts: 93948
sfh 0.47581 0.076923 0.103228 0.0460413 #avg: 0.109687; avg_err: 0.000379278; sd: 0.116252; counts: 93948
sfh 0.480872 0.0786241 0.104969 0.0468318 #avg: 0.111663; avg_err: 0.000383337; sd: 0.117496; counts: 93948
