#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 10.25 - 10.75
#HM    Stats: 1.180440e+12 (median) + 1.169560e+12  / - 4.814689e+11
#SM    Stats: 2.972840e+10 (median) + 1.514980e+10  / - 8.944499e+09
#ObsSM Stats: 3.018740e+10 (median) + 1.570270e+10  / - 9.474099e+09
#VMP   Stats: 1.707000e+02 (median) + 3.834000e+01  / - 2.245999e+01
#ICL   Stats: 1.398890e+08 (median) + 6.269990e+08  / - 1.038350e+08
#SSFR  Stats: 1.483449e-11 (median) + 7.039081e-11  / - 1.383128e-11
sfh 0.055623 0 0 0 #avg: 1.12967e-08; avg_err: 1.12927e-08; sd: 3.71047e-06; counts: 107961
sfh 0.060123 0 0 0 #avg: 2.11954e-05; avg_err: 4.68931e-06; sd: 0.00154078; counts: 107961
sfh 0.062373 0 0 0 #avg: 0.000166613; avg_err: 2.38511e-05; sd: 0.00783683; counts: 107961
sfh 0.064623 0 0 0 #avg: 0.000589953; avg_err: 4.52417e-05; sd: 0.0148652; counts: 107961
sfh 0.066873 0 0 0 #avg: 0.00177438; avg_err: 0.000107075; sd: 0.0351818; counts: 107961
sfh 0.069123 0 0 0 #avg: 0.00392177; avg_err: 0.00019525; sd: 0.0641539; counts: 107961
sfh 0.071373 0 0 0 #avg: 0.00693995; avg_err: 0.000290402; sd: 0.0954183; counts: 107961
sfh 0.073623 0 0 0 #avg: 0.010432; avg_err: 0.00036616; sd: 0.12031; counts: 107961
sfh 0.075873 0 0 0 #avg: 0.0154749; avg_err: 0.000492473; sd: 0.161813; counts: 107961
sfh 0.078123 0 0 0 #avg: 0.0214927; avg_err: 0.000626426; sd: 0.205826; counts: 107961
sfh 0.080373 0 0.00186712 0 #avg: 0.0281656; avg_err: 0.000614636; sd: 0.201953; counts: 107961
sfh 0.082623 0 0.0146094 0 #avg: 0.0345948; avg_err: 0.000648379; sd: 0.21304; counts: 107961
sfh 0.085998 0 0.0451324 0 #avg: 0.0518667; avg_err: 0.000875473; sd: 0.287656; counts: 107961
sfh 0.089373 0 0.0857102 0 #avg: 0.0713186; avg_err: 0.0010757; sd: 0.353446; counts: 107961
sfh 0.092748 0.0024873 0.130715 0.0024873 #avg: 0.09671; avg_err: 0.00134309; sd: 0.441303; counts: 107961
sfh 0.096123 0.0130655 0.170347 0.0130655 #avg: 0.123791; avg_err: 0.00154086; sd: 0.506284; counts: 107961
sfh 0.099498 0.0287965 0.204546 0.0287965 #avg: 0.154041; avg_err: 0.0017539; sd: 0.576284; counts: 107961
sfh 0.102873 0.0470895 0.237755 0.0470895 #avg: 0.187094; avg_err: 0.00202077; sd: 0.66397; counts: 107961
sfh 0.106248 0.0659644 0.267981 0.0644106 #avg: 0.223269; avg_err: 0.00226956; sd: 0.745715; counts: 107961
sfh 0.109623 0.0858454 0.301388 0.0793544 #avg: 0.261814; avg_err: 0.00253085; sd: 0.831567; counts: 107961
sfh 0.112998 0.104522 0.335576 0.0916141 #avg: 0.298854; avg_err: 0.0027154; sd: 0.892207; counts: 107961
sfh 0.116373 0.121817 0.366063 0.10217 #avg: 0.335508; avg_err: 0.00308468; sd: 1.01354; counts: 107961
sfh 0.119748 0.138454 0.401755 0.112194 #avg: 0.374741; avg_err: 0.00342668; sd: 1.12591; counts: 107961
sfh 0.123123 0.155109 0.44255 0.122365 #avg: 0.413618; avg_err: 0.00374083; sd: 1.22913; counts: 107961
sfh 0.126498 0.173719 0.476558 0.133576 #avg: 0.452222; avg_err: 0.00403836; sd: 1.32689; counts: 107961
sfh 0.129873 0.192397 0.509509 0.145054 #avg: 0.494683; avg_err: 0.00444274; sd: 1.45976; counts: 107961
sfh 0.133248 0.211213 0.547538 0.156536 #avg: 0.539527; avg_err: 0.00476252; sd: 1.56483; counts: 107961
sfh 0.136623 0.229472 0.588243 0.167052 #avg: 0.579677; avg_err: 0.00484596; sd: 1.59225; counts: 107961
sfh 0.141685 0.255467 0.644655 0.181897 #avg: 0.64366; avg_err: 0.00588935; sd: 1.93508; counts: 107961
