#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 11.75 - 12.25
#HM    Stats: 2.367650e+14 (median) + 3.176470e+14  / - 1.399562e+14
#SM    Stats: 7.226750e+11 (median) + 2.114161e+11  / - 1.157070e+11
#ObsSM Stats: 7.714030e+11 (median) + 4.241470e+11  / - 1.535490e+11
#VMP   Stats: 8.379400e+02 (median) + 2.980400e+02  / - 2.007600e+02
#ICL   Stats: 1.906180e+11 (median) + 2.806070e+11  / - 9.006799e+10
#SSFR  Stats: 1.618805e-11 (median) + 7.273036e-12  / - 6.003489e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 20
sfh 0.060123 0 0.0329358 0 #avg: 0.0137582; avg_err: 0.00710423; sd: 0.0309666; counts: 20
sfh 0.062373 2.20859e-07 0.126506 2.20859e-07 #avg: 0.0651205; avg_err: 0.0298149; sd: 0.12996; counts: 20
sfh 0.064623 0.0742198 0.222607 0.0742198 #avg: 0.183998; avg_err: 0.0678955; sd: 0.29595; counts: 20
sfh 0.066873 0.149413 0.429109 0.115224 #avg: 0.340023; avg_err: 0.0969504; sd: 0.422597; counts: 20
sfh 0.069123 0.184902 1.34021 0.124449 #avg: 0.916092; avg_err: 0.309331; sd: 1.34834; counts: 20
sfh 0.071373 0.941059 1.10122 0.787777 #avg: 1.4608; avg_err: 0.462788; sd: 2.01724; counts: 20
sfh 0.073623 0.919203 2.99054 0.658111 #avg: 2.10038; avg_err: 0.520351; sd: 2.26816; counts: 20
sfh 0.075873 1.95469 4.35306 1.28494 #avg: 2.87919; avg_err: 0.665319; sd: 2.90006; counts: 20
sfh 0.078123 2.43232 3.26329 1.50198 #avg: 3.01029; avg_err: 0.511561; sd: 2.22984; counts: 20
sfh 0.080373 3.10273 5.15772 1.099 #avg: 4.36904; avg_err: 0.64596; sd: 2.81567; counts: 20
sfh 0.082623 4.80052 4.20337 1.59908 #avg: 5.29603; avg_err: 0.660316; sd: 2.87825; counts: 20
sfh 0.085998 6.30533 3.53845 2.97005 #avg: 7.40286; avg_err: 0.978404; sd: 4.26476; counts: 20
sfh 0.089373 10.052 4.1447 4.00691 #avg: 10.3114; avg_err: 1.1195; sd: 4.87979; counts: 20
sfh 0.092748 12.1017 6.8319 3.5982 #avg: 14.7291; avg_err: 1.94618; sd: 8.4832; counts: 20
sfh 0.096123 13.6899 12.7591 3.2184 #avg: 17.8322; avg_err: 2.36039; sd: 10.2887; counts: 20
sfh 0.099498 20.2263 14.849 5.86 #avg: 23.0717; avg_err: 2.32915; sd: 10.1525; counts: 20
sfh 0.102873 21.1628 17.3455 5.2087 #avg: 26.3596; avg_err: 3.36091; sd: 14.6499; counts: 20
sfh 0.106248 28.6071 17.2305 13.1837 #avg: 31.1946; avg_err: 3.37156; sd: 14.6963; counts: 20
sfh 0.109623 33.3804 10.0125 9.1521 #avg: 36.1156; avg_err: 3.11929; sd: 13.5967; counts: 20
sfh 0.112998 36.8764 18.4873 13.1119 #avg: 41.6925; avg_err: 4.38685; sd: 19.1218; counts: 20
sfh 0.116373 44.1762 17.6016 17.6883 #avg: 47.7243; avg_err: 5.55262; sd: 24.2033; counts: 20
sfh 0.119748 48.9712 51.0828 15.6811 #avg: 58.4135; avg_err: 6.98968; sd: 30.4673; counts: 20
sfh 0.123123 63.5792 35.5914 25.126 #avg: 69.7251; avg_err: 8.21733; sd: 35.8185; counts: 20
