#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 7.75 - 8.25
#HM    Stats: 4.854410e+10 (median) + 2.164710e+10  / - 1.550000e+10
#SM    Stats: 9.221820e+07 (median) + 4.862279e+07  / - 2.721000e+07
#ObsSM Stats: 9.399530e+07 (median) + 5.017370e+07  / - 2.917300e+07
#VMP   Stats: 6.396000e+01 (median) + 5.180000e+00  / - 4.689999e+00
#ICL   Stats: 4.177510e+04 (median) + 1.296235e+06  / - 4.177510e+04
#SSFR  Stats: 1.628779e-10 (median) + 1.977064e-10  / - 9.310998e-11
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 754012
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 754012
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 754012
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 754012
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 754012
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 754012
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 754012
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 754012
sfh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 754012
sfh 0.078123 0 0 0 #avg: 2.98211e-08; avg_err: 1.11147e-08; sd: 9.6513e-06; counts: 754012
sfh 0.080373 0 0 0 #avg: 2.53049e-07; avg_err: 8.15285e-08; sd: 7.07943e-05; counts: 754012
sfh 0.082623 0 0 0 #avg: 6.664e-07; avg_err: 2.33441e-07; sd: 0.000202706; counts: 754012
sfh 0.085998 0 0 0 #avg: 2.04694e-06; avg_err: 4.38339e-07; sd: 0.000380627; counts: 754012
sfh 0.089373 0 0 0 #avg: 5.92667e-06; avg_err: 6.07876e-07; sd: 0.000527842; counts: 754012
sfh 0.092748 0 0 0 #avg: 1.61554e-05; avg_err: 1.11911e-06; sd: 0.000971763; counts: 754012
sfh 0.096123 0 0 0 #avg: 3.36513e-05; avg_err: 1.64518e-06; sd: 0.00142857; counts: 754012
sfh 0.099498 0 0 0 #avg: 6.96242e-05; avg_err: 2.49891e-06; sd: 0.00216989; counts: 754012
sfh 0.102873 0 0 0 #avg: 0.000132666; avg_err: 3.59817e-06; sd: 0.00312443; counts: 754012
sfh 0.106248 0 0 0 #avg: 0.000227762; avg_err: 4.50261e-06; sd: 0.00390978; counts: 754012
sfh 0.109623 0 0 0 #avg: 0.00034805; avg_err: 5.38827e-06; sd: 0.00467884; counts: 754012
sfh 0.112998 0 0 0 #avg: 0.000499024; avg_err: 6.23819e-06; sd: 0.00541686; counts: 754012
sfh 0.116373 0 0 0 #avg: 0.000660203; avg_err: 6.75205e-06; sd: 0.00586306; counts: 754012
sfh 0.119748 0 0 0 #avg: 0.000832055; avg_err: 7.22062e-06; sd: 0.00626994; counts: 754012
sfh 0.123123 0 0 0 #avg: 0.00102722; avg_err: 7.90929e-06; sd: 0.00686794; counts: 754012
sfh 0.126498 0 0 0 #avg: 0.00125125; avg_err: 8.9609e-06; sd: 0.00778109; counts: 754012
sfh 0.129873 0 0 0 #avg: 0.00150539; avg_err: 9.3773e-06; sd: 0.00814267; counts: 754012
sfh 0.133248 0 0.000792229 0 #avg: 0.00179964; avg_err: 1.02563e-05; sd: 0.00890597; counts: 754012
sfh 0.136623 0 0.00171656 0 #avg: 0.00210071; avg_err: 1.0692e-05; sd: 0.00928424; counts: 754012
sfh 0.141685 0 0.00295901 0 #avg: 0.00259768; avg_err: 1.232e-05; sd: 0.0106979; counts: 754012
sfh 0.146748 0 0.00419558 0 #avg: 0.00309718; avg_err: 1.29766e-05; sd: 0.0112681; counts: 754012
sfh 0.15181 0 0.00536808 0 #avg: 0.00360044; avg_err: 1.39555e-05; sd: 0.0121181; counts: 754012
sfh 0.156873 3.20966e-11 0.00652189 3.20966e-11 #avg: 0.00407331; avg_err: 1.45083e-05; sd: 0.0125981; counts: 754012
sfh 0.161935 0.000286177 0.00722829 0.000286177 #avg: 0.00447258; avg_err: 1.47455e-05; sd: 0.0128041; counts: 754012
sfh 0.166998 0.000619958 0.0077885 0.000619958 #avg: 0.0048231; avg_err: 1.45991e-05; sd: 0.0126769; counts: 754012
sfh 0.17206 0.000966822 0.00781283 0.000966822 #avg: 0.00498849; avg_err: 1.41948e-05; sd: 0.0123259; counts: 754012
sfh 0.177123 0.00127578 0.00749274 0.00127578 #avg: 0.00500464; avg_err: 1.37198e-05; sd: 0.0119134; counts: 754012
sfh 0.182185 0.00151218 0.0071845 0.00151218 #avg: 0.00496332; avg_err: 1.29401e-05; sd: 0.0112364; counts: 754012
sfh 0.187248 0.00168371 0.00695624 0.00168371 #avg: 0.00496057; avg_err: 1.25541e-05; sd: 0.0109012; counts: 754012
sfh 0.19231 0.00182335 0.00668897 0.00182335 #avg: 0.00494237; avg_err: 1.23263e-05; sd: 0.0107034; counts: 754012
sfh 0.197373 0.00194573 0.00647801 0.0019093 #avg: 0.00490254; avg_err: 1.17174e-05; sd: 0.0101747; counts: 754012
sfh 0.202435 0.00205536 0.00631536 0.00196051 #avg: 0.00489057; avg_err: 1.12754e-05; sd: 0.00979083; counts: 754012
sfh 0.207498 0.00214881 0.00616573 0.00198542 #avg: 0.00487677; avg_err: 1.09435e-05; sd: 0.00950262; counts: 754012
sfh 0.21256 0.00223309 0.005997 0.00200275 #avg: 0.00484382; avg_err: 1.04884e-05; sd: 0.00910746; counts: 754012
sfh 0.217623 0.002313 0.00584656 0.00201893 #avg: 0.0048353; avg_err: 1.02795e-05; sd: 0.00892604; counts: 754012
sfh 0.222685 0.00225363 0.00552655 0.00190954 #avg: 0.00464519; avg_err: 9.95832e-06; sd: 0.00864719; counts: 754012
sfh 0.227748 0.00222614 0.00533288 0.00183584 #avg: 0.0045303; avg_err: 9.30589e-06; sd: 0.00808066; counts: 754012
sfh 0.23281 0.00221519 0.00526893 0.00179268 #avg: 0.0044755; avg_err: 9.0762e-06; sd: 0.00788121; counts: 754012
sfh 0.237873 0.00222301 0.00516652 0.00176609 #avg: 0.00442237; avg_err: 8.74734e-06; sd: 0.00759565; counts: 754012
sfh 0.242935 0.00224479 0.00511888 0.00175418 #avg: 0.00440575; avg_err: 8.68276e-06; sd: 0.00753957; counts: 754012
sfh 0.247998 0.00227131 0.00511782 0.00176141 #avg: 0.00440741; avg_err: 8.53198e-06; sd: 0.00740864; counts: 754012
sfh 0.25306 0.00232023 0.00512535 0.00177526 #avg: 0.00442005; avg_err: 8.24404e-06; sd: 0.00715862; counts: 754012
sfh 0.258123 0.00234868 0.00509988 0.0017752 #avg: 0.00441674; avg_err: 8.0996e-06; sd: 0.00703319; counts: 754012
