#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 7.75 - 8.25
#HM    Stats: 4.626470e+10 (median) + 2.141180e+10  / - 1.527940e+10
#SM    Stats: 9.244900e+07 (median) + 4.863300e+07  / - 2.735550e+07
#ObsSM Stats: 9.418450e+07 (median) + 5.025550e+07  / - 2.928590e+07
#VMP   Stats: 6.426000e+01 (median) + 5.129997e+00  / - 4.670002e+00
#ICL   Stats: 4.037050e+04 (median) + 1.234510e+06  / - 4.037050e+04
#SSFR  Stats: 1.729266e-10 (median) + 2.056530e-10  / - 9.496489e-11
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 960134
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 960134
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 960134
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 960134
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 960134
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 960134
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 960134
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 960134
sfh 0.075873 0 0 0 #avg: 8.70806e-09; avg_err: 8.70806e-09; sd: 8.53271e-06; counts: 960134
sfh 0.078123 0 0 0 #avg: 7.63283e-08; avg_err: 4.04816e-08; sd: 3.96665e-05; counts: 960134
sfh 0.080373 0 0 0 #avg: 2.91216e-07; avg_err: 7.70529e-08; sd: 7.55013e-05; counts: 960134
sfh 0.082623 0 0 0 #avg: 1.03348e-06; avg_err: 2.36086e-07; sd: 0.000231332; counts: 960134
sfh 0.085998 0 0 0 #avg: 2.8708e-06; avg_err: 4.01924e-07; sd: 0.000393831; counts: 960134
sfh 0.089373 0 0 0 #avg: 8.59981e-06; avg_err: 7.01995e-07; sd: 0.00068786; counts: 960134
sfh 0.092748 0 0 0 #avg: 2.23171e-05; avg_err: 1.24605e-06; sd: 0.00122096; counts: 960134
