#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 8.75 - 9.25
#HM    Stats: 1.492650e+11 (median) + 7.588199e+10  / - 5.469150e+10
#SM    Stats: 9.847150e+08 (median) + 4.855950e+08  / - 3.149730e+08
#ObsSM Stats: 9.973100e+08 (median) + 5.064500e+08  / - 3.271570e+08
#VMP   Stats: 9.718000e+01 (median) + 8.620003e+00  / - 7.290001e+00
#ICL   Stats: 3.595840e+06 (median) + 1.231216e+07  / - 3.329165e+06
#SSFR  Stats: 1.697096e-12 (median) + 3.056781e-12  / - 1.144630e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 50958
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 50958
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 50958
sfh 0.064623 0 0 0 #avg: 2.49729e-06; avg_err: 1.97218e-06; sd: 0.000445192; counts: 50958
sfh 0.066873 0 0 0 #avg: 1.3146e-06; avg_err: 8.0538e-07; sd: 0.000181804; counts: 50958
sfh 0.069123 0 0 0 #avg: 1.71375e-05; avg_err: 8.11938e-06; sd: 0.00183284; counts: 50958
sfh 0.071373 0 0 0 #avg: 3.334e-05; avg_err: 1.03211e-05; sd: 0.00232984; counts: 50958
sfh 0.073623 0 0 0 #avg: 6.53368e-05; avg_err: 1.60027e-05; sd: 0.00361239; counts: 50958
sfh 0.075873 0 0 0 #avg: 0.000149404; avg_err: 2.76703e-05; sd: 0.00624621; counts: 50958
sfh 0.078123 0 0 0 #avg: 0.000263144; avg_err: 4.32612e-05; sd: 0.00976564; counts: 50958
sfh 0.080373 0 0 0 #avg: 0.000509593; avg_err: 8.051e-05; sd: 0.018174; counts: 50958
sfh 0.082623 0 0 0 #avg: 0.000813992; avg_err: 0.000107725; sd: 0.0243174; counts: 50958
sfh 0.085998 0 0 0 #avg: 0.00162895; avg_err: 0.00023407; sd: 0.0528381; counts: 50958
sfh 0.089373 0 0 0 #avg: 0.00238266; avg_err: 0.00012148; sd: 0.0274225; counts: 50958
sfh 0.092748 0 0 0 #avg: 0.00375924; avg_err: 0.000132899; sd: 0.0300002; counts: 50958
sfh 0.096123 0 0 0 #avg: 0.00532366; avg_err: 0.000149612; sd: 0.033773; counts: 50958
sfh 0.099498 0 1.2405e-05 0 #avg: 0.00714162; avg_err: 0.000162427; sd: 0.0366657; counts: 50958
sfh 0.102873 0 0.00581014 0 #avg: 0.00956914; avg_err: 0.000197681; sd: 0.0446239; counts: 50958
sfh 0.106248 0 0.0133445 0 #avg: 0.0120799; avg_err: 0.000218482; sd: 0.0493194; counts: 50958
sfh 0.109623 0 0.0210246 0 #avg: 0.0149277; avg_err: 0.000223777; sd: 0.0505147; counts: 50958
sfh 0.112998 0 0.0274948 0 #avg: 0.0176029; avg_err: 0.000259492; sd: 0.0585767; counts: 50958
sfh 0.116373 7.98729e-08 0.0332611 7.98729e-08 #avg: 0.019945; avg_err: 0.000259042; sd: 0.0584753; counts: 50958
sfh 0.119748 0.00162726 0.0357504 0.00162726 #avg: 0.0220293; avg_err: 0.00028418; sd: 0.0641499; counts: 50958
sfh 0.123123 0.00360384 0.0376941 0.00360384 #avg: 0.0242633; avg_err: 0.000284862; sd: 0.0643037; counts: 50958
sfh 0.126498 0.00560734 0.0401213 0.00560734 #avg: 0.0267018; avg_err: 0.000287689; sd: 0.064942; counts: 50958
sfh 0.129873 0.00758257 0.0423008 0.00758257 #avg: 0.0293881; avg_err: 0.000306777; sd: 0.0692509; counts: 50958
sfh 0.133248 0.00967066 0.0450145 0.00967066 #avg: 0.0323119; avg_err: 0.000353982; sd: 0.0799067; counts: 50958
