#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.61667 - 1.78333
#HM    Stats: 1.845590e+10 (median) + 1.300000e+10  / - 6.833800e+09
#SM    Stats: 1.394740e+07 (median) + 2.245140e+07  / - 8.177360e+06
#ObsSM Stats: 1.414450e+07 (median) + 2.303360e+07  / - 8.367390e+06
#VMP   Stats: 4.911000e+01 (median) + 7.029999e+00  / - 5.560001e+00
#ICL   Stats: 0.000000e+00 (median) + 2.195780e+04  / - 0.000000e+00
#SSFR  Stats: 2.347605e-10 (median) + 3.013642e-10  / - 1.328340e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 3981227
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 3981227
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 3981227
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 3981227
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 3981227
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 3981227
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 3981227
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 3981227
sfh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 3981227
sfh 0.078123 0 0 0 #avg: 1.22435e-09; avg_err: 8.68263e-10; sd: 1.73245e-06; counts: 3981227
sfh 0.080373 0 0 0 #avg: 4.04215e-09; avg_err: 2.26884e-09; sd: 4.52702e-06; counts: 3981227
sfh 0.082623 0 0 0 #avg: 3.24023e-08; avg_err: 1.58245e-08; sd: 3.15747e-05; counts: 3981227
sfh 0.085998 0 0 0 #avg: 7.26556e-08; avg_err: 2.33428e-08; sd: 4.65758e-05; counts: 3981227
sfh 0.089373 0 0 0 #avg: 2.97312e-07; avg_err: 5.10161e-08; sd: 0.000101793; counts: 3981227
sfh 0.092748 0 0 0 #avg: 9.02485e-07; avg_err: 1.00537e-07; sd: 0.000200602; counts: 3981227
sfh 0.096123 0 0 0 #avg: 1.69659e-06; avg_err: 1.37645e-07; sd: 0.000274644; counts: 3981227
sfh 0.099498 0 0 0 #avg: 3.74272e-06; avg_err: 2.36174e-07; sd: 0.000471238; counts: 3981227
sfh 0.102873 0 0 0 #avg: 7.17425e-06; avg_err: 3.5321e-07; sd: 0.00070476; counts: 3981227
sfh 0.106248 0 0 0 #avg: 1.26136e-05; avg_err: 3.94741e-07; sd: 0.000787628; counts: 3981227
sfh 0.109623 0 0 0 #avg: 2.10373e-05; avg_err: 4.65204e-07; sd: 0.000928223; counts: 3981227
sfh 0.112998 0 0 0 #avg: 3.30301e-05; avg_err: 5.77442e-07; sd: 0.00115217; counts: 3981227
sfh 0.116373 0 0 0 #avg: 4.70129e-05; avg_err: 6.71702e-07; sd: 0.00134025; counts: 3981227
sfh 0.119748 0 0 0 #avg: 6.37977e-05; avg_err: 7.61634e-07; sd: 0.00151969; counts: 3981227
