#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.61667 - 1.78333
#HM    Stats: 1.732350e+10 (median) + 1.116180e+10  / - 6.157300e+09
#SM    Stats: 1.538300e+07 (median) + 2.103880e+07  / - 9.076780e+06
#ObsSM Stats: 1.557920e+07 (median) + 2.170350e+07  / - 9.257030e+06
#VMP   Stats: 5.045000e+01 (median) + 6.559998e+00  / - 6.070000e+00
#ICL   Stats: 0.000000e+00 (median) + 2.704060e+04  / - 0.000000e+00
#SSFR  Stats: 2.387816e-10 (median) + 2.976404e-10  / - 1.383774e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 730112
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 730112
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 730112
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 730112
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 730112
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 730112
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 730112
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 730112
sfh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 730112
sfh 0.078123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 730112
sfh 0.080373 0 0 0 #avg: 1.02046e-08; avg_err: 1.02046e-08; sd: 8.71951e-06; counts: 730112
sfh 0.082623 0 0 0 #avg: 1.40588e-07; avg_err: 8.47651e-08; sd: 7.24288e-05; counts: 730112
sfh 0.085998 0 0 0 #avg: 2.86529e-07; avg_err: 1.44369e-07; sd: 0.000123358; counts: 730112
sfh 0.089373 0 0 0 #avg: 6.8511e-07; avg_err: 2.0217e-07; sd: 0.000172747; counts: 730112
sfh 0.092748 0 0 0 #avg: 2.08022e-06; avg_err: 4.26624e-07; sd: 0.000364535; counts: 730112
sfh 0.096123 0 0 0 #avg: 3.44429e-06; avg_err: 5.31164e-07; sd: 0.000453862; counts: 730112
sfh 0.099498 0 0 0 #avg: 7.01255e-06; avg_err: 8.1316e-07; sd: 0.000694817; counts: 730112
sfh 0.102873 0 0 0 #avg: 1.32148e-05; avg_err: 1.17159e-06; sd: 0.00100108; counts: 730112
sfh 0.106248 0 0 0 #avg: 2.14653e-05; avg_err: 1.11111e-06; sd: 0.000949406; counts: 730112
sfh 0.109623 0 0 0 #avg: 3.74186e-05; avg_err: 1.56651e-06; sd: 0.00133853; counts: 730112
sfh 0.112998 0 0 0 #avg: 5.8145e-05; avg_err: 1.91918e-06; sd: 0.00163987; counts: 730112
sfh 0.116373 0 0 0 #avg: 7.9031e-05; avg_err: 2.09006e-06; sd: 0.00178588; counts: 730112
sfh 0.119748 0 0 0 #avg: 0.000107884; avg_err: 2.62948e-06; sd: 0.0022468; counts: 730112
sfh 0.123123 0 0 0 #avg: 0.000137683; avg_err: 2.6272e-06; sd: 0.00224485; counts: 730112
