#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.78333 - 1.95
#HM    Stats: 5.469120e+10 (median) + 3.760290e+10  / - 2.347060e+10
#SM    Stats: 1.817670e+08 (median) + 2.124820e+08  / - 1.146821e+08
#ObsSM Stats: 1.822380e+08 (median) + 2.231560e+08  / - 1.145567e+08
#VMP   Stats: 7.686000e+01 (median) + 8.519997e+00  / - 1.088000e+01
#ICL   Stats: 2.729300e+05 (median) + 2.912130e+06  / - 2.729300e+05
#SSFR  Stats: 1.595867e-12 (median) + 2.826232e-12  / - 1.070435e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 55134
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 55134
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 55134
sfh 0.064623 0 0 0 #avg: 1.34128e-06; avg_err: 1.34128e-06; sd: 0.000314939; counts: 55134
sfh 0.066873 0 0 0 #avg: 7.84793e-07; avg_err: 7.84793e-07; sd: 0.000184273; counts: 55134
sfh 0.069123 0 0 0 #avg: 1.24392e-06; avg_err: 1.10719e-06; sd: 0.000259973; counts: 55134
sfh 0.071373 0 0 0 #avg: 1.37656e-06; avg_err: 9.20661e-07; sd: 0.000216175; counts: 55134
sfh 0.073623 0 0 0 #avg: 4.29917e-06; avg_err: 2.18116e-06; sd: 0.000512146; counts: 55134
sfh 0.075873 0 0 0 #avg: 1.26387e-05; avg_err: 5.05541e-06; sd: 0.00118703; counts: 55134
sfh 0.078123 0 0 0 #avg: 2.77649e-05; avg_err: 1.04152e-05; sd: 0.00244554; counts: 55134
sfh 0.080373 0 0 0 #avg: 4.5824e-05; avg_err: 1.20962e-05; sd: 0.00284023; counts: 55134
sfh 0.082623 0 0 0 #avg: 6.53759e-05; avg_err: 1.06958e-05; sd: 0.00251143; counts: 55134
sfh 0.085998 0 0 0 #avg: 0.000164242; avg_err: 2.28097e-05; sd: 0.00535581; counts: 55134
sfh 0.089373 0 0 0 #avg: 0.000323386; avg_err: 2.82979e-05; sd: 0.00664447; counts: 55134
sfh 0.092748 0 0 0 #avg: 0.000618211; avg_err: 4.5952e-05; sd: 0.0107897; counts: 55134
