#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.95 - 2.11667
#HM    Stats: 2.497060e+11 (median) + 1.641180e+11  / - 8.955901e+10
#SM    Stats: 2.064040e+09 (median) + 3.479310e+09  / - 1.099052e+09
#ObsSM Stats: 2.101060e+09 (median) + 3.552190e+09  / - 1.139565e+09
#VMP   Stats: 1.025100e+02 (median) + 1.595000e+01  / - 9.849998e+00
#ICL   Stats: 7.989410e+06 (median) + 2.323389e+07  / - 6.583040e+06
#SSFR  Stats: 9.280753e-11 (median) + 1.378306e-10  / - 7.146165e-11
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 351987
sfh 0.060123 0 0 0 #avg: 1.26154e-07; avg_err: 1.26154e-07; sd: 7.48449e-05; counts: 351987
sfh 0.062373 0 0 0 #avg: 8.77291e-07; avg_err: 5.12189e-07; sd: 0.000303873; counts: 351987
sfh 0.064623 0 0 0 #avg: 4.3917e-06; avg_err: 1.64415e-06; sd: 0.000975451; counts: 351987
sfh 0.066873 0 0 0 #avg: 1.3193e-05; avg_err: 3.0855e-06; sd: 0.00183058; counts: 351987
sfh 0.069123 0 0 0 #avg: 3.02843e-05; avg_err: 5.70521e-06; sd: 0.00338481; counts: 351987
sfh 0.071373 0 0 0 #avg: 6.66985e-05; avg_err: 1.04904e-05; sd: 0.00622378; counts: 351987
sfh 0.073623 0 0 0 #avg: 0.000135401; avg_err: 1.79091e-05; sd: 0.0106252; counts: 351987
sfh 0.075873 0 0 0 #avg: 0.000227213; avg_err: 1.68313e-05; sd: 0.00998577; counts: 351987
sfh 0.078123 0 0 0 #avg: 0.000363671; avg_err: 1.81093e-05; sd: 0.0107439; counts: 351987
sfh 0.080373 0 0 0 #avg: 0.00062433; avg_err: 2.70955e-05; sd: 0.0160754; counts: 351987
sfh 0.082623 0 0 0 #avg: 0.000976733; avg_err: 3.18212e-05; sd: 0.018879; counts: 351987
