#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.11667 - 2.28333
#HM    Stats: 5.964710e+11 (median) + 4.180890e+11  / - 2.398530e+11
#SM    Stats: 1.546240e+10 (median) + 1.489940e+10  / - 7.395090e+09
#ObsSM Stats: 1.573850e+10 (median) + 1.552460e+10  / - 7.789120e+09
#VMP   Stats: 1.465800e+02 (median) + 2.238000e+01  / - 1.172000e+01
#ICL   Stats: 4.901180e+07 (median) + 2.402762e+08  / - 4.102727e+07
#SSFR  Stats: 7.212190e-11 (median) + 1.114068e-10  / - 4.431666e-11
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 23744
sfh 0.060123 0 0 0 #avg: 6.27827e-06; avg_err: 3.94839e-06; sd: 0.000608399; counts: 23744
sfh 0.062373 0 0 0 #avg: 6.41684e-05; avg_err: 2.36828e-05; sd: 0.00364923; counts: 23744
sfh 0.064623 0 0 0 #avg: 0.000218114; avg_err: 5.5906e-05; sd: 0.00861443; counts: 23744
sfh 0.066873 0 0 0 #avg: 0.000527137; avg_err: 0.000103434; sd: 0.0159379; counts: 23744
sfh 0.069123 0 0 0 #avg: 0.00105528; avg_err: 0.000155835; sd: 0.0240122; counts: 23744
sfh 0.071373 0 0 0 #avg: 0.00212399; avg_err: 0.000291022; sd: 0.0448428; counts: 23744
sfh 0.073623 0 0 0 #avg: 0.00359854; avg_err: 0.000431099; sd: 0.066427; counts: 23744
sfh 0.075873 0 0 0 #avg: 0.00514521; avg_err: 0.000431611; sd: 0.066506; counts: 23744
sfh 0.078123 0 0 0 #avg: 0.00747603; avg_err: 0.000453138; sd: 0.0698229; counts: 23744
sfh 0.080373 0 0 0 #avg: 0.0112087; avg_err: 0.000748551; sd: 0.115342; counts: 23744
sfh 0.082623 0 0 0 #avg: 0.0143393; avg_err: 0.000634352; sd: 0.0977458; counts: 23744
sfh 0.085998 0 0.00661566 0 #avg: 0.0213791; avg_err: 0.000793536; sd: 0.122274; counts: 23744
sfh 0.089373 0 0.0248498 0 #avg: 0.0306032; avg_err: 0.000914015; sd: 0.140838; counts: 23744
sfh 0.092748 0 0.0510264 0 #avg: 0.0404405; avg_err: 0.00100223; sd: 0.15443; counts: 23744
sfh 0.096123 0 0.0804303 0 #avg: 0.0525489; avg_err: 0.00112766; sd: 0.173758; counts: 23744
sfh 0.099498 0.00386178 0.105824 0.00386178 #avg: 0.0672089; avg_err: 0.00151549; sd: 0.233518; counts: 23744
sfh 0.102873 0.0122736 0.125638 0.0122736 #avg: 0.081819; avg_err: 0.00167316; sd: 0.257814; counts: 23744
sfh 0.106248 0.0225727 0.145594 0.0225727 #avg: 0.0976293; avg_err: 0.0016674; sd: 0.256925; counts: 23744
sfh 0.109623 0.0335626 0.161745 0.0335626 #avg: 0.113664; avg_err: 0.00182355; sd: 0.280987; counts: 23744
sfh 0.112998 0.0449822 0.174141 0.0449822 #avg: 0.129435; avg_err: 0.00185067; sd: 0.285165; counts: 23744
sfh 0.116373 0.054199 0.188095 0.0527439 #avg: 0.146115; avg_err: 0.00210169; sd: 0.323845; counts: 23744
sfh 0.119748 0.0632703 0.202766 0.0593523 #avg: 0.165593; avg_err: 0.00428996; sd: 0.66103; counts: 23744
sfh 0.123123 0.0727271 0.21786 0.0661717 #avg: 0.178336; avg_err: 0.00289002; sd: 0.445317; counts: 23744
sfh 0.126498 0.082588 0.233071 0.0731626 #avg: 0.193348; avg_err: 0.00276154; sd: 0.425519; counts: 23744
sfh 0.129873 0.0924843 0.248922 0.0798771 #avg: 0.209614; avg_err: 0.0029325; sd: 0.451862; counts: 23744
sfh 0.133248 0.102031 0.271874 0.0860904 #avg: 0.22834; avg_err: 0.00443129; sd: 0.682808; counts: 23744
sfh 0.136623 0.111824 0.288463 0.0924977 #avg: 0.242055; avg_err: 0.00306402; sd: 0.472127; counts: 23744
sfh 0.141685 0.125217 0.311391 0.101362 #avg: 0.271015; avg_err: 0.00360837; sd: 0.556005; counts: 23744
sfh 0.146748 0.139377 0.343859 0.110155 #avg: 0.294468; avg_err: 0.003625; sd: 0.558568; counts: 23744
sfh 0.15181 0.152132 0.360428 0.119065 #avg: 0.319738; avg_err: 0.00388077; sd: 0.597978; counts: 23744
sfh 0.156873 0.163938 0.383955 0.126637 #avg: 0.344144; avg_err: 0.004417; sd: 0.680605; counts: 23744
sfh 0.161935 0.173232 0.412847 0.132959 #avg: 0.360921; avg_err: 0.00444185; sd: 0.684435; counts: 23744
sfh 0.166998 0.182057 0.434397 0.137867 #avg: 0.379941; avg_err: 0.00460659; sd: 0.709818; counts: 23744
sfh 0.17206 0.191496 0.454211 0.145327 #avg: 0.403063; avg_err: 0.00542755; sd: 0.836318; counts: 23744
sfh 0.177123 0.200108 0.470328 0.15252 #avg: 0.418099; avg_err: 0.00517225; sd: 0.79698; counts: 23744
sfh 0.182185 0.209709 0.498918 0.159048 #avg: 0.438881; avg_err: 0.00579083; sd: 0.892296; counts: 23744
sfh 0.187248 0.21676 0.514361 0.164408 #avg: 0.452007; avg_err: 0.00562519; sd: 0.866771; counts: 23744
sfh 0.19231 0.225461 0.536958 0.171494 #avg: 0.469249; avg_err: 0.00591288; sd: 0.911102; counts: 23744
sfh 0.197373 0.235416 0.552482 0.178846 #avg: 0.482657; avg_err: 0.00565427; sd: 0.871254; counts: 23744
sfh 0.202435 0.243845 0.579156 0.186516 #avg: 0.499533; avg_err: 0.00596787; sd: 0.919575; counts: 23744
sfh 0.207498 0.253365 0.59853 0.193328 #avg: 0.516475; avg_err: 0.00594832; sd: 0.916563; counts: 23744
sfh 0.21256 0.264561 0.617295 0.201746 #avg: 0.536407; avg_err: 0.00605818; sd: 0.93349; counts: 23744
sfh 0.217623 0.275825 0.638549 0.210387 #avg: 0.561962; avg_err: 0.00634928; sd: 0.978346; counts: 23744
sfh 0.222685 0.286639 0.66114 0.219519 #avg: 0.587875; avg_err: 0.00716209; sd: 1.10359; counts: 23744
sfh 0.227748 0.29888 0.70787 0.229443 #avg: 0.61162; avg_err: 0.00771558; sd: 1.18888; counts: 23744
sfh 0.23281 0.305238 0.742202 0.232381 #avg: 0.637965; avg_err: 0.00791917; sd: 1.22025; counts: 23744
sfh 0.237873 0.317777 0.745643 0.2429 #avg: 0.662215; avg_err: 0.0080171; sd: 1.23534; counts: 23744
sfh 0.242935 0.330152 0.787538 0.253311 #avg: 0.687543; avg_err: 0.00832766; sd: 1.28319; counts: 23744
sfh 0.247998 0.338535 0.818045 0.256541 #avg: 0.710412; avg_err: 0.00857903; sd: 1.32192; counts: 23744
sfh 0.25306 0.353161 0.860469 0.267704 #avg: 0.749019; avg_err: 0.00968801; sd: 1.4928; counts: 23744
sfh 0.258123 0.368463 0.886087 0.279553 #avg: 0.784985; avg_err: 0.0111933; sd: 1.72475; counts: 23744
sfh 0.263185 0.385891 0.923019 0.294027 #avg: 0.812665; avg_err: 0.0104686; sd: 1.61308; counts: 23744
sfh 0.268248 0.407387 0.969783 0.311082 #avg: 0.844799; avg_err: 0.00991569; sd: 1.52789; counts: 23744
sfh 0.27331 0.425941 1.00753 0.325036 #avg: 0.875647; avg_err: 0.00994417; sd: 1.53227; counts: 23744
sfh 0.278373 0.440745 1.07651 0.33429 #avg: 0.917167; avg_err: 0.0105511; sd: 1.62579; counts: 23744
sfh 0.283435 0.461762 1.10203 0.351877 #avg: 0.946801; avg_err: 0.010683; sd: 1.64612; counts: 23744
sfh 0.288498 0.478696 1.15855 0.362459 #avg: 0.998588; avg_err: 0.0118963; sd: 1.83308; counts: 23744
sfh 0.29356 0.500759 1.17413 0.378178 #avg: 1.04368; avg_err: 0.0144446; sd: 2.22574; counts: 23744
sfh 0.298623 0.523595 1.24655 0.396589 #avg: 1.105; avg_err: 0.0215316; sd: 3.31776; counts: 23744
sfh 0.303685 0.543596 1.28838 0.41146 #avg: 1.15057; avg_err: 0.0172119; sd: 2.65215; counts: 23744
sfh 0.308748 0.568498 1.35231 0.429463 #avg: 1.20942; avg_err: 0.0169651; sd: 2.61412; counts: 23744
sfh 0.31381 0.594536 1.42094 0.451841 #avg: 1.27949; avg_err: 0.0188765; sd: 2.90864; counts: 23744
sfh 0.318873 0.615387 1.49145 0.465894 #avg: 1.35307; avg_err: 0.0197015; sd: 3.03576; counts: 23744
sfh 0.323935 0.649648 1.54656 0.491595 #avg: 1.41837; avg_err: 0.0199427; sd: 3.07292; counts: 23744
sfh 0.328997 0.682718 1.63965 0.519884 #avg: 1.49498; avg_err: 0.0210033; sd: 3.23635; counts: 23744
sfh 0.33406 0.707531 1.74168 0.536499 #avg: 1.59088; avg_err: 0.0221385; sd: 3.41126; counts: 23744
sfh 0.339122 0.737872 1.81462 0.558146 #avg: 1.67687; avg_err: 0.023289; sd: 3.58855; counts: 23744
sfh 0.344185 0.76793 1.93666 0.582683 #avg: 1.77526; avg_err: 0.0246482; sd: 3.79798; counts: 23744
sfh 0.349247 0.802856 2.06287 0.610838 #avg: 1.89716; avg_err: 0.026628; sd: 4.10304; counts: 23744
sfh 0.35431 0.834103 2.15448 0.633631 #avg: 2.02397; avg_err: 0.0283171; sd: 4.36332; counts: 23744
sfh 0.359372 0.869285 2.34306 0.659363 #avg: 2.12125; avg_err: 0.0282109; sd: 4.34695; counts: 23744
sfh 0.364435 0.909744 2.50107 0.69335 #avg: 2.25503; avg_err: 0.031561; sd: 4.86316; counts: 23744
sfh 0.369497 0.951167 2.65257 0.727437 #avg: 2.38903; avg_err: 0.0337762; sd: 5.20449; counts: 23744
sfh 0.37456 0.996081 2.8836 0.76778 #avg: 2.52655; avg_err: 0.0348843; sd: 5.37524; counts: 23744
sfh 0.379622 1.04779 3.11126 0.808035 #avg: 2.70087; avg_err: 0.036945; sd: 5.69276; counts: 23744
sfh 0.384685 1.09318 3.35919 0.851378 #avg: 2.87215; avg_err: 0.0392111; sd: 6.04194; counts: 23744
sfh 0.389747 1.13721 3.59696 0.890407 #avg: 3.04189; avg_err: 0.0419041; sd: 6.45691; counts: 23744
sfh 0.39481 1.19667 3.83905 0.939333 #avg: 3.21351; avg_err: 0.0456218; sd: 7.02976; counts: 23744
sfh 0.399872 1.26346 4.16992 0.991967 #avg: 3.43869; avg_err: 0.0488024; sd: 7.51984; counts: 23744
sfh 0.404935 1.33413 4.42717 1.05662 #avg: 3.6276; avg_err: 0.0483585; sd: 7.45144; counts: 23744
sfh 0.409997 1.42085 4.64531 1.14213 #avg: 3.8275; avg_err: 0.0520578; sd: 8.02146; counts: 23744
sfh 0.41506 1.48449 4.99412 1.19929 #avg: 4.00696; avg_err: 0.0535988; sd: 8.25891; counts: 23744
sfh 0.420122 1.57328 5.31808 1.28553 #avg: 4.17572; avg_err: 0.0543426; sd: 8.37352; counts: 23744
sfh 0.425185 1.65645 5.70821 1.36656 #avg: 4.32923; avg_err: 0.0534386; sd: 8.23423; counts: 23744
sfh 0.430247 1.73658 5.94531 1.44652 #avg: 4.51747; avg_err: 0.054585; sd: 8.41087; counts: 23744
sfh 0.43531 1.84727 6.13165 1.55428 #avg: 4.68021; avg_err: 0.0547422; sd: 8.43509; counts: 23744
sfh 0.440372 1.96021 6.43898 1.65598 #avg: 4.84696; avg_err: 0.0556201; sd: 8.57037; counts: 23744
sfh 0.445435 2.06203 6.61229 1.75471 #avg: 4.95702; avg_err: 0.0545142; sd: 8.39996; counts: 23744
sfh 0.450497 2.19553 6.74965 1.88209 #avg: 5.04818; avg_err: 0.0546399; sd: 8.41933; counts: 23744
sfh 0.45556 2.27878 6.95147 1.96838 #avg: 5.19216; avg_err: 0.0546646; sd: 8.42314; counts: 23744
sfh 0.460622 2.37564 7.08672 2.07341 #avg: 5.30468; avg_err: 0.0554893; sd: 8.55021; counts: 23744
sfh 0.465685 2.46741 7.22766 2.16269 #avg: 5.39453; avg_err: 0.0555774; sd: 8.5638; counts: 23744
sfh 0.470747 2.54998 7.35075 2.26261 #avg: 5.45094; avg_err: 0.0548743; sd: 8.45545; counts: 23744
sfh 0.47581 2.66447 7.18006 2.38056 #avg: 5.48643; avg_err: 0.0544637; sd: 8.39218; counts: 23744
sfh 0.480872 2.77192 7.27878 2.51677 #avg: 5.52026; avg_err: 0.0538261; sd: 8.29393; counts: 23744
sfh 0.485935 2.83006 7.27154 2.59855 #avg: 5.577; avg_err: 0.0539616; sd: 8.31481; counts: 23744
sfh 0.490997 2.91498 7.31772 2.69238 #avg: 5.62819; avg_err: 0.0537024; sd: 8.27488; counts: 23744
sfh 0.49606 2.98791 7.31559 2.77293 #avg: 5.63811; avg_err: 0.0525022; sd: 8.08994; counts: 23744
sfh 0.501122 3.06567 7.26343 2.86684 #avg: 5.64515; avg_err: 0.0522213; sd: 8.04666; counts: 23744
sfh 0.506185 3.12837 7.11193 2.95396 #avg: 5.62639; avg_err: 0.0510433; sd: 7.86514; counts: 23744
sfh 0.511247 3.13214 7.12656 2.97868 #avg: 5.58747; avg_err: 0.0501576; sd: 7.72867; counts: 23744
sfh 0.51631 3.18294 6.99816 3.03321 #avg: 5.54526; avg_err: 0.0487633; sd: 7.51382; counts: 23744
sfh 0.521372 3.2404 6.8863 3.09989 #avg: 5.47973; avg_err: 0.0475387; sd: 7.32512; counts: 23744
sfh 0.526435 3.25037 6.70033 3.13952 #avg: 5.43073; avg_err: 0.0469871; sd: 7.24013; counts: 23744
sfh 0.531497 3.24798 6.60147 3.14699 #avg: 5.3471; avg_err: 0.045695; sd: 7.04103; counts: 23744
sfh 0.53656 3.24677 6.45691 3.15801 #avg: 5.26223; avg_err: 0.0440778; sd: 6.79185; counts: 23744
sfh 0.541622 3.269 6.29467 3.18446 #avg: 5.20713; avg_err: 0.0426776; sd: 6.57609; counts: 23744
sfh 0.546685 3.2378 6.1624 3.16282 #avg: 5.11097; avg_err: 0.0417774; sd: 6.43737; counts: 23744
sfh 0.551747 3.25237 5.95847 3.18144 #avg: 5.04027; avg_err: 0.0405752; sd: 6.25213; counts: 23744
sfh 0.55681 3.19763 5.85709 3.13643 #avg: 4.93907; avg_err: 0.0393915; sd: 6.06974; counts: 23744
sfh 0.561872 3.21672 5.67971 3.15933 #avg: 4.855; avg_err: 0.0383477; sd: 5.9089; counts: 23744
sfh 0.566935 3.19146 5.50975 3.1355 #avg: 4.75088; avg_err: 0.0371121; sd: 5.71852; counts: 23744
sfh 0.571997 3.15251 5.45944 3.10086 #avg: 4.65448; avg_err: 0.0365126; sd: 5.62614; counts: 23744
sfh 0.57706 3.08895 5.19543 3.03808 #avg: 4.562; avg_err: 0.0359873; sd: 5.5452; counts: 23744
sfh 0.582123 3.04309 5.09273 2.99424 #avg: 4.46908; avg_err: 0.0354299; sd: 5.45931; counts: 23744
sfh 0.587185 2.99574 4.93944 2.95123 #avg: 4.34254; avg_err: 0.0339675; sd: 5.23397; counts: 23744
sfh 0.592248 2.92584 4.78775 2.88262 #avg: 4.232; avg_err: 0.0329448; sd: 5.07638; counts: 23744
sfh 0.59731 2.83254 4.71591 2.79091 #avg: 4.15147; avg_err: 0.0327003; sd: 5.03871; counts: 23744
sfh 0.602373 2.76422 4.57691 2.72499 #avg: 4.03795; avg_err: 0.0316944; sd: 4.88372; counts: 23744
sfh 0.607435 2.70804 4.45576 2.67219 #avg: 3.92893; avg_err: 0.0308817; sd: 4.75848; counts: 23744
sfh 0.612498 2.67012 4.35722 2.63472 #avg: 3.84581; avg_err: 0.0301062; sd: 4.63899; counts: 23744
sfh 0.61756 2.58966 4.28066 2.55653 #avg: 3.73354; avg_err: 0.0289464; sd: 4.46028; counts: 23744
sfh 0.622623 2.54282 4.17543 2.51002 #avg: 3.62958; avg_err: 0.028031; sd: 4.31923; counts: 23744
sfh 0.627685 2.44743 4.06951 2.41625 #avg: 3.51466; avg_err: 0.027173; sd: 4.18703; counts: 23744
sfh 0.632748 2.40094 3.91636 2.37055 #avg: 3.42136; avg_err: 0.0264716; sd: 4.07895; counts: 23744
sfh 0.63781 2.3499 3.80446 2.32003 #avg: 3.32204; avg_err: 0.0256703; sd: 3.95548; counts: 23744
sfh 0.642873 2.25903 3.71179 2.231 #avg: 3.21568; avg_err: 0.0248452; sd: 3.82835; counts: 23744
sfh 0.647935 2.18891 3.6689 2.16102 #avg: 3.1442; avg_err: 0.0246462; sd: 3.79767; counts: 23744
sfh 0.652998 2.12527 3.57183 2.098 #avg: 3.06585; avg_err: 0.024311; sd: 3.74602; counts: 23744
sfh 0.65806 2.09206 3.52121 2.065 #avg: 3.00918; avg_err: 0.0238917; sd: 3.68142; counts: 23744
sfh 0.663123 2.03748 3.42943 2.01115 #avg: 2.92563; avg_err: 0.0231537; sd: 3.5677; counts: 23744
sfh 0.668185 1.98707 3.32564 1.96118 #avg: 2.84499; avg_err: 0.0226208; sd: 3.48558; counts: 23744
sfh 0.673248 1.92849 3.19376 1.9036 #avg: 2.76965; avg_err: 0.0222332; sd: 3.42586; counts: 23744
sfh 0.67831 1.86689 3.20393 1.84341 #avg: 2.71683; avg_err: 0.0218914; sd: 3.37319; counts: 23744
sfh 0.683373 1.80944 3.1586 1.78551 #avg: 2.65869; avg_err: 0.0214867; sd: 3.31084; counts: 23744
sfh 0.690967 1.74257 3.03565 1.71909 #avg: 2.55; avg_err: 0.0208103; sd: 3.20661; counts: 23744
sfh 0.69856 1.66535 2.96469 1.64229 #avg: 2.46542; avg_err: 0.020446; sd: 3.15047; counts: 23744
sfh 0.706154 1.60297 2.82972 1.58074 #avg: 2.36402; avg_err: 0.0196449; sd: 3.02704; counts: 23744
sfh 0.713748 1.5587 2.71884 1.5371 #avg: 2.27808; avg_err: 0.0187781; sd: 2.89347; counts: 23744
sfh 0.721342 1.48248 2.66145 1.46131 #avg: 2.2018; avg_err: 0.0183543; sd: 2.82818; counts: 23744
sfh 0.728935 1.43315 2.61317 1.41222 #avg: 2.13886; avg_err: 0.0176916; sd: 2.72605; counts: 23744
sfh 0.736529 1.39909 2.52378 1.37849 #avg: 2.07816; avg_err: 0.0172938; sd: 2.66476; counts: 23744
sfh 0.744123 1.32676 2.49217 1.30631 #avg: 2.00996; avg_err: 0.0167897; sd: 2.58708; counts: 23744
sfh 0.751717 1.26912 2.42265 1.24916 #avg: 1.93492; avg_err: 0.0162647; sd: 2.50619; counts: 23744
sfh 0.75931 1.22336 2.33567 1.20308 #avg: 1.87516; avg_err: 0.015935; sd: 2.45538; counts: 23744
sfh 0.766904 1.19226 2.24833 1.17225 #avg: 1.82315; avg_err: 0.0156241; sd: 2.40748; counts: 23744
sfh 0.774498 1.15915 2.2367 1.13918 #avg: 1.78544; avg_err: 0.0153524; sd: 2.36561; counts: 23744
sfh 0.782092 1.13231 2.17088 1.11189 #avg: 1.74065; avg_err: 0.0149006; sd: 2.296; counts: 23744
sfh 0.789685 1.09841 2.11774 1.07737 #avg: 1.69402; avg_err: 0.0144802; sd: 2.23122; counts: 23744
sfh 0.797279 1.07578 2.08718 1.05493 #avg: 1.66576; avg_err: 0.0144203; sd: 2.222; counts: 23744
sfh 0.804873 1.05199 2.03718 1.03083 #avg: 1.62068; avg_err: 0.0139962; sd: 2.15664; counts: 23744
sfh 0.812467 1.02126 1.99122 1.00027 #avg: 1.58751; avg_err: 0.0137497; sd: 2.11866; counts: 23744
sfh 0.82006 1.00587 1.97469 0.985144 #avg: 1.55911; avg_err: 0.0134963; sd: 2.07961; counts: 23744
sfh 0.827654 0.979134 1.94095 0.957405 #avg: 1.5249; avg_err: 0.0131826; sd: 2.03127; counts: 23744
sfh 0.835248 0.949118 1.89773 0.927549 #avg: 1.49302; avg_err: 0.0129518; sd: 1.99571; counts: 23744
