#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.95 - 3.11667
#HM    Stats: 3.561760e+14 (median) + 1.982360e+14  / - 9.661700e+13
#SM    Stats: 6.684060e+11 (median) + 3.511840e+11  / - 2.332640e+11
#ObsSM Stats: 6.794780e+11 (median) + 3.667720e+11  / - 2.521280e+11
#VMP   Stats: 9.901500e+02 (median) + 1.777700e+02  / - 7.730005e+01
#ICL   Stats: 3.577860e+11 (median) + 2.352080e+11  / - 1.729920e+11
#SSFR  Stats: 1.902544e-12 (median) + 5.258717e-12  / - 1.356098e-12
sfh 0.055623 0 0 0 #avg: 4.27844e-08; avg_err: 4.06567e-08; sd: 5.45467e-07; counts: 181
sfh 0.060123 0 0.0137786 0 #avg: 0.012779; avg_err: 0.00316327; sd: 0.0424397; counts: 181
sfh 0.062373 2.20859e-07 0.165152 2.20859e-07 #avg: 0.0718577; avg_err: 0.0106628; sd: 0.143056; counts: 181
sfh 0.064623 0.0486704 0.484429 0.0486704 #avg: 0.226943; avg_err: 0.0250448; sd: 0.336012; counts: 181
sfh 0.066873 0.234028 1.07907 0.233876 #avg: 0.581629; avg_err: 0.0636872; sd: 0.854454; counts: 181
sfh 0.069123 0.5536 1.80646 0.513327 #avg: 1.20994; avg_err: 0.133226; sd: 1.78742; counts: 181
sfh 0.071373 0.858605 2.6676 0.692511 #avg: 1.90523; avg_err: 0.193049; sd: 2.59003; counts: 181
sfh 0.073623 1.53709 3.31647 1.13147 #avg: 2.66106; avg_err: 0.245273; sd: 3.29068; counts: 181
sfh 0.075873 2.33297 5.48355 1.67695 #avg: 3.91101; avg_err: 0.337956; sd: 4.53416; counts: 181
sfh 0.078123 3.56508 6.48712 2.54765 #avg: 5.47613; avg_err: 0.451832; sd: 6.06196; counts: 181
sfh 0.080373 4.4943 7.3757 2.8788 #avg: 6.69311; avg_err: 0.526345; sd: 7.06166; counts: 181
sfh 0.082623 5.42781 7.58399 3.67203 #avg: 7.46861; avg_err: 0.556472; sd: 7.46586; counts: 181
