#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=1.002310 (z=-0.002305) stellar mass
#obs_sm range: 8.75 - 9.25
#HM    Stats: 1.476470e+11 (median) + 6.750000e+10  / - 4.829410e+10
#SM    Stats: 8.983540e+08 (median) + 4.861660e+08  / - 2.761440e+08
#ObsSM Stats: 9.154550e+08 (median) + 4.886550e+08  / - 2.676970e+08
#VMP   Stats: 9.069000e+01 (median) + 7.579994e+00  / - 6.630005e+00
#ICL   Stats: 2.869520e+06 (median) + 9.443280e+06  / - 2.607107e+06
#SSFR  Stats: 1.289499e-10 (median) + 1.527070e-10  / - 7.015522e-11
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 319367
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 319367
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 319367
sfh 0.064623 0 0 0 #avg: 4.75713e-16; avg_err: 4.71826e-16; sd: 2.66641e-13; counts: 319367
sfh 0.066873 0 0 0 #avg: 3.71765e-16; avg_err: 2.56543e-16; sd: 1.44979e-13; counts: 319367
sfh 0.069123 0 0 0 #avg: 3.0316e-15; avg_err: 1.52854e-15; sd: 8.63815e-13; counts: 319367
sfh 0.071373 0 0 0 #avg: 1.4208e-14; avg_err: 6.25144e-15; sd: 3.53284e-12; counts: 319367
sfh 0.073623 0 0 0 #avg: 1.51327e-14; avg_err: 2.89527e-15; sd: 1.63619e-12; counts: 319367
sfh 0.075873 0 0 0 #avg: 3.63122e-14; avg_err: 5.59082e-15; sd: 3.15951e-12; counts: 319367
sfh 0.078123 0 0 0 #avg: 7.32538e-14; avg_err: 8.76301e-15; sd: 4.95219e-12; counts: 319367
sfh 0.080373 0 0 0 #avg: 1.45893e-13; avg_err: 1.47637e-14; sd: 8.34334e-12; counts: 319367
sfh 0.082623 0 0 0 #avg: 2.70159e-13; avg_err: 2.44265e-14; sd: 1.3804e-11; counts: 319367
sfh 0.085998 0 0 0 #avg: 5.14182e-13; avg_err: 2.15117e-14; sd: 1.21568e-11; counts: 319367
