#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=1.002310 (z=-0.002305) stellar mass
#sm range: 8.25 - 8.75
#HM    Stats: 6.973530e+10 (median) + 3.258870e+10  / - 2.301470e+10
#SM    Stats: 3.032930e+08 (median) + 1.516790e+08  / - 9.428699e+07
#ObsSM Stats: 3.076710e+08 (median) + 1.584430e+08  / - 9.933200e+07
#VMP   Stats: 7.877000e+01 (median) + 6.090004e+00  / - 5.930000e+00
#ICL   Stats: 5.541640e+05 (median) + 3.554066e+06  / - 5.541640e+05
#SSFR  Stats: 1.728750e-10 (median) + 2.046830e-10  / - 9.555310e-11
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 154726
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 154726
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 154726
sfh 0.064623 0 0 0 #avg: 1.40247e-19; avg_err: 1.40247e-19; sd: 5.51664e-17; counts: 154726
sfh 0.066873 0 0 0 #avg: 1.09366e-19; avg_err: 1.09366e-19; sd: 4.30194e-17; counts: 154726
sfh 0.069123 0 0 0 #avg: 6.24948e-16; avg_err: 5.76322e-16; sd: 2.26697e-13; counts: 154726
sfh 0.071373 0 0 0 #avg: 7.08132e-15; avg_err: 3.53552e-15; sd: 1.3907e-12; counts: 154726
sfh 0.073623 0 0 0 #avg: 9.97388e-15; avg_err: 4.22435e-15; sd: 1.66165e-12; counts: 154726
sfh 0.075873 0 0 0 #avg: 2.76241e-14; avg_err: 6.88464e-15; sd: 2.70808e-12; counts: 154726
sfh 0.078123 0 0 0 #avg: 6.99276e-14; avg_err: 1.75527e-14; sd: 6.90437e-12; counts: 154726
sfh 0.080373 0 0 0 #avg: 1.33449e-13; avg_err: 3.08588e-14; sd: 1.21384e-11; counts: 154726
sfh 0.082623 0 0 0 #avg: 2.37756e-13; avg_err: 4.72093e-14; sd: 1.85698e-11; counts: 154726
sfh 0.085998 0 0 0 #avg: 4.55504e-13; avg_err: 3.86829e-14; sd: 1.52159e-11; counts: 154726
sfh 0.089373 0 0 0 #avg: 9.51123e-13; avg_err: 5.31265e-14; sd: 2.08974e-11; counts: 154726
sfh 0.092748 0 0 0 #avg: 1.64978e-12; avg_err: 6.3978e-14; sd: 2.51658e-11; counts: 154726
sfh 0.096123 0 0 0 #avg: 2.78869e-12; avg_err: 8.75134e-14; sd: 3.44235e-11; counts: 154726
