#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=1.002310 (z=-0.002305) stellar mass
#sm range: 8.75 - 9.25
#HM    Stats: 1.626470e+11 (median) + 6.750000e+10  / - 4.710300e+10
#SM    Stats: 9.257950e+08 (median) + 4.896550e+08  / - 2.749130e+08
#ObsSM Stats: 9.432130e+08 (median) + 5.059170e+08  / - 2.942990e+08
#VMP   Stats: 9.076000e+01 (median) + 7.320000e+00  / - 6.380005e+00
#ICL   Stats: 3.325440e+06 (median) + 1.012026e+07  / - 2.918041e+06
#SSFR  Stats: 1.148481e-10 (median) + 1.463788e-10  / - 7.293803e-11
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 243072
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 243072
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 243072
sfh 0.064623 0 0 0 #avg: 6.19902e-16; avg_err: 6.19902e-16; sd: 3.05626e-13; counts: 243072
sfh 0.066873 0 0 0 #avg: 1.14456e-15; avg_err: 8.72218e-16; sd: 4.30023e-13; counts: 243072
sfh 0.069123 0 0 0 #avg: 4.73423e-15; avg_err: 3.3694e-15; sd: 1.66119e-12; counts: 243072
sfh 0.071373 0 0 0 #avg: 8.93983e-15; avg_err: 5.45926e-15; sd: 2.69154e-12; counts: 243072
sfh 0.073623 0 0 0 #avg: 1.68412e-14; avg_err: 1.02559e-14; sd: 5.05639e-12; counts: 243072
sfh 0.075873 0 0 0 #avg: 2.6853e-14; avg_err: 7.21734e-15; sd: 3.55831e-12; counts: 243072
sfh 0.078123 0 0 0 #avg: 5.14559e-14; avg_err: 7.47302e-15; sd: 3.68437e-12; counts: 243072
sfh 0.080373 0 0 0 #avg: 9.99073e-14; avg_err: 8.65837e-15; sd: 4.26877e-12; counts: 243072
sfh 0.082623 0 0 0 #avg: 1.88049e-13; avg_err: 1.32312e-14; sd: 6.52326e-12; counts: 243072
sfh 0.085998 0 0 0 #avg: 3.63756e-13; avg_err: 1.75591e-14; sd: 8.65704e-12; counts: 243072
sfh 0.089373 0 0 0 #avg: 6.87294e-13; avg_err: 2.62213e-14; sd: 1.29277e-11; counts: 243072
sfh 0.092748 0 0 0 #avg: 1.2642e-12; avg_err: 2.98711e-14; sd: 1.47271e-11; counts: 243072
sfh 0.096123 0 0 0 #avg: 2.02944e-12; avg_err: 3.64272e-14; sd: 1.79594e-11; counts: 243072
sfh 0.099498 0 0 0 #avg: 3.08937e-12; avg_err: 4.44656e-14; sd: 2.19225e-11; counts: 243072
sfh 0.102873 0 0 0 #avg: 4.46943e-12; avg_err: 5.53814e-14; sd: 2.73042e-11; counts: 243072
sfh 0.106248 0 1.85516e-12 0 #avg: 6.12658e-12; avg_err: 6.16819e-14; sd: 3.04106e-11; counts: 243072
sfh 0.109623 0 6.54456e-12 0 #avg: 7.82987e-12; avg_err: 6.66639e-14; sd: 3.28668e-11; counts: 243072
sfh 0.112998 0 1.18472e-11 0 #avg: 9.53082e-12; avg_err: 7.16431e-14; sd: 3.53216e-11; counts: 243072
sfh 0.116373 0 1.65257e-11 0 #avg: 1.11016e-11; avg_err: 7.57941e-14; sd: 3.73682e-11; counts: 243072
sfh 0.119748 0 2.03962e-11 0 #avg: 1.25172e-11; avg_err: 7.73388e-14; sd: 3.81298e-11; counts: 243072
sfh 0.123123 3.16384e-13 2.3516e-11 3.16384e-13 #avg: 1.41144e-11; avg_err: 8.17568e-14; sd: 4.03079e-11; counts: 243072
sfh 0.126498 1.60407e-12 2.563e-11 1.60407e-12 #avg: 1.57628e-11; avg_err: 8.55621e-14; sd: 4.2184e-11; counts: 243072
sfh 0.129873 3.03024e-12 2.75857e-11 3.03024e-12 #avg: 1.7515e-11; avg_err: 9.06285e-14; sd: 4.46819e-11; counts: 243072
sfh 0.133248 4.60543e-12 2.93992e-11 4.60543e-12 #avg: 1.92225e-11; avg_err: 9.12533e-14; sd: 4.49899e-11; counts: 243072
sfh 0.136623 6.15517e-12 3.0962e-11 6.15517e-12 #avg: 2.10439e-11; avg_err: 9.52455e-14; sd: 4.69581e-11; counts: 243072
sfh 0.141685 8.33536e-12 3.32555e-11 8.33536e-12 #avg: 2.35492e-11; avg_err: 9.80617e-14; sd: 4.83466e-11; counts: 243072
sfh 0.146748 1.05508e-11 3.48332e-11 1.02462e-11 #avg: 2.59389e-11; avg_err: 1.03162e-13; sd: 5.0861e-11; counts: 243072
sfh 0.15181 1.25721e-11 3.60846e-11 1.15356e-11 #avg: 2.79217e-11; avg_err: 1.03337e-13; sd: 5.09476e-11; counts: 243072
sfh 0.156873 1.43594e-11 3.66114e-11 1.24917e-11 #avg: 2.95539e-11; avg_err: 1.04342e-13; sd: 5.14429e-11; counts: 243072
sfh 0.161935 1.58789e-11 3.64726e-11 1.3128e-11 #avg: 3.06416e-11; avg_err: 1.01472e-13; sd: 5.0028e-11; counts: 243072
sfh 0.166998 1.71941e-11 3.63499e-11 1.35634e-11 #avg: 3.15649e-11; avg_err: 1.02036e-13; sd: 5.03058e-11; counts: 243072
sfh 0.17206 1.79427e-11 3.56918e-11 1.35731e-11 #avg: 3.19507e-11; avg_err: 9.88735e-14; sd: 4.87468e-11; counts: 243072
sfh 0.177123 1.82599e-11 3.54436e-11 1.33442e-11 #avg: 3.21646e-11; avg_err: 9.86154e-14; sd: 4.86196e-11; counts: 243072
sfh 0.182185 1.86498e-11 3.54094e-11 1.33273e-11 #avg: 3.22421e-11; avg_err: 9.55485e-14; sd: 4.71075e-11; counts: 243072
sfh 0.187248 1.88977e-11 3.45853e-11 1.31921e-11 #avg: 3.20987e-11; avg_err: 9.16404e-14; sd: 4.51808e-11; counts: 243072
sfh 0.19231 1.91038e-11 3.42372e-11 1.31075e-11 #avg: 3.2161e-11; avg_err: 9.13847e-14; sd: 4.50547e-11; counts: 243072
sfh 0.197373 1.92313e-11 3.40028e-11 1.29544e-11 #avg: 3.21016e-11; avg_err: 8.82802e-14; sd: 4.35241e-11; counts: 243072
sfh 0.202435 1.93814e-11 3.35417e-11 1.28283e-11 #avg: 3.20536e-11; avg_err: 8.73265e-14; sd: 4.30539e-11; counts: 243072
sfh 0.207498 1.96481e-11 3.33997e-11 1.28635e-11 #avg: 3.21123e-11; avg_err: 8.58608e-14; sd: 4.23313e-11; counts: 243072
sfh 0.21256 1.98184e-11 3.32437e-11 1.28081e-11 #avg: 3.21962e-11; avg_err: 8.57582e-14; sd: 4.22807e-11; counts: 243072
sfh 0.217623 2.00255e-11 3.31905e-11 1.28055e-11 #avg: 3.22584e-11; avg_err: 8.43206e-14; sd: 4.15719e-11; counts: 243072
sfh 0.222685 2.00743e-11 3.30482e-11 1.27914e-11 #avg: 3.22419e-11; avg_err: 8.3524e-14; sd: 4.11792e-11; counts: 243072
sfh 0.227748 2.01986e-11 3.29278e-11 1.28172e-11 #avg: 3.2265e-11; avg_err: 8.24091e-14; sd: 4.06295e-11; counts: 243072
sfh 0.23281 2.03976e-11 3.27993e-11 1.28709e-11 #avg: 3.2402e-11; avg_err: 8.32005e-14; sd: 4.10197e-11; counts: 243072
sfh 0.237873 2.06389e-11 3.26367e-11 1.29774e-11 #avg: 3.24478e-11; avg_err: 8.16845e-14; sd: 4.02723e-11; counts: 243072
sfh 0.242935 2.07883e-11 3.25938e-11 1.29635e-11 #avg: 3.25945e-11; avg_err: 8.23065e-14; sd: 4.0579e-11; counts: 243072
sfh 0.247998 2.12131e-11 3.28698e-11 1.32078e-11 #avg: 3.30148e-11; avg_err: 8.26988e-14; sd: 4.07723e-11; counts: 243072
sfh 0.25306 2.1421e-11 3.29682e-11 1.32217e-11 #avg: 3.31168e-11; avg_err: 8.15967e-14; sd: 4.0229e-11; counts: 243072
sfh 0.258123 2.17136e-11 3.32902e-11 1.33257e-11 #avg: 3.35554e-11; avg_err: 8.22402e-14; sd: 4.05462e-11; counts: 243072
sfh 0.263185 2.1945e-11 3.32554e-11 1.33038e-11 #avg: 3.3746e-11; avg_err: 8.14034e-14; sd: 4.01337e-11; counts: 243072
sfh 0.268248 2.2175e-11 3.33385e-11 1.33729e-11 #avg: 3.40817e-11; avg_err: 8.28065e-14; sd: 4.08255e-11; counts: 243072
sfh 0.27331 2.26048e-11 3.35848e-11 1.35719e-11 #avg: 3.45633e-11; avg_err: 8.30984e-14; sd: 4.09694e-11; counts: 243072
sfh 0.278373 2.29157e-11 3.42245e-11 1.36681e-11 #avg: 3.50546e-11; avg_err: 8.35946e-14; sd: 4.1214e-11; counts: 243072
sfh 0.283435 2.35553e-11 3.50215e-11 1.40617e-11 #avg: 3.59854e-11; avg_err: 8.52489e-14; sd: 4.20296e-11; counts: 243072
sfh 0.288498 2.3985e-11 3.55798e-11 1.42565e-11 #avg: 3.66305e-11; avg_err: 8.68228e-14; sd: 4.28056e-11; counts: 243072
sfh 0.29356 2.44668e-11 3.61172e-11 1.44833e-11 #avg: 3.73449e-11; avg_err: 8.82313e-14; sd: 4.35e-11; counts: 243072
sfh 0.298623 2.4985e-11 3.67715e-11 1.4699e-11 #avg: 3.80939e-11; avg_err: 9.03194e-14; sd: 4.45295e-11; counts: 243072
sfh 0.303685 2.56066e-11 3.73038e-11 1.50602e-11 #avg: 3.8855e-11; avg_err: 9.12803e-14; sd: 4.50032e-11; counts: 243072
sfh 0.308748 2.61507e-11 3.84364e-11 1.53408e-11 #avg: 3.97515e-11; avg_err: 9.32455e-14; sd: 4.59721e-11; counts: 243072
sfh 0.31381 2.68289e-11 3.90734e-11 1.57058e-11 #avg: 4.06098e-11; avg_err: 9.51466e-14; sd: 4.69094e-11; counts: 243072
sfh 0.318873 2.74494e-11 3.97533e-11 1.60064e-11 #avg: 4.15264e-11; avg_err: 9.65749e-14; sd: 4.76136e-11; counts: 243072
sfh 0.323935 2.81304e-11 4.08468e-11 1.64334e-11 #avg: 4.26285e-11; avg_err: 9.95795e-14; sd: 4.90949e-11; counts: 243072
sfh 0.328997 2.88449e-11 4.18226e-11 1.67667e-11 #avg: 4.37197e-11; avg_err: 1.01924e-13; sd: 5.0251e-11; counts: 243072
sfh 0.33406 2.96731e-11 4.27848e-11 1.72431e-11 #avg: 4.4849e-11; avg_err: 1.04702e-13; sd: 5.16205e-11; counts: 243072
sfh 0.339122 3.0433e-11 4.3696e-11 1.76051e-11 #avg: 4.58663e-11; avg_err: 1.06343e-13; sd: 5.24295e-11; counts: 243072
sfh 0.344185 3.14594e-11 4.49546e-11 1.82376e-11 #avg: 4.71648e-11; avg_err: 1.08507e-13; sd: 5.34965e-11; counts: 243072
sfh 0.349247 3.2336e-11 4.61085e-11 1.86342e-11 #avg: 4.85287e-11; avg_err: 1.10883e-13; sd: 5.46676e-11; counts: 243072
sfh 0.35431 3.37151e-11 4.74462e-11 1.94684e-11 #avg: 5.01748e-11; avg_err: 1.13717e-13; sd: 5.60652e-11; counts: 243072
sfh 0.359372 3.47238e-11 4.89716e-11 2.00378e-11 #avg: 5.1624e-11; avg_err: 1.16051e-13; sd: 5.72157e-11; counts: 243072
sfh 0.364435 3.58565e-11 5.02608e-11 2.06833e-11 #avg: 5.31705e-11; avg_err: 1.18989e-13; sd: 5.8664e-11; counts: 243072
sfh 0.369497 3.69667e-11 5.20953e-11 2.12891e-11 #avg: 5.4831e-11; avg_err: 1.22297e-13; sd: 6.02954e-11; counts: 243072
sfh 0.37456 3.8185e-11 5.32392e-11 2.19864e-11 #avg: 5.64783e-11; avg_err: 1.26358e-13; sd: 6.22971e-11; counts: 243072
sfh 0.379622 3.94724e-11 5.44039e-11 2.26238e-11 #avg: 5.8145e-11; avg_err: 1.29024e-13; sd: 6.36118e-11; counts: 243072
sfh 0.384685 4.07235e-11 5.55419e-11 2.33341e-11 #avg: 5.96709e-11; avg_err: 1.30716e-13; sd: 6.44458e-11; counts: 243072
sfh 0.389747 4.2138e-11 5.67278e-11 2.4163e-11 #avg: 6.14574e-11; avg_err: 1.34444e-13; sd: 6.6284e-11; counts: 243072
sfh 0.39481 4.3494e-11 5.86205e-11 2.47716e-11 #avg: 6.33248e-11; avg_err: 1.37696e-13; sd: 6.78874e-11; counts: 243072
sfh 0.399872 4.50454e-11 6.04532e-11 2.56435e-11 #avg: 6.53786e-11; avg_err: 1.41346e-13; sd: 6.96868e-11; counts: 243072
sfh 0.404935 4.64468e-11 6.23054e-11 2.6405e-11 #avg: 6.71676e-11; avg_err: 1.44087e-13; sd: 7.10382e-11; counts: 243072
sfh 0.409997 4.7974e-11 6.36974e-11 2.72374e-11 #avg: 6.92877e-11; avg_err: 1.48984e-13; sd: 7.34526e-11; counts: 243072
sfh 0.41506 4.96642e-11 6.52452e-11 2.81919e-11 #avg: 7.1298e-11; avg_err: 1.52881e-13; sd: 7.53736e-11; counts: 243072
sfh 0.420122 5.13477e-11 6.66119e-11 2.91809e-11 #avg: 7.34408e-11; avg_err: 1.57053e-13; sd: 7.74309e-11; counts: 243072
sfh 0.425185 5.32187e-11 6.82308e-11 3.01648e-11 #avg: 7.54831e-11; avg_err: 1.58471e-13; sd: 7.81296e-11; counts: 243072
sfh 0.430247 5.4908e-11 7.0223e-11 3.09724e-11 #avg: 7.77407e-11; avg_err: 1.61933e-13; sd: 7.98367e-11; counts: 243072
sfh 0.43531 5.65144e-11 7.17654e-11 3.17071e-11 #avg: 7.98113e-11; avg_err: 1.64353e-13; sd: 8.10297e-11; counts: 243072
sfh 0.440372 5.84565e-11 7.40666e-11 3.28355e-11 #avg: 8.22953e-11; avg_err: 1.69348e-13; sd: 8.34925e-11; counts: 243072
sfh 0.445435 6.03419e-11 7.57828e-11 3.38173e-11 #avg: 8.47977e-11; avg_err: 1.75146e-13; sd: 8.63509e-11; counts: 243072
sfh 0.450497 6.22977e-11 7.7726e-11 3.48713e-11 #avg: 8.7218e-11; avg_err: 1.77715e-13; sd: 8.76173e-11; counts: 243072
sfh 0.45556 6.40596e-11 7.91283e-11 3.56505e-11 #avg: 8.9469e-11; avg_err: 1.82256e-13; sd: 8.98563e-11; counts: 243072
sfh 0.460622 6.61212e-11 8.06824e-11 3.67039e-11 #avg: 9.2007e-11; avg_err: 1.87827e-13; sd: 9.26031e-11; counts: 243072
sfh 0.465685 6.81649e-11 8.27753e-11 3.775e-11 #avg: 9.46162e-11; avg_err: 1.91346e-13; sd: 9.43379e-11; counts: 243072
sfh 0.470747 7.0157e-11 8.50599e-11 3.87628e-11 #avg: 9.7242e-11; avg_err: 1.95876e-13; sd: 9.65711e-11; counts: 243072
sfh 0.47581 7.23575e-11 8.67641e-11 3.99491e-11 #avg: 9.98251e-11; avg_err: 1.98906e-13; sd: 9.80653e-11; counts: 243072
sfh 0.480872 7.43228e-11 8.90235e-11 4.08334e-11 #avg: 1.02297e-10; avg_err: 2.03672e-13; sd: 1.00415e-10; counts: 243072
sfh 0.485935 7.65103e-11 9.06327e-11 4.19589e-11 #avg: 1.04837e-10; avg_err: 2.07507e-13; sd: 1.02306e-10; counts: 243072
sfh 0.490997 7.88695e-11 9.25102e-11 4.31947e-11 #avg: 1.07623e-10; avg_err: 2.11808e-13; sd: 1.04426e-10; counts: 243072
sfh 0.49606 8.10499e-11 9.41229e-11 4.42607e-11 #avg: 1.10309e-10; avg_err: 2.15423e-13; sd: 1.06208e-10; counts: 243072
sfh 0.501122 8.34152e-11 9.61195e-11 4.55256e-11 #avg: 1.13032e-10; avg_err: 2.19484e-13; sd: 1.08211e-10; counts: 243072
sfh 0.506185 8.55269e-11 9.7974e-11 4.65108e-11 #avg: 1.15683e-10; avg_err: 2.23501e-13; sd: 1.10191e-10; counts: 243072
