#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=1.002310 (z=-0.002305) stellar mass
#sm range: 9.25 - 9.75
#HM    Stats: 2.723530e+11 (median) + 1.423530e+11  / - 9.794100e+10
#SM    Stats: 3.145360e+09 (median) + 1.529420e+09  / - 1.016140e+09
#ObsSM Stats: 3.205440e+09 (median) + 1.595930e+09  / - 1.066300e+09
#VMP   Stats: 1.144800e+02 (median) + 1.150999e+01  / - 8.950005e+00
#ICL   Stats: 1.138470e+07 (median) + 3.997450e+07  / - 9.329310e+06
#SSFR  Stats: 1.649261e-12 (median) + 2.912216e-12  / - 1.113370e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 46487
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 46487
sfh 0.062373 0 0 0 #avg: 9.17626e-16; avg_err: 7.19012e-16; sd: 1.55023e-13; counts: 46487
sfh 0.064623 0 0 0 #avg: 1.35353e-15; avg_err: 7.29782e-16; sd: 1.57345e-13; counts: 46487
sfh 0.066873 0 0 0 #avg: 1.05986e-14; avg_err: 3.89507e-15; sd: 8.39801e-13; counts: 46487
sfh 0.069123 0 0 0 #avg: 2.87631e-14; avg_err: 7.97842e-15; sd: 1.7202e-12; counts: 46487
sfh 0.071373 0 0 0 #avg: 6.49958e-14; avg_err: 1.4186e-14; sd: 3.0586e-12; counts: 46487
sfh 0.073623 0 0 0 #avg: 1.31196e-13; avg_err: 2.33716e-14; sd: 5.03906e-12; counts: 46487
sfh 0.075873 0 0 0 #avg: 2.14862e-13; avg_err: 2.69709e-14; sd: 5.8151e-12; counts: 46487
sfh 0.078123 0 0 0 #avg: 3.53608e-13; avg_err: 3.66949e-14; sd: 7.91165e-12; counts: 46487
sfh 0.080373 0 0 0 #avg: 5.41036e-13; avg_err: 4.08122e-14; sd: 8.79936e-12; counts: 46487
sfh 0.082623 0 0 0 #avg: 8.38482e-13; avg_err: 5.25831e-14; sd: 1.13372e-11; counts: 46487
sfh 0.085998 0 0 0 #avg: 1.50784e-12; avg_err: 7.48637e-14; sd: 1.61411e-11; counts: 46487
sfh 0.089373 0 0 0 #avg: 2.22368e-12; avg_err: 7.85364e-14; sd: 1.69329e-11; counts: 46487
sfh 0.092748 0 4.96551e-18 0 #avg: 3.20177e-12; avg_err: 8.60623e-14; sd: 1.85556e-11; counts: 46487
sfh 0.096123 0 2.49562e-12 0 #avg: 4.33944e-12; avg_err: 9.70432e-14; sd: 2.09231e-11; counts: 46487
sfh 0.099498 0 6.07241e-12 0 #avg: 5.85877e-12; avg_err: 1.14712e-13; sd: 2.47326e-11; counts: 46487
sfh 0.102873 0 9.98661e-12 0 #avg: 7.30299e-12; avg_err: 1.22374e-13; sd: 2.63846e-11; counts: 46487
sfh 0.106248 0 1.40096e-11 0 #avg: 9.01008e-12; avg_err: 1.33114e-13; sd: 2.87001e-11; counts: 46487
sfh 0.109623 4.20949e-13 1.73032e-11 4.20949e-13 #avg: 1.08242e-11; avg_err: 1.50084e-13; sd: 3.23589e-11; counts: 46487
sfh 0.112998 1.58355e-12 1.94765e-11 1.58355e-12 #avg: 1.25721e-11; avg_err: 1.68012e-13; sd: 3.62244e-11; counts: 46487
sfh 0.116373 2.88554e-12 2.0741e-11 2.88554e-12 #avg: 1.41122e-11; avg_err: 1.72901e-13; sd: 3.72785e-11; counts: 46487
sfh 0.119748 4.02583e-12 2.21805e-11 4.02583e-12 #avg: 1.58246e-11; avg_err: 1.95703e-13; sd: 4.21948e-11; counts: 46487
sfh 0.123123 5.16502e-12 2.31195e-11 5.16502e-12 #avg: 1.711e-11; avg_err: 2.00367e-13; sd: 4.32004e-11; counts: 46487
sfh 0.126498 6.30643e-12 2.47169e-11 6.29364e-12 #avg: 1.86009e-11; avg_err: 2.02245e-13; sd: 4.36052e-11; counts: 46487
sfh 0.129873 7.51963e-12 2.63128e-11 7.23004e-12 #avg: 2.02962e-11; avg_err: 2.08034e-13; sd: 4.48533e-11; counts: 46487
sfh 0.133248 8.74357e-12 2.75529e-11 8.06321e-12 #avg: 2.18255e-11; avg_err: 2.15688e-13; sd: 4.65036e-11; counts: 46487
sfh 0.136623 9.82789e-12 2.91227e-11 8.72011e-12 #avg: 2.37721e-11; avg_err: 2.28647e-13; sd: 4.92977e-11; counts: 46487
sfh 0.141685 1.1451e-11 3.0838e-11 9.72317e-12 #avg: 2.60584e-11; avg_err: 2.51642e-13; sd: 5.42555e-11; counts: 46487
sfh 0.146748 1.28315e-11 3.2716e-11 1.0404e-11 #avg: 2.79935e-11; avg_err: 2.53026e-13; sd: 5.4554e-11; counts: 46487
sfh 0.15181 1.41661e-11 3.38435e-11 1.10487e-11 #avg: 2.96849e-11; avg_err: 2.541e-13; sd: 5.47856e-11; counts: 46487
sfh 0.156873 1.53355e-11 3.50508e-11 1.15771e-11 #avg: 3.1277e-11; avg_err: 2.60773e-13; sd: 5.62243e-11; counts: 46487
sfh 0.161935 1.63227e-11 3.68233e-11 1.20027e-11 #avg: 3.2722e-11; avg_err: 2.76897e-13; sd: 5.97007e-11; counts: 46487
sfh 0.166998 1.73038e-11 3.78673e-11 1.23956e-11 #avg: 3.38653e-11; avg_err: 2.7039e-13; sd: 5.82977e-11; counts: 46487
sfh 0.17206 1.79438e-11 3.82186e-11 1.26338e-11 #avg: 3.49676e-11; avg_err: 2.79041e-13; sd: 6.0163e-11; counts: 46487
sfh 0.177123 1.84815e-11 3.95464e-11 1.28623e-11 #avg: 3.59277e-11; avg_err: 2.82052e-13; sd: 6.08121e-11; counts: 46487
sfh 0.182185 1.90689e-11 4.05097e-11 1.32105e-11 #avg: 3.64851e-11; avg_err: 2.72213e-13; sd: 5.86909e-11; counts: 46487
sfh 0.187248 1.93816e-11 4.13347e-11 1.32874e-11 #avg: 3.73871e-11; avg_err: 2.94654e-13; sd: 6.35293e-11; counts: 46487
sfh 0.19231 1.9925e-11 4.17112e-11 1.36121e-11 #avg: 3.77742e-11; avg_err: 3.00699e-13; sd: 6.48326e-11; counts: 46487
sfh 0.197373 2.03165e-11 4.28228e-11 1.38207e-11 #avg: 3.83675e-11; avg_err: 3.05294e-13; sd: 6.58233e-11; counts: 46487
sfh 0.202435 2.07074e-11 4.2824e-11 1.39942e-11 #avg: 3.90038e-11; avg_err: 3.06454e-13; sd: 6.60734e-11; counts: 46487
sfh 0.207498 2.12599e-11 4.32812e-11 1.43795e-11 #avg: 3.95563e-11; avg_err: 2.95617e-13; sd: 6.37369e-11; counts: 46487
sfh 0.21256 2.16576e-11 4.42259e-11 1.45266e-11 #avg: 4.02369e-11; avg_err: 2.9488e-13; sd: 6.3578e-11; counts: 46487
sfh 0.217623 2.20495e-11 4.43237e-11 1.4724e-11 #avg: 4.08965e-11; avg_err: 2.93538e-13; sd: 6.32885e-11; counts: 46487
sfh 0.222685 2.24505e-11 4.5621e-11 1.49582e-11 #avg: 4.12926e-11; avg_err: 2.88881e-13; sd: 6.22846e-11; counts: 46487
sfh 0.227748 2.29896e-11 4.65727e-11 1.53577e-11 #avg: 4.19435e-11; avg_err: 2.8588e-13; sd: 6.16374e-11; counts: 46487
sfh 0.23281 2.36406e-11 4.73244e-11 1.58587e-11 #avg: 4.30452e-11; avg_err: 2.99009e-13; sd: 6.44682e-11; counts: 46487
sfh 0.237873 2.39854e-11 4.8424e-11 1.59428e-11 #avg: 4.37218e-11; avg_err: 3.04087e-13; sd: 6.55631e-11; counts: 46487
sfh 0.242935 2.4786e-11 4.82366e-11 1.65721e-11 #avg: 4.44163e-11; avg_err: 3.10687e-13; sd: 6.6986e-11; counts: 46487
sfh 0.247998 2.52535e-11 4.97542e-11 1.67967e-11 #avg: 4.55412e-11; avg_err: 3.22038e-13; sd: 6.94334e-11; counts: 46487
sfh 0.25306 2.59296e-11 5.0449e-11 1.72091e-11 #avg: 4.62259e-11; avg_err: 3.23663e-13; sd: 6.97838e-11; counts: 46487
sfh 0.258123 2.6793e-11 5.09619e-11 1.78617e-11 #avg: 4.73188e-11; avg_err: 3.45048e-13; sd: 7.43944e-11; counts: 46487
sfh 0.263185 2.75211e-11 5.21336e-11 1.82908e-11 #avg: 4.83341e-11; avg_err: 3.36087e-13; sd: 7.24624e-11; counts: 46487
sfh 0.268248 2.80351e-11 5.36066e-11 1.85781e-11 #avg: 4.97032e-11; avg_err: 3.44969e-13; sd: 7.43773e-11; counts: 46487
