#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=1.002310 (z=-0.002305) stellar mass
#vmpeak range: 1.61667 - 1.78333
#HM    Stats: 1.823530e+10 (median) + 1.094120e+10  / - 6.613200e+09
#SM    Stats: 1.679840e+07 (median) + 1.677460e+07  / - 1.004167e+07
#ObsSM Stats: 1.702560e+07 (median) + 1.779410e+07  / - 1.022901e+07
#VMP   Stats: 5.384000e+01 (median) + 4.829998e+00  / - 6.549999e+00
#ICL   Stats: 0.000000e+00 (median) + 4.618420e+04  / - 0.000000e+00
#SSFR  Stats: 1.684618e-12 (median) + 2.944743e-12  / - 1.125643e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 20897
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 20897
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 20897
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 20897
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 20897
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 20897
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 20897
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 20897
sfh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 20897
sfh 0.078123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 20897
sfh 0.080373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 20897
sfh 0.082623 0 0 0 #avg: 5.47303e-16; avg_err: 5.47303e-16; sd: 7.91151e-14; counts: 20897
sfh 0.085998 0 0 0 #avg: 1.0679e-13; avg_err: 1.01644e-13; sd: 1.46932e-11; counts: 20897
sfh 0.089373 0 0 0 #avg: 1.18932e-13; avg_err: 8.58532e-14; sd: 1.24105e-11; counts: 20897
sfh 0.092748 0 0 0 #avg: 1.91815e-13; avg_err: 1.23564e-13; sd: 1.78618e-11; counts: 20897
sfh 0.096123 0 0 0 #avg: 2.15763e-13; avg_err: 1.15237e-13; sd: 1.6658e-11; counts: 20897
sfh 0.099498 0 0 0 #avg: 2.50035e-13; avg_err: 1.03144e-13; sd: 1.491e-11; counts: 20897
sfh 0.102873 0 0 0 #avg: 4.2519e-13; avg_err: 1.17826e-13; sd: 1.70323e-11; counts: 20897
sfh 0.106248 0 0 0 #avg: 8.46667e-13; avg_err: 1.72829e-13; sd: 2.49833e-11; counts: 20897
sfh 0.109623 0 0 0 #avg: 1.74645e-12; avg_err: 3.32855e-13; sd: 4.81156e-11; counts: 20897
sfh 0.112998 0 0 0 #avg: 2.57886e-12; avg_err: 3.33147e-13; sd: 4.81579e-11; counts: 20897
sfh 0.116373 0 0 0 #avg: 3.81857e-12; avg_err: 4.05564e-13; sd: 5.86261e-11; counts: 20897
sfh 0.119748 0 0 0 #avg: 5.29685e-12; avg_err: 4.66962e-13; sd: 6.75015e-11; counts: 20897
sfh 0.123123 0 0 0 #avg: 7.5625e-12; avg_err: 6.05537e-13; sd: 8.75331e-11; counts: 20897
sfh 0.126498 0 0 0 #avg: 9.66464e-12; avg_err: 7.52331e-13; sd: 1.08753e-10; counts: 20897
sfh 0.129873 0 0 0 #avg: 1.12848e-11; avg_err: 6.89987e-13; sd: 9.97407e-11; counts: 20897
sfh 0.133248 0 0 0 #avg: 1.37954e-11; avg_err: 7.00355e-13; sd: 1.01239e-10; counts: 20897
sfh 0.136623 0 0 0 #avg: 1.80168e-11; avg_err: 9.77662e-13; sd: 1.41325e-10; counts: 20897
sfh 0.141685 0 0 0 #avg: 2.24368e-11; avg_err: 9.07024e-13; sd: 1.31114e-10; counts: 20897
sfh 0.146748 0 0 0 #avg: 2.92437e-11; avg_err: 1.0412e-12; sd: 1.5051e-10; counts: 20897
sfh 0.15181 0 1.0531e-11 0 #avg: 3.58568e-11; avg_err: 1.12157e-12; sd: 1.62129e-10; counts: 20897
sfh 0.156873 0 3.07402e-11 0 #avg: 4.32036e-11; avg_err: 1.28305e-12; sd: 1.85471e-10; counts: 20897
sfh 0.161935 0 5.31069e-11 0 #avg: 5.18498e-11; avg_err: 1.51846e-12; sd: 2.19501e-10; counts: 20897
sfh 0.166998 0 7.14921e-11 0 #avg: 5.77006e-11; avg_err: 1.43047e-12; sd: 2.06781e-10; counts: 20897
