#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=1.002310 (z=-0.002305) stellar mass
#vmpeak range: 1.61667 - 1.78333
#HM    Stats: 1.732350e+10 (median) + 1.116180e+10  / - 6.157300e+09
#SM    Stats: 1.533460e+07 (median) + 2.118670e+07  / - 9.039800e+06
#ObsSM Stats: 1.553230e+07 (median) + 2.184330e+07  / - 9.219270e+06
#VMP   Stats: 5.034000e+01 (median) + 6.590000e+00  / - 6.009998e+00
#ICL   Stats: 0.000000e+00 (median) + 2.652400e+04  / - 0.000000e+00
#SSFR  Stats: 2.459433e-10 (median) + 2.987191e-10  / - 1.362593e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 709215
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 709215
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 709215
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 709215
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 709215
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 709215
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 709215
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 709215
sfh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 709215
sfh 0.078123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 709215
sfh 0.080373 0 0 0 #avg: 9.99555e-16; avg_err: 9.99555e-16; sd: 8.41773e-13; counts: 709215
sfh 0.082623 0 0 0 #avg: 4.00495e-15; avg_err: 2.60983e-15; sd: 2.19787e-12; counts: 709215
sfh 0.085998 0 0 0 #avg: 3.29964e-15; avg_err: 1.44242e-15; sd: 1.21473e-12; counts: 709215
sfh 0.089373 0 0 0 #avg: 1.23463e-14; avg_err: 2.99352e-15; sd: 2.52099e-12; counts: 709215
sfh 0.092748 0 0 0 #avg: 4.36938e-14; avg_err: 8.89108e-15; sd: 7.48761e-12; counts: 709215
sfh 0.096123 0 0 0 #avg: 7.58871e-14; avg_err: 9.97357e-15; sd: 8.39923e-12; counts: 709215
sfh 0.099498 0 0 0 #avg: 1.65652e-13; avg_err: 1.66117e-14; sd: 1.39895e-11; counts: 709215
sfh 0.102873 0 0 0 #avg: 3.29827e-13; avg_err: 2.70009e-14; sd: 2.27387e-11; counts: 709215
sfh 0.106248 0 0 0 #avg: 5.62523e-13; avg_err: 3.02382e-14; sd: 2.5465e-11; counts: 709215
sfh 0.109623 0 0 0 #avg: 9.7303e-13; avg_err: 3.8736e-14; sd: 3.26215e-11; counts: 709215
sfh 0.112998 0 0 0 #avg: 1.54454e-12; avg_err: 4.86403e-14; sd: 4.09623e-11; counts: 709215
sfh 0.116373 0 0 0 #avg: 2.12693e-12; avg_err: 5.22313e-14; sd: 4.39865e-11; counts: 709215
sfh 0.119748 0 0 0 #avg: 2.97431e-12; avg_err: 6.20661e-14; sd: 5.22689e-11; counts: 709215
sfh 0.123123 0 0 0 #avg: 3.89587e-12; avg_err: 6.79378e-14; sd: 5.72137e-11; counts: 709215
sfh 0.126498 0 0 0 #avg: 4.95088e-12; avg_err: 7.17339e-14; sd: 6.04106e-11; counts: 709215
sfh 0.129873 0 0 0 #avg: 6.39725e-12; avg_err: 8.54433e-14; sd: 7.19559e-11; counts: 709215
sfh 0.133248 0 0 0 #avg: 7.92905e-12; avg_err: 9.01695e-14; sd: 7.59361e-11; counts: 709215
sfh 0.136623 0 0 0 #avg: 9.90721e-12; avg_err: 9.75641e-14; sd: 8.21635e-11; counts: 709215
sfh 0.141685 0 0 0 #avg: 1.32463e-11; avg_err: 1.13681e-13; sd: 9.57366e-11; counts: 709215
sfh 0.146748 0 0 0 #avg: 1.71866e-11; avg_err: 1.26122e-13; sd: 1.06214e-10; counts: 709215
sfh 0.15181 0 0 0 #avg: 2.14747e-11; avg_err: 1.38884e-13; sd: 1.16961e-10; counts: 709215
sfh 0.156873 0 5.52778e-12 0 #avg: 2.65022e-11; avg_err: 1.57676e-13; sd: 1.32787e-10; counts: 709215
sfh 0.161935 0 1.88756e-11 0 #avg: 3.18518e-11; avg_err: 1.73952e-13; sd: 1.46493e-10; counts: 709215
sfh 0.166998 0 3.32127e-11 0 #avg: 3.69845e-11; avg_err: 1.82998e-13; sd: 1.54111e-10; counts: 709215
sfh 0.17206 0 4.75883e-11 0 #avg: 4.09866e-11; avg_err: 1.83766e-13; sd: 1.54758e-10; counts: 709215
sfh 0.177123 0 5.97856e-11 0 #avg: 4.28227e-11; avg_err: 1.75443e-13; sd: 1.47749e-10; counts: 709215
sfh 0.182185 0 6.85212e-11 0 #avg: 4.37856e-11; avg_err: 1.6672e-13; sd: 1.40403e-10; counts: 709215
sfh 0.187248 0 7.47488e-11 0 #avg: 4.49871e-11; avg_err: 1.60206e-13; sd: 1.34917e-10; counts: 709215
sfh 0.19231 0 7.99514e-11 0 #avg: 4.63596e-11; avg_err: 1.5773e-13; sd: 1.32832e-10; counts: 709215
sfh 0.197373 0 8.3637e-11 0 #avg: 4.75363e-11; avg_err: 1.55387e-13; sd: 1.30859e-10; counts: 709215
sfh 0.202435 1.54694e-12 8.50863e-11 1.54694e-12 #avg: 4.8791e-11; avg_err: 1.54675e-13; sd: 1.3026e-10; counts: 709215
sfh 0.207498 4.01669e-12 8.46574e-11 4.01669e-12 #avg: 4.96958e-11; avg_err: 1.50555e-13; sd: 1.2679e-10; counts: 709215
sfh 0.21256 6.65824e-12 8.44298e-11 6.65824e-12 #avg: 5.05248e-11; avg_err: 1.47667e-13; sd: 1.24357e-10; counts: 709215
sfh 0.217623 9.24386e-12 8.34355e-11 9.24386e-12 #avg: 5.12946e-11; avg_err: 1.43419e-13; sd: 1.2078e-10; counts: 709215
sfh 0.222685 1.12205e-11 7.68849e-11 1.12205e-11 #avg: 4.76616e-11; avg_err: 1.25882e-13; sd: 1.06011e-10; counts: 709215
sfh 0.227748 1.29871e-11 7.18056e-11 1.29871e-11 #avg: 4.56606e-11; avg_err: 1.14751e-13; sd: 9.66376e-11; counts: 709215
sfh 0.23281 1.44206e-11 6.80954e-11 1.44206e-11 #avg: 4.46126e-11; avg_err: 1.09446e-13; sd: 9.217e-11; counts: 709215
sfh 0.237873 1.56621e-11 6.50863e-11 1.56621e-11 #avg: 4.39398e-11; avg_err: 1.04246e-13; sd: 8.77909e-11; counts: 709215
