#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=1.002310 (z=-0.002305) stellar mass
#vmpeak range: 2.61667 - 2.78333
#HM    Stats: 3.226470e+13 (median) + 1.848530e+13  / - 9.044100e+12
#SM    Stats: 1.997150e+11 (median) + 1.072890e+11  / - 7.444000e+10
#ObsSM Stats: 1.948590e+11 (median) + 1.210700e+11  / - 7.345901e+10
#VMP   Stats: 4.637800e+02 (median) + 7.549002e+01  / - 3.870001e+01
#ICL   Stats: 2.649130e+10 (median) + 3.834070e+10  / - 1.756984e+10
#SSFR  Stats: 2.532666e-11 (median) + 7.951018e-11  / - 1.325865e-11
sfh 0.055623 0 0 0 #avg: 6.20829e-23; avg_err: 6.20683e-23; sd: 1.30786e-21; counts: 445
sfh 0.060123 0 0 0 #avg: 3.98985e-15; avg_err: 1.86907e-15; sd: 3.93838e-14; counts: 445
sfh 0.062373 0 0 0 #avg: 5.15057e-14; avg_err: 1.71502e-14; sd: 3.61377e-13; counts: 445
sfh 0.064623 0 1.51544e-14 0 #avg: 1.33324e-13; avg_err: 3.07388e-14; sd: 6.47707e-13; counts: 445
sfh 0.066873 0 3.48535e-13 0 #avg: 2.82878e-13; avg_err: 4.76996e-14; sd: 1.00509e-12; counts: 445
sfh 0.069123 0 9.31647e-13 0 #avg: 5.59725e-13; avg_err: 6.44036e-14; sd: 1.35707e-12; counts: 445
sfh 0.071373 4.69871e-14 1.81055e-12 4.69871e-14 #avg: 1.16437e-12; avg_err: 1.55732e-13; sd: 3.28148e-12; counts: 445
sfh 0.073623 2.28892e-13 2.85365e-12 2.28892e-13 #avg: 1.77353e-12; avg_err: 2.03477e-13; sd: 4.28752e-12; counts: 445
sfh 0.075873 5.68125e-13 3.95189e-12 5.68125e-13 #avg: 2.39621e-12; avg_err: 2.32976e-13; sd: 4.90911e-12; counts: 445
sfh 0.078123 8.58996e-13 5.60293e-12 8.25736e-13 #avg: 3.40391e-12; avg_err: 3.59578e-13; sd: 7.57678e-12; counts: 445
sfh 0.080373 1.5112e-12 6.44799e-12 1.39002e-12 #avg: 4.27822e-12; avg_err: 3.90331e-13; sd: 8.22479e-12; counts: 445
sfh 0.082623 2.09295e-12 6.81851e-12 1.76322e-12 #avg: 4.69867e-12; avg_err: 3.69392e-13; sd: 7.78356e-12; counts: 445
sfh 0.085998 3.48053e-12 8.98913e-12 2.55056e-12 #avg: 6.79494e-12; avg_err: 4.27208e-13; sd: 9.00184e-12; counts: 445
sfh 0.089373 4.63743e-12 1.1299e-11 2.97164e-12 #avg: 9.15945e-12; avg_err: 5.78509e-13; sd: 1.21899e-11; counts: 445
sfh 0.092748 7.03469e-12 1.33803e-11 4.56229e-12 #avg: 1.18475e-11; avg_err: 7.21129e-13; sd: 1.51951e-11; counts: 445
sfh 0.096123 8.77868e-12 1.83992e-11 5.3698e-12 #avg: 1.54506e-11; avg_err: 9.33209e-13; sd: 1.96639e-11; counts: 445
sfh 0.099498 1.14886e-11 2.15906e-11 6.81543e-12 #avg: 1.99111e-11; avg_err: 1.28313e-12; sd: 2.70372e-11; counts: 445
sfh 0.102873 1.40082e-11 2.54939e-11 8.19034e-12 #avg: 2.43911e-11; avg_err: 1.78031e-12; sd: 3.75135e-11; counts: 445
sfh 0.106248 1.74972e-11 2.60804e-11 1.04057e-11 #avg: 2.88485e-11; avg_err: 2.0135e-12; sd: 4.2427e-11; counts: 445
sfh 0.109623 2.16378e-11 2.99406e-11 1.30558e-11 #avg: 3.56374e-11; avg_err: 2.66151e-12; sd: 5.60815e-11; counts: 445
sfh 0.112998 2.3788e-11 3.5442e-11 1.31233e-11 #avg: 4.09171e-11; avg_err: 3.08163e-12; sd: 6.49339e-11; counts: 445
sfh 0.116373 2.66748e-11 4.41626e-11 1.44671e-11 #avg: 4.85725e-11; avg_err: 3.81378e-12; sd: 8.03614e-11; counts: 445
sfh 0.119748 3.16111e-11 4.92191e-11 1.84365e-11 #avg: 5.46913e-11; avg_err: 4.09604e-12; sd: 8.63088e-11; counts: 445
sfh 0.123123 3.63614e-11 4.78701e-11 2.15705e-11 #avg: 5.85422e-11; avg_err: 4.01871e-12; sd: 8.46795e-11; counts: 445
sfh 0.126498 3.69565e-11 6.28508e-11 2.08218e-11 #avg: 6.65396e-11; avg_err: 4.8205e-12; sd: 1.01574e-10; counts: 445
sfh 0.129873 4.06847e-11 6.79977e-11 2.23212e-11 #avg: 7.42049e-11; avg_err: 6.17424e-12; sd: 1.30099e-10; counts: 445
sfh 0.133248 4.59003e-11 6.93242e-11 2.63832e-11 #avg: 8.1408e-11; avg_err: 6.9137e-12; sd: 1.45681e-10; counts: 445
sfh 0.136623 4.95967e-11 7.27761e-11 2.70192e-11 #avg: 8.61829e-11; avg_err: 6.40401e-12; sd: 1.34941e-10; counts: 445
sfh 0.141685 5.19775e-11 9.50958e-11 2.70177e-11 #avg: 9.67254e-11; avg_err: 7.79154e-12; sd: 1.64178e-10; counts: 445
sfh 0.146748 6.22381e-11 1.05549e-10 3.55622e-11 #avg: 1.09963e-10; avg_err: 7.6987e-12; sd: 1.62222e-10; counts: 445
sfh 0.15181 7.01408e-11 1.23511e-10 4.12786e-11 #avg: 1.1982e-10; avg_err: 7.3871e-12; sd: 1.55656e-10; counts: 445
sfh 0.156873 7.68095e-11 1.46894e-10 4.43661e-11 #avg: 1.38823e-10; avg_err: 9.54661e-12; sd: 2.01159e-10; counts: 445
sfh 0.161935 8.52092e-11 1.42741e-10 4.94224e-11 #avg: 1.46257e-10; avg_err: 9.02391e-12; sd: 1.90146e-10; counts: 445
sfh 0.166998 9.64397e-11 1.60936e-10 5.58428e-11 #avg: 1.69776e-10; avg_err: 1.30112e-11; sd: 2.74163e-10; counts: 445
sfh 0.17206 1.01708e-10 2.02825e-10 5.59035e-11 #avg: 1.92654e-10; avg_err: 1.36682e-11; sd: 2.88008e-10; counts: 445
sfh 0.177123 1.13037e-10 2.28227e-10 6.47615e-11 #avg: 2.08277e-10; avg_err: 1.31065e-11; sd: 2.76172e-10; counts: 445
sfh 0.182185 1.35818e-10 2.68159e-10 8.17353e-11 #avg: 2.36878e-10; avg_err: 1.90958e-11; sd: 4.02373e-10; counts: 445
sfh 0.187248 1.42712e-10 3.06075e-10 8.53781e-11 #avg: 2.51401e-10; avg_err: 1.53237e-11; sd: 3.2289e-10; counts: 445
sfh 0.19231 1.54819e-10 2.88243e-10 9.58979e-11 #avg: 2.71703e-10; avg_err: 1.62522e-11; sd: 3.42455e-10; counts: 445
sfh 0.197373 1.65931e-10 3.02873e-10 1.07118e-10 #avg: 2.87401e-10; avg_err: 1.75278e-11; sd: 3.69334e-10; counts: 445
sfh 0.202435 1.83401e-10 2.84165e-10 1.18644e-10 #avg: 3.02667e-10; avg_err: 1.82084e-11; sd: 3.83675e-10; counts: 445
sfh 0.207498 1.88111e-10 2.9149e-10 1.17359e-10 #avg: 3.13252e-10; avg_err: 1.95488e-11; sd: 4.11919e-10; counts: 445
sfh 0.21256 2.02235e-10 3.35591e-10 1.28877e-10 #avg: 3.22257e-10; avg_err: 1.81921e-11; sd: 3.83331e-10; counts: 445
sfh 0.217623 2.15385e-10 3.83037e-10 1.38286e-10 #avg: 3.33972e-10; avg_err: 1.65229e-11; sd: 3.4816e-10; counts: 445
sfh 0.222685 2.25307e-10 3.65254e-10 1.43965e-10 #avg: 3.34681e-10; avg_err: 1.63894e-11; sd: 3.45346e-10; counts: 445
sfh 0.227748 2.33761e-10 3.9737e-10 1.40075e-10 #avg: 3.62441e-10; avg_err: 1.76827e-11; sd: 3.72597e-10; counts: 445
sfh 0.23281 2.65551e-10 3.91573e-10 1.69295e-10 #avg: 3.75006e-10; avg_err: 1.77029e-11; sd: 3.73023e-10; counts: 445
sfh 0.237873 2.74327e-10 4.55256e-10 1.75238e-10 #avg: 3.94753e-10; avg_err: 1.76793e-11; sd: 3.72526e-10; counts: 445
sfh 0.242935 2.74381e-10 4.88909e-10 1.70817e-10 #avg: 4.28137e-10; avg_err: 2.11489e-11; sd: 4.45635e-10; counts: 445
sfh 0.247998 2.84997e-10 5.36676e-10 1.58271e-10 #avg: 4.66025e-10; avg_err: 2.33164e-11; sd: 4.91307e-10; counts: 445
sfh 0.25306 3.01001e-10 4.82989e-10 1.73141e-10 #avg: 4.56284e-10; avg_err: 2.06917e-11; sd: 4.36002e-10; counts: 445
sfh 0.258123 3.06053e-10 4.93856e-10 1.79506e-10 #avg: 4.47059e-10; avg_err: 1.98191e-11; sd: 4.17615e-10; counts: 445
sfh 0.263185 3.32352e-10 4.77631e-10 2.00721e-10 #avg: 4.49969e-10; avg_err: 1.82654e-11; sd: 3.84877e-10; counts: 445
sfh 0.268248 3.67846e-10 5.20315e-10 2.29032e-10 #avg: 4.92866e-10; avg_err: 1.97225e-11; sd: 4.1558e-10; counts: 445
sfh 0.27331 3.7606e-10 4.61737e-10 2.33215e-10 #avg: 4.86187e-10; avg_err: 1.861e-11; sd: 3.92136e-10; counts: 445
sfh 0.278373 3.85596e-10 4.69632e-10 2.41817e-10 #avg: 4.9137e-10; avg_err: 1.90237e-11; sd: 4.00853e-10; counts: 445
sfh 0.283435 3.80153e-10 5.02794e-10 2.4808e-10 #avg: 4.88785e-10; avg_err: 1.8871e-11; sd: 3.97637e-10; counts: 445
sfh 0.288498 3.81534e-10 4.37992e-10 2.45963e-10 #avg: 4.73452e-10; avg_err: 1.74696e-11; sd: 3.68108e-10; counts: 445
sfh 0.29356 3.80483e-10 4.42266e-10 2.35924e-10 #avg: 4.73649e-10; avg_err: 1.76392e-11; sd: 3.71682e-10; counts: 445
sfh 0.298623 3.92996e-10 4.30267e-10 2.59552e-10 #avg: 4.85475e-10; avg_err: 1.80584e-11; sd: 3.80514e-10; counts: 445
sfh 0.303685 3.86706e-10 3.91082e-10 2.71227e-10 #avg: 4.59568e-10; avg_err: 1.73722e-11; sd: 3.66055e-10; counts: 445
sfh 0.308748 3.8918e-10 3.72867e-10 2.41387e-10 #avg: 4.62695e-10; avg_err: 1.60626e-11; sd: 3.3846e-10; counts: 445
sfh 0.31381 4.04103e-10 3.54314e-10 2.77433e-10 #avg: 4.52799e-10; avg_err: 1.61232e-11; sd: 3.39737e-10; counts: 445
sfh 0.318873 3.70126e-10 3.44116e-10 2.52716e-10 #avg: 4.34861e-10; avg_err: 1.61517e-11; sd: 3.40338e-10; counts: 445
sfh 0.323935 3.63025e-10 3.50022e-10 2.52669e-10 #avg: 4.18358e-10; avg_err: 1.55507e-11; sd: 3.27674e-10; counts: 445
sfh 0.328997 3.59917e-10 3.33541e-10 2.59263e-10 #avg: 4.10551e-10; avg_err: 1.44686e-11; sd: 3.04873e-10; counts: 445
sfh 0.33406 3.44781e-10 3.41927e-10 2.51847e-10 #avg: 3.98913e-10; avg_err: 1.45966e-11; sd: 3.0757e-10; counts: 445
sfh 0.339122 3.06715e-10 3.37836e-10 2.19851e-10 #avg: 3.72546e-10; avg_err: 1.43581e-11; sd: 3.02544e-10; counts: 445
sfh 0.344185 3.02179e-10 3.77989e-10 2.17605e-10 #avg: 3.77172e-10; avg_err: 1.50966e-11; sd: 3.18104e-10; counts: 445
