#Peak halo mass range: 10.125 < log10(Mh/Msun) < 10.375
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit halos in bin: 2.69057e+06
#Bestfit SF halos in bin: 2.69032e+06
#Bestfit Q halos in bin: 252
#Bestfit central halos in bin: 2.18712e+06
#Bestfit satellite halos in bin: 503445
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000000 0.057873
0.059561 5.50528e-09 2.54273e-07 4.95331e-09 5.50579e-09 2.54337e-07 4.95368e-09 0 0 0 0 0 0 2.94219e-08 1.30909e-06 2.66628e-08 0.057873 0.061248
0.062373 2.66229e-08 4.93302e-07 2.61711e-08 2.66254e-08 4.9083e-07 2.64447e-08 0 0 0 0 0 0 1.42281e-07 2.49646e-06 1.39867e-07 0.061248 0.063498
0.064623 2.62554e-08 5.08235e-07 1.05894e-08 2.62579e-08 5.06421e-07 1.09877e-08 0 0 0 0 0 0 1.40317e-07 2.5674e-06 5.67025e-08 0.063498 0.065748
0.066873 3.63734e-07 6.35151e-07 2.55959e-07 3.63768e-07 5.53698e-07 2.58197e-07 0 4.8616e-06 0 0 0 0 1.94391e-06 3.01158e-06 1.40735e-06 0.065748 0.067998
0.069123 1.39442e-06 1.65468e-06 1.03189e-06 1.39455e-06 1.48453e-06 1.03932e-06 0 2.57274e-05 0 0 0 0 7.45221e-06 8.08387e-06 5.66955e-06 0.067998 0.070248
0.071373 2.12325e-06 3.82007e-06 1.2863e-06 2.09155e-06 3.56099e-06 1.29354e-06 0.000340534 0 0.000340534 6.01809e-09 1.19797e-08 4.90079e-09 1.13212e-05 1.895e-05 7.09814e-06 0.070248 0.072498
0.073623 3.86445e-06 8.08987e-06 1.90044e-06 3.82561e-06 7.36482e-06 1.90941e-06 0.000418576 9.72699e-05 0.000418576 2.98571e-08 4.68359e-08 2.19384e-08 2.05231e-05 3.98479e-05 1.05812e-05 0.072498 0.074748
0.075873 7.29755e-06 1.63287e-05 2.80622e-06 7.18103e-06 1.51646e-05 3.01872e-06 0.00125126 0.000141113 0.00125126 5.45209e-08 7.30996e-08 3.71003e-08 3.87635e-05 7.74838e-05 1.63061e-05 0.074748 0.076998
0.078123 1.21393e-05 2.77866e-05 4.21015e-06 1.1944e-05 2.59179e-05 4.546e-06 0.00209726 -3.34643e-05 0.00207121 1.08231e-07 1.31474e-07 6.85777e-08 6.4406e-05 0.000129791 2.42323e-05 0.076998 0.079248
0.080373 1.8525e-05 3.94298e-05 5.67657e-06 1.82606e-05 3.70427e-05 6.44549e-06 0.00284159 -0.000106955 0.00278435 2.43454e-07 3.65382e-07 1.42335e-07 9.7946e-05 0.000190303 3.36696e-05 0.079248 0.081498
0.082904 2.68164e-05 5.41798e-05 7.74454e-06 2.58427e-05 5.16248e-05 7.37992e-06 0.0104218 -0.00207937 0.0103391 5.92496e-07 7.64852e-07 3.5434e-07 0.000140741 0.000249585 4.3598e-05 0.081498 0.084311
0.085998 4.04868e-05 8.70516e-05 7.33577e-06 3.97911e-05 8.39745e-05 6.98282e-06 0.00746765 -0.00072747 0.00726779 1.66652e-06 1.82656e-06 8.56735e-07 0.000209134 0.000417633 4.1535e-05 0.084311 0.087685
0.089373 6.62998e-05 0.000130423 1.08232e-05 6.51266e-05 0.00012501 1.06842e-05 0.0125908 -0.00154996 0.0121976 3.69607e-06 3.53809e-06 1.811e-06 0.00033827 0.000594133 6.40672e-05 0.087685 0.091061
0.092748 9.88622e-05 0.000183834 1.38736e-05 9.79355e-05 0.000178145 1.32156e-05 0.00999295 0.00150941 0.00916304 8.63597e-06 8.59361e-06 4.04196e-06 0.000490833 0.000853684 7.59868e-05 0.091061 0.094435
0.096123 0.000139433 0.000249484 1.7304e-05 0.000137567 0.000249445 1.61322e-05 0.0200558 -0.00149511 0.0187924 1.60148e-05 1.52292e-05 7.00745e-06 0.000675599 0.00109562 9.49034e-05 0.094435 0.097811
0.099498 0.000196788 0.000322832 2.30108e-05 0.000194818 0.000304375 2.16926e-05 0.0212363 -0.00084986 0.0197336 3.00323e-05 2.5597e-05 1.24196e-05 0.000921229 0.00142285 0.000116838 0.097811 0.101186
0.102873 0.000266778 0.000397508 2.68432e-05 0.000264976 0.000381189 2.5602e-05 0.0195078 0.00407717 0.0175418 5.42103e-05 4.25766e-05 2.1518e-05 0.00119024 0.00167469 0.000126223 0.101186 0.104560
0.106248 0.000351844 0.000489324 3.90911e-05 0.000349787 0.000476795 3.76662e-05 0.0223129 0.00121709 0.0199317 8.95292e-05 6.98341e-05 3.25085e-05 0.00149142 0.00198348 0.000164396 0.104560 0.107936
0.109623 0.000458791 0.000580454 4.85665e-05 0.000456584 0.00057953 4.82298e-05 0.0240301 0.00204751 0.0209587 0.000139533 0.000105074 4.49244e-05 0.00184575 0.00234092 0.000166513 0.107936 0.111310
0.112998 0.000573387 0.000688636 5.6049e-05 0.00057093 0.000686304 6.02782e-05 0.0268037 0.00168895 0.0227483 0.00020422 0.000144005 6.44622e-05 0.00217716 0.00273978 0.000117651 0.111310 0.114686
0.116373 0.000693647 0.000797627 4.2642e-05 0.000690953 0.000794567 7.38169e-05 0.0294562 0.00317469 0.0235618 0.00027609 0.000196992 7.62342e-05 0.00250764 0.0030338 9.62834e-05 0.114686 0.118060
0.119748 0.000814815 0.000922765 4.62906e-05 0.000812492 0.000920988 6.58232e-05 0.0256135 0.00525995 0.0200068 0.000354335 0.000247509 9.48923e-05 0.00281528 0.00335774 5.38121e-05 0.118060 0.121435
0.123123 0.000958086 0.00104389 6.17628e-05 0.000955676 0.0010405 6.86914e-05 0.0266871 0.00524616 0.0201835 0.00044759 0.000305969 0.000111708 0.00317584 0.00372711 6.30401e-05 0.121435 0.124811
0.126498 0.0011122 0.00112541 8.73276e-05 0.00110991 0.00112348 8.73965e-05 0.0255436 0.00773017 0.0173803 0.000553123 0.000375004 0.000133021 0.003541 0.00396315 0.000135862 0.124811 0.128185
0.129873 0.0012804 0.0012244 7.25096e-05 0.0012781 0.00121274 8.89258e-05 0.025834 0.00668156 0.0160746 0.000677341 0.000426388 0.000155783 0.0039003 0.00413069 6.81486e-05 0.128185 0.131561
0.133248 0.00146996 0.00128908 8.69504e-05 0.00146773 0.00128691 0.000136296 0.0252282 0.00810142 0.0133668 0.000818495 0.000469589 0.000169768 0.0043001 0.00432225 0.000113517 0.131561 0.134935
0.137045 0.0016584 0.00133305 0.000115417 0.00165565 0.00133125 0.000176487 0.0309509 0.00588987 0.0161497 0.000971802 0.000517928 0.000201204 0.00464119 0.00440124 0.000154135 0.134935 0.139154
0.141685 0.0019467 0.00139446 0.000126694 0.00194402 0.00138351 0.000177168 0.0305896 0.00635394 0.0130574 0.00122561 0.000676144 0.000219628 0.00507935 0.00436796 0.00020621 0.139154 0.144217
0.146748 0.00224819 0.00151517 0.000169088 0.00224565 0.00149187 0.000232103 0.0293738 0.00970436 0.00873782 0.00150325 0.000785957 0.000266498 0.00548446 0.00425611 0.000191376 0.144217 0.149279
0.151810 0.00254521 0.00166086 0.000240182 0.00254252 0.00164559 0.000292259 0.0313372 0.0106517 0.00728393 0.00178332 0.000908153 0.000317343 0.00585514 0.00431148 0.000269908 0.149279 0.154342
0.156873 0.00284072 0.0017603 0.000277592 0.00283769 0.00174266 0.000326814 0.0351867 0.00653731 0.00897888 0.00207185 0.00102794 0.000321909 0.00618094 0.00418225 0.000307688 0.154342 0.159404
0.161935 0.00310219 0.00179822 0.000297939 0.00309882 0.00178419 0.000305051 0.0390945 0.00779681 0.0114399 0.00234134 0.0010763 0.000388688 0.00640753 0.00417865 0.000313634 0.159404 0.164467
0.166998 0.003333 0.00176746 0.000377965 0.00332942 0.00174661 0.000385454 0.0415137 0.0066338 0.013675 0.0025846 0.00113664 0.000441683 0.00658429 0.00391634 0.000442293 0.164467 0.169529
0.172060 0.00344097 0.00164386 0.00040864 0.0034371 0.00163469 0.000477831 0.0447756 0.000572074 0.0187789 0.00272277 0.00117704 0.000474075 0.00656105 0.00348191 0.000558729 0.169529 0.174591
0.177123 0.00343242 0.00152484 0.000414268 0.0034289 0.00151889 0.000501238 0.0410056 -0.000520397 0.0189488 0.00274675 0.0010607 0.00054804 0.0064112 0.00319865 0.000575701 0.174591 0.179654
0.182185 0.00338892 0.00139243 0.000486072 0.00338441 0.00139367 0.000516949 0.0515369 -0.0111653 0.0317113 0.00273253 0.00105712 0.000560864 0.00624048 0.00280454 0.000658033 0.179654 0.184716
0.187248 0.00337464 0.00139566 0.000532292 0.00336654 0.00139337 0.000540877 0.0899191 -0.0359051 0.0717657 0.00274875 0.00104232 0.000600011 0.00609373 0.00253611 0.00065844 0.184716 0.189779
0.192310 0.00335161 0.00132725 0.000573656 0.00334298 0.00132338 0.000572341 0.0954906 -0.0396902 0.0794309 0.00275572 0.00103962 0.000615277 0.00594033 0.00239055 0.000658152 0.189779 0.194842
0.197373 0.00331235 0.00129984 0.000587722 0.0033055 0.00130051 0.000592666 0.076492 -0.0300083 0.0627552 0.00274846 0.000976279 0.000630114 0.00576209 0.00222616 0.000714317 0.194842 0.199904
0.202435 0.00327765 0.00121635 0.000602685 0.00327464 0.00121418 0.000613866 0.0353385 -0.00743509 0.0243599 0.00274367 0.000891173 0.000651981 0.00559739 0.00206081 0.000773246 0.199904 0.204967
0.207498 0.00323574 0.00114195 0.000641298 0.00323308 0.00112065 0.000645141 0.0316145 -0.00677964 0.0225132 0.00273518 0.000913131 0.000643325 0.00541033 0.00185604 0.000816589 0.204967 0.210029
0.212560 0.00320086 0.00107113 0.000680633 0.00319792 0.00104033 0.000680428 0.0345726 -0.00964567 0.0265631 0.00272488 0.000863518 0.000664847 0.00526864 0.00183137 0.000836989 0.210029 0.215091
0.217623 0.00316305 0.000980036 0.000706694 0.00315951 0.000975203 0.000704686 0.0409314 -0.0142439 0.0330571 0.00271602 0.000794424 0.000699238 0.00510506 0.00170473 0.000837011 0.215091 0.220154
0.222685 0.00299216 0.000841904 0.000674624 0.00298927 0.000838625 0.00067366 0.0339614 -0.0103135 0.0270998 0.00256057 0.000666312 0.000690331 0.00486715 0.00144622 0.000815859 0.220154 0.225217
0.227748 0.00287992 0.000723464 0.000662978 0.002877 0.000724738 0.000662207 0.0340674 -0.0107884 0.0276499 0.00246756 0.000602548 0.000691676 0.00467132 0.00133763 0.000809528 0.225217 0.230279
0.232810 0.0028109 0.000683425 0.000690366 0.00280805 0.000671282 0.000688189 0.0333112 -0.011162 0.0276858 0.00241988 0.000567337 0.000695604 0.00450965 0.00115796 0.000829235 0.230279 0.235342
0.237873 0.00275381 0.000659116 0.000694205 0.00275107 0.00065954 0.000692473 0.0319131 -0.0104243 0.0265843 0.00238031 0.000535983 0.000698876 0.00437637 0.0010856 0.000872295 0.235342 0.240404
0.242935 0.00271712 0.000608009 0.000712577 0.00271496 0.000606927 0.000712108 0.0257472 -0.00633176 0.020669 0.00236048 0.000511396 0.000709146 0.00426645 0.00101598 0.000932507 0.240404 0.245467
0.247998 0.00269018 0.000602445 0.000719586 0.00268873 0.000584608 0.000721267 0.0181877 -0.00274033 0.0137998 0.00234424 0.000506173 0.000720066 0.00419305 0.000961915 0.00094108 0.245467 0.250529
0.253060 0.00267999 0.000582373 0.000747363 0.00267868 0.000580914 0.000746761 0.0167366 -0.00251092 0.0127217 0.0023491 0.000505374 0.000736964 0.00411749 0.000922052 0.000989697 0.250529 0.255592
0.258123 0.00264944 0.000498377 0.00077343 0.00264791 0.000496976 0.000772589 0.0190038 -0.00378145 0.0151888 0.00233391 0.000453184 0.000749582 0.00402021 0.000875659 0.0009674 0.255592 0.260654
0.263185 0.00263787 0.000512503 0.000805939 0.00263619 0.000511897 0.00080481 0.0205548 -0.00534383 0.0169301 0.00233312 0.000440769 0.000765866 0.0039618 0.000799237 0.000985727 0.260654 0.265716
0.268248 0.00262427 0.000495406 0.000811891 0.00262283 0.000468735 0.000811053 0.0180218 -0.00396404 0.0146414 0.00233288 0.000453489 0.000790867 0.00389019 0.00075231 0.000987315 0.265716 0.270779
0.273310 0.00261163 0.000479673 0.000815038 0.00261012 0.000471017 0.000814061 0.0188019 -0.00479777 0.0154806 0.00233137 0.000431345 0.000799476 0.00382917 0.000759284 0.000973324 0.270779 0.275842
0.278373 0.00260507 0.000507504 0.000828548 0.00260339 0.000508296 0.000828695 0.0205733 -0.00637884 0.0174018 0.00233689 0.00046206 0.000806821 0.00377015 0.000744665 0.000991137 0.275842 0.280904
0.283435 0.00258725 0.000526297 0.000841586 0.00258585 0.000502515 0.000843433 0.0174734 -0.00399251 0.0145167 0.00232556 0.000449333 0.000833388 0.00372408 0.000745442 0.00101513 0.280904 0.285967
