#Peak halo mass range: 14.125 < log10(Mh/Msun) < 14.375
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit halos in bin: 236
#Bestfit SF halos in bin: 8
#Bestfit Q halos in bin: 228
#Bestfit central halos in bin: 218
#Bestfit satellite halos in bin: 18
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 1.70548e-07 0.0267291 1.7053e-07 0 0 0 1.76532e-07 0.0273231 1.76514e-07 1.84605e-07 0.0210536 1.84585e-07 3.10383e-10 0.0285713 3.09319e-10 0.000000 0.057873
0.059561 0.00939094 0.205947 0.00934456 0 0 0 0.00972044 0.212229 0.00967264 0.00956425 0.194621 0.0095189 0.00729191 0.300077 0.00721818 0.057873 0.061248
0.062373 0.049084 0.370149 0.0472387 0.0134664 0.00396793 0.013453 0.0503337 0.381523 0.0484823 0.0487837 0.312595 0.0470198 0.0527203 0.83405 0.0498908 0.061248 0.063498
0.064623 0.150482 0.48669 0.139097 0.0313487 0.00793644 0.0309251 0.154662 0.500961 0.142989 0.147849 0.468566 0.136463 0.182378 0.64942 0.168959 0.063498 0.065748
0.066873 0.343984 0.681268 0.298776 0.0971201 0.0100066 0.0917159 0.352646 0.697153 0.307027 0.325437 0.646692 0.280281 0.56861 0.9996 0.498028 0.065748 0.067998
0.069123 0.748377 0.678224 0.635855 0.187484 0.0893768 0.168019 0.768057 0.689502 0.654033 0.710862 0.673294 0.602385 1.20272 0.65597 1.05046 0.067998 0.070248
0.071373 1.26383 0.809111 0.989984 0.497763 0.191493 0.40366 1.29071 0.822613 1.01041 1.20442 0.795097 0.940843 1.98339 1.20582 1.57782 0.070248 0.072498
0.073623 1.78104 1.39561 1.21001 0.554367 0.31095 0.397466 1.82408 1.42448 1.24609 1.72813 1.40809 1.17553 2.42183 2.15844 1.69874 0.072498 0.074748
0.075873 2.58031 1.79145 1.60741 0.889884 0.553019 0.613591 2.63962 1.79436 1.65297 2.53448 1.7334 1.62065 3.13533 5.53678 1.72611 0.074748 0.076998
0.078123 3.59853 1.92177 2.04334 1.26384 0.629823 0.87352 3.68044 1.95261 2.08693 3.52377 1.97078 1.98551 4.50385 2.6942 2.73171 0.076998 0.079248
0.080373 4.57643 2.18974 2.30947 2.17497 0.750113 1.49809 4.66069 2.24896 2.35805 4.49008 2.06457 2.28654 5.6223 2.26866 3.2634 0.079248 0.081498
0.082904 5.19693 2.0052 2.48683 3.31003 0.3222 2.37649 5.26313 2.06049 2.51064 4.96499 1.95326 2.36141 8.00597 2.08796 4.4842 0.081498 0.084311
0.085998 7.45262 2.42235 3.1595 3.8083 0.818263 2.27952 7.58049 2.43745 3.22939 7.20014 2.47554 3.06084 10.5105 3.15505 4.99616 0.084311 0.087685
0.089373 9.52657 2.75325 3.88197 5.12667 1.39248 2.43994 9.68095 2.78415 3.95314 9.24692 2.41138 3.75324 12.9135 3.5285 5.21348 0.087685 0.091061
0.092748 12.5044 4.01063 4.07695 10.6208 3.75262 4.45052 12.5705 4.03716 4.12734 12.3459 4.15303 3.98837 14.4244 2.53634 5.83783 0.091061 0.094435
0.096123 16.0818 3.63074 5.27749 21.4146 6.5032 9.72561 15.8947 3.78958 5.18976 15.6239 3.93073 4.99446 21.6277 1.22579 9.49798 0.094435 0.097811
0.099498 20.6669 4.08483 6.82806 26.9206 5.59174 15.1843 20.4475 4.00755 6.58409 20.159 4.4708 6.41127 26.8181 0.651274 11.5356 0.097811 0.101186
0.102873 24.8857 4.17369 7.4691 27.6975 4.6244 14.8449 24.7871 4.38708 7.30721 23.8275 4.38132 6.74874 37.7016 1.65912 15.6961 0.101186 0.104560
0.106248 28.424 4.33282 7.7565 25.2465 2.82318 10.6271 28.5355 4.45571 7.62001 27.3549 4.64196 7.00402 41.3719 0.685173 17.138 0.104560 0.107936
0.109623 33.3072 4.54782 8.9659 26.294 2.97998 10.2971 33.5532 4.58493 9.03142 31.9973 5.3944 8.03862 49.1707 -0.64748 21.0532 0.107936 0.111310
0.112998 35.782 6.16933 8.01575 20.1648 2.78028 6.55693 36.3299 6.11728 8.1529 35.0586 6.63837 7.51924 44.5424 1.86253 14.333 0.111310 0.114686
0.116373 42.8403 6.4918 9.31805 21.7017 3.74449 7.11961 43.582 6.4331 9.5739 42.0004 7.22281 8.54279 53.0124 0.681034 18.14 0.114686 0.118060
0.119748 47.8121 5.9765 10.7346 22.949 2.87084 8.38801 48.6845 5.96902 10.9138 47.465 6.29496 10.5186 52.0157 2.88363 14.0352 0.118060 0.121435
0.123123 54.7242 6.37812 11.6245 28.2051 1.8735 8.70546 55.6547 6.28159 11.9436 54.2225 6.75375 10.974 60.8011 1.75461 17.702 0.121435 0.124811
0.126498 64.1991 6.14833 14.2692 40.5192 0.715302 12.7956 65.03 6.1369 14.3184 64.0528 6.61366 13.7995 65.9711 1.11642 20.8475 0.124811 0.128185
0.129873 72.8767 7.67039 16.3338 42.9963 -0.698662 15.3123 73.9251 7.70637 16.5268 72.5853 8.55563 15.9841 76.4054 3.39476 21.047 0.128185 0.131561
0.133248 81.3573 9.12685 17.8579 47.1333 -0.512024 18.5135 82.5581 9.34441 18.0907 80.1688 9.93008 17.2359 95.7514 4.07558 24.7825 0.131561 0.134935
0.137045 86.8347 8.85738 18.475 53.3798 1.35611 17.8058 88.0085 8.89129 18.6536 85.1338 8.4416 17.8793 107.435 8.84243 25.9584 0.134935 0.139154
0.141685 100.655 8.72447 20.9301 65.3878 4.22909 21.5286 101.892 8.89925 21.3337 97.2426 9.03177 20.5882 141.979 14.1321 31.0919 0.139154 0.144217
0.146748 111.571 6.3764 25.5349 74.4025 7.88698 18.2777 112.875 6.31702 26.0343 109.861 6.67319 25.0208 132.283 5.82616 32.6455 0.144217 0.149279
0.151810 126.968 4.59538 29.769 88.2611 14.3176 23.8621 128.326 4.36967 30.5646 127.021 5.06982 30.0227 126.328 5.21279 31.7476 0.149279 0.154342
0.156873 136.996 8.93265 29.6571 91.5369 16.8576 22.7244 138.591 8.92343 30.0363 136.298 8.74353 29.414 145.443 14.7973 28.5427 0.154342 0.159404
0.161935 147.666 11.2912 30.2126 99.9462 10.5174 30.6669 149.34 11.3466 30.626 146.66 11.4713 30.2225 159.845 13.2018 34.5058 0.159404 0.164467
0.166998 159.144 14.7064 31.5447 86.9232 3.92133 25.7544 161.678 15.2822 32.3308 157.921 15.0199 31.3759 173.95 20.527 34.0015 0.164467 0.169529
0.172060 179.291 21.1036 33.3441 96.5524 3.91069 30.5223 182.194 22.2576 34.101 176.703 21.4724 32.3593 210.632 22.9845 44.9552 0.169529 0.174591
0.177123 189.04 25.9688 34.241 121.135 16.1553 33.9918 191.423 25.8596 33.9277 186.641 26.0039 34.6293 218.105 35.0241 40.5761 0.174591 0.179654
0.182185 209.064 23.4278 39.9957 175.951 23.3607 42.5256 210.226 24.0767 39.591 206.563 24.0526 38.8755 239.348 28.6279 50.3533 0.179654 0.184716
0.187248 217.832 29.4784 38.1418 250.122 38.1307 48.3319 216.699 30.2306 36.5339 217.381 28.407 37.8783 223.294 42.338 41.8546 0.184716 0.189779
0.192310 228.53 32.0092 39.4583 274.655 72.9673 39.7253 226.912 30.6731 39.934 228.045 32.2296 40.2394 234.404 29.2037 53.1826 0.189779 0.194842
0.197373 233.547 38.0842 36.1956 241.047 68.4793 39.2858 233.284 37.2222 36.3815 232.601 38.7505 35.0207 245.006 35.2744 50.1849 0.194842 0.199904
0.202435 239.317 44.6658 35.6192 212.114 43.7319 35.0733 240.272 44.362 35.9333 236.579 45.0117 34.33 272.481 46.5208 57.9365 0.199904 0.204967
0.207498 247.692 43.8171 38.3741 213.498 32.3717 42.5392 248.892 44.8814 38.7381 242.958 45.5334 36.7504 305.035 51.9863 69.4152 0.204967 0.210029
0.212560 244.074 46.3145 36.1597 237.314 32.3552 55.1749 244.311 47.6852 34.7919 239.042 46.6708 32.949 305.02 57.0939 64.7988 0.210029 0.215091
0.217623 243.831 55.3416 33.0827 224.29 18.0187 61.3996 244.516 55.8472 32.264 240.436 54.4894 31.8502 284.945 78.9181 40.5414 0.215091 0.220154
0.222685 237.205 58.6536 31.2657 161.538 11.3466 49.8571 239.86 59.5759 31.758 235.166 57.1361 30.3443 261.892 78.2058 43.4931 0.220154 0.225217
0.227748 232.999 54.6021 31.6496 203.722 27.3576 59.1078 234.027 55.4006 31.9693 231.67 54.1982 31.0863 249.099 70.6461 37.451 0.225217 0.230279
0.232810 225.552 56.0897 31.4369 232.124 12.9461 90.2074 225.322 58.1891 30.3334 225.859 56.9706 31.2484 221.841 57.1486 34.1359 0.230279 0.235342
0.237873 234.996 52.3968 34.652 195.959 2.31894 66.535 236.366 54.3899 33.4893 234.579 54.3452 33.7824 240.05 41.4754 55.8582 0.235342 0.240404
