#Peak halo mass range: 9.375 < log10(Mh/Msun) < 9.625
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit halos in bin: 1.09868e+06
#Bestfit SF halos in bin: 1.09860e+06
#Bestfit Q halos in bin: 79
#Bestfit central halos in bin: 948321
#Bestfit satellite halos in bin: 150363
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000000 0.057873
0.059561 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057873 0.061248
0.062373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.061248 0.063498
0.064623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.063498 0.065748
0.066873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.065748 0.067998
0.069123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.067998 0.070248
0.071373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.070248 0.072498
0.073623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.072498 0.074748
0.075873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.074748 0.076998
0.078123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.076998 0.079248
0.080373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.079248 0.081498
0.082904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.081498 0.084311
0.085998 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.084311 0.087685
0.089373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.087685 0.091061
0.092748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.091061 0.094435
0.096123 0 1.25398e-09 0 0 0 0 0 4.73862e-06 0 0 9.99649e-10 0 0 0 0 0.094435 0.097811
0.099498 0 3.53748e-09 0 0 0 0 0 1.39887e-05 0 0 3.01811e-09 0 0 0 0 0.097811 0.101186
0.102873 1.20533e-07 4.19704e-08 1.20533e-07 1.20542e-07 3.56115e-08 1.20542e-07 0 5.30698e-05 0 0 1.20717e-08 0 8.80724e-07 2.3988e-07 8.80724e-07 0.101186 0.104560
0.106248 1.53596e-07 4.71736e-08 1.53098e-07 1.53355e-07 4.81159e-08 1.53355e-07 3.49837e-06 3.33212e-05 3.48693e-06 2.91432e-10 7.91296e-09 1.86608e-10 1.12047e-06 3.02121e-07 1.12047e-06 0.104560 0.107936
0.109623 2.52368e-07 8.12807e-08 2.44726e-07 2.50705e-07 8.05796e-08 2.46793e-07 2.33819e-05 3.8241e-05 2.32451e-05 2.17469e-09 9.04237e-09 9.1976e-10 1.83031e-06 5.28491e-07 1.80306e-06 0.107936 0.111310
0.112998 1.55917e-07 5.4521e-08 1.35601e-07 1.49746e-07 4.48047e-08 1.41944e-07 8.59756e-05 5.19185e-05 7.80199e-05 1.02145e-08 1.72351e-08 3.42113e-09 1.07485e-06 2.8802e-07 1.04408e-06 0.111310 0.114686
0.116373 2.29167e-07 8.17335e-08 1.66479e-07 2.20803e-07 4.86025e-08 1.82392e-07 0.000116533 0.000181917 0.000105735 3.28516e-08 3.70233e-08 1.06392e-08 1.4673e-06 3.58385e-07 1.28727e-06 0.114686 0.118060
