#Observed stellar mass range: 10 < log10(M*/Msun) < 10.2
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of 0.0018279 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 57294
#Bestfit SF galaxies in bin: 39356
#Bestfit Q galaxies in bin: 17938
#Bestfit central galaxies in bin: 39076
#Bestfit satellite galaxies in bin: 18218
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000000 0.057873
0.059561 6.23247e-06 2.93508e-05 6.21497e-06 2.10395e-06 1.14572e-06 2.10395e-06 1.52904e-05 8.99615e-05 1.52684e-05 9.13428e-06 1.07132e-06 9.12722e-06 8.33267e-09 7.11886e-05 7.43053e-09 0.057873 0.061248
0.062373 3.01087e-05 8.86828e-05 2.93565e-05 1.40671e-05 2.40894e-05 1.36949e-05 6.53041e-05 0.000213637 6.45641e-05 3.47714e-05 1.7075e-05 3.44908e-05 2.01076e-05 0.000198539 1.90657e-05 0.061248 0.063498
0.064623 0.000112461 0.000207243 0.000101115 6.84761e-05 7.33708e-05 6.43314e-05 0.000208964 0.000474959 0.000186453 9.58687e-05 7.50933e-05 8.97127e-05 0.00014805 0.000436928 0.000128015 0.063498 0.065748
0.066873 0.000350302 0.00020416 0.000311482 0.000222159 0.000172127 0.000191424 0.000631449 0.000384469 0.00056359 0.000306398 0.00013408 0.000279464 0.000444474 0.000402648 0.000379404 0.065748 0.067998
0.069123 0.000825225 0.000305575 0.000684448 0.000430438 0.000361361 0.000336185 0.00169139 0.000286635 0.00147147 0.000673874 0.000158308 0.000575653 0.00114986 0.000541175 0.000925567 0.067998 0.070248
0.071373 0.00149073 0.000668865 0.00112422 0.000935505 0.000591342 0.000679927 0.00270889 0.000882969 0.00210412 0.0011412 0.000215933 0.000909848 0.00224045 0.00133374 0.00162004 0.070248 0.072498
0.073623 0.00257489 0.0011746 0.00173598 0.00169194 0.00110069 0.00110565 0.0045121 0.00148198 0.00307641 0.0017988 0.000730158 0.00131272 0.00423954 0.00234409 0.00277014 0.072498 0.074748
0.075873 0.00358611 0.00210146 0.00222274 0.00245694 0.001737 0.00154038 0.00606352 0.00312668 0.00365199 0.00234684 0.00133738 0.00154832 0.00624425 0.00329214 0.00381581 0.074748 0.076998
0.078123 0.00503671 0.00351143 0.00285362 0.00352173 0.00258573 0.00197012 0.00836055 0.00545109 0.00468557 0.00332752 0.00234992 0.00194868 0.00870275 0.00569296 0.00477984 0.076998 0.079248
