#Observed stellar mass range: 8.2 < log10(M*/Msun) < 8.4
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.00854337 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 223515
#Bestfit SF galaxies in bin: 219395
#Bestfit Q galaxies in bin: 4120
#Bestfit central galaxies in bin: 146534
#Bestfit satellite galaxies in bin: 76981
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000000 0.057873
0.059561 6.49412e-08 2.75046e-07 6.49201e-08 6.61607e-08 2.47547e-07 6.61394e-08 0 0 0 0 0 0 1.88557e-07 6.43469e-07 1.88504e-07 0.057873 0.061248
0.062373 3.14013e-07 6.80987e-07 3.14007e-07 3.1991e-07 5.02008e-07 3.19906e-07 0 0 0 0 0 0 9.1174e-07 1.56977e-06 9.11723e-07 0.061248 0.063498
0.064623 2.84786e-07 1.18261e-06 2.70628e-07 2.90134e-07 9.26195e-07 2.79176e-07 0 0 0 0 5.6565e-07 0 8.2688e-07 2.12313e-06 7.98613e-07 0.063498 0.065748
0.066873 2.91108e-06 3.94803e-06 2.31426e-06 2.96575e-06 3.2434e-06 2.39841e-06 0 1.11635e-06 0 0 1.99427e-06 -1.79357e-08 8.45236e-06 5.04365e-06 7.44934e-06 0.065748 0.067998
0.069123 1.07455e-05 9.66364e-06 7.74631e-06 1.09313e-05 9.11374e-06 7.98922e-06 8.48787e-07 1.03547e-05 7.58379e-07 4.79125e-07 6.935e-06 -1.7171e-07 3.02875e-05 1.27076e-05 2.44124e-05 0.067998 0.070248
0.071373 2.47403e-05 2.54748e-05 1.35875e-05 2.50577e-05 2.50116e-05 1.37409e-05 7.84058e-06 4.04201e-05 6.5018e-06 3.26306e-06 1.08045e-05 4.99591e-07 6.56224e-05 4.26444e-05 4.25721e-05 0.070248 0.072498
0.073623 3.5625e-05 5.45183e-05 1.46328e-05 3.54681e-05 5.09603e-05 1.45868e-05 4.39806e-05 0.000166675 2.96604e-05 6.31871e-06 2.13343e-05 2.9018e-07 9.14098e-05 9.76229e-05 5.13013e-05 0.072498 0.074748
0.075873 6.50687e-05 9.42623e-05 2.99666e-05 6.36752e-05 8.86855e-05 2.9443e-05 0.000139275 0.000220713 9.19302e-05 1.70406e-05 2.91789e-05 6.56476e-06 0.000156491 0.000175645 8.4521e-05 0.074748 0.076998
0.078123 0.000102441 0.000177841 4.5057e-05 9.80644e-05 0.000165886 4.22752e-05 0.000335518 0.000414011 0.000197788 3.60193e-05 5.13847e-05 1.96786e-05 0.000228876 0.000341493 0.000105122 0.076998 0.079248
