#Observed stellar mass range: 8.2 < log10(M*/Msun) < 8.4
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of 0.00160568 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 276792
#Bestfit SF galaxies in bin: 262253
#Bestfit Q galaxies in bin: 14539
#Bestfit central galaxies in bin: 196353
#Bestfit satellite galaxies in bin: 80439
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000000 0.057873
0.059561 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057873 0.061248
0.062373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.061248 0.063498
0.064623 0 1.30474e-07 0 0 1.14261e-07 0 0 0 0 0 0 0 0 3.58874e-07 0 0.063498 0.065748
0.066873 0 1.43552e-07 0 0 8.25559e-08 0 0 1.06162e-06 0 0 0 0 0 4.09919e-07 0 0.065748 0.067998
0.069123 6.78189e-07 8.19415e-07 5.84509e-07 7.15787e-07 4.27121e-07 6.39023e-07 0 9.47884e-06 0 3.61678e-07 2.06839e-07 3.61678e-07 1.4508e-06 1.84869e-06 1.25124e-06 0.067998 0.070248
0.071373 1.61187e-06 2.30791e-06 1.15168e-06 1.68443e-06 2.06438e-06 1.26253e-06 3.03011e-07 1.60852e-05 -1.29167e-07 3.94782e-07 4.81733e-07 3.57745e-07 4.5828e-06 5.40873e-06 3.4444e-06 0.070248 0.072498
0.073623 1.92365e-06 5.1077e-06 1.03728e-06 1.66047e-06 3.20693e-06 9.27946e-07 6.67082e-06 4.5562e-05 3.65683e-06 1.90022e-07 4.04275e-07 1.47979e-07 6.15546e-06 1.32594e-05 3.49467e-06 0.072498 0.074748
0.075873 4.46959e-06 1.15102e-05 1.96733e-06 2.72046e-06 6.50599e-06 1.24834e-06 3.60202e-05 0.000125022 1.78008e-05 1.32992e-06 1.57712e-06 8.83513e-07 1.21336e-05 2.93237e-05 6.17428e-06 0.074748 0.076998
0.078123 9.17549e-06 2.22119e-05 2.44473e-06 7.26512e-06 1.42232e-05 3.44587e-06 4.36347e-05 0.000212898 5.76159e-06 2.7571e-06 3.9026e-06 1.43898e-06 2.48429e-05 5.52346e-05 7.88364e-06 0.076998 0.079248
0.080373 1.67014e-05 3.91299e-05 4.35547e-06 1.38952e-05 2.7022e-05 5.32232e-06 6.7319e-05 0.000252904 7.9089e-07 5.82145e-06 9.7359e-06 2.37721e-06 4.32597e-05 8.66988e-05 1.23657e-05 0.079248 0.081498
0.082904 2.39574e-05 4.91292e-05 5.73085e-06 2.02197e-05 3.72405e-05 6.88576e-06 9.13765e-05 0.000339509 0 9.53248e-06 1.34279e-05 4.52894e-06 5.91688e-05 0.000114681 1.61611e-05 0.081498 0.084311
0.085998 6.18363e-05 9.61536e-05 1.5683e-05 5.40133e-05 8.06733e-05 1.66914e-05 0.000202946 0.000472428 4.03184e-05 3.16973e-05 3.88344e-05 1.20334e-05 0.000135406 0.000195585 3.9304e-05 0.084311 0.087685
0.089373 0.00013341 0.000185219 3.95924e-05 0.000116162 0.000160624 3.63479e-05 0.000444524 0.000748207 0.000103029 6.74493e-05 7.98169e-05 2.4938e-05 0.00029442 0.000361005 9.63322e-05 0.087685 0.091061
