#Observed stellar mass range: 8.8 < log10(M*/Msun) < 9
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.0184701 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 34640
#Bestfit SF galaxies in bin: 34615
#Bestfit Q galaxies in bin: 25
#Bestfit central galaxies in bin: 28510
#Bestfit satellite galaxies in bin: 6130
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 3.37794e-08 5.48177e-05 3.37763e-08 3.38037e-08 4.31136e-05 3.38007e-08 0 0 0 4.10404e-08 4.13299e-05 4.10367e-08 8.72607e-12 7.45068e-05 8.72607e-12 0.000000 0.057873
0.059561 9.33505e-05 0.000671198 9.24847e-05 9.34179e-05 0.000589509 9.2552e-05 0 0.000346269 0 9.29592e-05 0.000472207 9.1972e-05 9.517e-05 0.00132958 9.48213e-05 0.057873 0.061248
0.062373 0.000592125 0.0015265 0.000573571 0.000591769 0.001413 0.000573211 0.00108548 0.00158062 0.00108548 0.000517834 0.00100028 0.000502768 0.000937643 0.00332589 0.00089173 0.061248 0.063498
0.064623 0.00192707 0.00251543 0.00179142 0.00192738 0.00251525 0.00179174 0.00148963 0.00518639 0.00148963 0.00181353 0.001802 0.00168688 0.00245512 0.00541355 0.00229375 0.063498 0.065748
0.066873 0.00467616 0.00320385 0.00422587 0.00467317 0.00320911 0.00422418 0.00881268 0.0032265 0.00881268 0.00437377 0.00243209 0.0039827 0.00608252 0.00661084 0.00549756 0.065748 0.067998
0.069123 0.0100819 0.00330768 0.00859696 0.0100608 0.00333238 0.00858578 0.0392386 -0.0116945 0.0392386 0.00943888 0.00249478 0.00809928 0.0130725 0.00813628 0.0110498 0.067998 0.070248
0.071373 0.0159341 0.00616929 0.0125229 0.0158868 0.00614311 0.0124757 0.0813724 -0.0299162 0.0813724 0.0150141 0.00477724 0.0119066 0.0202128 0.0107486 0.0153819 0.070248 0.072498
0.073623 0.0245884 0.00883079 0.0172438 0.024542 0.00887809 0.0172057 0.0888473 -0.0167169 0.0888473 0.0232784 0.00724245 0.0165802 0.0306811 0.0178298 0.0210009 0.072498 0.074748
0.075873 0.032491 0.0166782 0.020627 0.0323844 0.0166547 0.0205201 0.179991 -0.0729083 0.179991 0.0305623 0.0154917 0.0197352 0.041461 0.028006 0.0251418 0.074748 0.076998
0.078123 0.0444548 0.0254609 0.0254822 0.0443242 0.0253511 0.0253512 0.225263 -0.0941258 0.225263 0.0419617 0.0230702 0.0244442 0.0560497 0.0373976 0.0312356 0.076998 0.079248
0.080373 0.058347 0.0285376 0.0312049 0.0582169 0.0277157 0.031074 0.23846 -0.0869139 0.23846 0.0547205 0.0272365 0.0296268 0.0752138 0.0404421 0.039526 0.079248 0.081498
0.082904 0.0671171 0.0346728 0.0331372 0.067001 0.0347914 0.0330783 0.227773 -0.035324 0.227773 0.064283 0.031225 0.0323906 0.0802979 0.0535282 0.0376465 0.081498 0.084311
0.085998 0.096134 0.0513614 0.0439125 0.0956644 0.0491946 0.0434414 0.746362 -0.386079 0.746362 0.0904064 0.0467903 0.0417767 0.122772 0.0698935 0.0510244 0.084311 0.087685
