#Observed stellar mass range: 8.8 < log10(M*/Msun) < 9
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of 0.00405033 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 160240
#Bestfit SF galaxies in bin: 141554
#Bestfit Q galaxies in bin: 18686
#Bestfit central galaxies in bin: 105846
#Bestfit satellite galaxies in bin: 54394
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000000 0.057873
0.059561 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057873 0.061248
0.062373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.061248 0.063498
0.064623 1.05768e-06 2.32828e-07 1.04783e-06 1.1973e-06 1.99415e-07 1.18609e-06 0 0 0 0 0 0 3.11583e-06 1.58451e-07 3.08866e-06 0.063498 0.065748
0.066873 6.60649e-07 9.38095e-07 6.08966e-07 7.47859e-07 6.64286e-07 7.07105e-07 0 1.35127e-06 0 0 1.13633e-07 0 1.94621e-06 2.18956e-06 1.86068e-06 0.065748 0.067998
0.069123 2.55132e-06 4.5425e-06 2.06429e-06 2.73288e-06 3.6935e-06 2.2763e-06 1.17592e-06 5.98083e-06 7.89198e-07 6.01556e-07 1.22756e-06 4.88586e-07 6.34539e-06 8.479e-06 5.40183e-06 0.067998 0.070248
0.071373 6.60118e-06 8.59473e-06 4.52794e-06 4.08719e-06 6.78486e-06 2.81398e-06 2.56456e-05 3.83028e-05 1.72122e-05 6.31954e-07 1.94783e-06 4.10032e-07 1.82168e-05 1.70314e-05 1.32985e-05 0.070248 0.072498
0.073623 1.30665e-05 2.14162e-05 7.6756e-06 7.92213e-06 1.56077e-05 4.55198e-06 5.20375e-05 9.5648e-05 3.24232e-05 3.33974e-06 5.13942e-06 2.1708e-06 3.1994e-05 4.75495e-05 1.94861e-05 0.072498 0.074748
0.075873 4.29349e-05 4.40607e-05 2.46264e-05 3.10666e-05 3.38444e-05 1.81384e-05 0.000132842 0.000162839 7.66222e-05 1.24629e-05 1.31613e-05 8.11015e-06 0.000102231 9.25637e-05 6.34229e-05 0.074748 0.076998
0.078123 8.86982e-05 8.86106e-05 4.51857e-05 6.02315e-05 7.48782e-05 2.93415e-05 0.000304345 0.0002803 0.0001639 3.18863e-05 3.21046e-05 1.75163e-05 0.000199249 0.000173201 0.000109446 0.076998 0.079248
0.080373 0.000166466 0.000174837 7.90766e-05 0.000122442 0.000154165 5.86923e-05 0.000499969 0.000494073 0.000210861 7.23401e-05 8.00561e-05 3.73487e-05 0.000349628 0.000315686 0.000177803 0.079248 0.081498
0.082904 0.000272128 0.000299966 0.000114685 0.000205477 0.000267923 8.97755e-05 0.000777037 0.000677461 0.000332086 0.000141723 0.000146082 6.99041e-05 0.000525886 0.000515353 0.000227904 0.081498 0.084311
0.085998 0.00056841 0.000625708 0.000221194 0.000451643 0.000554163 0.000162395 0.00145297 0.0011941 0.000557628 0.000294655 0.000305453 0.000120736 0.00110112 0.00105675 0.000446348 0.084311 0.087685
0.089373 0.000931503 0.000954292 0.000307083 0.000819333 0.00085071 0.00026788 0.00178124 0.00187148 0.000589517 0.000560146 0.000560067 0.000201838 0.00165413 0.00160571 0.000576788 0.087685 0.091061
