#Observed stellar mass range: 9 < log10(M*/Msun) < 9.2
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.0175812 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 35040
#Bestfit SF galaxies in bin: 34877
#Bestfit Q galaxies in bin: 163
#Bestfit central galaxies in bin: 27949
#Bestfit satellite galaxies in bin: 7091
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0 2.72699e-06 0 0 1.96643e-06 0 0 0 0 0 1.00492e-11 0 0 8.5407e-06 0 0.000000 0.057873
0.059561 4.20518e-05 0.000553708 4.14808e-05 4.2248e-05 0.000497194 4.1677e-05 6.74203e-08 0.000518588 6.74203e-08 3.30723e-05 0.000249704 3.2841e-05 7.74441e-05 0.00160434 7.55648e-05 0.057873 0.061248
0.062373 0.000315902 0.00118916 0.000302047 0.000311495 0.0011051 0.000297639 0.00125885 0.00191249 0.00125885 0.000258558 0.000699113 0.000249528 0.000541922 0.00338708 0.000497212 0.061248 0.063498
0.064623 0.00124286 0.00302293 0.00111473 0.00120971 0.00288989 0.00108157 0.0083365 0.0057888 0.0083365 0.00104664 0.00192993 0.000952216 0.00201625 0.00687566 0.0017481 0.063498 0.065748
0.066873 0.00347721 0.0045321 0.00303885 0.00338732 0.00454954 0.00294887 0.0227105 0.00154205 0.0227105 0.0030632 0.00311597 0.00273135 0.005109 0.00963163 0.00433266 0.065748 0.067998
0.069123 0.00754576 0.00501881 0.00621261 0.00737636 0.00470296 0.00607581 0.0437925 -0.00624098 0.0437925 0.00631534 0.00361651 0.00519959 0.0123954 0.00823076 0.0103526 0.067998 0.070248
0.071373 0.0130611 0.00614033 0.010073 0.0129107 0.00585767 0.00992254 0.0452455 0.00751959 0.0452455 0.0110565 0.00483289 0.00836197 0.0209621 0.0105661 0.0166633 0.070248 0.072498
0.073623 0.0192736 0.00953156 0.0132488 0.0190931 0.00875063 0.0130682 0.0579006 0.0119141 0.0579006 0.0167046 0.00760171 0.0112536 0.0293992 0.0146983 0.0207407 0.072498 0.074748
0.075873 0.028319 0.0157124 0.0174236 0.0279959 0.0151501 0.0171045 0.0974506 0.022445 0.0974506 0.0251378 0.0138109 0.0155194 0.0408577 0.0226906 0.0258122 0.074748 0.076998
0.078123 0.0383027 0.0238847 0.0213464 0.0379841 0.0211579 0.0210633 0.106474 0.0515533 0.106474 0.0352563 0.0202646 0.0197382 0.05031 0.035425 0.0277508 0.076998 0.079248
0.080373 0.0489908 0.0290012 0.0251116 0.0486358 0.0278616 0.0247701 0.124964 0.117739 0.124964 0.0453714 0.0263798 0.0236542 0.0632568 0.0429542 0.0328854 0.079248 0.081498
0.082904 0.057493 0.0320796 0.0284572 0.0572601 0.0309502 0.0282242 0.107339 0.097297 0.107339 0.0535983 0.0284891 0.0265645 0.0728439 0.0430094 0.0349449 0.081498 0.084311
0.085998 0.0819199 0.0447897 0.0341976 0.0814899 0.0450181 0.0338227 0.173919 0.139842 0.173919 0.0754634 0.042567 0.0318727 0.107368 0.0589474 0.0406162 0.084311 0.087685
0.089373 0.109171 0.0534047 0.0393855 0.108599 0.0528048 0.0392624 0.231561 0.120799 0.231561 0.101093 0.0473676 0.0377727 0.141013 0.0683617 0.0478523 0.087685 0.091061
