#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.552457 0.191304 0.482932 -7.209354 0.191304 0.482933 1.566799 0.182541 0.525745 -7.195013 0.182539 0.525748 8.625 8.875 81033
9 2.148245 0.133678 0.457680 -6.864486 0.133678 0.457680 2.161738 0.130662 0.501551 -6.850990 0.130659 0.501553 8.875 9.125 140927
9.25 2.902182 0.120293 0.411990 -6.366952 0.120287 0.412002 2.915593 0.116791 0.448978 -6.353542 0.116786 0.448990 9.125 9.375 590220
9.5 3.971531 0.136626 0.331583 -5.555388 0.136571 0.331720 3.984921 0.125240 0.362688 -5.542001 0.125225 0.362812 9.375 9.625 2.06763e+06
9.75 5.084702 0.112450 0.242558 -4.666405 0.112347 0.242717 5.098165 0.109932 0.269154 -4.652941 0.109832 0.269359 9.625 9.875 4.21908e+06
10 5.934463 0.092449 0.174097 -4.056976 0.092399 0.174256 5.948012 0.088601 0.196777 -4.043420 0.088558 0.196836 9.875 10.125 4.05878e+06
10.25 6.567544 0.077926 0.122105 -3.673330 0.077762 0.122686 6.580950 0.070371 0.148020 -3.659926 0.070320 0.148716 10.125 10.375 2.68513e+06
10.5 7.092579 0.071176 0.083934 -3.399139 0.071205 0.084796 7.106075 0.068193 0.112163 -3.385641 0.067539 0.112697 10.375 10.625 1.65544e+06
10.75 7.578968 0.052111 0.067951 -3.160399 0.052212 0.067864 7.592263 0.054798 0.101673 -3.147101 0.054955 0.101526 10.625 10.875 997307
11 8.061686 0.024662 0.059709 -2.926643 0.024906 0.059409 8.075369 0.040925 0.096630 -2.912960 0.041032 0.096586 10.875 11.125 561421
11.25 8.548537 0.003776 0.050044 -2.689234 0.003843 0.049750 8.561711 0.031129 0.097175 -2.676059 0.031198 0.096946 11.125 11.375 310512
11.5 9.043021 0.003192 0.042258 -2.444604 0.003271 0.041972 9.056279 0.030439 0.097771 -2.431347 0.030487 0.097612 11.375 11.625 172232
11.75 9.566751 0.003585 0.046581 -2.170866 0.003704 0.046517 9.579936 0.034169 0.098061 -2.157677 0.034302 0.097855 11.625 11.875 93894
12 10.092077 0.007633 0.047183 -1.894574 0.007819 0.047097 10.105124 0.040389 0.090409 -1.881529 0.040570 0.090289 11.875 12.125 50071
12.25 10.477749 0.029376 0.024261 -1.758721 0.029485 0.024171 10.491914 0.057597 0.062230 -1.744556 0.057645 0.062061 12.125 12.375 25820
12.5 10.660395 0.037993 0.006041 -1.825716 0.038089 0.005996 10.671906 0.068016 0.054286 -1.814209 0.068102 0.054288 12.375 12.625 13116
12.75 10.751088 0.054983 0.016534 -1.984027 0.055064 0.016526 10.762613 0.078327 0.058236 -1.972499 0.078447 0.058219 12.625 12.875 6124
13 10.804678 0.062981 0.031464 -2.177628 0.063065 0.031429 10.819750 0.084776 0.072641 -2.162556 0.084813 0.072604 12.875 13.125 2694
13.25 10.894332 0.064678 0.045046 -2.332713 0.064721 0.045043 10.902431 0.085338 0.082218 -2.324613 0.085378 0.082215 13.125 13.375 1102
13.5 10.964543 0.067272 0.036317 -2.508458 0.067273 0.036317 10.963465 0.093902 0.076037 -2.509538 0.094301 0.076040 13.375 13.625 405
13.75 11.023461 0.084103 0.029049 -2.691799 0.084103 0.029051 11.020184 0.099897 0.062573 -2.695077 0.099897 0.062573 13.625 13.875 120
14 10.996436 0.098800 0.012387 -2.972044 0.098800 0.012387 11.007651 0.117927 0.052519 -2.960827 0.117927 0.052519 13.875 14.125 20
14.25 11.322412 0.096163 0.027440 -2.910006 0.096163 0.027440 11.153915 0.112968 0.075706 -3.078503 0.112969 0.075706 14.125 14.375 3
14.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.375 14.625 0
14.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.625 14.875 0
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.875 15.125 0
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
