#HM(0) Med_All(1) Err+(2) Err-(3) Med_Cen(4) Err+(5) Err-(6) Med_Cen_SF(7) Err+(8) Err-(9) Med_Cen_Q(10) Err+(11) Err-(12) Med_Sat(13) Err+(14) Err-(15) Med_SF(16) Err+(17) Err-(18) Med_Q(19) Err+(20) Err-(21) True_Med_All(22) Err+(23) Err-(24) True_Cen(25) Err+(26) Err-(27) True_Cen_SF(28) Err+(29) Err-(30) True_Cen_Q(31) Err+(32) Err-(33) True_Sat(34) Err+(35) Err-(36) True_SF(37) Err+(38) Err-(39) True_Q(40) Err+(41) Err-(42) 
9.100000 -4.580463 0.264427 0.103837 -4.655888 0.227851 0.134557 -4.646360 0.260492 0.143514 0.000000 0.000000 0.000000 -4.297371 0.264438 0.094042 -4.539892 0.226080 0.147971 0.000000 0.000000 0.000000 -4.543421 0.246056 0.117072 -4.645543 0.268061 0.111640 -4.621076 0.249030 0.159813 0.000000 0.000000 0.000000 -4.282888 0.276499 0.074075 -4.531014 0.232433 0.153692 0.000000 0.000000 0.000000
9.300000 -4.402892 0.242624 0.096164 -4.474172 0.208941 0.125999 -4.465813 0.238405 0.132994 0.000000 0.000000 4.209242 -4.131476 0.240803 0.091168 -4.366184 0.209930 0.137793 0.000000 0.000000 2.947587 -4.367132 0.222300 0.114012 -4.462942 0.243942 0.104400 -4.440887 0.221892 0.147435 0.000000 0.000000 4.336753 -4.116192 0.210857 0.079168 -4.356780 0.210288 0.142650 0.000000 0.000000 3.187824
9.500000 -4.225321 0.221511 0.089582 -4.292456 0.185771 0.118562 -4.285267 0.216318 0.124160 -4.106524 0.649507 0.145929 -3.965582 0.218990 0.087487 -4.192475 0.188514 0.123692 -3.108661 1.523980 0.185489 -4.190843 0.197561 0.110952 -4.280341 0.219823 0.100138 -4.260698 0.197553 0.134900 -4.096642 0.719297 0.144584 -3.949497 0.193798 0.078324 -4.182546 0.189281 0.127676 -3.015528 1.202249 0.254516
9.700000 -4.047750 0.196834 0.083739 -4.110740 0.168398 0.112235 -4.104721 0.193660 0.116591 -3.951296 0.395418 0.134058 -3.799688 0.197949 0.081189 -4.018767 0.168359 0.114434 -3.034155 1.293276 0.191363 -4.014555 0.169065 0.105000 -4.097741 0.195703 0.094042 -4.080510 0.175372 0.126142 -3.943483 0.473971 0.137516 -3.782804 0.173175 0.075410 -4.008312 0.169391 0.123744 -2.955371 1.044419 0.249775
9.900000 -3.870181 0.172858 0.078560 -3.929025 0.146955 0.103801 -3.924174 0.167407 0.108948 -3.796076 0.344719 0.119237 -3.633797 0.177592 0.073931 -3.845058 0.149116 0.106891 -2.959777 1.076384 0.169404 -3.838267 0.150459 0.098531 -3.915141 0.171378 0.089252 -3.900321 0.152936 0.120942 -3.790332 0.406275 0.123418 -3.616114 0.155597 0.068448 -3.834079 0.147639 0.119713 -2.895445 0.954234 0.224558
10.100000 -3.692614 0.150174 0.073693 -3.747313 0.125243 0.095248 -3.743628 0.144496 0.100849 -3.640872 0.347438 0.105882 -3.467913 0.152325 0.068584 -3.671350 0.129597 0.094945 -2.885600 1.127739 0.152539 -3.661982 0.123033 0.093064 -3.732543 0.141408 0.083441 -3.720134 0.131792 0.108846 -3.637194 0.468073 0.109628 -3.449434 0.138662 0.067186 -3.659846 0.125088 0.104749 -2.835860 0.954021 0.195123
10.300000 -3.515054 0.127239 0.067445 -3.565606 0.106116 0.088760 -3.563083 0.118906 0.092288 -3.485705 1.006568 0.083310 -3.302042 0.129513 0.061544 -3.497644 0.109030 0.087247 -2.811744 1.141794 0.133253 -3.485704 0.100158 0.084426 -3.549950 0.111426 0.082719 -3.539948 0.108001 0.102900 0.000000 0.000000 3.559763 -3.282774 0.112212 0.058417 -3.485617 0.100650 0.092983 -2.776771 2.776771 0.153119
10.500000 -3.337511 0.102109 0.063673 -3.383913 0.085322 0.077824 -3.382541 0.092724 0.083169 0.000000 0.000000 3.275558 -3.136208 0.103225 0.053217 -3.323940 0.086109 0.077136 -2.738384 2.738384 0.107791 -3.309440 0.079716 0.078433 -3.367370 0.091286 0.076823 -3.359769 0.085452 0.094733 0.000000 0.000000 3.279280 -3.116165 0.090482 0.057674 -3.311394 0.085249 0.082856 -2.718350 2.718350 0.129887
10.700000 -3.160008 0.076918 0.056835 -3.202255 0.064168 0.070169 -3.202008 0.069104 0.071025 -3.175668 3.175668 0.018822 -2.970459 0.074010 0.049503 -3.150242 0.061815 0.067044 -2.665747 2.665747 0.081863 -3.133215 0.066230 0.077652 -3.184823 0.074240 0.076582 -3.179607 0.062771 0.084058 -3.178115 3.178115 0.000000 -2.949672 0.074396 0.054403 -3.137176 0.071648 0.076973 -2.660667 2.660667 0.101089
10.900000 -2.982597 0.048347 0.050467 -3.020685 0.040067 0.068034 -3.021493 0.039533 0.065340 -3.021011 3.021011 0.030560 -2.804905 0.050642 0.043476 -2.976550 0.040244 0.058199 -2.593967 2.593967 0.065475 -2.957078 0.050750 0.076011 -3.002358 0.054505 0.074336 -2.999484 0.048094 0.079302 -3.025427 3.025427 0.027208 -2.783450 0.064030 0.054155 -2.962930 0.059872 0.071166 -2.603277 2.603277 0.065262
