#HM Med_All Med_Cen Med_Sat Med_SF Med_Q Cen-All Sat-All SF-All Q-All Cen-Sat SF-Q True True_Cen
9.100000 -0.756299 -0.736917 -0.835533 -0.799249 0.000000 0.019383 -0.079234 0.000000 0.000000 0.098616 0.000000 -0.788377 -0.757121
9.300000 -0.723998 -0.708272 -0.667853 -0.762759 0.000000 0.015726 0.056145 -0.038761 0.000000 -0.040419 0.000000 -0.735450 -0.708491
9.500000 -0.531350 -0.520983 -0.407648 -0.565914 0.000000 0.010366 0.123702 0.000000 0.000000 -0.113335 0.000000 -0.539507 -0.518477
9.700000 -0.247235 -0.239823 -0.178479 -0.277606 0.000000 0.007412 0.068757 0.000000 0.000000 -0.061344 0.000000 -0.256457 -0.239078
9.900000 -0.076084 -0.071226 -0.042234 -0.102262 0.000000 0.004858 0.033850 0.000000 0.000000 -0.028992 0.000000 -0.083712 -0.069373
10.100000 -0.027836 -0.031986 0.040328 -0.049821 0.000000 -0.004150 0.068163 0.000000 0.000000 -0.072314 0.000000 -0.033308 -0.027839
10.300000 -0.022833 -0.028862 0.025571 -0.040626 0.000000 -0.006028 0.048404 0.000000 0.000000 -0.054433 0.000000 -0.028538 -0.025628
10.500000 -0.026083 -0.029018 0.013337 -0.039683 0.000000 -0.002936 0.039420 0.000000 0.000000 -0.042355 0.000000 -0.029649 -0.024427
10.700000 -0.025192 -0.024228 -0.005784 -0.034600 0.000000 0.000964 0.019408 0.000000 0.000000 -0.018444 0.000000 -0.026341 -0.019359
10.900000 -0.020636 -0.021216 0.009789 -0.025859 0.000000 -0.000580 0.030425 0.000000 0.000000 -0.031005 0.000000 -0.024527 -0.019413
11.100000 -0.026758 -0.026196 -0.003405 -0.027818 0.000000 0.000561 0.023353 0.000000 0.000000 -0.022791 0.000000 -0.020575 -0.015102
11.300000 -0.022612 -0.020946 -0.000931 -0.019612 0.000000 0.001666 0.021681 0.000000 0.000000 -0.020015 0.000000 -0.016143 -0.011189
11.500000 -0.011133 -0.012851 0.020349 -0.004426 0.000000 -0.001718 0.031482 0.006707 0.000000 -0.033201 0.000000 -0.017243 -0.013494
11.700000 -0.008173 -0.002003 -0.105134 0.000103 0.000000 0.006170 -0.096961 0.008276 0.000000 0.103131 0.000000 -0.020485 -0.016178
11.900000 -0.033757 -0.039137 0.198815 -0.031164 0.000000 -0.005380 0.232572 0.002593 0.000000 -0.237952 0.000000 -0.006648 -0.007806
12.100000 0.017914 0.010611 0.000000 -0.002921 0.000000 -0.007303 0.000000 0.000000 0.000000 0.000000 0.000000 0.002203 0.002317
12.300000 0.144517 0.135206 0.000000 0.091409 0.000000 -0.009312 0.000000 0.000000 0.000000 0.000000 0.000000 0.111962 0.109062
12.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
