#HM(0) Cen_All(1) Err+(2) Err-(3) Sat_All(4) Err+(5) Err-(6) SF_All(7) Err+(8) Err-(9) Q_All(10) Err+(11) Err-(12) Cen_Sat(13) Err+(14) Err-(15) SF_Q(16) Err+(17) Err-(18) 
9.100000 0.000000 0.000000 0.000000 0.000000 0.000007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000007 0.000000 0.000000 0.000000
9.300000 -0.000000 0.000000 0.000001 0.000006 0.000015 0.000003 0.000000 0.000000 0.000000 0.000823 0.147425 0.000823 -0.000006 0.000004 0.000016 -0.000823 0.000823 0.107777
9.500000 -0.000009 0.000007 0.000019 0.000104 0.000240 0.000079 -0.000005 0.000003 0.000001 0.001998 0.253401 0.001998 -0.000113 0.000085 0.000256 -0.002004 0.002004 0.253398
9.700000 -0.003023 0.002933 0.005258 0.076938 0.048539 0.047607 -0.000434 0.000425 0.000903 0.392984 0.454448 0.227117 -0.079961 0.050540 0.054041 -0.393418 0.222752 0.454041
9.900000 -0.023464 0.000849 0.004004 0.197669 0.026711 0.014125 -0.001919 0.001687 0.001428 0.297013 0.368971 0.124341 -0.221133 0.014407 0.029385 -0.298932 0.120325 0.367567
10.100000 -0.027337 0.000000 0.004821 0.165831 0.024753 0.003695 -0.001739 0.001492 0.000878 0.208512 0.273407 0.078429 -0.193168 0.003152 0.029452 -0.210251 0.073936 0.272053
10.300000 -0.031510 -0.000200 0.006292 0.150120 0.026533 0.002646 -0.002540 0.001924 0.001139 0.171481 0.271563 0.055003 -0.181631 0.002498 0.031705 -0.174021 0.052582 0.270250
10.500000 -0.033823 -0.000734 0.008030 0.144903 0.029539 0.002361 -0.003696 0.002170 0.001693 0.154973 0.295619 0.039630 -0.178726 0.000873 0.037384 -0.158669 0.037531 0.294476
10.700000 -0.041518 -0.001541 0.011617 0.163280 0.037278 -0.002974 -0.006300 0.002438 0.003249 0.159841 0.251733 0.025849 -0.204798 -0.004512 0.048989 -0.166141 0.025858 0.255068
10.900000 -0.052336 -0.003017 0.018978 0.173082 0.039361 -0.000903 -0.009021 0.002024 0.005456 0.133907 0.169561 0.013150 -0.225418 -0.007524 0.054475 -0.142927 0.007063 0.170277
11.100000 -0.052274 -0.004135 0.018738 0.156631 0.026893 0.007377 -0.010757 0.001054 0.005819 0.103631 0.121316 0.011267 -0.208905 0.000649 0.041896 -0.114389 0.008600 0.127131
11.300000 -0.048533 -0.001823 0.015608 0.147330 0.022209 0.007765 -0.012318 -0.000803 0.007823 0.079000 0.099742 0.004805 -0.195863 0.004025 0.035980 -0.091319 0.002422 0.105120
11.500000 -0.045444 -0.000372 0.012660 0.137877 0.016699 0.008388 -0.014720 -0.000882 0.009743 0.060821 0.074244 0.003240 -0.183321 0.006140 0.028916 -0.075540 0.001151 0.082743
11.700000 -0.037822 0.000452 0.009982 0.116675 0.008817 0.008866 -0.015371 -0.001501 0.012511 0.040716 0.045163 -0.000831 -0.154497 0.007949 0.017540 -0.056086 -0.003072 0.057684
11.900000 -0.027577 -0.000093 0.005901 0.082099 0.006597 0.005278 -0.012570 -0.003296 0.013211 0.022286 0.025153 -0.004637 -0.109676 0.004731 0.012602 -0.034856 -0.008940 0.038563
