#HM(0) Med_All(1) Err+(2) Err-(3) Med_Cen(4) Err+(5) Err-(6) Med_Cen_SF(7) Err+(8) Err-(9) Med_Cen_Q(10) Err+(11) Err-(12) Med_Sat(13) Err+(14) Err-(15) Med_SF(16) Err+(17) Err-(18) Med_Q(19) Err+(20) Err-(21) True_Med_All(22) Err+(23) Err-(24) True_Cen(25) Err+(26) Err-(27) True_Cen_SF(28) Err+(29) Err-(30) True_Cen_Q(31) Err+(32) Err-(33) True_Sat(34) Err+(35) Err-(36) True_SF(37) Err+(38) Err-(39) True_Q(40) Err+(41) Err-(42) 
9.100000 -4.494551 0.000561 0.000223 -4.494555 0.000557 0.000221 -4.494555 0.000557 0.000219 0.000000 0.000000 0.000000 -4.494167 0.000970 0.000401 -4.494551 0.000561 0.000220 0.000000 0.000000 0.000000 -4.494686 0.000482 0.000164 -4.494689 0.000478 0.000163 -4.494689 0.000478 0.000166 0.000000 0.000000 0.000000 -4.494375 0.000930 0.000319 -4.494686 0.000482 0.000167 0.000000 0.000000 0.000000
9.300000 -4.493750 0.001192 0.000527 -4.493769 0.001178 0.000519 -4.493769 0.001178 0.000520 0.000000 0.000000 2.210000 -4.492394 0.047947 0.001112 -4.493750 0.001192 0.000527 0.000000 0.000000 2.210000 -4.493929 0.001189 0.000468 -4.493949 0.001174 0.000461 -4.493949 0.001174 0.000461 0.000000 0.000000 0.000000 -4.492436 0.053666 0.001112 -4.493929 0.001189 0.000468 0.000000 0.000000 0.000000
9.500000 -4.462692 0.117892 0.029467 -4.467519 0.109731 0.024761 -4.467521 0.109727 0.024755 0.000000 0.000000 2.483818 -4.242740 0.213216 0.130216 -4.462693 0.117888 0.029469 0.000000 0.000000 2.547900 -4.457646 0.121609 0.034563 -4.462247 0.114098 0.030108 -4.462247 0.114098 0.030027 0.000000 0.000000 0.000000 -4.214694 0.200138 0.128354 -4.457646 0.121609 0.034500 0.000000 0.000000 0.000000
9.700000 -4.043821 0.203239 0.136928 -4.064517 0.204669 0.134914 -4.064524 0.204672 0.139183 -2.084641 0.144641 0.246107 -3.777884 0.197145 0.124008 -4.043829 0.203239 0.142396 -2.129122 0.173316 0.199466 -4.022378 0.189118 0.126627 -4.042981 0.189360 0.126941 -4.042981 0.189360 0.125916 0.000000 0.000000 2.439746 -3.747775 0.172944 0.115418 -4.022378 0.189118 0.122712 0.000000 0.000000 2.439193
9.900000 -3.628277 0.182799 0.105328 -3.646997 0.184566 0.103938 -3.647003 0.184436 0.105228 -2.049793 0.144755 0.210207 -3.464821 0.181572 0.095664 -3.628285 0.182601 0.105714 -2.027264 0.163356 0.179067 -3.601281 0.158173 0.091870 -3.620149 0.156650 0.092779 -3.620150 0.156650 0.094859 0.000000 0.000000 2.321912 -3.434417 0.150630 0.087668 -3.601282 0.158174 0.092570 0.000000 0.000000 2.306410
10.100000 -3.401047 0.164772 0.086742 -3.421999 0.163346 0.088091 -3.422004 0.163337 0.088155 0.000000 0.000000 2.058122 -3.254494 0.170568 0.078368 -3.401053 0.164762 0.089795 -1.915395 0.220395 0.142503 -3.375717 0.135768 0.076295 -3.395033 0.135306 0.075312 -3.395033 0.135304 0.074507 0.000000 0.000000 0.000000 -3.231740 0.144116 0.068085 -3.375718 0.135768 0.074089 0.000000 0.000000 2.285000
10.300000 -3.232097 0.150421 0.077189 -3.268671 0.145563 0.083250 -3.268674 0.145564 0.083251 0.000000 0.000000 1.880000 -3.052911 0.149647 0.066915 -3.232100 0.150423 0.077739 0.000000 0.000000 2.256321 -3.209331 0.120701 0.059234 -3.241825 0.120804 0.064605 -3.241825 0.120804 0.064606 0.000000 0.000000 0.000000 -3.027369 0.126778 0.055986 -3.209331 0.120701 0.059234 0.000000 0.000000 2.775000
10.500000 -3.095421 0.129137 0.070084 -3.128729 0.126124 0.074523 -3.128729 0.126124 0.074523 0.000000 0.000000 0.000000 -2.949907 0.126012 0.062772 -3.095423 0.129115 0.070084 0.000000 0.000000 2.719356 -3.072523 0.098615 0.050175 -3.102205 0.097725 0.058809 -3.102205 0.097725 0.058809 0.000000 0.000000 0.000000 -2.924803 0.104628 0.047099 -3.072523 0.098615 0.050174 0.000000 0.000000 2.804900
10.700000 -2.959530 0.110048 0.063115 -2.988534 0.108742 0.067810 -2.988535 0.108743 0.067808 0.000000 0.000000 2.877690 -2.812117 0.100785 0.056192 -2.959536 0.110053 0.063115 0.000000 0.000000 2.698286 -2.937598 0.081531 0.048262 -2.962678 0.081056 0.051107 -2.962677 0.081055 0.050903 0.000000 0.000000 2.893859 -2.789006 0.088772 0.045089 -2.937598 0.081532 0.048261 0.000000 0.000000 2.642554
10.900000 -2.822731 0.083774 0.055202 -2.847767 0.083123 0.060348 -2.847767 0.083123 0.060348 0.000000 0.000000 2.748470 -2.674494 0.079544 0.051109 -2.822744 0.083786 0.055190 0.000000 0.000000 2.568237 -2.800380 0.067225 0.052098 -2.822173 0.066669 0.051603 -2.822173 0.066669 0.051547 0.000000 0.000000 2.742388 -2.652230 0.068063 0.050312 -2.800394 0.067238 0.049298 0.000000 0.000000 2.589196
11.100000 -2.684298 0.063158 0.048531 -2.704124 0.063172 0.052782 -2.704122 0.063170 0.052784 0.000000 0.000000 2.692615 -2.553816 0.059972 0.047591 -2.684329 0.063189 0.048500 -2.443749 2.443749 0.103958 -2.661821 0.055957 0.057342 -2.680302 0.055823 0.057316 -2.680295 0.056689 0.057323 0.000000 0.000000 2.665000 -2.521041 0.048898 0.059756 -2.661835 0.056024 0.057327 -2.421560 2.421560 0.106724
11.300000 -2.543082 0.044894 0.048532 -2.560450 0.045700 0.049741 -2.560469 0.045719 0.047521 -2.497327 2.497327 0.078477 -2.406954 0.040441 0.053008 -2.543256 0.045001 0.048786 -2.391927 2.391927 0.056138 -2.520856 0.041688 0.069540 -2.535724 0.042251 0.069526 -2.535692 0.042235 0.068520 -2.597785 2.597785 0.015791 -2.385252 0.039012 0.070145 -2.520898 0.041729 0.066694 -2.436289 2.436289 0.039252
