#HM(0) Med_All(1) Err+(2) Err-(3) Med_Cen(4) Err+(5) Err-(6) Med_Cen_SF(7) Err+(8) Err-(9) Med_Cen_Q(10) Err+(11) Err-(12) Med_Sat(13) Err+(14) Err-(15) Med_SF(16) Err+(17) Err-(18) Med_Q(19) Err+(20) Err-(21) True_Med_All(22) Err+(23) Err-(24) True_Cen(25) Err+(26) Err-(27) True_Cen_SF(28) Err+(29) Err-(30) True_Cen_Q(31) Err+(32) Err-(33) True_Sat(34) Err+(35) Err-(36) True_SF(37) Err+(38) Err-(39) True_Q(40) Err+(41) Err-(42) 
9.100000 0.104637 0.059992 0.033301 0.104272 0.059795 0.033081 0.104272 0.059795 0.032975 0.000000 0.000000 0.000000 0.132881 0.069243 0.041139 0.104637 0.059992 0.033177 0.000000 0.000000 0.000000 0.070973 0.049266 0.022480 0.070374 0.049185 0.022316 0.070374 0.049185 0.023464 0.000000 0.000000 0.000000 0.103258 0.059801 0.032988 0.070973 0.049266 0.023672 0.000000 0.000000 0.000000
9.300000 0.169861 0.070387 0.045595 0.168572 0.070074 0.045427 0.168561 0.070069 0.045431 0.000000 0.121087 0.000000 0.226038 0.077710 0.051278 0.169851 0.070382 0.045599 0.000000 0.122296 0.000000 0.129944 0.059757 0.032621 0.128694 0.059380 0.032502 0.128694 0.059380 0.032589 0.000000 0.000000 0.000000 0.180664 0.070680 0.041253 0.129944 0.059757 0.032787 0.000000 0.000000 0.000000
9.500000 0.294410 0.071114 0.051368 0.288582 0.071335 0.051374 0.288559 0.071353 0.051886 0.000000 0.327639 0.000000 0.372866 0.060159 0.044298 0.294388 0.071130 0.051380 0.000000 0.319564 0.000000 0.249710 0.062219 0.035524 0.243594 0.062771 0.036351 0.243594 0.062771 0.037211 0.000000 0.000000 0.000000 0.322240 0.051701 0.035435 0.249710 0.062219 0.037341 0.000000 0.000000 0.000000
9.700000 0.436428 0.034026 0.029389 0.428760 0.033937 0.030000 0.428732 0.033941 0.031969 0.349129 -0.013169 0.114522 0.476442 0.029373 0.020541 0.436400 0.034026 0.029819 0.327211 -0.000434 0.075474 0.376671 0.027476 0.022448 0.368603 0.026825 0.021050 0.368603 0.026698 0.022501 0.000000 0.190849 0.000000 0.406228 0.032345 0.017056 0.376671 0.026980 0.023279 0.000000 0.211366 0.000000
9.900000 0.475799 0.016446 0.011424 0.470713 0.014079 0.011844 0.470693 0.014022 0.011944 0.158729 0.131362 -0.010953 0.491915 0.025489 0.013318 0.475775 0.016396 0.011523 0.215586 0.141091 0.007542 0.389668 0.020286 0.015100 0.383899 0.018166 0.014366 0.383897 0.017591 0.014355 0.000000 0.289165 0.000000 0.404180 0.034186 0.020248 0.389666 0.020016 0.015912 0.000000 0.334410 0.000000
10.100000 0.459096 0.019184 0.012657 0.448677 0.015150 0.011927 0.448656 0.014718 0.011917 0.000000 0.327588 0.000000 0.493920 0.028082 0.018159 0.459070 0.017777 0.012651 0.335876 0.120820 0.125464 0.355932 0.026552 0.017653 0.342198 0.020423 0.015198 0.342198 0.020410 0.015198 0.000000 0.000000 0.000000 0.399718 0.038134 0.022397 0.355927 0.026133 0.018470 0.000000 0.371578 0.000000
10.300000 0.444564 0.017796 0.014309 0.427426 0.012838 0.013196 0.427411 0.012834 0.013191 0.000000 0.259984 0.000000 0.474684 0.019154 0.023263 0.444550 0.017702 0.014481 0.000000 0.450516 0.000000 0.332266 0.024896 0.018913 0.309240 0.019651 0.017172 0.309240 0.019650 0.017172 0.000000 0.000000 0.000000 0.370262 0.026844 0.027466 0.332266 0.024766 0.019425 0.000000 0.322069 0.000000
10.500000 0.428694 0.012569 0.013411 0.413797 0.009548 0.012609 0.413797 0.009548 0.012608 0.000000 0.000000 0.000000 0.454435 0.013512 0.019874 0.428690 0.012565 0.013689 0.000000 0.439868 0.000000 0.309514 0.019219 0.017401 0.288539 0.015140 0.016815 0.288539 0.015140 0.016829 0.000000 0.000000 0.000000 0.343765 0.019929 0.024239 0.309514 0.018857 0.017554 0.000000 0.350118 0.000000
10.700000 0.416348 0.008262 0.013756 0.402442 0.006033 0.013148 0.402441 0.006070 0.013148 0.000000 0.356802 0.000000 0.447153 0.008905 0.019976 0.416342 0.008263 0.014022 0.000000 0.438879 0.000000 0.289925 0.013474 0.017396 0.269723 0.010457 0.016447 0.269723 0.010456 0.016459 0.000000 0.230968 0.000000 0.331690 0.012742 0.025155 0.289925 0.013474 0.017636 0.000000 0.332929 0.000000
10.900000 0.407205 0.006559 0.014776 0.394890 0.005143 0.013532 0.394890 0.005143 0.013532 0.000000 0.375843 0.000000 0.437319 0.007064 0.019670 0.407192 0.006571 0.014764 0.000000 0.432319 0.000000 0.275783 0.009827 0.018007 0.257016 0.008433 0.016530 0.257016 0.008257 0.016530 0.000000 0.247280 0.000000 0.321031 0.010391 0.024252 0.275770 0.009840 0.017994 0.000000 0.318939 0.000000
