#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 9.82569e+10 0 -24 -23.5
-23.25 2.56322e+10 5.28687e+10 1.08852e+10 -23.5 -23
-22.75 1.91737e+10 1.96556e+10 8.44325e+09 -23 -22.5
-22.25 1.28706e+10 4.09703e+09 6.60799e+09 -22.5 -22
-21.75 5.90209e+09 1.70002e+09 2.63461e+09 -22 -21.5
-21.25 2.67817e+09 6.5393e+08 1.01519e+09 -21.5 -21
-20.75 1.26815e+09 2.67834e+08 3.81468e+08 -21 -20.5
-20.25 6.41496e+08 1.25624e+08 1.54851e+08 -20.5 -20
-19.75 3.43278e+08 5.33327e+07 6.86258e+07 -20 -19.5
-19.25 1.93553e+08 2.86845e+07 3.22232e+07 -19.5 -19
-18.75 1.12512e+08 1.74214e+07 1.56141e+07 -19 -18.5
-18.25 6.70042e+07 9.68925e+06 8.29502e+06 -18.5 -18
-17.75 4.06247e+07 5.4103e+06 4.23722e+06 -18 -17.5
-17.25 0 0 0 -17.5 -17
